"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"Patient1",4183.55393666219,51.7880647679576,2809.28041727932,6716.38162534873,7342.97364871412,1687.75113179518,6926.11891665333,5011.38482574089,-3937.21664591437,2833.2503829811,6955.91883038782,201.906589399852,-776.354628873742,596.964830213948
"Patient10",4094.54225123891,207.381189558829,2882.23606263485,7057.93123809852,7441.21555602635,1895.34368770139,7302.37794343792,5217.50268601021,-3735.52495887991,2980.59118253547,7381.44581343286,181.040325183548,-732.267504543763,601.189194545624
"Patient100",4043.24652889052,176.067686222435,2856.55051914427,7232.95398099735,8297.11510752004,1799.27009165168,8146.76414344503,5143.04576871308,-3660.09843211487,3215.01594305551,8148.09329820492,224.554876262467,-714.783478881806,613.94227444859
"Patient102",4121.51143647195,221.683973926916,2812.01956250333,7217.1825912857,7265.83225737703,2010.56097364044,7488.99947823176,5190.209748082,-3810.5643279848,2901.67310140421,7649.5619871267,195.240244667947,-654.708015454691,588.682410816257
"Patient105",3992.41821984695,81.6074147015315,2704.81994411474,7020.66237774661,7016.94032988158,1815.11725828609,7023.8193427766,5143.67244802233,-3811.39681341253,2787.94915090577,6975.65936947265,197.262437121546,-699.580530546409,573.327721906018
"Patient106",4052.62033058623,141.395215094504,2809.06469945328,6902.15099016784,7480.66995053428,1780.8319237917,7360.92121093225,5111.67500247277,-3890.33866836266,2885.02809226714,7481.34643618171,187.466658175077,-728.073045519545,589.980110868382
"Patient107",3830.90826433205,232.596272912044,2472.36556502563,6193.02990887272,6300.81338579864,1846.88648585738,6346.29835756267,4488.78754071123,-3354.9485671593,2598.95468233437,6576.8011838963,220.728408838629,-560.213610479651,529.421246323845
"Patient108",4078.79349645348,11.8995755276815,2527.28539694302,6965.44533537856,8009.43932251857,1745.96363519135,7161.82872190912,4983.50118640118,-3701.80685593693,2666.97580781356,7249.96787534562,192.993010206157,-692.427310634255,573.339408521563
"Patient11",4006.08038031734,251.194464467624,2878.85944434108,7055.12051871957,7452.67682322891,2059.14715431684,7309.32434719008,5209.86780192529,-3839.004216768,2939.23831525009,7333.09737843485,179.884263303716,-699.338089803153,593.469007235371
"Patient112",4126.44757110969,152.965959880754,2875.58583404291,7071.21173351745,8197.29208312271,1801.64574747486,7545.90868642308,5250.75043943233,-3861.66678985959,3112.64823785345,7649.89288390786,196.454187541527,-711.436170348918,609.027900798943
"Patient116",4150.60340393316,98.8932693941474,2809.54560649741,7036.76408268186,7681.80452923314,1762.41931502444,7163.98006840272,5328.35815553065,-3747.27474656917,3018.51431946782,7244.13818937293,189.768199633649,-719.912357300854,598.392119901299
"Patient117",4125.34672170076,113.745042722082,2921.67798319339,7081.26461631552,7776.29309251912,1704.16398540673,7692.75349340849,5271.14241248107,-3900.18716247498,3233.06058400405,7819.61523985507,205.75116645984,-646.411526906675,614.318345423254
"Patient121",4161.16179158941,155.889073049044,2911.30933471217,7034.51804692313,7541.46062415222,1773.20532252908,7573.54679351116,5184.51850531448,-3945.7987378238,3074.67155337332,7579.28302305725,195.80210218281,-689.511622492083,604.408054772066
"Patient125",3993.03803502497,112.074768224141,2744.56131304804,6906.42145298239,8339.56997392605,1722.86598754538,7823.29457370732,5073.6776469322,-3688.7318409417,2940.45975009761,7783.6101504576,216.969070000329,-711.64232720773,606.026272109374
"Patient126",4112.77262592306,129.559984506107,2774.837560537,6982.97328950364,7775.33207807085,1842.44156335885,7530.96689106504,5128.35080946686,-3772.02438714054,3013.74769325949,7577.69599577147,184.999775699738,-690.211655087287,591.759206414476
"Patient127",4140.17848914777,219.275950380458,2892.41069219619,7241.05972905905,7650.47713642162,1963.70412688509,7774.05818934285,5303.68102443035,-3795.94811177399,3062.26552989691,7775.92666043427,193.810157867823,-716.801929838239,605.078682122558
"Patient13",3929.1565694419,138.631544439046,2829.1390745948,7391.42583692154,6692.66986236306,1852.12225154814,7444.39770527553,5104.48293143679,-3572.0688563882,3044.86807008248,7470.70617354751,185.07112710153,-657.275242139909,592.883364238955
"Patient130",4080.77304609206,108.395127147237,2850.66902207593,7579.32674981142,7650.68135914575,1731.06044524756,7445.47509858804,5156.55617428177,-3884.93638949621,2921.57378062583,7472.5202708854,197.749782850545,-663.71287932203,576.763948629374
"Patient131",4067.29437999583,149.031130686811,2626.17964739593,6903.83497375552,7108.71039047296,1812.10041814704,7274.19580537532,4966.78644330459,-3566.87344246014,2820.61953808355,7292.08623424189,194.657256971077,-643.619867943373,572.725142214766
"Patient132",4208.89660789561,138.531774817583,2803.21718077991,7008.51296995818,7830.39613533604,1808.10571144303,7887.65844055102,5109.76326799819,-3851.16672312395,3042.92581522119,7934.59228968126,211.94038900567,-743.369823741237,600.760714980913
"Patient133",4067.19053446276,138.635203738683,2779.47294642543,6964.56867024008,7654.59947409278,1778.24725080412,7713.45967049524,5123.94871324626,-3845.22384370307,2923.92238272066,7694.54930601629,198.538696883887,-673.808119814491,583.506926741114
