"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"R3388_YZ_1",4238.38339353806,217.69630700372,2569.17346632609,7341.40705886208,8194.46881925171,1792.02765292885,9105.86853067234,4793.73659266796,-3483.32604406715,3292.25857175268,8981.69318770871,193.821628640063,-258.566677250358,651.035372427965
"R3388_YZ_2",4151.83557341374,169.940109526612,2347.63172968866,7068.74054093695,8435.48766276461,1723.11113766065,8695.70439501005,4523.34757699348,-3540.08171724053,3270.17282302517,8520.50792588094,199.576532823145,-250.917737662957,608.027088981889
"R3388_YZ_3",4298.85062690371,262.075864441394,2527.06121714808,7245.28420533177,7882.88262339908,1923.91312602092,8923.59479800783,4724.56122140834,-3463.28075965257,3345.83332060376,8779.83841067479,196.463274460911,-221.531159386737,707.564847310532
"R3388_YZ_4",4106.85011302869,226.930928357284,2359.15110925349,7023.70646265122,8334.03863201465,1768.23538659411,8496.20796096404,4732.03005254441,-3627.00901478669,2975.77270290349,8340.42446649654,154.793995555709,-117.621415992808,587.901357442796
"R3388_YZ_5",4114.6109506751,272.059286098843,2548.26782841131,7107.00091942969,7658.21410423967,1750.37980736347,8896.79591262113,4677.54923941482,-3488.54604646604,3285.22695463449,8813.33633928703,191.532402263734,-312.69522591016,621.239728297562
"R3388_YZ_6",4185.69433844489,339.032750607269,2330.9627103909,7113.58386920988,8325.47240717922,1997.86776084598,8648.70176321952,4644.9951115988,-3445.86058299268,3030.48297518547,8588.52981624085,149.188645424766,-164.817070467609,591.989092595775
"R3388_YZ_7",4295.28562165905,304.320725804845,2427.53367965514,7266.14568719544,8243.82567927557,1955.42707520059,9743.32732999937,4551.67533635484,-3444.86739590165,3344.21115773355,9495.57374102935,188.109393301757,-181.477544455207,661.168602641231
"R3388_YZ_9",4154.69890825344,248.495057989559,2432.14612681147,7057.18352372941,8374.82228960256,1813.02851057549,9374.97798858288,4637.03253901833,-3445.74528118696,3257.61591965281,9126.81452360316,183.303356494654,-306.767173031181,667.263800466043
"R3388_YZ_10",4197.85103338934,218.916152615463,2473.70176305163,7129.01769486043,7758.66772257641,1839.90532607364,8556.24711633737,4658.59017049588,-3491.33585430372,3239.03527642738,8525.78047528164,208.444157682352,-281.629383259635,638.681066290832
"R3388_YZ_11",4242.74316316189,179.279246733633,2460.47803456653,7018.82059487091,7624.82747326736,1695.60775000924,8450.6596656249,4664.81738150484,-3586.10314423802,3115.77508334102,8387.74713841357,171.262451804724,-246.978756254031,633.286481588313
"R3388_YZ_12",4080.35204809405,434.509890129547,2489.70801107175,7507.95718425999,9521.70466503741,1967.18439785782,9540.65897730579,4598.36211634858,-3546.16790026393,3638.53144499103,9554.63396817322,187.794484848482,-84.7578055054141,652.834141774308
"R3388_YZ_13",4216.94180518263,303.603373132952,2544.70821393809,7286.45285472891,8109.56961352882,1872.98586401085,8849.8157000046,4804.47958437409,-3583.6739827351,3057.61721267847,8787.96230822654,178.705984026976,-253.002507039318,624.755538064946
"R3388_YZ_14",3957.67701683276,235.970296259629,2252.59142532785,7068.36828340577,8465.38731073979,1852.41243535228,8919.57403953306,4503.28759236145,-3538.52908774738,2940.24943296057,8875.49879015813,179.28226069484,-112.670751370289,584.668118881532
"R3388_YZ_15",4207.84121158076,206.601785750357,2424.80458125852,7096.96638959928,7693.52705705205,1858.46156730179,8262.45090427452,4534.57659654808,-3446.07412753117,3191.14878091854,8170.92260388094,150.451500533626,-167.011246515662,589.42050606401
"R3388_YZ_16",4239.98730445982,253.808938760175,2559.44140623964,7186.508489813,8186.68020623137,1880.5319907451,8806.82174459408,4768.66837537175,-3460.02320272624,3123.64146473911,8727.46469241038,196.653121660556,-263.682873202194,627.434970427534
"R3388_YZ_17",4004.06778945208,271.257309328694,2462.96323124837,7494.53790576262,8487.74029715156,1817.52463858838,9260.66568840083,4660.01538248535,-3443.4242811736,3288.00683126585,9168.53128890878,199.439749331988,-248.877014659793,645.32908699774
"R3388_YZ_19",4122.62124528581,350.601739246389,2606.29657058824,7359.86144523946,7894.48524711537,1880.99430830386,9137.30255049844,4673.14344048186,-3488.41118317861,3287.53041140358,9070.04209502092,181.426291163055,-282.656775977818,637.636229419155
"R3388_YZ_20",4129.3767512334,384.165313432716,2411.88859337102,7021.02558836415,8895.25055126069,2042.03660268699,8681.01699911645,4754.86714761123,-3413.24235191627,3313.23215981213,8569.72273312811,173.858357444046,-141.335552206859,614.27605920306
"R3388_YZ_21",4236.90253892739,223.995197406128,2396.61506662796,7248.79083335693,8411.87508131843,1810.94002135144,8606.38689680732,4622.92409450214,-3517.22203183611,3220.59493024226,8490.59811952084,188.794310394282,-242.591064768923,632.497802050738
"R3388_YZ_23",4221.27380859815,365.164737912849,2490.22181743527,6969.45356286797,8266.87433734983,1977.92956131279,9041.48642385791,4597.63096356942,-3567.85380541154,3303.85745933737,8939.01146026381,164.360844486544,-155.599429796888,595.542130505858
"R3388_YZ_24",4309.49856913254,323.065443554566,2602.02627141162,7778.88407888144,8293.02600826773,1898.76870848466,9008.95297262986,4887.07362064866,-3632.17639004351,3276.87177658986,9054.05172754863,207.454063380617,-310.396082726373,649.809134874463
"R3388_YZ_25",4224.27628396164,293.427507306201,2438.396309579,7166.78069057763,7981.23757778643,1910.55603965387,9810.99252690632,4585.15390430777,-3321.5002600994,3248.83926234533,9592.29582952563,201.664902324686,-190.555422926877,670.445659465241
"R3388_YZ_26",4033.50542222623,200.118586109175,2606.18945650997,7922.22987605413,7908.60044337743,1795.59901093636,9263.96756418365,4574.69019869591,-3472.49210860429,3314.65473336614,9207.56726210462,214.541324636445,-248.589149152428,632.881697293552
