"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"LP.01.01",4165.79570185597,147.651221842456,2362.80968663746,7071.4635114005,8027.53368882027,1725.36519083611,7872.9308203645,4489.29338680727,-3172.19557849679,3138.62705582086,7879.80871196868,154.396755054961,-39.73956641248,602.870920525211
"LP.01.02",4091.87504641148,138.299421925127,2393.61308388189,6904.02869245775,7541.55463562684,1761.25872861822,7759.64908688543,4503.88351790138,-3142.05451953665,3119.03258040139,7819.58905033973,147.913301994432,-111.433926928693,627.911625930782
"LP.01.03",4116.65309631035,156.572600747599,2341.80135770566,6705.54012151691,7656.55959785062,1774.80536477645,8033.3020742853,4491.61473292433,-3114.87545258196,3058.77544478177,8036.12343324924,149.772564968111,-103.247985810281,626.109300275896
"LP.01.04",4027.92116993517,264.208968800758,2526.5577735587,7198.89655821372,7665.11736710254,1842.49718243237,8181.85252136705,4488.49250587891,-3132.29716026506,3070.59271097302,8306.32380906209,131.330689310033,-55.467644250272,658.643007353525
"LP.01.10",3977.58120795516,175.149263465715,2323.91898545855,6920.84209195517,8057.25657365623,1713.07641563662,8268.65097063349,4543.70497804256,-3076.34386421849,3116.66168639668,8350.92795451599,158.691791382518,-68.9661859431981,606.699873118383
"LP.01.12",4053.69105650568,151.111981364708,2340.61453762627,6766.04761744662,8012.5918921779,1670.82768067172,7955.06981143214,4425.7176486632,-3125.51975460411,3195.96233776143,7990.38227166419,169.472866528001,-83.2917235222942,649.33881878506
"LP.01.14",4051.54416031256,251.650801757872,2442.94578597133,7013.62698927597,7979.62007616476,1886.39356916662,8165.46603255102,4408.57787542146,-3128.43592132398,3115.07621877538,8220.82969482597,157.067829708819,-141.831138321919,634.872235668727
"LP.01.16",4054.28338107855,196.220040925959,2511.16199666613,7257.45583036779,8059.48504344378,1726.59242443272,8420.30724877225,4536.07917903933,-3098.92813173629,3143.79773581788,8550.05669156914,151.582753241704,-87.0090696955753,663.241153656249
"LP.01.18",3994.90168589946,255.8567338164,2340.71527384551,7613.54895115794,8510.48603188085,1871.41371701856,8576.28081533964,4440.09274679318,-3135.3772619653,3088.25585496909,8698.10757138942,145.915377513959,32.7012083088153,636.474077320098
"LP.01.19",4102.96172198937,197.376523682938,2351.31063756596,6791.6983623147,7749.25231502416,1824.63102296465,8282.53679035979,4533.27317506997,-3080.996179322,3088.71582421252,8330.55046733988,165.940503207626,-92.7116820767502,632.376767094796
"LP.01.20",3927.3369003746,204.383005307805,2533.61132411261,6969.99356570955,7740.75151721351,1708.17439455279,7633.53905628632,4470.14089368084,-3169.33802693666,3258.81565425707,7723.95896145576,146.906911022142,-123.3135195092,601.714140593551
"LP.01.22",4053.46443345663,100.595493800164,2324.25866503318,6785.92411978896,7574.03612438594,1610.19636216556,7170.38189402269,4490.33890490465,-3228.37686987659,2852.0648454224,7164.93340692232,135.761175317382,-145.638302296206,550.096126586752
"LP.01.24",4122.37592020611,279.894413134942,2442.66606209073,7041.61341476975,8066.12771157603,1806.49283712078,8558.86790511359,4546.83391944706,-3133.9494213444,3117.56640553897,8635.11481886634,160.995373197557,-82.9903687006369,630.716647466982
"LP.01.25",4079.86295810827,197.81626602223,2399.55303868353,6966.83532581443,8051.50118203818,1823.95883057758,8078.60713213634,4520.81007441062,-3177.95535471341,3195.36288781911,8142.59025736229,156.794054802111,-90.2430713692934,630.11276697495
"LP.01.28",4115.42502214403,239.687962168531,2526.79831454121,7002.92656303895,7691.93712360646,1772.01660363936,7967.43960950648,4659.37819367382,-3175.02744905441,3180.45548272795,8153.33063011181,153.015805580724,-103.11357266875,631.85802871561
"LP.01.31",4117.91134411018,186.289352539268,2398.40529904206,6895.75786990862,7755.37704940088,1768.54298671131,7732.8218060791,4585.77521936285,-3184.52747430919,3105.27027601603,7765.3404192236,131.616114405665,-62.0828897041425,602.938316739782
"LP.01.35",4014.65322797634,158.532513024803,2347.01074631615,6994.97532862492,8017.58934432804,1695.51679310993,8517.08528065856,4376.49552580612,-3078.00452906105,3183.44499207271,8570.84397336145,157.256565311066,-92.752132970604,624.470483595412
