"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"LP.01.01",3788.41820181289,105.565651876869,2065.9135508627,6518.98170609684,7394.66183946633,1563.19939218913,6790.74986872447,4209.55493693898,-3097.0364709356,2817.22981294194,6858.2626565841,169.924598417204,-134.193249430398,548.424979015441
"LP.01.02",3830.02167476682,93.3599784504031,2144.3976604564,6262.90255338472,6868.74293653796,1609.97606909475,6767.1219484876,4284.72385958073,-3125.16574005961,2831.70208209209,6917.33686725531,159.625764182408,-240.619563862234,575.549836914036
"LP.01.03",3860.93669371416,111.625993719444,2098.47037196547,6080.56323787629,6999.54718376324,1627.66132157804,7052.85798601014,4278.83412662538,-3084.8597100796,2775.45033177151,7146.79820588119,159.559017647971,-236.806532995081,574.710335773558
"LP.01.04",3699.25507137748,222.220315053182,2255.86899527992,6733.95424723086,7131.7386095489,1701.55496967341,7182.44593545573,4266.25454508798,-3113.224418996,2785.35858464419,7367.22909275389,147.814324729337,-158.868809851427,610.55231564853
"LP.01.08",3820.08445532771,92.7560315718124,2248.72771508251,6212.97454845728,7200.39684463851,1481.94771547557,6910.95368215396,4326.42273487053,-3159.44654443753,2928.01555441198,7090.63373382888,150.402492420904,-207.689016952885,586.843421314615
"LP.01.10",3633.84559147414,132.228890218147,2041.47898828417,6411.37093030796,7474.58733500731,1561.74206067005,7220.44742402758,4295.68127095792,-3033.40885391363,2814.56850788415,7365.04304445902,177.880267015465,-188.251942165811,556.904961957963
"LP.01.12",3809.71423192705,108.114898568267,2103.44415759725,6158.48370137568,7376.52341842353,1528.48584661935,6996.14789823886,4234.48296483016,-3107.23666821056,2925.17512054018,7121.96510621316,185.202494444008,-209.937083356857,598.970050500029
"LP.01.14",3729.44666513905,209.36828637548,2167.75741182611,6534.16657303711,7433.32696077418,1741.22521266907,7154.06902260059,4179.01059583882,-3095.07423236781,2827.51833245172,7272.33682091821,174.377751194838,-251.638568487538,587.767809935059
"LP.01.15",3766.62393771464,238.563585503375,2175.59303834409,6401.08013432867,7111.99118236163,1683.75386461513,7375.61897735352,4305.4534672649,-3058.6062787815,2887.65104557983,7606.74170662514,160.707182952745,-190.370567687111,586.611419357349
"LP.01.16",3811.55191427676,151.937878563163,2270.49797530357,6641.89949545379,7418.48866329504,1582.04739624869,7452.10570750722,4342.32588968324,-3070.07092616663,2864.87292369496,7672.37455397851,166.709723110851,-218.606773193127,613.071237670111
"LP.01.17",3545.43892512912,155.538937511723,2268.44674736359,6119.91591075779,7096.00931048306,1534.25229848047,6701.93344622481,4332.02902818658,-3138.74339480858,2977.57680251071,6838.7723725268,177.416391382639,-222.653023271639,594.580985274304
"LP.01.18",3722.74722924839,211.439850031762,2091.15928965394,6963.51411328659,7829.82497683321,1717.76181227049,7566.46643299009,4218.59688062673,-3085.51676817118,2794.66154853881,7778.85573959201,160.913546484205,-89.0629368318796,583.3550717507
"LP.01.19",3849.71163733493,152.26937697748,2108.19367527656,6169.29745865086,7096.32862651465,1677.25812394749,7303.37215495628,4322.97460901751,-3053.25369659921,2808.54890918655,7442.28481576857,180.035004836557,-236.391359041652,581.445522857172
"LP.01.20",3661.54972820518,159.1690431614,2276.23245953473,6314.43994732445,7052.2035742007,1553.36689419412,6627.40128010287,4248.21632536576,-3130.41725094056,2964.72251047073,6806.49030416098,164.039448050373,-244.396511283312,548.101496436122
"LP.01.22",3775.27676662153,57.1612615211163,2067.78349107748,6122.67276675007,6869.51640636905,1453.7001775917,6163.95797631487,4250.52949487232,-3197.58002724474,2554.46965803144,6249.77287205529,143.008878430535,-273.552015074814,496.763397242893
"LP.01.23",3823.27781182679,143.067270540012,2180.64478612126,6419.19581062953,7295.10736769554,1636.94814868299,7051.1629145439,4240.25852914214,-3074.17702168012,2896.85195523059,7284.40392620275,154.381988561695,-217.682346663259,574.45216469848
"LP.01.24",3878.22307102831,234.852886564113,2202.34417065563,6424.77544006332,7423.92145794572,1661.25778581925,7587.03657759376,4342.30865957362,-3121.60451054185,2840.29379713267,7754.63208890082,175.459627807112,-211.673647791315,579.802254224558
"LP.01.25",3840.12723747011,152.48289184597,2162.80543589049,6360.16169249831,7417.54434160327,1681.12254337904,7121.68170087495,4326.55300805203,-3158.25991575067,2922.90139832373,7275.75016033467,171.550528962834,-227.183311268122,580.976981384301
"LP.01.28",3859.09516931174,194.412970401453,2281.17212360115,6373.60999197213,7034.56403213864,1623.85580966592,6986.0722352973,4458.35713471488,-3153.63207419104,2900.26928009044,7259.5058031229,170.427959696023,-229.480573839709,579.285171068922
"LP.01.29",3701.4678961553,157.149292024986,2193.04472159391,6698.42647545893,7456.55863516011,1482.60466686006,7152.943563395,4382.13710187568,-3127.56748086198,2774.93377420449,7389.20057954104,174.527714054607,-140.280088374633,589.647903564308
"LP.01.31",3865.18893824152,143.004908266804,2154.31673509364,6268.60552266029,7095.63148608058,1620.53802642995,6755.56496900125,4373.9544464452,-3170.70859478101,2822.46417616883,6877.49242601706,143.609700708721,-201.416272931728,551.881813182316
"LP.01.32",3854.55444343485,77.3790199327939,2134.25313494609,6388.52092333453,6930.58883120859,1462.59385376176,6910.03637281149,4237.01284692937,-3107.48667889552,2844.57023389417,7097.69448246751,151.237962249368,-146.990853689388,563.967745195499
"LP.01.34",3734.32847538682,197.528090617482,2155.7259502167,6546.59436112849,7860.34611999201,1715.27583385677,7854.9832726444,4277.97053784098,-2993.71328427896,2859.31094775027,7962.23662715161,187.696119251915,-174.746978349935,598.785632413726
