"","Cluster_1","Cluster_10","Cluster_11","Cluster_12","Cluster_13","Cluster_14","Cluster_15","Cluster_16","Cluster_17","Cluster_18","Cluster_19","Cluster_2","Cluster_20","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9"
"LP.01.37",0.0899655288317815,0.488348366690858,0.296238076352945,0.0275833325075347,0.0177399386144316,0.123365448329167,0.032691965057988,0.0677584139314506,0.00978130617618389,0.264044454899676,0.490888998602362,0.0699961262036093,0.497073895795402,0.0518859053873914,0.309029826487508,0.0492279089279075,0.029664713386686,0.086780830352695,0.0344451085679555,0.25885716277528
"LP.01.38",0.132584126249123,0.300346240545431,0.20745224476735,0.03376406685837,0.0084934373277665,0.0845574941731829,0.0544727792837677,0.0977120330093338,0.00349503428066194,0.259053607936944,0.474134946749716,0.0840639037175458,0.661975570265789,0.100048918467507,0.309434214687696,0.0612960571056095,0.0203335996399681,0.112436834230296,0.0890236685146101,0.205344973966923
"LP.01.43",0.0974304970085989,0.281417781331855,0.359921459800999,0.0717145330485461,0.111589901554199,0.0441794194853338,0.0267453449450866,0.0362464258149978,0.0612791648113025,0.213645430327249,0.527730803833494,0.0332880524522331,0.137943473905956,0.0533162292124193,0.407770132683631,0.105326854884285,0.0940990288373599,0.0700712596249435,0.0445892289488362,0.160343383090252
"LP.01.45",0.144958530295464,0.450602569483516,0.23919664492948,0.0333232475721824,0.00647185094702985,0.0874499396415598,0.0386789222746137,0.0903553871011612,0.0195845192958461,0.327310048609088,0.391381404740973,0.0842721706663857,0.554951514796417,0.0474676840010724,0.294334704817155,0.0133024178968374,0.0293109347992499,0.0581690486009079,0.0789604690265927,0.243630945720988
"LP.01.63",0.0550670552785571,0.420392208385843,0.280838628105661,0.029894791764837,0.00307199490015034,0.274290040385271,0.0749536754768977,0.0772635828627683,0,0.291167682728076,0.538984329963843,0.0374851114071092,0.4714664707502,0.0433523789210796,0.0873518717459535,0.0412873158099079,0.0426363668868549,0.062331249398815,0.0535273673511611,0.281240199772638
"LP.01.70",0.112738241348973,0.296857650305966,0.30124494279739,0.0235653352414871,0.0152143137550934,0.0932607721840587,0.0508413076155689,0.0671333732817704,0.0139637077626398,0.284713599897989,0.55957613120757,0.0334268843974221,0.578621123378458,0.119900665102679,0.358464118279767,0.0526353660146781,0.0682759616288209,0.0792295808852447,0.0902548416116755,0.264455579341874
"LP.01.72",0.0795459093121789,0.383096702192274,0.204348020412906,0.0219036637809555,0,0.180549386929204,0.0735586829825415,0.098952570973992,0,0.351003168208253,0.505368851418571,0.0565614149671376,0.718618395243307,0.0269726011968911,0.156715712383517,0.0301316443859619,0.0386210912475421,0.0640066592222165,0.0223381675858254,0.242759539444854
"IP.108b",0.114823605176203,0.359323773414453,0.307497476531317,0.028433069933852,0.00667549911337145,0.150862368008089,0.060643677543374,0.0755200107985786,0.0954663398257987,0.254203461211037,0.466585107802699,0.0519923296893937,0.20685143017174,0.0967960000575346,0.312133164772867,0.0122976174467889,0.0358996714055047,0.100287816657147,0.0296077618955913,0.260967849776949
"IP.115b",0.143388781359623,0.261583323463368,0.194385609957181,0.0230481412950484,0.010601662617643,0.0954087371869388,0.0513783483349119,0.0932167491459525,0.0438272720933995,0.278798727510828,0.389529778001061,0.0713178439362274,0.668984248464275,0.11438425252685,0.335732110089849,0.0395656198316545,0.0373558102820015,0.086593879990285,0.125475583159643,0.241880744791112
"IP.124b",0.113170500185228,0.0891419470575447,0.302876378548188,0.0455959845061708,0.0226708106177146,0.0552530133033446,0.0221069044914001,0.0624689042610195,0.0757266617767479,0.194912257383596,0.502210216899313,0.0623838609677429,0.0660032602808819,0.0950664493925357,0.607413368084722,0.01988845416305,0.054082609267977,0.0540848712138438,0.134366848448619,0.203880518824157
"IP.127",0.182523481655345,0.261595958304535,0.136492811300909,0.0528697515575372,0,0.067556921091813,0.0803107051860022,0.111671394819287,0.0235218030377394,0.232633187120612,0.286101451087475,0.115437863858629,0.381155264863399,0.0766917229296915,0.387905603224902,0.0362185304943588,0.0238972290486383,0.0828750132826082,0.214007452218642,0.221129652410482
"IP.138b",0.121612627771397,0.34996378196722,0.327950613945079,0.0457113933972133,0.0518253319204907,0.0378966352697009,0.0381628937028644,0.0450302193445804,0.0534024121934799,0.232307506133573,0.318682050987475,0.0694495848055515,0.133917524857651,0.0786919718667758,0.518803901920749,0.0555202117987091,0.0439744945567384,0.102005586210657,0.0955987955255128,0.194996348985097
"IP.140b",0.160791182762982,0.219868335381796,0.250662762375847,0.0904242026993433,0.0510457070319534,0.0437906439501792,0.026511389244341,0.0622526090226891,0.0755374057467643,0.238343480305613,0.294842618681296,0.07092688305242,0.238788992900508,0.151173628897565,0.408434895672381,0.10516313610492,0.0412957226803597,0.0994246472431133,0.0293953935401726,0.173492384771521
"IP.197",0.139928916336143,0.229895916550505,0.189006004093176,0.0413437724209789,0.00707681206036245,0.0901918565073464,0.112821812407706,0.11432025027278,0.0103943376605471,0.304593974625675,0.394490174972577,0.0977073174413501,0.617630691457458,0.0319326972873928,0.301080191850646,0.0186927518349827,0.0261882125758843,0.0747840485010973,0.0924766352450597,0.229389646608766
"IP.214",0.127304337736205,0.0119231865529281,0.17304395062448,0.0560108723368758,0.0247870831791712,0.0877699346361754,0.0520917948387039,0.114183938585338,0.0459345629703555,0.228239037018658,0.358535661715414,0.0990643573768324,0.59631716362482,0.0726189757284112,0.319879136829707,0.0341071014068781,0.0282585800773297,0.103598683555494,0.111105419660661,0.192783395546806
