"","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","B_Subgroup_1_Iteration_1","B_Subgroup_2_Iteration_1","B_Subgroup_3_Iteration_1","MACROPHAGES_Subgroup_1_Iteration_1","DeconRNASeq_BPRNACanProMet_M0","M0_Subgroup_1_Iteration_1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_CBSX_LM22_Macrophages.M1","Epidish_LM22_Macrophages.M1","M1_Subgroup_2_Iteration_1","M1_Subgroup_1_Iteration_2","CBSX__CCLE.TIL10__Macrophages.M2","M2_Subgroup_2_Iteration_1","M2_Subgroup_3_Iteration_1","M2_Subgroup_4_Iteration_1","M2_Subgroup_1_Iteration_2","Epidish_LM22_Monocytes","DeconRNASeq_LM22_Monocytes","MONOCYTES_Subgroup_1_Iteration_1","MONOCYTES_Subgroup_2_Iteration_1","Quantiseq_Neutrophil","DeconRNASeq_BPRNACan_Neu","NEUTROPHILS_Subgroup_2_Iteration_1","NEUTROPHILS_Subgroup_1_Iteration_2","Quantiseq_NK_cell","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACanProMet_NK","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_LM22_NK.cells.activated","CBSX__LM22__NK_cells_activated","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","CBSX__LM22__NK_cells_resting","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","CBSX__NSCLC.scRNAseq__NKT_cells","DeconRNASeq_BPRNACan_CD4","CBSX__TIL10__T.cells.CD4","CD4_Subgroup_2_Iteration_1","CD4_Subgroup_3_Iteration_1","CD4_Subgroup_1_Iteration_2","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated","DeconRNASeq_LM22_T.cells.CD4.memory.resting","CD4.RESTING_Subgroup_1_Iteration_1","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__CCLE.TIL10__T.cells.CD8","CD8_Subgroup_1_Iteration_1","CD8_Subgroup_2_Iteration_1","Quantiseq_T_cell_regulatory_.Tregs.","DeconRNASeq_LM22_T.cells.regulatory..Tregs.","CBSX__CCLE.TIL10__Tregs","DeconRNASeq_LM22_Dendritic.cells.activated","DENDRITIC.ACTIVATED_Subgroup_1_Iteration_1","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_BPRNACan3DProMet_cancer","Epidish_BPRNACanProMet_cancer","DeconRNASeq_BPRNACanProMet_cancer","CANCER_Subgroup_1_Iteration_1","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","CBSX__scRNA.melanoma__Endothelial_cells","CBSX__HNSCC__Endothelial_cells","CAF_Subgroup_1_Iteration_1","CAF_Subgroup_2_Iteration_1"
"LP.01.17",0.0855564511604482,0.0981696519239879,0.077072085030289,0.666716596003591,0.0734527687312752,0.039804700882928,0.0153606016243259,0.0421842292143427,0.063752457305394,0.0585784186508061,0.302489036899491,0.185302656248872,0.0350609071650038,0.118353429512818,0.0139640516847602,0.0890378365882897,0.0769962744120242,0.0962016668623156,0.0429649463776502,0.0877250285775233,0.113641286254541,0.0597854740743665,0.00621449196297754,0.0309692984549763,0,0.0414241128315075,0.0391051976961977,0.0759449572033004,0.218156546397154,0.034596557761337,0,0,0.0579704911353914,0,0.0637266597140038,0.0154876997960662,0.0372351301012187,0.0435069380106179,0.00972167038467286,0.53627238483974,0.502365677649727,0.0524374290631081,0.124328204868417,0,0.163016693196437,0.308890671630099,0.0181354934150342,0.0736183577661389,0,0,0.0157122785310486,0.000720604091854705,0.0454145367365991,0,0,0.0575143609250403,0,0,0.507433541269152,0.807704220129523,0.492270038099853,0.15232633990759,0.100746081625932,0.0748628474020416,0.206746026768962,0.477712431658369,0.66715875680346
"LP.01.29",0.0900227838530268,0.0438610589291347,0.0988847920200679,0.658315156152796,0.192092208876327,0,0.062525562921552,0.0737944037585238,0.0524026715186086,0.0351989707111885,0.704871980580077,0.180328958177054,0,0.110795196321306,0,0.0564550608261703,0.0682563007811325,0.106841889616351,0.0309652113542051,0.0797800041390141,0.180216420328846,0.109804866825366,0.0399663433077398,0.214342721935734,0.0501997018497279,0.0422406312533851,0.0460151271178155,0.0986022775667608,0.159923561511845,0.0363637207703774,0,0,0.0728065823390448,0.00623676590045597,0.0540684117966605,0.0674284184312998,0.066713284080377,0,0.0187159659775117,0.197174756664084,0.0137144884649328,0.0302738876411658,0.1369904270833,0,0,0.189393595851101,0.0190697856050893,0.0620672455198642,0.193352342211978,0.0271313171745124,0.0145978169453296,0.0106701229087161,0.038821978294923,0,0.00638734823284015,0.0573007084782331,0.0373085483447451,0,0.494724089855408,0.899562710687082,0.368730820899299,0.508535077132061,0.115738131282428,0,0.215635500597034,0.336288038005655,0.580928510680963
"LP.01.37",0.0805127705416243,0.0425773287740004,0.0923358725209139,0.532999252812411,0.166823607022561,0,0.122781188602101,0.0758369225491862,0.162884093619784,0.150113215686531,0.826583517695184,0.247772752761732,0,0.105806675965929,0,0.113080387388174,0.0450815861257697,0.0299158529475397,0,0.0593294267733721,0.277561480923666,0.0833040837724731,0.0476563798863046,0.150412053528608,0.0175736848916806,0.0209385031528518,0.0606410387706357,0.089394826877287,0.175224101123597,0.0472702440800765,0,0.0242692347252697,0.0261244578582314,0,0.00889249768412605,0.0927272547826108,0.0749611791721564,0,0,0.061943511722636,0.0850604001626049,0.0360709532672797,0.0106701146682417,0.0205849438405713,0,0.21917187091255,0.00556402428132346,0.0463384567551431,0.194306708970213,0,0.0135073841638247,0.0122697159532466,0.022511621804174,0,0,0.027770784866267,0,0.0058067384452,0.497692695420986,0.951180848862845,0.490888998602362,0.497073895795402,0.113248647101716,0.0300880286890689,0.0419456397726142,0.416975235424888,0.77573308954504
"LP.01.38",0.0835836922415505,0.0584368983169905,0.111987959452772,0.608696212659557,0.147835547086458,0,0.125139686010092,0.0867411734864315,0.0708303210497372,0.012929903048053,0.587762578042809,0.0811262863485341,0.0321880340486381,0.109714811632389,0.0964904467596312,0.167932445729016,0.0861652258335377,0.016986874655533,0.0406845237574518,0.0406671992799362,0.166349602953478,0.0256183369652346,0.0561398479823196,0.119839568164181,0.0143244477119115,0.0210852878591978,0.0662259196098193,0.080074583534779,0.237694537592735,0.0753240863841174,0,0,0.0273707016917098,0.0295286263802581,0.00699006856132388,0.0650695526344767,0.0729984318541592,0,0.0282670518973581,0.241086448674651,0.0101722167158351,0.0654556103708472,0,0.0336226917638994,0.0737774113565149,0.378087953434865,0,0.0334963938310259,0.129609748884416,0.00085823457634839,0.0533414250123165,0.0081493490422773,0.0159090864727693,0,0.00170836199086493,0.1083646362052,0.0528991376512074,0.0370547948216283,0.472665447441815,0.962995530071022,0.474134946749716,0.661975570265789,0.156905485660186,0,0.198431195947914,0.260108158806282,0.671589812840403
"LP.01.43",0.0865901119921869,0.0830118583450049,0.0665761049044662,0.741345248637889,0.210901492528391,0.0596269605739184,0.0170359379326059,0.0202934778216773,0.0530620862172194,0.0404714140964237,0.522364148567287,0.370822624023398,0.118145107195149,0.0787349241654547,0.0347227866442259,0.076936829292253,0.0448167899517541,0.164250909379724,0.0262163858024812,0.128571097100801,0.132538258456002,0.0367160117355267,0,0.0710715233903214,0,0.0336789706467375,0.0427215755113601,0.0725475974264214,0.150556479795966,0.0106851671325698,0,0,0.0315938856736577,0.0268095144692526,0.0222146561417136,0,0,0,0.00242609696547749,0.15563734100819,0.0741950167293726,0.0167756976744226,0.100343673480891,0,0,0.270444219103857,0.0589288937286736,0.0948709838309946,0.100391598910249,0.172368578297897,0.0162418626587657,0.0468122709655456,0.0893120559098166,0,0.0624864569258763,0.0324210357550403,0.0441099864244762,0.0128053545765155,0.532366733386976,0.807769450343451,0.527730803833494,0.137943473905956,0.0652602084486058,0.00331456206662745,0.0763999852583923,0.447184425883806,0.535353571749494
"LP.01.44",0.0777515839374435,0.0490406390401961,0.0777553560076285,0.639174462883362,0.100989595943675,0.0110145926201857,0.0757449616278199,0.0733722974256942,0.104074772945046,0.182962189535462,0.870437650802807,0.498219726475995,0,0.108698480662793,0,0.124399095618165,0,0.0358128141906197,0.0061751199816336,0.0740656969623595,0.170261702948379,0.0563959852185216,0.0364992647361472,0.0868474525924259,0.00173520362035839,0.0275066750235148,0.0769960807464318,0.0988194118445383,0.21683877133438,0.0458271583340412,0,0.0271979351924826,0.0285868860564268,0.0256149246392248,0.0359812204825223,0.0162418697887963,0.0562172580822887,0.0687293672635636,0.0076761645673653,0,0.0682156537686739,0.0347333502956227,0.0129255328057103,0,0,0.184278205198637,0.0214784399171497,0.0599205039410998,0.0608081631903501,3.245821820569e-05,0.00767008014256358,0.014316457642693,0.0195253364167702,0,0,0.0136461359028018,0,0.0242405586454654,0.483010429893253,0.948202829807567,0.466555373418472,0.24595751296493,0.0900878508610648,0,0.01283248479267,0.548513145271547,0.865421828228474
"LP.01.45",0.0966295490234492,0.0829572701571752,0.111084171573027,0.568564922881204,0.0529489063342889,0.00712198458950751,0.0508606790875952,0.0904805645008436,0.00970315368092237,0.0335444017718385,0.867660737195194,0.148159815772563,0,0.126416205114784,0,0.059445781846042,0.104977653649249,0.0129437018940597,0.0147712801574135,0.0514998850089923,0.188392723060135,0.0444519487289787,0.0574601697597445,0.121301266976704,0.00123749991882925,0.0334274961669837,0.0562364860477107,0.099865494121746,0.226091108770524,0.0540553777126664,0,0,0.0321716742495982,0.0142636238982507,0.0334695311990063,0.110891338259511,0.0727195959457147,0.197481582976084,0.000530067575905346,0.224831244029622,0.0201044867531062,0.0602259562403671,0.00569950739268597,0.0246209354865341,0,0.204402053062499,0,0.0630795912153734,0,0,0.0656817409646318,0.0393962713617075,0.0483210119943694,0,0,0.0957753420852722,0.0147912874755343,0,0.375687776751021,0.96147100183905,0.391381404740973,0.554951514796417,0.155694273182928,0.00026076525306057,0.212576197353191,0.384617975199967,0.854686939509419
"LP.01.48",0.0731338130571567,0.0256562054350694,0.0909839657197797,0.633285424987964,0.135917772215566,0,0.207526448661498,0.0787821439835407,0.0663049553316082,0.0236052871579629,0.331641921196592,0.0539807963169784,0.0319571852142958,0.103415678354091,0.0591909596999904,0.196926178495567,0.101262762973505,0,0.0454001733371285,0.0737563425337596,0.181643579223523,0.237822374556728,0.0490913253197197,0.350832567445609,0.178127192417814,0.00371736151713595,0.0663012050894135,0.0866691486518542,0.239627766834275,0.0701540177083352,0.0266875861906388,0.0119002358546712,0.0839169142758512,0.03749809681021,0.0129072844811635,0.0167041940123846,0.0672183460784913,0,0.00147159392727436,0.133207125812975,0.0740194282249521,0.0510674989322362,0.0575777635680862,0,0,0.172904144511401,0,0.0568376630411607,0.123898313151657,0,0.00759176679251925,0.0185840979580825,0.000177514658247058,0.0123959225494382,0,0.13350718171257,0.0130727727358118,0.0168720075821812,0.478037011497581,0.953035191059986,0.472274546347226,0.647997501205462,0.139515547987282,0.00298347938660736,0.199548104236176,0.337859389520182,0.810512529690945
"LP.01.52",0.0463428745000147,0.0400661524671546,0.080706907696,0.789159886886843,0.354209541325639,0,0.140280771097541,0.086365157899771,0.0287673985712839,0.00947022760716124,0.572926254910685,0.40197500188189,0.065423404551499,0.104972606910335,0.260146468647251,0.192454640627227,0.0984086044333615,0.028565583186558,0.0331575463337604,0.0936096762149749,0.112283127204976,0.0943057787221252,0.0390699879462063,0.25731358062248,0.0200883890604336,0.03032507274496,0.0655301887815274,0.0842349453179131,0.161632355985863,0.0381185240344381,0,0,0.0126066810897327,0,0.0248398262301219,0,0.00761564101375723,0,0.00538314486370358,0,0.0542596313417372,0.0222262768418535,0.0146221335251728,0.00219178965695484,0.020894543262117,0.167360880047984,0.0173426867257729,0.0407501274654284,0.0977926103337878,0.0149689599998762,0.00297723922897755,0,0.0225393167331549,0,0.0145783124472757,0.0516311081779616,0.0261649768447999,0.0660265419728221,0.467662761716776,0.920181486102545,0.473857111088311,0.110886454831961,0.0903125918377496,0,0.0708323379400914,0.31384214013472,0.511996954599323
"LP.01.53",0.0780828414238735,0.0439174093848112,0.0778785829010015,0.536128636356805,0.0490877740118639,0,0.0777540077213402,0.0641199757420206,0.0610914447931863,0.00787481802873511,0.687718678952294,0.227572290730052,0.005600823228884,0.102236205822618,0,0.111523651239111,0.0607995883787382,0.0629582775221847,0.06890649729102,0.0512451618633395,0.190565162574676,0.0626965661202475,0.0401339862816114,0.105346075492502,0.037132899305256,0.0258423578647546,0.0588312805588304,0.0873415864929014,0.229069898564373,0.0442915841791248,0.0405887675796408,0,0.057733306451014,0,0.0852788977161526,0.184247393414861,0.074871072467237,0.27516692362097,0.00734692849406232,0,0.109443084026774,0.0473438768385654,0,0,0.062071910638462,0.305172564390132,0,0.0594275527586575,0,0,0.00972194611551215,0,0.0200569098063508,0.0172023133730827,0,0.0758831346062583,0.0414644223452751,0.0269744434106699,0.518680011028248,0.987587631654414,0.513460734592607,0.499574081079416,0.124754898672023,0.0895795584434197,0.243932821047435,0.477113005252914,0.858786513452763
