,Cluster 6,Cluster 4,Cluster 5,Cluster 13,Cluster 2,Cluster 9,Cluster 11,Cluster 7,Cluster 1,Cluster 8,Cluster 12,Cluster 3,Cluster 10
R3388_YZ_1,0.0097817949643247,0.257957626658528,0.259765251840621,0.0749484576255998,0.0591358990444941,0.0281110733757268,0.0386467156343764,0.33399148144874,0.354161699647526,0.082820460571384,0.131516881987301,0.400842116445203,0.0713839931789223
R3388_YZ_2,0.0068000261549291,0.222671332042631,0.224779100465137,0.244715051075899,0.0719151671612461,0.102911559584984,0.0011483345359043,0.254755378104508,0.399091249630044,0.0431493617439389,0.147786271228556,0.306873654826884,0.047401378883606
R3388_YZ_3,0.0042199642193111,0.255774160690413,0.172682212954321,0.114281852421325,0.039063031416163,0.0234459042238357,0.0081812036078012,0.128266133084862,0.33892030434443,0.117432505218693,0.170137056834211,0.485127393899767,0.0457975926069112
R3388_YZ_4,0.0246447311977387,0.284365412729726,0.269131953333355,0.282474562337931,0.0693991111574202,0.0774429425926746,0.03063624119142,0.35458623614981,0.37723303649199,0.0165983566951872,0.242941661605488,0.181314947936527,0.0499636427243703
R3388_YZ_5,0.0139538218868623,0.291636243119524,0.276324282669726,0.107776309267934,0.111255606117735,0.0842457354337964,0.0010516867550804,0.484822526835969,0.32249961947834,0.0382883948714368,0.0813502111545015,0.334224007584067,0.0328361563385828
R3388_YZ_6,0.0311664251733318,0.329154830869387,0.201692119580195,0.131119543840184,0.0588645648234196,0.0521879417637038,0.0360343342604183,0.455054059207036,0.256395053413671,0.0478905644840504,0.249675544016207,0.278164592372932,0.0635035707154971
R3388_YZ_7,0.0042693895963985,0.239678662398062,0.231364679137347,0.156464803418013,0.0539835078701445,0.0611566972518836,0.0166705707635323,0.112114063442206,0.366654711765874,0.0848211825093602,0.205935379394885,0.398451431355593,0.0468584881900039
R3388_YZ_9,0.0480544090647154,0.359246889850497,0.201165032370099,0.118523213435639,0.0804159123057687,0.100246704231896,0.0,0.077238550607743,0.330132201573354,0.0426561042450539,0.0223211837099532,0.483304865007417,0.0474232134665317
R3388_YZ_10,0.0044403369571223,0.240588150258048,0.234751277825663,0.108850336860826,0.0718077416074938,0.0537985133320618,0.0143211431820077,0.513966773887956,0.367964886577742,0.033617805550465,0.11870141365579,0.308116394434185,0.0809861424035398
R3388_YZ_11,0.0222446978969317,0.337484884437486,0.207048263700872,0.114765141784475,0.0499412311325848,0.0564393698412,0.0158392600546278,0.287425136997408,0.312485476538102,0.0536449506388267,0.173771439770722,0.299744595195401,0.105719622854719
R3388_YZ_12,0.0123581146087895,0.267210198076212,0.128732130227487,0.0912704430654691,0.0393564568777888,0.0381108053073987,0.0175256265181479,0.136971652534057,0.272392906305167,0.136136547897713,0.0366989975013864,0.604974577448985,0.0924828600093955
R3388_YZ_13,0.037358613932578,0.305930286790564,0.21772730468455,0.178349129320068,0.0595300076743253,0.040740495222923,0.113338821563623,0.142539341336608,0.27256223578258,0.109013265265714,0.156553917980034,0.358199302002092,0.0475211622617386
R3388_YZ_14,0.0870870668064155,0.265865103835714,0.263844927801855,0.277881868116235,0.109793198678675,0.0807182680094462,0.0144513426563354,0.206307034707043,0.339741866967752,0.0521157761997195,0.125936734565195,0.276806244750641,0.0704251506729304
R3388_YZ_15,0.0088747620608327,0.274909479763438,0.200655193368085,0.0775697780341956,0.0463276568953505,0.0166190604270864,0.0496114745076894,0.452596839540367,0.285697682641137,0.0442207521761625,0.261839459518669,0.424798484380693,0.0375185558349586
R3388_YZ_16,0.0259955622440453,0.214431232629236,0.291359098757774,0.154931282121248,0.11152608885359,0.0410285643394019,0.0133492245483334,0.413427400442164,0.367396218331292,0.0496095007166802,0.124127177825627,0.297345055014068,0.0343161104033503
R3388_YZ_17,0.0545973224884043,0.236817349440996,0.210487778383136,0.0623782413584029,0.0999997244300539,0.0610178991817689,0.0455387182066561,0.598876096966433,0.330378685793379,0.0427576811209407,0.0091283726723697,0.395653947347878,0.124042934884096
R3388_YZ_19,0.0138353646275153,0.344724325663446,0.185553324452007,0.129095760239449,0.0930256594141028,0.0827882152165876,0.0015846410387051,0.164917817326826,0.31897098464009,0.0664516718218237,0.0542896975795256,0.455298656531028,0.0118804494370502
R3388_YZ_20,0.0191377025489022,0.418673281482482,0.149991337096434,0.106180919888589,0.0319021362810229,0.0732345609016389,0.0132873682326098,0.0547028916888472,0.270894441097765,0.0855791531644901,0.076073360833742,0.509260531352408,0.0765757850701103
R3388_YZ_21,0.0174581096653467,0.219867833371269,0.280032738929951,0.151477349869186,0.101275738457128,0.062734651124515,0.0055844217261403,0.39741336799698,0.363266119654189,0.0193328845749383,0.12809162636887,0.323973974148383,0.0706996355641779
R3388_YZ_23,0.0012512777810631,0.287753319153699,0.215491177322067,0.228919312363109,0.0401029060022788,0.0321066646641518,0.0322056437426359,0.14318490437568,0.29099448401383,0.105215596821882,0.142116627244949,0.481553191283105,0.0477851612130851
R3388_YZ_24,0.0210753564888096,0.252576924263443,0.203789880860706,0.129226600714019,0.072880566606038,0.0633164430877956,0.0,0.31307285951315,0.374933944444969,0.0724766664834852,0.108195312859758,0.388750255451292,0.0643986568458362
R3388_YZ_25,0.0212526773956333,0.220303882696108,0.244583406784081,0.092558389955453,0.0768541928699587,0.059219140541051,0.0041997978201165,0.148511907375946,0.32243477150639,0.0703126034804561,0.124359303839869,0.484836969218114,0.0075323610586987
R3388_YZ_26,0.059541194891862,0.205631024700922,0.10902118183486,0.252594443236247,0.055576623851918,0.0249402222786883,0.0061154684841218,0.0736646736935423,0.419593031776576,0.152135033022003,0.0085433145540123,0.465618236540186,0.203958677201593
R3388_YZ_27,0.0236565878938119,0.242693586033178,0.227344865462188,0.175362269594613,0.108673545939293,0.0494179895803357,0.0240259410314824,0.231830317493075,0.420617991913083,0.0178399919051067,0.218593857987448,0.220526990795063,0.0833561510707253
R3388_YZ_28,0.0345875431185773,0.298023784005245,0.214085100825546,0.208138377173729,0.0797538022018299,0.0934959951066771,0.0,0.100247318147014,0.324850563028421,0.109306979303623,0.0122247823228214,0.45968313221516,0.0331161875853164
R3388_YZ_29,0.0277945756233205,0.305200024643873,0.303834006522646,0.156951230185983,0.0843302262295371,0.0784816862094717,0.0146016650139734,0.514383420111371,0.272507955601177,0.0323455323148363,0.0948142695726414,0.373393398379574,0.0835205644141764
R3388_YZ_30,0.0233535888545261,0.331226946988779,0.170052338947639,0.1773389594191,0.0472153221390374,0.0725725083870705,0.0288884505335229,0.0754175042913816,0.28617775977148,0.122608023218732,0.009821347336461,0.479780100258029,0.0520245480252498
R3388_YZ_31,0.030025540762704,0.282437194163974,0.254852971821744,0.0435916885644673,0.0509568981648288,0.0786872839167379,0.0205466900425507,0.587449028200582,0.238397406578137,0.153989728529959,0.0565855308449523,0.439994220324838,0.0502414160011101
R3388_YZ_32,0.0193736230529172,0.275274835107077,0.138326096568805,0.120758816593181,0.0390000587388549,0.039408519009031,0.073543223954227,0.217242345598685,0.30664976719488,0.11636414726956,0.130655922971533,0.526993184890981,0.196901693580442
R3388_YZ_33,0.0136222354290091,0.278822169328725,0.238705998702892,0.0531953718024852,0.0473157341148066,0.0630619729993649,0.0174210365499832,0.32960804554342,0.270884424094224,0.0591561092154516,0.201459278619133,0.428929715186604,0.110955369964528
R3388_YZ_34,0.0160885897431039,0.239736545827543,0.280283822766591,0.181397504172387,0.0724079804543297,0.0497202348605496,0.0394706378848589,0.342956410585476,0.320382009909761,0.03119303800145,0.175804207520577,0.348127683948206,0.116269543153288
R3388_YZ_35,0.0453176231533009,0.197667571045179,0.347420745655212,0.0586202364650688,0.120933436891776,0.0900355465213442,0.0,0.400043078275326,0.317622987280143,0.0348186042669058,0.165618049518218,0.368514351235485,0.0168707074052052
R3388_YZ_36,0.0194980652128625,0.29578094635167,0.208260788315085,0.0553837756181147,0.043433251758652,0.0527225907685659,0.0211082927202689,0.519586767579582,0.275236376725653,0.081485337998413,0.222078822260156,0.464961948224325,0.096875454608675
R3388_YZ_37,0.0227101092555286,0.240325872207874,0.148852936682273,0.180218905216981,0.0436745641373137,0.0344112191353571,0.0033955569717291,0.133205456100647,0.345694858436221,0.214724674725071,0.055767504548198,0.536845120542143,0.0
R3388_YZ_38,0.0583923331210605,0.234147607988334,0.244239437423502,0.151550047501473,0.106359821646213,0.104318631292417,0.0165537289223487,0.437581387951516,0.337172603095052,0.0455497859231005,0.0793190423426046,0.345896433456112,0.0387508869022441
R3388_YZ_39,0.0220141980725592,0.256668842880292,0.263911385627502,0.116059836171648,0.0826200447442655,0.0712076313412263,0.029887480040212,0.349440374697401,0.359823999832684,0.0238866760203972,0.146532294438071,0.371846065313647,0.0505447829068448
R3388_YZ_40,0.0323484386579152,0.401931076836531,0.19593900709932,0.210704895352198,0.121784511546534,0.103286239743265,0.0130226547249831,0.0,0.30434106710572,0.108797928963171,0.0388360017266351,0.315013399172189,0.021629534006072
R3388_YZ_41,0.0237186685004977,0.209084381638785,0.240909001946693,0.107843710744964,0.122440298406646,0.0319886768680143,0.0262002490711494,0.470929981912964,0.367345844458467,0.0114527305692294,0.102422348545129,0.296244187783813,0.0926998497152459
R3388_YZ_42,0.0402983556263316,0.337331827451832,0.281292182627995,0.0823963085640029,0.0516000060926157,0.0443971576093251,0.0315567837464237,0.257508665316175,0.330054991212245,0.0349549624842343,0.153418638904602,0.361926147525786,0.0469908053926559
R3388_YZ_43,0.0137108476020097,0.265253402246488,0.178369166234322,0.124810059789447,0.0562505102859477,0.0430152797967828,0.0283587473329175,0.249769478241776,0.33498002230572,0.0983921676067092,0.124995418064438,0.515974503329949,0.0543608324558969
R3388_YZ_44,0.0523115491516855,0.350909293768315,0.145943732650964,0.28870216129965,0.0583398594103793,0.0974314808422569,0.0,0.0759732674522019,0.314974054746703,0.0925924862623229,0.0118348338505996,0.418508493309795,0.078385814951808
R3388_YZ_47,0.0138572810321417,0.309167613239059,0.303937701918635,0.0941618238731034,0.0558721811777347,0.04308613342085,0.0091764705381377,0.249137416555257,0.296161359440523,0.0354517406724554,0.100923353847424,0.438173613076871,0.123155353062118
R3388_YZ_48,0.0178176647800134,0.350700144689036,0.216803470040551,0.047818720304472,0.0391751235049123,0.067915725654535,0.0248984466496946,0.223832244311374,0.293182595165674,0.066069534115805,0.0736427577214737,0.566248242091574,0.0287844555817595
R3388_YZ_49,0.0301696569875488,0.267697812401434,0.31154966641961,0.135644099830998,0.0893008149174757,0.0974728199380396,0.0441454734974115,0.212212959910043,0.354204938046143,0.0084309545876465,0.21209171101726,0.309911384483644,0.0747998656011891
R3388_YZ_50,0.0225970949591752,0.21150852336799,0.265584284463819,0.182307828236524,0.11942248872195,0.0638255690243666,0.0621087032982889,0.481861384689346,0.364521699284578,0.022718649179621,0.127008915024672,0.240423372604017,0.0950282810776621
R3388_YZ_51,0.0399743960848658,0.389179346984694,0.201410806749865,0.248311733835469,0.0741812315525882,0.103369066540956,0.0371588632329728,0.0075919403754486,0.283318938381229,0.0410746811686935,0.158887181701486,0.294432201442622,0.0819717550516364
R3388_YZ_52,0.0064746279099923,0.234946388338898,0.207913102396105,0.227095306285092,0.057333241872671,0.0394996749711657,0.0022810527565846,0.0614163024920103,0.38815600590099,0.101795083207669,0.0741157378430697,0.522610194585245,0.0789791305031189
R3388_YZ_54,0.0171370619439892,0.246238671940845,0.256396439923176,0.0632874682511331,0.0920007476643644,0.0531010700713156,0.0331430716918664,0.271424529418083,0.363352663150925,0.0561591009972176,0.0444358350611857,0.474588563989124,0.0249830390771044
R3388_YZ_55,0.0502004791156975,0.357623642544304,0.191995625177246,0.153864147167651,0.0754075370372878,0.111584219449877,0.0,0.134566830025855,0.28715835662852,0.134962594154394,0.0030540126782404,0.465517568915405,0.0238692756250811
