,CD4_VanIP_Subgroup_2_8,Cancer_VanIP_Subgroup_1_4,B_VanIP_Subgroup_1_7_2_3_6_2_7_5_6_8_2_7,CD4_VanIP_Subgroup_3,NK_VanIP_Subgroup_1_8,Dendritic_VanIP_Subgroup_4_6_5_6,CD4_VanIP_Subgroup_6_7,CD8_VanIP_Subgroup_4_6,M1_VanIP_Subgroup_1_4_5,NK_VanIP_Subgroup_5_9,Mono_VanIP_Subgroup_1_2_7,M2_VanIP_Subgroup_1_3,CD4_VanIP_Subgroup_1_5,Macrophages_VanIP_Subgroup_1_3_2,Endothelial_VanIP_Subgroup_1_4_3,Dendritic_VanIP_Subgroup_1,M1_VanIP_Subgroup_3,CAF_VanIP_Subgroup_1_3_2,CD8_VanIP_Subgroup_1_2_5_3,Mono_VanIP_Subgroup_3,M0_VanIP_Subgroup_1_2,Mono_VanIP_Subgroup_5
R3388_YZ_1,0.0072174212624495,0.448167280651225,0.119832498994561,0.475419997328371,0.0441105063528708,0.0123461686662,0.33399148144874,0.0677479726658301,0.275223646983728,0.0435872111529144,0.104485458219395,0.144050296528295,0.0401164382004329,0.0749484576255998,0.131516881987301,0.0386467156343764,0.0126349355985392,0.526460585906678,0.0174587599384884,0.0394993291287,0.126141592014068,0.0713839931789223
R3388_YZ_2,0.0,0.422500524280242,0.121105475268145,0.344924832396876,0.104633368533398,0.0136000523098583,0.254755378104508,0.02284213980502,0.156941675019492,0.0840664921505434,0.0992815505203555,0.262115900197654,0.0586751124557114,0.244715051075899,0.147786271228556,0.0011483345359043,0.121756627019424,0.456805634634276,0.035964913759882,0.0110312842008717,0.0752674392870062,0.047401378883606
R3388_YZ_3,0.0,0.456969433131477,0.0818258222693737,0.323907711188894,0.0214567147197479,0.0084399284386222,0.128266133084862,0.0545788882493496,0.45681690839395,0.0297400455323919,0.108057140287602,0.12124135986707,0.0224749515500784,0.114281852421325,0.170137056834211,0.0081812036078012,0.0171517629152795,0.513437879405584,0.0128883204290369,0.0698990908745671,0.164965919562818,0.0457975926069112
R3388_YZ_4,0.0106675897477254,0.500949718915372,0.16608572401591,0.400984777934036,0.137279128732674,0.0386218726477519,0.35458623614981,0.0677811065440803,0.106805380349357,0.112971042882293,0.0464885169230571,0.262348887993847,0.0195795727008185,0.282474562337931,0.242941661605488,0.03063624119142,0.0419148423030562,0.255824515523698,0.0225320367555321,0.0216763982221597,0.0115203151682148,0.0499636427243703
R3388_YZ_5,0.0116080083479491,0.475770960439393,0.185668584203374,0.484091481461843,0.0685570838776085,0.0162996354257756,0.484822526835969,0.107501525799654,0.199877084396817,0.123753392907373,0.0869222701679589,0.0388848176439533,0.112179484643039,0.107776309267934,0.0813502111545015,0.0010516867550804,0.0447380779602198,0.468570930771317,0.0359187495067931,0.0,0.0765767897428735,0.0328361563385828
R3388_YZ_6,0.0,0.571965728430836,0.151343834091473,0.348127586020882,0.0552566531395076,0.0623328503466637,0.455054059207036,0.0863439333079378,0.195485985731088,0.0705142709373944,0.0632104661820745,0.0133815589983172,0.0101026087855087,0.131119543840184,0.249675544016207,0.0360343342604183,0.0338616125900132,0.360843199014776,0.015147251593277,0.0285621536409337,0.0672189753271671,0.0635035707154971
R3388_YZ_7,0.0,0.433556672909699,0.0964538812810338,0.410568797727039,0.0521605605476547,0.008538779192797,0.112114063442206,0.045800651886425,0.335209332861225,0.0971480049698289,0.104038540712616,0.160139802004872,0.0455048473910041,0.156464803418013,0.205935379394885,0.0166705707635323,0.0251653895339383,0.461693529849961,0.0199917949383957,0.0603133785383214,0.109328986480399,0.0468584881900039
R3388_YZ_9,0.0085244404358703,0.636529074447268,0.154469067780128,0.385882333296637,0.0164477314435601,0.0875843776935605,0.077238550607743,0.0819647052537267,0.442127978960159,0.0781444248342705,0.0987143358108126,0.0213928891635129,0.0643476049306596,0.118523213435639,0.0223211837099532,0.0,0.122348983629521,0.524481751054676,0.0224310642065186,0.0219903878975371,0.0633218205925708,0.0474232134665317
R3388_YZ_10,0.0,0.423452708187068,0.147086823438245,0.395778057905892,0.0737244977454342,0.0088806739142446,0.513966773887956,0.0577235923290272,0.139931256004435,0.0791076937788385,0.107812719911373,0.144393176213385,0.050654129889157,0.108850336860826,0.11870141365579,0.0143211431820077,0.028489332885285,0.476301532863936,0.0176822714950795,0.0273385590758917,0.0398970520250384,0.0809861424035398
R3388_YZ_11,0.0021246229687925,0.565015618152955,0.113735307347131,0.308010196943388,0.106086330458356,0.0423647728250709,0.287425136997408,0.109954150722017,0.148589313875041,0.0815757863057596,0.048724546573827,0.194568664941036,0.0248495690891868,0.114765141784475,0.173771439770722,0.0158392600546278,0.0313029533766404,0.45089987651576,0.0112388169614365,0.0412505456601454,0.0660393556175079,0.105719622854719
R3388_YZ_12,0.0067845125968309,0.488574981387914,0.0812281074144559,0.211138382521726,0.0463258779332474,0.0179317166207481,0.136971652534057,0.0458454147645102,0.58205761771021,0.0541157360311082,0.0580578604251869,0.056913371301984,0.0258889992141651,0.0912704430654691,0.0366989975013864,0.0175256265181479,0.0221058745836892,0.627891537187759,0.0109522640047455,0.0605758541652572,0.211697241630169,0.0924828600093955
R3388_YZ_13,0.0116153353438744,0.549664724846664,0.127814262209791,0.404711480286837,0.0307431290822624,0.0631018925212815,0.142539341336608,0.0621958487344634,0.330069862021332,0.0814809904458461,0.0889301645454844,0.112229030367358,0.0370637065852991,0.178349129320068,0.156553917980034,0.113338821563623,0.0,0.386328741982853,0.0137120542278858,0.167252079127361,0.0507744514040675,0.0475211622617386
R3388_YZ_14,0.0,0.487869632708635,0.161517145947959,0.450000140420737,0.0776897151829733,0.174174133612831,0.206307034707043,0.0438605749627931,0.29738363164687,0.0960496292869898,0.0919732158661566,0.0919865899604628,0.124765136249446,0.277881868116235,0.125936734565195,0.0144513426563354,0.0653869067319026,0.256228857854411,0.0430973138386201,0.0062376902969717,0.0979938621024673,0.0704251506729304
R3388_YZ_15,0.0121648104815864,0.496080749318189,0.112434004042282,0.348698113822443,0.0526122729137264,0.005584713640079,0.452596839540367,0.0537382102086872,0.339520106800059,0.0002802573966157,0.0925013429274846,0.0859664117941556,0.0110620702999974,0.0775697780341956,0.261839459518669,0.0496114745076894,0.0329578634575571,0.510076861961327,0.0154868963437722,0.0715794889796824,0.0168620153726426,0.0375185558349586
R3388_YZ_16,0.0,0.390456426513951,0.187947023793229,0.53264409412095,0.0500741033945988,0.0519911244880907,0.413427400442164,0.038406038744521,0.244481539949218,0.0608408867774488,0.0821950416020383,0.0884215253288165,0.125231526040272,0.154931282121248,0.124127177825627,0.0133492245483334,0.0212162419013549,0.350208570078918,0.0213997167272696,0.0058229094346048,0.0933960919987555,0.0343161104033503
R3388_YZ_17,0.0347058076221886,0.412652668948267,0.155445438219447,0.403181360927977,0.0177941958382952,0.0744888373546201,0.598876096966433,0.0609820299337245,0.254039729040916,0.0910648511726067,0.109364246546335,0.0266046541564707,0.127859775491823,0.0623782413584029,0.0091283726723697,0.0455387182066561,0.0309709471909312,0.537268165654839,0.0166939595788916,0.0264039365149226,0.0591114257269587,0.124042934884096
R3388_YZ_19,0.0152035314508447,0.573188857589028,0.18116746596824,0.342853769117074,0.0282528797869405,0.012467197804186,0.164917817326826,0.116259793737863,0.40526282523306,0.103769992052385,0.0591883281132181,0.0233170780097216,0.0702082918910608,0.129095760239449,0.0542896975795256,0.0015846410387051,0.0618064383807903,0.505334487828995,0.0277012203830076,0.0288655309671964,0.104037812676451,0.0118804494370502
R3388_YZ_20,0.0149090330067353,0.73532417387222,0.081998010180995,0.289335027755977,0.0106476464368903,0.0233663720910692,0.0547028916888472,0.102022389092743,0.393065220538798,0.0832976618006575,0.0725703284861935,0.0405428321445817,0.0023227745325444,0.106180919888589,0.076073360833742,0.0132873682326098,0.0631714600026204,0.625455842166018,0.0113856241295293,0.0778275028502227,0.0933308034787574,0.0765757850701103
R3388_YZ_21,0.0115080494872605,0.409489572480089,0.220404628643326,0.455971036619363,0.104094441240539,0.023408169843433,0.39741336799698,0.0302460942624497,0.218880277592433,0.0665081728834026,0.0849432934255272,0.0771198091584672,0.0641709102728202,0.151477349869186,0.12809162636887,0.0055844217261403,0.0589611293656274,0.429067670704334,0.019251676455237,0.0059261374220071,0.0327396317278695,0.0706996355641779
R3388_YZ_23,0.0004072836026034,0.470578937240704,0.0985991990079705,0.39537501120768,0.0356073434364535,0.0020952719595229,0.14318490437568,0.104927701066694,0.539026997883379,0.0443503504657491,0.0748147153142234,0.100554139562467,0.0160324248198682,0.228919312363109,0.142116627244949,0.0322056437426359,0.0198629788625544,0.42407938468283,0.0056770941789976,0.0494560484678098,0.160975145175955,0.0477851612130851
R3388_YZ_24,0.0,0.457994257907785,0.157615276778178,0.37713986158915,0.0304399001322625,0.0421507129776192,0.31307285951315,0.047159590619102,0.286393552947387,0.0801039215241446,0.0918369089400625,0.196150950951104,0.0422327093472759,0.129226600714019,0.108195312859758,0.0,0.0465289646514467,0.491106957955198,0.0187937136926601,0.0428338189110385,0.102119514055932,0.0643986568458362
