,NK_LungPredict_Subgroup_4_10,M2_LungPredict_Subgroup_2,CD8_LungPredict_Subgroup_11,B_LungPredict_Subgroup_3_4_10,M1_LungPredict_Subgroup_3_4,Cancer_LungPredict_Subgroup_1_3,NK_LungPredict_Subgroup_8,CD4_LungPredict_Subgroup_4,Mono_LungPredict_Subgroup_6,M1_LungPredict_Subgroup_1_6,CAF_LungPredict_Subgroup_1_4_3_2,NK_LungPredict_Subgroup_2_11_3,Dendritic_LungPredict_Subgroup_1,CD8_LungPredict_Subgroup_1_12_15_4_13_2_7_3_6_8_14_6_4_7_13,M2_LungPredict_Subgroup_1_4_3,Macrophages_LungPredict_Subgroup_1_2,M1_LungPredict_Subgroup_5,Mono_LungPredict_Subgroup_3_9,Endothelial_LungPredict_Subgroup_1_4_3,Mono_LungPredict_Subgroup_1_2,CD4_LungPredict_Subgroup_1_8_11_2_10_12_6_12,CD4_LungPredict_Subgroup_3_14_13,CD4_LungPredict_Subgroup_5,B_LungPredict_Subgroup_9,M0_LungPredict_Subgroup_2_3,B_LungPredict_Subgroup_1_7_8_5,CD8_LungPredict_Subgroup_10,Mono_LungPredict_Subgroup_4_8
LP.01.01,0.0074084828417886,0.0694521133525153,0.0330486098369166,0.770712402523509,0.0271921118682508,0.544702886141637,0.0548025191744651,0.419460319632143,0.0033541584930067,0.36646232579524,0.416899090676011,0.0312785236114351,0.039649910396705,0.004402515906174,0.165054912616499,0.26909426336042,0.358391167194781,0.0603464505452286,0.0649432131367046,0.0637566756666314,0.0646607211883598,0.043915741762062,0.0076833239654165,0.162809468551474,0.0479150918603115,0.0430223901317138,0.0178301385135816,0.0726386051386591
LP.01.02,0.0125593043370993,0.0618174615345958,0.0824615353505788,0.654705128861372,0.0219543412232364,0.531482432734119,0.0123456110539942,0.339194054494099,0.108692108602952,0.417382837644039,0.399667234582386,0.0320519970317242,0.0189146757996684,0.0081235322012841,0.137147486164939,0.22879545267226,0.235327225162861,0.142860854884087,0.16499631254647,0.064487634467653,0.0870325554262084,0.0412617663948968,-0.0004771613934918,0.22620512573902,0.0927900168814194,0.0373460321114256,0.092970493405277,0.109966710159315
LP.01.03,0.0119476402574278,0.116246732343002,0.0360960340674701,0.711113188160396,-0.0061434561879911,0.486791904615242,0.0206893081687705,0.259354137848827,0.147851954292885,0.358860214057049,0.286214032942261,0.008585124868636,0.0736559783258553,0.0085171938516631,0.156945144987678,0.278298250913688,0.264825294127541,0.100596707069401,0.139402721507513,0.0885903867519219,0.0404590057838394,0.0316682302346441,-0.0004771613934918,0.192777740818778,0.0122337533529242,0.0447637169823548,0.01465567283067,0.0986986281735731
LP.01.04,0.0357133715355376,0.043182514557029,0.206289088886825,0.495388234543234,0.0251147581170277,0.756666885526769,-0.0117449042705805,0.249544835758108,0.0033541584930067,0.385070807486548,0.567918903654441,0.0396601282494847,0.0491277010315753,0.0158274230262724,0.0394053289347088,0.0964770512641639,0.307532788528951,0.154042773033384,0.0521607564389971,0.0811283763908883,0.0179530765481511,0.0966288571105853,0.0076833239654165,0.211406647527189,0.0601157404359556,0.0288046205925877,0.0546751453096938,0.0707107205430528
LP.01.08,0.0128096908297976,0.094177602074007,0.0355763767293171,0.649622806657842,0.0247610570371601,0.622686321545866,-0.007377266330943,0.190854058565723,0.0033541584930067,0.414715440011165,0.527304595601967,0.0159823903307189,0.0361980360956097,0.0123545496871872,0.0351201414970662,0.192228509746359,0.41882775344823,0.109483045148465,0.0535900208328075,0.0714302937577099,0.0407012771642874,0.0508882669962648,0.0076833239654165,0.203082683035728,0.0696217512754888,0.0592257321050125,0.0192540508413468,0.0319261652776175
LP.01.10,0.046985827123119,0.0700663828166247,0.07459518647113,0.645872208227624,0.0515946307043231,0.571971089820423,0.0583323245519229,0.365791072945791,0.0033541584930067,0.444077102988682,0.475178968130139,0.0260959709622225,0.0535932565210222,0.0144871842912264,0.102693010568996,0.209910575471472,0.351508757646517,0.105094875777517,0.0568388800309768,0.0821859583837367,0.0464606300546238,0.0468155958076353,0.0100129817068937,0.119881925788861,0.0514690462564469,0.0264389011348294,0.026058043342103,0.0959474661227988
LP.01.12,0.0207947958252804,0.146245538723627,0.0168907719464467,0.696666711418991,-0.004476941066456,0.488259058708693,0.04259435996098,0.197758957234782,-0.0077354618109923,0.545357016830096,0.382366506776723,-0.0078964116347899,0.0236542009291169,0.0200507331184922,0.0861265886131597,0.271901764278956,0.259562668459733,0.103569583171826,0.191088395056986,0.0943203618229235,0.0783032115509231,0.0219967513424751,-0.0004771613934918,0.119474251624685,0.0962373087465832,0.0300523624056801,0.0174803850304961,0.0857457109319252
LP.01.14,0.0175128246371659,0.0693940958662299,0.126271836523274,0.62455628051709,0.0494922596683763,0.602181465821811,0.0267217688366658,0.248739536529044,0.0033541584930067,0.477096123096912,0.449754589591454,0.023669663823248,0.0315791668685128,0.0485294702181593,0.0300989491577656,0.216850277137004,0.421580575209427,0.109305311415925,0.0399737559593944,0.0831978751176604,0.044967676355212,0.0462073045024832,0.0178502722900887,0.177311545423167,0.0457773862678119,0.0825712130681021,0.0242086387446937,0.060294341826517
LP.01.15,0.0541264559974779,0.0443688322292394,0.154041625788911,0.486842584756867,0.0258110818718379,0.627776045156913,-0.0137998288656043,0.257883880799166,0.0287100497853977,0.372114037829663,0.476915846865705,0.0718946008654164,0.0370975019118873,0.0060555623300833,0.103502543452927,0.162013022932468,0.275786085921964,0.24432449555795,0.138556150473567,0.0706003250451633,0.0402657144974921,0.0695846747324101,0.0076833239654165,0.285849194349882,0.0708200971753583,0.0348326473982295,0.0707371216398399,0.035255647826917
LP.01.16,0.0119476402574278,0.0750958309727492,0.0845192426171395,0.662154365169467,0.0291720499778776,0.605858042832671,0.0451213077492754,0.234853917390436,-0.0077354618109923,0.495284482065959,0.501583074048596,-0.0010986720842131,0.0100115520330136,0.0434479631603693,0.0408194349770731,0.216991013081038,0.471078304693698,0.114827979258343,-0.0008498658191116,0.100812280290431,0.0256680936240118,0.0335702849716733,0.0289142564444176,0.190772308986457,0.0604352255294794,0.0498509601414332,0.0138114913648833,0.0030382862878744
