"Gide_PD1_10_Post" "Gide_PD1_10_Pre" "Gide_PD1_11_Pre" "Gide_PD1_12_Pre" "Gide_PD1_13_Post" "Gide_PD1_13_Pre" "Gide_PD1_14_Pre" "Gide_PD1_15_Pre" "Gide_PD1_16_Pre" "Gide_PD1_17_Post" "Gide_PD1_17_Pre" "Gide_PD1_18_Pre" "Gide_PD1_19_Pre" "Gide_PD1_2_Pre" "Gide_PD1_21_Pre" "Gide_PD1_23_Pre" "Gide_PD1_25_Post" "Gide_PD1_25_Pre" "Gide_PD1_27_Pre" "Gide_PD1_29_Post" "Gide_PD1_29_Pre" "Gide_PD1_3_Pre" "Gide_PD1_30_Pre" "Gide_PD1_34_Pre" "Gide_PD1_35_Pre" "Gide_PD1_36_Pre" "Gide_PD1_38_Pre" "Gide_PD1_4_Pre" "Gide_PD1_40_Pre" "Gide_PD1_41_Post" "Gide_PD1_41_Pre" "Gide_PD1_42_Pre" "Gide_PD1_44_Pre" "Gide_PD1_45_Pre" "Gide_PD1_46_Pre" "Gide_PD1_47_Post" "Gide_PD1_47_Pre" "Gide_PD1_48_Post" "Gide_PD1_48_Pre" "Gide_PD1_49_Pre" "Gide_PD1_5_Pre" "Gide_PD1_50_Pre" "Gide_PD1_52_Pre" "Gide_PD1_53_Pre" "Gide_PD1_54_Pre" "Gide_PD1_6_Pre" "Gide_PD1_7_Pre" "Gide_PD1_8_Post" "Gide_PD1_8_Pre" "Gide_PD1_9_Pre"
"ADNP" -0.767095112472378 -6.17643269485673 2.92957494448079 0.435412037072216 -5.70233338465093 -4.9676307921523 -0.256649777634334 1.0834053970892 -0.607276450370587 4.81492461091994 2.66377571783316 2.07200106707225 -2.14554283221839 5.51505556552165 -0.983467485018898 3.0954009960501 4.17675953217636 -0.388465892022262 -2.78418335815657 -4.65915539342997 -3.05778193010996 0.728200704962303 -0.32859980267478 -0.691980498597936 2.32161653159655 -1.36283161882178 5.29051331595437 0.77171359887306 -0.850939318855508 3.50524107179356 -1.06137387362261 1.84631879624657 2.44935488624799 1.5761390108136 -1.28600800668103 -2.18963459143853 1.24811615125853 3.19209387324151 4.95099758853222 -2.92424749344765 -5.00456967259091 -1.02868357646438 -1.13659987316677 2.98551171747987 -3.24617083376631 -0.320973982125467 3.18242046087788 -2.14745970710452 -3.05573164452013 -0.440330390852289
"AHR" -0.625016195842668 -2.13472653662436 -1.48136065778534 3.43249370821523 -2.6563882839561 -3.83396772202329 0.277785965254064 1.01030845743681 1.81148256698689 2.62887848455426 2.71040124542429 2.21241410174754 -1.85881662369553 4.242636788371 0.706166561889329 0.930276021505655 0.0705064122148318 0.239206716145386 -2.58876005454827 -1.77728378291512 -1.73264526005292 -1.09159695984995 -0.435812980736059 1.55576124246787 0.316007376042599 -2.26038431047697 1.85697442748619 -2.50030870228214 1.90735095516981 2.38306846660163 -0.799910770301018 2.9570388838277 -0.304884913327612 -0.256680684985598 -2.55709115390736 1.16502334862642 2.24175560098384 -2.29025405188641 -0.501219473017802 -2.5012377369904 -1.68122382873093 0.705346446356639 -1.80686450565304 -0.0611629396788383 -2.09471498719519 -1.0456578842088 0.604981913457907 -0.23277512097013 -1.39942611104716 1.78681391287042
"AR" -0.0784536490048818 1.4129233408517 -0.497578990581591 -2.35258500409373 0.772448184546254 -0.198829603454369 -1.06159238335103 -0.348507553874382 -0.173321249580625 -0.0618321971468402 1.10168790454512 0.569095744172216 1.4554554175995 0.975374889796615 -0.322910874124845 0.523939027462077 -1.3443797534933 1.41267845018034 -0.383487387285345 -0.891325736204496 -1.03346533692586 -0.258429963502233 0.854074540797737 -0.496111067332287 -2.17113363231403 0.428757175974927 -1.49241106827248 0.708189719733013 -1.36300766762808 -0.153797089488523 2.35819192961292 0.999857454733938 0.377034168546568 -0.633427094094221 -0.652498263245343 -0.272012458328038 -0.287281558907003 -2.07260448908896 0.259863774868575 0.552157082885022 -1.87227730607255 0.470808024157033 2.50958814029337 -2.22751522021432 1.48273860749386 -0.695826051022567 2.44698464255285 -0.00694652820654635 0.770503350856923 -1.19428178307482
"ARID2" -0.193608839557519 -0.763078738582826 -3.62009522565964 0.590299102441935 0.614084007620207 0.420912233685086 -0.683040036499349 0.561918910421838 0.156174765728868 -2.40425554636582 -7.39358784258509 -2.67093158577877 -0.692826369670622 -1.75488533881355 1.8424625164599 -3.84291613528082 -3.54034962209019 -2.19557669587826 0.178365351454613 3.29007396971387 1.86877152021114 -3.46191220703763 -2.45948017453297 1.46066765440703 1.13387972893196 2.31952925319323 -2.33009287102797 -2.87877954426862 1.76637745506808 -0.264636182238855 -2.10998836866959 -1.6218394456481 1.80762868130392 2.6751257658003 -2.90087148556957 4.92682354671626 1.50578293745517 0.514995562312773 0.200173978705721 -2.01911432088756 1.53866502433171 -0.144262070186304 -2.0504007612183 1.98698538469642 0.576657668098644 4.76025787066968 -2.55589566632295 1.93715915918259 0.254762258932787 3.01480458419523
"ARID3A" -1.27447736579209 -2.52949026039026 -0.213942708398247 0.611243318612132 -1.00761511277318 -1.02636291635819 -2.1041565405815 0.418187875638862 -1.35561417559525 2.25671408188886 -0.149476982989565 -1.50388147081618 -1.77233861393817 2.14840218919888 -0.268255610696488 0.124346072315914 1.86007458741178 -0.394811189002312 -0.784105666662624 -1.53407921022296 -0.132823076841261 0.249818936186111 -1.9849272598164 1.52087063020048 0.349278639929908 0.401735119067026 1.04362690452375 -0.303440763236616 -1.18903659203958 -0.374823938940588 -1.87364179963637 0.481699561352634 2.71000923979222 1.90639185706342 -1.57221786026606 -2.24001821072974 0.245821221533241 3.12795448937824 4.2380542835324 -1.18213657784805 -1.38936316356104 -0.712117718554437 2.21041153628481 3.45875174973329 0.0695077975158775 2.32349428586096 -0.186664631955466 -2.45580004745592 -1.96662492424082 0.349988369303132
"ARNT" -1.12050501395731 -2.00460124731573 0.727749102331536 2.75401740863523 -2.40360451956151 -1.16814097080865 -0.65378936253042 3.06982138996337 1.03737572312057 0.158086547590545 -0.531633184800599 1.55078642226159 -2.40789211525374 4.62334932854119 1.26087126817965 -0.403464637124397 -1.35269953590872 -1.04077448713225 -1.73603837383704 -0.407348611542942 -0.158995172834668 1.34946580260268 -1.20566778040086 -0.517237968033221 0.889316284705784 -0.889274406120692 1.51033784407229 -1.58817650118692 0.0312849664548 1.76001338894764 0.431638761560401 1.79392558593746 -1.63630547206163 0.934723946042555 -1.60047712210485 0.994239664995129 1.29046987132064 -3.54204011176872 -0.823312932458277 0.129085275623634 -2.1576492410338 0.692163010694328 0.161119225216466 0.363893638584592 -2.74056692720359 0.987684472896274 -0.458926963332694 0.679210876558071 -0.13174325979433 0.429901435485548
"ARNTL" 1.2928695983249 0.400914419472412 1.05458141576185 -1.27151912455559 -2.43254554333367 1.21688148323229 -1.13072754451894 1.69197184070841 -0.361317294754223 -1.84151377619004 -1.88626158373034 -1.24368016108059 1.28651874029909 2.79380364419438 0.885032753579427 -2.27248357317619 0.707117624261611 0.383260841387244 -0.0783102274080212 -1.82455246037255 -1.26997784774757 2.64430799317638 0.932846500864242 -1.99130670869952 1.35243213317148 -0.136558941281068 1.11894554190989 2.59563293491968 -2.20739721385939 0.00834215366505549 -0.372036932511137 0.351316253900989 -0.9875763988736 0.674357650295058 -0.113457802473627 -1.00187163331434 -2.15468341302277 -0.777908039981145 1.78842049293405 -1.00767823856775 -1.53648593825528 1.03943708039533 0.647340471660421 1.08265536428583 2.858526567546 0.0366911428544144 -1.86511076110977 -0.623587163733418 -0.245892183047489 -2.18408527887824
"ASCL1" -1.36828946079485 -2.04561429401367 2.03972913256329 1.91450435917337 -2.30959484672548 0.211272240282678 -0.433453675832372 2.77639825546656 1.31576082369533 0.883045668618606 -0.0359510233855542 1.15571149767004 -1.58202953253472 2.94234274527194 -2.09861039236735 1.71928093097766 1.96427726530858 0.555602076036767 1.60565007906705 -1.33884441903868 -0.56085437196621 0.868866636965412 -1.33595343440127 -0.0102412247309668 1.51442622459795 -0.952603376463233 1.76951546198766 -0.256927930080102 -1.2681177680359 0.554192987307918 -1.36275045387142 2.42519716699518 -0.0519292762972593 1.49808051864275 -0.995778979508746 -1.57524597991623 0.3503901863817 -1.19432012458669 1.93458297070595 -0.0876281613637948 -0.72677704667135 0.0290227533800763 -2.54734517797077 1.06812000675462 -1.26997975218461 -0.952656574560614 0.0121647129092004 -0.978320256281213 -1.29538204282074 -0.462801643900028
"ATF1" -0.314533878534097 -0.7428017096142 -0.123047029089956 -0.643339947987661 -0.278140002026522 -2.06450658800511 -0.803373125731839 0.0294088948866229 0.023449175492775 0.660905677076627 1.91714815350881 1.75265221978186 -0.0757930628668437 0.442582986246848 1.8735605011521 0.820124765698943 0.719209916114744 -0.54623287679351 -1.69872384315182 -1.20583707602073 -1.57437725655987 -0.447201523139644 -0.0146260468363047 -1.30321088687004 0.631840170527713 0.163257549512459 1.60284138055156 0.846635850119172 1.33940650271649 0.191500181472711 1.5436013059095 1.29139608207562 -0.940088990582908 -1.44152332656016 -1.18954900502987 1.70367400524503 0.828349040287033 0.756334970367476 0.773326504235762 -0.81485857678135 -0.469110379350452 1.72639184941589 1.36357259798549 -0.81972441859245 0.168375658801069 -1.09285180676163 2.26299135388754 0.186304594364685 0.295976364790584 -0.511658768195486
"ATF2" -1.46490775617643 -2.17429644526979 -0.6379059473695 -2.05424815174196 0.122238248993443 -1.98952593454275 -0.165629216953043 -1.65238122406901 -0.847879386031688 2.72269103360854 0.558306954770117 0.213358985416002 0.377216441332376 1.83079328937369 -0.565701984575145 -0.051229152888515 1.13310498895376 -1.9076839640455 -2.53122988830971 -1.81899218753602 -1.33782703510419 -0.757317704896271 1.76357018204459 0.87845830615175 0.238714961678896 3.79196042529589 1.72655349093449 0.497053996338452 1.02691086585832 1.07296780951675 1.98120588349499 0.514471867093898 -0.424151477769131 0.0981973976816286 -0.579028809480494 0.575883661899692 -0.846876899997646 0.302379391173623 2.35944488770095 0.189077037757401 -1.33114121737063 1.12210506271185 -0.150835255520654 1.21007623983877 1.19568171297013 -1.74566289266233 1.37235341370703 -0.31833454869106 -0.713014885384699 0.372758739949402
"ATF3" 0.823134197045496 1.85165816630949 0.566228463581612 -0.890490102237593 0.138094920122992 0.498431032199843 0.852556522196941 -0.0120448219516485 1.05360605337147 -1.66924757669065 -2.19965635704839 -0.203033041905459 -1.38305287897465 -2.50594011608266 0.131829037185114 -1.25286989927023 -1.61080150181868 1.09415183285032 2.67161002738487 2.26735395262868 1.81610508030065 -0.228897353527526 0.753615318760986 -1.11003058118507 -1.00962963400193 0.106015746318011 -2.29188968766266 1.09611197659416 0.684296257362498 0.806690449244368 0.505770843957158 -1.52336986503426 -0.83945252735658 -0.684322986946222 0.513778937896618 2.37846254517385 1.93063310465207 0.602660156075916 -3.12929963717149 -0.432546415154293 2.41975178137326 -1.71647990520281 -1.22698012847637 -0.0266057283031966 0.536882412466837 1.22007816951786 -1.13419594527064 0.642008388094176 0.891522023408261 1.34208822760292
"ATF4" -1.4806472085143 0.0571310323471691 -0.992159099666446 -0.836791024151152 -0.118767011510357 -1.56602692251036 0.940635072970362 -1.92655041153615 0.0335046124407949 3.29045483747288 0.219957572771714 0.806695529031916 0.93903147891635 2.0144993496458 3.37068273142528 0.455570254027365 -0.247893060104163 -1.24838957725487 -1.65278959575195 -1.81659528703026 -0.493637704564433 -2.04463356378175 2.29147521005804 1.10605513102604 -0.668942581019401 -0.0451536057757956 1.56315753762239 -0.726633623733235 0.160230655975836 -1.40009251366693 0.771504910119803 1.77520154114811 0.0507339767484075 -1.2817001689129 -1.50833639351121 -1.56174593729376 -1.27056950626139 -0.743532377025056 2.64946490099147 -1.23778009435882 -0.532146307184209 2.16897694971521 4.13875478505599 0.16349696610522 -0.647702772820553 -1.69096282754519 0.671069136955916 -0.171163064874765 -0.0479510024224483 0.113038960971482
"ATF6" -0.0548379695901772 -0.0372591724376502 -1.10127535139323 -1.23032371183639 1.08467114102231 -1.60422107722113 0.863300507763726 -4.10472014918065 0.0662399747594274 1.41825681967529 1.52475388439081 2.48502692059236 -0.0812850817261171 0.646167976324905 1.67932602321375 2.77005853641658 -0.406661195524196 0.507400373349524 -2.10743276634739 -1.21543684227576 -0.53928636269514 -2.58669873931074 1.61640533088924 4.04768650847637 -2.21513880161463 -1.28922791359893 0.356178084727061 -0.248781125179894 2.65017777780694 0.368253281114931 3.68643334319554 -1.93115025184005 -1.32170278510578 -2.88045627509267 -1.61873369393271 -0.0185449133809156 0.230524632130354 0.828542519345601 0.915753318879351 0.15935917842221 -0.591483349696655 2.09262691109135 2.79734600486282 -2.51032619045384 2.2815339927535 -0.286711667562643 2.60328129183789 -2.46880742854349 -3.0818851463105 -0.324007211550557
"ATF7" -0.790438445474789 -0.901397061152075 -1.14997699238186 2.2275136200339 -2.28595837811092 -1.85704529500693 0.317022423353814 1.99746367126308 0.651241358889355 -0.782757421269071 -0.536325432507438 0.821337110608274 -3.51365985590396 0.0471829579084612 -1.19671152525308 -1.23304310502501 -2.04443370636051 0.236782414755405 -0.199142039569247 1.76281915992537 2.40366463543312 2.24971706094771 -0.10077904078877 1.21336625921686 0.0429956330650027 -0.224974917461791 1.12454976848725 -2.76301479418616 0.293417224732755 -0.638842149882579 -0.296834053083149 1.34955575346297 0.438301841622657 3.06107553189664 -1.87685565459042 0.238180477312432 -0.516396089522306 -1.25411773717731 0.772396665237787 -0.693934685332642 -1.62333581900693 0.738176375990873 0.246960009478922 2.47960408693448 0.790507204089595 -0.345328441175247 -3.01215627137288 -0.476560415532522 -0.521609490764173 -0.589860919101026
