Image Tag,Analysis Region,Total Cells,Hoechst 33342  ,Rhodamine 6G  ,Cy5  ,5-FAM  ,Texas Red  ,Hoechst 33342 Positive Nuclei Cells,Negative Nuclei Cells,Rhodamine 6G Positive Cytoplasm Cells,Cy5 Positive Cytoplasm Cells,5-FAM Positive Cytoplasm Cells,Texas Red Positive Cytoplasm Cells,Negative Cytoplasm Cells,VISTA+CD11b+ Cells,VISTA+CD11b+PanCKp Cells,VISTA+CD11b+PanCKn Cells,VISTA+CD68+ Cells,VISTA+CD68+PanCKp Cells,VISTA+CD68+PanCKn Cells,CD11b+CD68+ Cells,CD11b+CD68+PanCKp Cells,CD11b+CD68+PanCKn Cells,VISTA+PanCKp Cells,VISTA+PanCKn Cells,CD11b+PanCKp Cells,CD11b+PanCKn Cells,CD68+PanCKp Cells,CD68+PanCKn Cells,% Hoechst 33342  ,% Rhodamine 6G  ,% Cy5  ,% 5-FAM  ,% Texas Red  ,% Hoechst 33342 Positive Nuclei Cells,% Rhodamine 6G Positive Cytoplasm Cells,% Cy5 Positive Cytoplasm Cells,% 5-FAM Positive Cytoplasm Cells,% Texas Red Positive Cytoplasm Cells,% VISTA+CD11b+  ,% VISTA+CD11b+PanCKp  ,% VISTA+CD11b+PanCKn  ,% VISTA+CD68+  ,% VISTA+CD68+PanCKp  ,% VISTA+CD68+PanCKn  ,% CD11b+CD68+  ,% CD11b+CD68+PanCKp  ,% CD11b+CD68+PanCKn  ,% VISTA+PanCKp  ,% VISTA+PanCKn  ,% CD11b+PanCKp  ,% CD11b+PanCKn  ,% CD68+PanCKp  ,% CD68+PanCKn  ,Hoechst 33342 Avg Positive Nuclei Intensity,Rhodamine 6G Avg Positive Cytoplasm Intensity,Cy5 Avg Positive Cytoplasm Intensity,5-FAM Avg Positive Cytoplasm Intensity,Texas Red Avg Positive Cytoplasm Intensity,Avg Cell Area (μm²),Avg Cytoplasm Area (μm²),Avg Nucleus Area (μm²),Avg Nucleus Perimeter (μm),Avg Nucleus Roundness,Area Analyzed (μm²)
NVA_PREDICT-COMBO2-Prod_19T052941-4.LP-01-67.C2.czi,Layer 1,1008472,1008472,1349,39003,374128,21397,1008472,0,1349,39003,374128,21397,584849,794,161,633,1749,307,1442,14,1,1442,4042,17355,504,845,5630,33373,100,0.133767,3.867534,37.098503,2.121725,100,0.133767,3.867534,37.098503,2.121725,0.078733,0.015965,0.062768,0.173431,0.030442,0.142989,0.001388,0.000099,0.142989,0.400804,1.72092,0.049977,0.08379,0.55827,3.309264,18131.14258,506.227814,8836.623047,5460.871582,405.851257,90.616272,56.49913,34.117146,26.579634,0.719849,200168400
NVA_PREDICT-COMBO2-Prod_19T052941-4.LP-01-67.C2.czi,Layer 2,60263,60263,34,2171,21981,1507,60263,0,34,2171,21981,1507,35313,14,4,10,39,17,22,0,0,22,445,1062,14,20,252,1919,100,0.056419,3.602542,36.475117,2.500705,100,0.056419,3.602542,36.475117,2.500705,0.023232,0.006638,0.016594,0.064716,0.02821,0.036507,0,0,0.036507,0.73843,1.762275,0.023232,0.033188,0.418167,3.184375,14200.22852,477.476349,10188.51465,2665.430664,416.229004,94.546013,59.97422,34.571796,27.021471,0.708391,22889894
NVA_PREDICT-COMBO2-Prod_19T053581-9.LP-01-68.C2.czi,Layer 1,148206,148206,182,12375,82140,4114,148206,0,182,12375,82140,4114,52519,48,24,24,296,44,252,3,2,252,1349,2765,147,35,1352,11023,100,0.122802,8.349864,55.422859,2.775866,100,0.122802,8.349864,55.422859,2.775866,0.032387,0.016194,0.016194,0.199722,0.029688,0.170034,0.002024,0.001349,0.170034,0.91022,1.865646,0.099186,0.023616,0.912244,7.437621,26951.67383,405.669037,8114.556152,4718.784668,384.258392,87.273613,54.985638,32.287971,25.692997,0.728422,28988468
NVA_PREDICT-COMBO2-Prod_19T053581-9.LP-01-68.C2.czi,Layer 2,121061,121061,541,9562,84374,9359,121061,0,541,9562,84374,9359,26683,144,139,5,267,62,205,4,3,205,7912,1447,529,12,806,8756,100,0.446882,7.898498,69.695442,7.730814,100,0.446882,7.898498,69.695442,7.730814,0.118948,0.114818,0.00413,0.22055,0.051214,0.169336,0.003304,0.002478,0.169336,6.535548,1.195265,0.43697,0.009912,0.66578,7.232718,22680.57617,391.972992,8722.308594,3047.628662,388.011353,91.834137,60.512177,31.321964,25.320225,0.72227,54266492
NVA_PREDICT-COMBO2-Prod_19T051599-1.LP-01-70.C2.czi,Layer 1,318784,318784,1049,524,176355,19217,318784,0,1049,524,176355,19217,129183,85,75,10,187,70,117,5,5,117,6273,12944,1018,31,126,398,100,0.329063,0.164375,55.321159,6.02822,100,0.329063,0.164375,55.321159,6.02822,0.026664,0.023527,0.003137,0.05866,0.021958,0.036702,0.001568,0.001568,0.036702,1.96779,4.06043,0.319339,0.009724,0.039525,0.124849,18290.02148,400.572327,4723.106934,6277.226074,454.338013,108.727257,64.898903,43.828358,30.320236,0.702378,81486528
NVA_PREDICT-COMBO2-Prod_19T051155-9.LP-01-64.C2.czi,Layer 1,884092,884092,607,31472,512090,44914,884092,0,607,31472,512090,44914,312025,150,54,96,1199,379,820,16,15,820,7775,37139,416,191,7909,23563,100,0.068658,3.55981,57.922707,5.080241,100,0.068658,3.55981,57.922707,5.080241,0.016967,0.006108,0.010859,0.135619,0.042869,0.092751,0.00181,0.001697,0.092751,0.879433,4.200807,0.047054,0.021604,0.89459,2.66522,20230.46875,429.665588,5579.22998,3644.6604,439.776611,98.704697,58.812107,39.892586,28.794277,0.719249,154935392
NVA_PREDICT-COMBO2-Prod_19T051155-9.LP-01-64.C2.czi,Layer 2,115758,115758,604,8072,64052,25890,115758,0,604,8072,64052,25890,34007,182,105,77,754,182,572,9,8,572,14934,10956,518,86,766,7306,100,0.521778,6.973168,55.332676,22.365625,100,0.521778,6.973168,55.332676,22.365625,0.157225,0.090706,0.066518,0.651359,0.157225,0.494134,0.007775,0.006911,0.494134,12.901052,9.464573,0.447485,0.074293,0.661725,6.311443,19392.98828,446.86557,11344.63574,2968.990723,442.188263,103.311096,64.455421,38.855675,28.297852,0.732188,67396576
NVA_PREDICT-COMBO2-Prod_19T050344-2.LP-01-71.C2.czi,Layer 1,21457,21457,80,792,4296,7910,21457,0,80,792,4296,7910,9634,58,30,28,531,42,489,5,1,489,579,7331,51,29,108,684,100,0.372839,3.691103,20.021439,36.864426,100,0.372839,3.691103,20.021439,36.864426,0.270308,0.139815,0.130494,2.474717,0.19574,2.278976,0.023302,0.00466,2.278976,2.69842,34.166008,0.237685,0.135154,0.503332,3.187771,40241.49219,423.480011,6924.486816,4161.101074,644.213257,74.760071,46.253265,28.506807,24.35269,0.707718,2573870
NVA_PREDICT-COMBO2-Prod_19T046494-17.LP-01-58.C2.czi,Layer 1,438924,438924,112,1145,196149,43222,438924,0,112,1145,196149,43222,200510,65,3,62,52,1,51,0,0,51,1942,41280,16,96,143,1002,100,0.025517,0.260865,44.688602,9.847262,100,0.025517,0.260865,44.688602,9.847262,0.014809,0.000683,0.014125,0.011847,0.000228,0.011619,0,0,0.011619,0.442446,9.404818,0.003645,0.021872,0.03258,0.228286,13930.73438,461.69281,4759.330078,3827.122803,531.369141,100.046951,57.793701,42.25325,29.70182,0.707286,78153576
NVA_PREDICT-COMBO2-Prod_19T046494-17.LP-01-58.C2.czi,Layer 2,23863,23863,26,996,7405,1014,23863,0,26,996,7405,1014,14716,12,5,7,9,0,9,0,0,9,241,773,6,20,31,965,100,0.108955,4.173826,31.031303,4.249256,100,0.108955,4.173826,31.031303,4.249256,0.050287,0.020953,0.029334,0.037715,0,0.037715,0,0,0.037715,1.009932,3.239325,0.025144,0.083812,0.129908,4.043917,13189.18555,463.105743,6937.573242,2213.688721,395.37616,97.103485,61.56081,35.542679,27.260477,0.722138,6203837
