Image Tag,Analysis Region,Total Cells,Hoechst 33342 ,Rhodamine 6G ,Cy5 ,5-FAM ,Texas Red ,Hoechst 33342 Positive Nuclei Cells,Rhodamine 6G Positive Nuclei Cells,Negative Nuclei Cells,Rhodamine 6G Positive Cytoplasm Cells,Cy5 Positive Cytoplasm Cells,5-FAM Positive Cytoplasm Cells,Texas Red Positive Cytoplasm Cells,Negative Cytoplasm Cells,CD8+GzBp Cells,CD8+GzBpPanCKp Cells,CD8+GzBpPanCKn Cells,CD8+GzBn Cells,CD8+GzBnPanCKp Cells,CD8+GzBnPanCKn Cells,CD8+PDL1p Cells,CD8+PDL1pPanCKp Cells,CD8+PDL1pPanCKn Cells,CD8+PDL1n Cells,CD8+PDL1nPanCKp Cells,CD8+PDL1nPanCKn Cells,CD8+PanCKp Cells,CD8+PanCKn Cells,PDL1pPanCKp Cells,PDL1pPanCKn Cells,% Hoechst 33342 ,% Rhodamine 6G ,% Cy5 ,% 5-FAM ,% Texas Red ,% Hoechst 33342 Positive Nuclei Cells,% Rhodamine 6G Positive Nuclei Cells,% Rhodamine 6G Positive Cytoplasm Cells,% Cy5 Positive Cytoplasm Cells,% 5-FAM Positive Cytoplasm Cells,% Texas Red Positive Cytoplasm Cells,% CD8+GzBp ,% CD8+GzBpPanCKp ,% CD8+GzBpPanCKn ,% CD8+GzBn ,% CD8+GzBnPanCKp ,% CD8+GzBnPanCKn ,% CD8+PDL1p ,% CD8+PDL1pPanCKp ,% CD8+PDL1pPanCKn ,% CD8+PDL1n ,% CD8+PDL1nPanCKp ,% CD8+PDL1nPanCKn ,% CD8+PanCKp ,% CD8+PanCKn ,% PDL1pPanCKp ,% PDL1pPanCKn ,Hoechst 33342 Avg Positive Nuclei Intensity,Rhodamine 6G Avg Positive Nuclei Intensity,Rhodamine 6G Avg Positive Cytoplasm Intensity,Cy5 Avg Positive Cytoplasm Intensity,5-FAM Avg Positive Cytoplasm Intensity,Texas Red Avg Positive Cytoplasm Intensity,Avg Cell Area (μm²),Avg Cytoplasm Area (μm²),Avg Nucleus Area (μm²),Avg Nucleus Perimeter (μm),Avg Nucleus Roundness,Area Analyzed (μm²)
NVA_PREDICT-COMBO1-Prod_19T052941-4.LP-01-67.C1.czi,Layer 1,1450945,1450945,5638,532,465050,23049,1450945,4481,0,2064,532,465050,23049,965241,77,39,38,22972,3021,19951,65,4,61,22984,3056,19928,3060,19989,58,474,100,0.388574,0.036666,32.051525,1.588551,100,0.308833,0.142252,0.036666,32.051525,1.588551,0.005307,0.002688,0.002619,1.583244,0.208209,1.375035,0.00448,0.000276,0.004204,1.584071,0.210621,1.37345,0.210897,1.377654,0.003997,0.032668,13060.58887,333.087524,314.180542,2172.738281,6881.694824,806.562805,80.76104,50.597363,30.163677,25.170004,0.708111,234401152
NVA_PREDICT-COMBO1-Prod_19T052941-4.LP-01-67.C1.czi,Layer 2,121916,121916,819,393,57794,1038,121916,789,0,112,393,57794,1038,63283,24,18,6,1014,565,449,12,5,7,1026,578,448,583,455,33,360,100,0.671774,0.322353,47.40477,0.851406,100,0.647167,0.091867,0.322353,47.40477,0.851406,0.019686,0.014764,0.004921,0.83172,0.463434,0.368286,0.009843,0.004101,0.005742,0.841563,0.474097,0.367466,0.478198,0.373208,0.027068,0.295285,12135.78223,367.120331,409.233643,3174.124268,3842.133057,853.997375,82.185776,52.884926,29.30085,24.943972,0.701043,43897348
NVA_PREDICT-COMBO1-Prod_19T051599-1.LP-01-70.C1.czi,Layer 1,346973,346973,6006,23,174193,831,346973,5178,0,2397,23,174193,831,172098,5,2,3,826,168,658,0,0,0,831,170,661,170,661,12,11,100,1.73097,0.006629,50.203617,0.2395,100,1.492335,0.690832,0.006629,50.203617,0.2395,0.001441,0.000576,0.000865,0.238059,0.048419,0.18964,0,0,0,0.2395,0.048995,0.190505,0.048995,0.190505,0.003458,0.00317,14157.11914,330.615295,315.530457,2031.088501,8345.131836,631.735596,103.319954,63.900566,39.419388,28.67909,0.695608,101470808
NVA_PREDICT-COMBO1-Prod_19T051155-9.LP-01-64.C1.czi,Layer 1,1051531,1051531,1972,136200,603075,154544,1051531,1816,0,554,136200,603075,154544,352845,1202,776,426,153342,73663,79679,50821,36953,13868,103723,37486,66237,74439,80105,106891,29309,100,0.187536,12.952542,57.352089,14.697046,100,0.172701,0.052685,12.952542,57.352089,14.697046,0.11431,0.073797,0.040512,14.582737,7.00531,7.577427,4.833048,3.514209,1.318839,9.863998,3.564897,6.299101,7.079106,7.61794,10.165274,2.787269,20374.12109,392.660828,355.310822,1950.176147,4887.02832,686.908691,95.271164,58.059898,37.211269,27.887409,0.710764,186133200
NVA_PREDICT-COMBO1-Prod_19T051155-9.LP-01-64.C1.czi,Layer 2,149186,149186,2493,1329,85008,7966,149186,2421,0,371,1329,85008,7966,59591,95,72,23,7871,3801,4070,342,144,198,7624,3729,3895,3873,4093,647,682,100,1.671068,0.890834,56.981216,5.339643,100,1.622806,0.248683,0.890834,56.981216,5.339643,0.063679,0.048262,0.015417,5.275964,2.547826,2.728138,0.229244,0.096524,0.13272,5.110399,2.499564,2.610835,2.596088,2.743555,0.433687,0.457147,24768.61328,325.503387,334.945343,3623.481689,4538.900879,1078.003052,86.298317,57.831581,28.466734,24.300138,0.718905,75228984
NVA_PREDICT-COMBO1-Prod_19T053581-9.LP-01-68.C1.czi,Layer 1,167427,167427,4364,130,82215,5152,167427,3665,0,2232,130,82215,5152,79404,173,39,134,4979,818,4161,25,3,22,5127,854,4273,857,4295,24,106,100,2.606509,0.077646,49.104984,3.077162,100,2.189014,1.333118,0.077646,49.104984,3.077162,0.103329,0.023294,0.080035,2.973833,0.488571,2.485262,0.014932,0.001792,0.01314,3.06223,0.510073,2.552157,0.511865,2.565297,0.014335,0.063311,20297.96094,523.501038,513.475342,3957.793457,7504.85791,681.626343,80.262253,52.572369,27.689884,23.804169,0.721673,29398834
NVA_PREDICT-COMBO1-Prod_19T053581-9.LP-01-68.C1.czi,Layer 2,175695,175695,8666,150,108416,1663,175695,8095,0,2517,150,108416,1663,65962,164,114,50,1499,1023,476,6,2,4,1657,1135,522,1137,526,17,133,100,4.932411,0.085375,61.706936,0.946527,100,4.607416,1.432596,0.085375,61.706936,0.946527,0.093344,0.064885,0.028458,0.853183,0.582259,0.270924,0.003415,0.001138,0.002277,0.943112,0.646006,0.297106,0.647144,0.299382,0.009676,0.075699,20022.23828,449.098541,525.544067,3593.20166,5012.990723,749.228149,79.821625,54.039562,25.782061,23.09111,0.713337,54545756
NVA_PREDICT-COMBO1-Prod_19T050344-2.LP-01-71.C1.czi,Layer 1,22255,22255,453,269,4813,6783,22255,360,0,258,269,4813,6783,10933,234,26,208,6549,421,6128,175,31,144,6608,416,6192,447,6336,59,210,100,2.035498,1.208717,21.6266,30.478544,100,1.617614,1.15929,1.208717,21.6266,30.478544,1.051449,0.116828,0.934621,29.427095,1.89171,27.535385,0.78634,0.139295,0.647046,29.692204,1.869243,27.822962,2.008537,28.470007,0.265109,0.943608,34020.05859,518.734863,540.855957,2184.72583,4780.776367,824.942078,71.822075,47.853069,23.969002,22.409462,0.703479,2758164.25
NVA_PREDICT-COMBO1-Prod_19T046494-17.LP-01-58.C1.czi,Layer 1,560819,560819,20080,28533,316631,23457,560819,13820,0,11486,28533,316631,23457,224626,1755,1339,416,21702,8338,13364,3987,2696,1291,19470,6981,12489,9677,13780,23244,5289,100,3.580478,5.087738,56.458679,4.182633,100,2.464253,2.048076,5.087738,56.458679,4.182633,0.312935,0.238758,0.074177,3.869698,1.486754,2.382944,0.710925,0.480725,0.230199,3.471708,1.244787,2.226922,1.725512,2.457121,4.144653,0.943085,17753.91602,367.746124,349.795258,1833.191284,8232.638672,641.862732,95.455612,55.651493,39.804123,29.021183,0.698627,88639504
NVA_PREDICT-COMBO1-Prod_19T046494-17.LP-01-58.C1.czi,Layer 2,28596,28596,1934,102,18404,1084,28596,1673,0,1037,102,18404,1084,9455,83,67,16,1001,581,420,6,0,6,1078,648,430,648,436,25,77,100,6.763184,0.356693,64.35865,3.79074,100,5.850469,3.626381,0.356693,64.35865,3.79074,0.29025,0.234298,0.055952,3.500489,2.031753,1.468737,0.020982,0,0.020982,3.769758,2.266051,1.503707,2.266051,1.524689,0.087425,0.269268,23307.36328,550.200073,566.612427,2319.162109,4064.941895,908.157715,90.362701,60.317955,30.044746,24.974651,0.714388,6583931
