Image Location,CD11b,CD68,PanCK,VISTA
LP-01-01.C2.czi,0.044049,0.761303,41.541592,0.722748
LP-01-02.C2.czi,0.204318,3.699213,38.739815,2.6422950000000003
LP-01-03.C2.czi,0.551086,3.184303,50.335518,10.383497
LP-01-04.C2.czi,0.053422,0.148969,36.070099,2.516189
LP-01-06.C2.czi,0.021503,0.5994229999999999,49.414619,4.23714
LP-01-05.C2.czi,0.039113,1.196993,46.532017,3.898016
LP-01-08.C2.czi,0.030855,2.456198,29.090357,4.43049
LP-01-07.C2.czi,0.150445,0.169844,28.472166,3.038399
LP-01-10.C2.czi,0.019802,0.644893,33.023544,4.998068
LP-01-11.C2.czi,0.0269009999999999,0.592187,38.14912,17.795662
LP-01-12.C2.czi,0.068899,8.312999000000001,34.603729,6.484303
LP-01-13.C2.czi,0.61757,1.210399,15.844243,7.704654
LP-01-14.C2.czi,0.0213259999999999,0.827835,32.446896,6.252283
LP-01-15.C2.czi,0.059042,1.774943,14.487569,3.253094
LP-01-16.C2.czi,0.030975,1.897867,24.152012,14.563431
LP-01-17.C2.czi,0.184069,0.087689,12.38713,10.54407
LP-01-18.C2.czi,0.036244,2.170168,30.146957,9.263196
LP-01-20.C2.czi,0.005646,0.572994,9.616498,2.41783
LP-01-19.C2.czi,0.160102,1.212617,33.246590000000005,2.887643
LP-01-37.C2.czi,22.13505,1.533851,57.061001,48.263401
LP-01-43.C2.czi,0.8627809999999999,7.099111,20.952219,30.87785
LP-01-21.C2.czi,0.094985,2.872859,30.022419,21.497835
LP-01-22.C2.czi,0.01179,0.4586409999999999,9.52855,0.724859
LP-01-23.C2.czi,0.002494,1.400223,32.057983,0.693377
LP-01-38.C2.czi,0.008429,0.011022,11.082944,0.1238349999999999
LP-01-24.C2.czi,0.026723,4.870408,27.105146,4.574847
LP-01-25.C2.czi,0.541324,5.173846,37.835682,11.122221
LP-01-28.C2.czi,0.037762,1.907737,38.152172,1.069502
LP-01-30.C2.czi,0.032302,0.74206,39.412148,15.216434
LP-01-52.C2.czi,4.88375,6.16676,70.20195799999999,17.65983
LP-01-45.C2.czi,5.272973,0.250788,67.442612,19.882965
LP-01-40.C2.czi,0.05677,0.790934,16.295166000000002,11.446333
LP-01-48.C2.czi,3.336113,4.0289980000000005,10.932187,43.654968
LP-01-51.C2.czi,5.667454,0.564893,72.523964,46.15456
LP-01-42.C2.czi,0.014668,0.804124,12.905861,11.116361
LP-01-56A.C2.czi,5.931055000000001,18.003914,47.328014,55.863316000000005
LP-01-66.C2.czi,5.842522,6.050962999999999,38.112682,65.53196
LP-01-60.C2.czi,0.007604,0.032774,24.627127,2.321951
LP-01-46.C2.czi,0.100654,2.771938,40.078514,2.356121
LP-01-47.C2.czi,0.181786,3.38116,43.922062,0.977188
LP-01-53.C2.czi,2.830787,0.0930899999999999,37.113358000000005,10.176448
LP-01-62.C2.czi,0.158682,1.430472,17.121323,20.157282
LP-01-49.C2.czi,0.02315,1.562858,46.659645000000005,7.337328999999999
LP-01-54.C2.czi,0.025672,0.050532,26.60795,0.7156279999999999
LP-01-59.C2.czi,2.690554,1.684596,27.986776000000003,67.819191
LP-01-57.C2.czi,0.056982,3.664796,44.081577,10.80378
LP-01-58.C2.czi,0.151849,0.8196889999999999,30.807463,10.973138
LP-01-63.C2.czi,0.954544,7.068592999999999,60.47691700000001,20.829638
LP-01-72.C2.czi,3.98829,1.708581,78.757919,27.898829
LP-01-61.C2.czi,0.060286,4.335319999999999,46.147881,3.553111
LP-01-71.C2.czi,1.13068,3.406129,24.913702,38.259953
LP-01-64.C2.czi,0.202844,3.384783,53.77125899999999,6.925868
LP-01-70.C2.czi,1.683489,1.325135,46.383595,17.817137
LP-01-67.C2.czi,0.113426,3.509037,32.59174,2.059139
LP-01-68.C2.czi,0.127182,8.116989,55.794228,3.333424
