,CD11b+CD68+,CD11b+CD68+PanCK+,CD11b+CD68+PanCK-,CD11b+PanCK+,CD11b+PanCK-,CD68+PanCK+,CD68+PanCK-,CD8+GzB+,CD8+GzB+PanCK+,CD8+GzB+PanCK-,CD8+GzB-,CD8+GzB-PanCK+,CD8+GzB-PanCK-,CD8+PDL1+,CD8+PDL1+PanCK+,CD8+PDL1+PanCK-,CD8+PDL1-,CD8+PDL1-PanCK+,CD8+PDL1-PanCK-,CD8+PanCK+,CD8+PanCK-,PDL1+PanCK+,PDL1+PanCK-,VISTA+CD11b+,VISTA+CD11b+PanCK+,VISTA+CD11b+PanCK-,VISTA+CD68+,VISTA+CD68+PanCK+,VISTA+CD68+PanCK-,VISTA+PanCK+,VISTA+PanCK-
LP.01.07_Layer 1_combo_2,6.875214850464078e-05,2.2917382834880256e-05,0.0007791910163859287,0.010335739658530995,0.032703105305374125,0.0033688552767273975,0.027317520339177268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017646384782857797,0.0007791910163859287,0.000985447461899851,0.0010541996104044917,0.0002750085940185631,0.0007791910163859287,0.3606279362896757,0.5591383064054085
LP.01.47_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028838059073241504,0.0013971233588278493,0.0014866825484963011,0.19134619403296974,0.05607002334509544,0.1352761706878743,0.006113907348032982,0.0010985927265996765,0.005015314621433305,0.1881160925922609,0.05636855397732361,0.13174753861493727,0.05746714670392329,0.13676285323637058,0.011033692167153272,0.01781630813137736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.58_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012035551166522652,0.009182679778902468,0.002852871387620184,0.14882936263012797,0.057180869302829555,0.09164849332729841,0.027342303419330947,0.01848880110823081,0.008853502311100138,0.13352261037731966,0.04787474797350121,0.08564786240381846,0.06636354908173202,0.0945013647149186,0.15940418878327778,0.03627124223346912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.18_Layer 1_combo_2,0.0004974833196769284,0.0004389558703031722,0.007667095867962074,0.02478637480978579,0.0007901205665457099,0.034765304928011234,0.13748097857895353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001199812712162004,0.0005560107690506848,0.0006438019431113192,0.00930586445042725,0.0016387685824651762,0.007667095867962074,0.06724803933044599,0.705314292403137
Test.FFPE.10_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003086154704909938,0.00014223147770454496,0.00016638399278644882,0.19901135704931408,0.02012977951437343,0.17888157753494063,0.0009365808626204942,6.709031967195518e-05,0.000869490542948539,0.19838339165718458,0.02020492067240602,0.17817847098477854,0.020272010992077975,0.1790479615277271,0.00024152515081903863,0.0031586122501556495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.38_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022113976630905776,0.0008367450617099483,0.0013746526013806294,0.19738218330693602,0.03696620147625736,0.16041598183067865,0.0002390700176314138,0.0,0.0002390700176314138,0.19935451095239518,0.03780294653796731,0.16155156441442786,0.03780294653796731,0.1617906344320593,0.0005379075396706811,0.0014941876101963363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.67_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066507164635463,0.00033685447023156585,0.00032821717612306416,0.19841592026050078,0.0260932655017836,0.1723226547587172,0.0005614241170526097,3.454917643400675e-05,0.000526874940618603,0.19851956778980281,0.02639557079558116,0.17212399699422165,0.026430119972015168,0.17265087193484024,0.000500963058293098,0.004094077407429801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.44_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05858115370834826,0.018631314940881404,0.039949838767466855,0.1409888928699391,0.02293084915800788,0.11805804371193121,0.0008957362952346829,0.00017914725904693657,0.0007165890361877463,0.19867431028305266,0.04138301683984235,0.15729129344321033,0.041562164098889284,0.15800788247939807,0.00035829451809387314,0.0017914725904693658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.39_Layer 1_combo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046588235294117646,0.03411764705882353,0.012470588235294117,0.15105882352941177,0.07929411764705882,0.07176470588235294,0.00047058823529411766,0.00047058823529411766,0.0,0.1971764705882353,0.11294117647058824,0.08423529411764706,0.11341176470588235,0.08423529411764706,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP.01.72_Layer 1_combo_2,0.0,0.0,0.013348735720703376,0.07675523039404442,0.0035938903863432167,0.01950969066872032,0.025542292388653576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01732768579129765,0.013733795404954435,0.0035938903863432167,0.021049929405724553,0.007701193685021178,0.013348735720703376,0.3863432165318958,0.3981517135155949
