Image Location,GzB,PDL1,PanCK,CD8
LP-01-01.C1.czi,0.442156,0.148489,37.937817,0.271053
LP-01-02.C1.czi,0.6736409999999999,0.002953,40.571983,1.213566
LP-01-03.C1.czi,4.933063,0.0927409999999999,49.462772,2.560234
LP-01-04.C1.czi,0.305005,0.042369,35.914726,2.755476
LP-01-06.C1.czi,0.200262,0.087007,48.459473,1.440358
LP-01-05.C1.czi,0.4156689999999999,0.208875,46.678741,3.2063490000000003
LP-01-08.C1.czi,0.902332,0.064259,35.395081,2.7031560000000003
LP-01-07.C1.czi,0.202247,0.16927,14.2831,1.638372
LP-01-10.C1.czi,1.595554,0.831889,29.8452,4.581274
LP-01-11.C1.czi,0.6302939999999999,0.12243,44.475754,2.630465
LP-01-12.C1.czi,0.8304959999999999,0.066493,36.167698,1.208635
LP-01-13.C1.czi,0.142361,0.133965,24.590408,1.807408
LP-01-14.C1.czi,0.777539,0.795092,32.565094,3.498974
LP-01-15.C1.czi,0.124343,0.039025,22.417683,1.187629
LP-01-16.C1.czi,1.222032,0.7540939999999999,30.335493,5.60366
LP-01-17.C1.czi,1.984155,0.015236,15.25092,9.904366
LP-01-18.C1.czi,0.6003430000000001,13.632485999999998,35.152344,5.130685
LP-01-20.C1.czi,0.37909,0.21377,21.217995,2.4485650000000003
LP-01-19.C1.czi,1.618311,0.140169,40.552818,3.987391
LP-01-37.C1.czi,9.293249,0.548523,42.985233,8.512658
LP-01-43.C1.czi,30.466146,0.507813,19.375,28.140625
LP-01-21.C1.czi,2.733445,1.347693,35.042511,6.643317999999999
LP-01-22.C1.czi,0.503384,0.04055,27.272007,0.771389
LP-01-23.C1.czi,1.963036,0.056235,46.826488,1.6412189999999998
LP-01-38.C1.czi,0.171382,0.006821,25.96818,0.268583
LP-01-24.C1.czi,1.065799,0.136151,27.794529,1.7152
LP-01-25.C1.czi,2.250171,0.12592,35.83585,4.242737
LP-01-44.C1.czi,23.807215,0.116369,31.749418,11.530256
LP-01-28.C1.czi,0.389565,0.024857,33.154808,2.21791
LP-01-30.C1.czi,1.071715,5.437325,38.657734000000005,3.5307800000000005
LP-01-31.C1.czi,1.886785,0.0049549999999999,50.382603,0.907672
LP-01-32.C1.czi,0.20129,0.034431,41.203766,2.915789
LP-01-39.C1.czi,14.162244,0.182901,56.365658,3.604218
LP-01-34.C1.czi,0.939184,0.722831,21.80447,4.960762
LP-01-35.C1.czi,1.143992,6.330964,16.276170999999998,4.079964
LP-01-52.C1.czi,59.315365,0.316117,70.676468,14.788529999999998
LP-01-45.C1.czi,7.431141999999999,0.0184849999999999,47.13168,12.514634
LP-01-40.C1.czi,1.252497,72.54998,31.916698,4.165953
LP-01-48.C1.czi,3.118008,0.063923,13.974217,6.953372
LP-01-51.C1.czi,27.39459,23.981556,71.15083299999999,12.159529
LP-01-42.C1.czi,0.552046,0.096603,15.770960999999998,4.076245
LP-01-56A.C1.czi,28.0,32.089890000000004,41.632957,31.086142
LP-01-66.C1.czi,8.438394,2.5214380000000003,26.718126,40.744831
LP-01-60.C1.czi,0.450323,0.2074239999999999,65.690163,1.295202
LP-01-46.C1.czi,0.717237,0.014088,54.72643299999999,6.700459
LP-01-47.C1.czi,1.602532,0.522195,57.506161,4.254405
LP-01-53.C1.czi,21.09054,0.032319,39.143082,1.74985
LP-01-62.C1.czi,4.93961,0.214001,19.808279,5.566955999999999
LP-01-49.C1.czi,0.8623559999999999,0.78566,48.016201,7.844542999999999
LP-01-54.C1.czi,0.529191,0.010027,67.929535,0.302613
LP-01-59.C1.czi,6.566239,0.357231,36.125656,7.1087
LP-01-57.C1.czi,7.248691,0.234026,42.52206,13.027919
LP-01-58.C1.czi,3.551095,3.375288,48.631424,4.6976
LP-01-63.C1.czi,10.351806,3.338826,47.749546,27.332119
LP-01-72.C1.czi,11.564297,0.822183,70.030632,8.436778
LP-01-61.C1.czi,1.068361,0.2550139999999999,43.105553,1.364815
LP-01-71.C1.czi,3.391336,1.266198,24.439096,30.225842
LP-01-64.C1.czi,0.220552,11.968545,53.890823,13.744073
LP-01-70.C1.czi,3.575139,0.010695,34.423698,1.735623
LP-01-67.C1.czi,0.4167109999999999,0.074912,30.098473,1.36592
LP-01-68.C1.czi,2.873406,0.074721,49.805851,2.472515
