"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__CCLE.TIL10__B.cells","CBSX__CD226__B"
"R3388_YZ_1",0.0788036020195067,0.0276619535527073,0.111088125369516,0.046005468893288,0.0730000750893011,0.0767993479595866,0.0736381442304437,0.81974769562336,0.456727753576061,0.134478981443048,0.0984535631581199,0,0.125950423104654,0.353562400650864,0.13749061803795,0.81974769562336,0.456727753576061,0.134478981443048,0.0984535631581199,0.122014877857402,0.784957587052527,0.116878398419436,0,0.287488825522255
"R3388_YZ_2",0.0557287602126108,0.0341531629425537,0.109137507062515,0.0643787359271964,0.0845930938900953,0.0723554382297436,0.0815257735993296,0.840971000868088,0.649079222499349,0.0918068587635561,0.0921061321907267,0.00396037733219711,0.0961010603324094,0.354864370772059,0.272442264042734,0.840971000868088,0.649079222499349,0.0918068587635561,0.0921061321907267,0.104930643885696,0.8104027846923,0.102536497947075,0,0.168079644234793
"R3388_YZ_3",0.0323058629644224,0.0174691529798588,0.100591842429051,0.0399164717217449,0.0519118204041398,0.0536802503736812,0.0526448360155364,0.79462147246214,0.45799720207241,0.0609258806393797,0.0685411529736947,0,0.0621733704601781,0.339812237366715,0.125619395496568,0.79462147246214,0.45799720207241,0.0609258806393797,0.0685411529736947,0.0704900448056073,0.751667114961007,0.00443577538333469,0,0.28228382122468
"R3388_YZ_4",0.0392144335182931,0.049196565227972,0.155116031345585,0.0702593915659353,0.138590299037762,0.101477285270431,0.147502442449511,0.810471952380393,0.655935511900432,0.161232195590435,0.161329519138816,0.0117079684862882,0.0688347325292355,0.672938256737708,0.452479604272829,0.810471952380393,0.655935511900432,0.161232195590435,0.161329519138816,0.092235154696267,0.884810465452429,0.14084537478301,0.0247377508705464,0.280428591284406
"R3388_YZ_5",0.127511077822299,0.0830543085854765,0.127285295243837,0.0822473261706099,0.0942494704043865,0.100912764944941,0.103578709784352,0.847125494507269,0.544480703108378,0.274199834836764,0.125778574977688,0.0835014937883773,0.189750435455474,0.475291358079377,0.242203078312732,0.847125494507269,0.544480703108378,0.274199834836764,0.125778574977688,0.223332649517597,0.8145231512023,0.248205959599972,0.0627579351645695,0.194394539039596
"R3388_YZ_6",0.0402959065249157,0.0425686129251995,0.128333074040148,0.0622818268037724,0.0712373374619493,0.0905205617972224,0.0800445666993038,0.712258279560022,0.491343024707831,0.18339829582799,0.166640760322247,0,0.0959073099383944,0.578005570528408,0.329145748139727,0.712258279560022,0.491343024707831,0.18339829582799,0.166640760322247,0.119082953145744,0.594267412563616,0.132421700664139,0,0.300296485131832
"R3388_YZ_7",0.0479113121309605,0.0327694022332398,0.101140827338906,0.0494793863385699,0.0616374136552209,0.0798711202881354,0.0611486094035948,0.861653358983441,0.513157673323896,0.0762163903930796,0.0719603976327238,0,0.0707795667881073,0.34480765473452,0.18075746209618,0.861653358983441,0.513157673323896,0.0762163903930796,0.0719603976327238,0.0778405461894192,0.706447960563603,0.024285374401877,0,0.252801262569993
"R3388_YZ_9",0.102223705572648,0.0749780497387706,0.108257694839028,0.0876842948771749,0.07497458550505,0.100483774076275,0.0907486346489862,0.895173163387168,0.553626175881096,0.206203236680755,0.101905347157797,0,0.0799168331826197,0.467386431059932,0.285937961885675,0.895173163387168,0.553626175881096,0.206203236680755,0.101905347157797,0.129367065200992,0.745870461538586,0.189764742599056,0,0.241555676340316
"R3388_YZ_10",0.0929381372498959,0.0628643546853658,0.116690269580323,0.0930058026240199,0.0790957030905759,0.101318261767598,0.0817673898046218,0.858671753233881,0.529828383862773,0.17789617694823,0.10050196271784,0.0216759746624209,0.12677610057567,0.402200903904649,0.189640478029532,0.858671753233881,0.529828383862773,0.17789617694823,0.10050196271784,0.119726424150938,0.816773815481401,0.152026107623981,0.0218914637160705,0.381819273772012
"R3388_YZ_11",0.0365224669805077,0.0126830036082416,0.118964460351529,0.0344838036623303,0.086023963817468,0.0591541568166913,0.0961823142167886,0.702403347152731,0.454072806874943,0.107353546286737,0.109604837395679,0,0.080181416962973,0.597575279304159,0.21035219022306,0.702403347152731,0.454072806874943,0.107353546286737,0.109604837395679,0.105472305813715,0.652962572832997,0.099160792342835,0,0.205959022016392
