"","Epidish_BPRNACan_cancer","DeconRNASeq_BPRNACan_cancer","Epidish_BPRNACan3DProMet_cancer","DeconRNASeq_BPRNACan3DProMet_cancer","Epidish_BPRNACanProMet_cancer","DeconRNASeq_BPRNACanProMet_cancer","Epidish_CCLE_TIL10_Cancer.cells","DeconRNASeq_CCLE_TIL10_Cancer.cells","CBSX__CCLE.TIL10__Cancer.cells"
"R3388_YZ_1",0.925754978714817,0.413935135123463,0.879861385768729,0.43142163733771,0.831383634461305,0.425196016094172,0,0.0520036849624968,0
"R3388_YZ_2",0.886860561034686,0.44854541640853,0.815366858857535,0.455833997613115,0.779174239398865,0.44636543300196,0,0.0536014863903652,0
"R3388_YZ_3",0.937398006165989,0.434337654494566,0.888630338857454,0.449201648069144,0.865873591493831,0.437641799074989,0,0.0499146622715854,0
"R3388_YZ_4",0.937471074567852,0.458953662297905,0.896953105893273,0.499292342981546,0.858277258708837,0.504164059368932,0,0.290030849556737,0.0229660247655354
"R3388_YZ_5",0.845652215297713,0.493513657931825,0.847177491398733,0.530082289825377,0.820117065463875,0.517824922441061,0.059327656210431,0.225702403759372,0.056648930506234
"R3388_YZ_6",0.925531381287889,0.348747709897415,0.900268691488368,0.393466788442201,0.876266665437064,0.390389605241299,0.296378880614216,0.117427540935785,0.315921210821695
"R3388_YZ_7",0.915921576909824,0.448222835549057,0.864048881738849,0.460478653246575,0.793058335153335,0.449516522529675,0,0.0283112436561871,0
"R3388_YZ_9",0.883398495441662,0.540159972732699,0.844011604306343,0.556736976340384,0.829953690046489,0.547633625448195,0.545220350438364,0.307390556225868,0.409199750224885
"R3388_YZ_10",0.886732158381655,0.420656991492147,0.828298168844957,0.439861797530775,0.820599189768551,0.431544011028828,0,0.00508673212724675,0
"R3388_YZ_11",0.97329169326225,0.454536212085983,0.927316228393013,0.479867622841258,0.898667087989839,0.481742613719223,0.176740882547973,0.196253588185268,0.217824228539389
"R3388_YZ_12",0.981086306519267,0.546743948042799,0.961135894326123,0.551777950340395,0.947711052998958,0.542655561049185,0,0.0415166344831365,0
"R3388_YZ_13",0.916818277502459,0.478131934766512,0.874544021957221,0.504986441527517,0.857269096621003,0.50660494620473,0.187177749903664,0.20709589353865,0.255083309556987
"R3388_YZ_14",0.870950261354676,0.41915073068658,0.831515171950852,0.453998422879227,0.783975413361464,0.458490236984524,0.172804550470091,0.107914715548802,0.160057683565926
"R3388_YZ_15",0.97696343670443,0.506635127399662,0.958574270916726,0.519368925384997,0.945661965282658,0.509801674218322,0,0.0952848230053196,0
"R3388_YZ_16",0.83673840732803,0.42378795849146,0.764586362149992,0.433357691827438,0.720457747870136,0.429483228465726,0,0.0209560417355492,0
"R3388_YZ_17",0.834278188659154,0.501335810818878,0.801865825076577,0.516073813842977,0.790534977614269,0.502705661713399,0,0.0492370223396007,0
"R3388_YZ_19",0.92173955728293,0.568366031051487,0.901189144093983,0.586596275088521,0.882247528233058,0.552764640896918,0.252512494688725,0.22955447149094,0.251889949744532
"R3388_YZ_20",0.985441768002477,0.52621311072368,0.967892080208591,0.54476775935941,0.957693588852832,0.538443225748959,0.566614316153539,0.38757916899761,0.54672412101827
"R3388_YZ_21",0.860434280393658,0.48126816475847,0.792718153084822,0.48511193070033,0.771005030011177,0.479571105160645,0,0.0327799713908766,0
"R3388_YZ_23",0.948426823140574,0.420060332157784,0.921610393773202,0.453189461506449,0.903477621008366,0.457303317860458,0,0.0499587855220801,0
"R3388_YZ_24",0.933092490886846,0.517494180786086,0.88609667881281,0.518800287874787,0.854994646333292,0.513039268346039,0,0.0737817314137607,0
"R3388_YZ_25",0.831445907235081,0.453462873555701,0.81114695659768,0.465475471655692,0.766523181338812,0.451707901705379,0,0.0370520206326301,0
"R3388_YZ_26",0.769774484151404,0.424232002791348,0.789347791267885,0.440637514231824,0.773735997005823,0.428131769148215,0,0,0
"R3388_YZ_27",0.833053038999869,0.436266273417292,0.769514974243785,0.458779172010219,0.745536083015568,0.454051556619358,0,0.0710411015914338,0
