"","Epidish_BPRNACan_CD4","Epidish_BPRNACan3DProMet_CD4","Epidish_BPRNACanProMet_CD4","Epidish_CBSX_LM22_T.cells.CD4.memory.resting","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_LM22_T.cells.CD4.memory.resting","DeconRNASeq_LM22_T.cells.CD4.memory.resting","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__NSCLC.scRNAseq__T_cells_CD4","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4"
"R3388_YZ_1",0.0108427359255277,0.036480755923601,0.0558388997688095,0.476456464424023,0.0262447955123496,0,0.0560150341137239,0.106218443516294,0.0159526184488644,0.361633757088051,0.476456464424023,0.0262447955123496,0,0.0560150341137239,0.218337406788417,0.473347063137067,0,0.0236284191789503,0.101071047535047,0.610067240118329,0.252875311139675
"R3388_YZ_2",0.0139397049181538,0.03683959638529,0.0487367022930511,0.386538479360428,0.260864824498313,0.0399715906985048,0.0242392121458779,0.14838977794357,0.0138346613649744,0.227571705041329,0.386538479360428,0.260864824498313,0.0399715906985048,0.0242392121458779,0.333941302528565,0.261697538469771,0.0805370355071087,0.00552430888866637,0.147290142721406,0.350772053545558,0.223538184545984
"R3388_YZ_3",0,0.0109730956417216,0.0239084580722263,0.326759155413203,0,0,0.0494749765539333,0.0627424639258,0.00441888827013214,0.164357513239853,0.326759155413203,0,0,0.0494749765539333,0,0.318204822740276,0,0.0563809059637849,0.0401816751846574,0.182687419783622,0.116789701725237
"R3388_YZ_4",0,0.0159294684928688,0.0245609535978673,0.420457795608391,0.130481513744802,0,0,0.0693412530590486,0,0.255532713038453,0.420457795608391,0.130481513744802,0,0,0.37682759385892,0.362038742585326,0,0,0.0708061752691792,0.609821421302138,0.361147578307355
"R3388_YZ_5",0.037648735662798,0.0376034909573051,0.0479609267204574,0.502292131998156,0.35974909567145,0.0671475318557167,0.0581932636143464,0.264153339715731,0.0418221938696036,0.440127190971492,0.502292131998156,0.35974909567145,0.0671475318557167,0.0581932636143464,0.58075369111269,0.447690180389218,0.166871689706026,0.135662665297215,0.270556298273245,0.461533622704165,0.505303775985473
"R3388_YZ_6",0.00162247590606776,0.00776088200147461,0.00904274430485788,0.346489510577415,0,0,0.0176809281450702,0,0.00329434346969306,0.461428962648236,0.346489510577415,0,0,0.0176809281450702,0.534593631643945,0.351403736907816,0,0.00595605192711285,0.0441417116238141,0.682864606560159,0.346229115835824
"R3388_YZ_7",0.00448505974191313,0.0259187896802307,0.0513520944788473,0.41217994126273,0.0702797224114005,0.0423237107939675,0.0491698271774364,0.0774851523184298,0.0187672370882529,0.153780131142846,0.41217994126273,0.0702797224114005,0.0423237107939675,0.0491698271774364,0,0.407346510655656,0,0.0447825227123171,0.0733348487288257,0.126924638633757,0.102882491825118
"R3388_YZ_9",0,0.012983868053753,0.0240559152608784,0.38284760694266,0.141228585523893,0,0.0361480456568718,0.221202469611879,0.0272903107901995,0.026543800260326,0.38284760694266,0.141228585523893,0,0.0361480456568718,0.118393209378563,0.39195178600459,0,0,0.217780117463487,0,0.139961264900801
"R3388_YZ_10",0.00601849475097288,0.031334480558503,0.0409875432160376,0.430464515680909,0.218022305999165,0.0234474768560065,0.0650833196338012,0.138937832106952,0.0165957546950838,0.414300343328433,0.430464515680909,0.218022305999165,0.0234474768560065,0.0650833196338012,0.459654472669062,0.326405142355857,0,0.0549367585658358,0.0937636306629981,0.928904378782992,0.493424769888766
"R3388_YZ_11",0,0.0222883658815126,0.032132285135462,0.353152446259066,0.128639585367225,0,0.030843908398647,0.0690292994477347,0.00098714709635335,0.378616532858285,0.353152446259066,0.128639585367225,0,0.030843908398647,0.22638760646069,0.217725698312032,0,0,0.0799542912616462,0.312594366353098,0.208189841530208
