"","Quantiseq_NK_cell","DeconRNASeq_BPRNACan3DProMet_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","Epidish_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__NSCLC.scRNAseq__NKT_cells","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"R3388_YZ_1",0.0633513574210295,0.0907846115046795,0.09984567443948,0.138971971334726,0.111346372564745,0.148381310006008,0.0460493371279025,0,0.0363886434253659,0.0498210486102847,0.10978301587516,0.138971971334726,0.111346372564745,0.148381310006008,0.0460493371279025,0,0.0363886434253659,0,0.133171662712244,0.0312765812779742,0,0,0.0767181901500533
"R3388_YZ_2",0.0730094360327435,0.0813413272480628,0.0907627770727404,0.142482072830605,0.0419525306701998,0.117045147096932,0.0885014174735215,0,0.00706873616854204,0.118690511916923,0.105938976820746,0.142482072830605,0.0419525306701998,0.117045147096932,0.0885014174735215,0,0.00706873616854204,0.111813944542359,0.119037199711049,0.0618918655356531,0,0.0961428769999005,0.127019718908665
"R3388_YZ_3",0.0327789295892615,0.0858320084951079,0.0966308474551861,0.134062126119646,0.110465925246961,0.152642904495211,0.029785750949151,0.00118713976012396,0.0460220302902316,0.023515265993593,0.0969301695544212,0.134062126119646,0.110465925246961,0.152642904495211,0.029785750949151,0.00118713976012396,0.0460220302902316,0,0.101877192904313,0.0295115184485966,0,0.0131272646603592,0.0224227959383219
"R3388_YZ_4",0.0680214786507733,0.0585745813698634,0.059863782304577,0.16022685356252,0.0665102940170832,0.113313918234511,0.117784782275089,0,0.0212616646759698,0.155012079429753,0.22281828082426,0.16022685356252,0.0665102940170832,0.113313918234511,0.117784782275089,0,0.0212616646759698,0.227973067456623,0.293789614409936,0.088902345918311,0,0.214139914689568,0.0550408521243991
"R3388_YZ_5",0.0612889585536256,0.0601758163666318,0.0688222511312021,0.0951038926531772,0.108256302509251,0.114966530734889,0.126696465109942,0,0.0165974340599872,0.0840141582342285,0.105167923270049,0.0951038926531772,0.108256302509251,0.114966530734889,0.126696465109942,0,0.0165974340599872,0.0950737311864889,0.147047725833184,0.109038031894527,0,0,0.0787625480244427
"R3388_YZ_6",0.0718689491377108,0.0959883200207655,0.102388662143398,0.25898742753249,0.122002516868652,0.14779863914821,0.0687785970443697,0.0409912207942185,0.0588121642472916,0.0486849280782717,0.136686764727735,0.25898742753249,0.122002516868652,0.14779863914821,0.0687785970443697,0.0409912207942185,0.0588121642472916,0.11096802601561,0.156133871084853,0.0791926404025177,0.377554712328559,0.0412925165902141,0
"R3388_YZ_7",0.044206739686457,0.0786836146807493,0.0893804901939557,0.0778787034384322,0.083805630595003,0.143139646114624,0.0983212325904854,0.0166181220084115,0.0329718705796806,0.0786395188057129,0.105562661312977,0.0778787034384322,0.083805630595003,0.143139646114624,0.0983212325904854,0.0166181220084115,0.0329718705796806,0,0.111215265446735,0.0912818668665465,0,0,0.0929524485911853
"R3388_YZ_9",0.044896230955226,0.0420058030955739,0.052399878362897,0.0847886350996897,0.0900754047601256,0.11470761608241,0.0823856170385863,0,0,0,0.0536547894571402,0.0847886350996897,0.0900754047601256,0.11470761608241,0.0823856170385863,0,0,0.0262917672301434,0.0962809846351044,0.0569384638126918,0,0.0154976224078855,0
"R3388_YZ_10",0.0808736989373675,0.0872360398069912,0.0963003682784512,0.107959880264984,0.103400503147212,0.136038124062409,0.0875795878762936,0,0.0516860203949862,0.0693309660239435,0.200060769920826,0.107959880264984,0.103400503147212,0.136038124062409,0.0875795878762936,0,0.0516860203949862,0.181674817466755,0.214345173257242,0.0367482232915628,0.167947240293194,0,0.0383808685501534
"R3388_YZ_11",0.0796677707703196,0.0787016581415707,0.0821824972195793,0.251795451868919,0.13983402180054,0.140716315798361,0.0863298435278816,0.0175648633236529,0.0625622026622382,0.0846159656100774,0.297485635140624,0.251795451868919,0.13983402180054,0.140716315798361,0.0863298435278816,0.0175648633236529,0.0625622026622382,0.151272877762502,0.327009627114494,0.0578055001951496,0.314888192143267,0.199855013172372,0.0843793143611022
"R3388_YZ_12",0.040160991849978,0.0645648867968703,0.0726908681603854,0.252416411380763,0.121052905871697,0.168385726605536,0.0518643485253317,0.0113821502564083,0.0505978463347775,0.0613062201811968,0.151858373456922,0.252416411380763,0.121052905871697,0.168385726605536,0.0518643485253317,0.0113821502564083,0.0505978463347775,0.0374509142860798,0.169312847093463,0.0653726735599907,0.113866559224207,0.068915464936353,0
"R3388_YZ_13",0.0477892131665498,0.0593916512553669,0.063011090677912,0.214853826431812,0.113564888672304,0.0927575021141343,0.0977771885350153,0,0.0246790164732865,0.0501222021083333,0.191914593725725,0.214853826431812,0.113564888672304,0.0927575021141343,0.0977771885350153,0,0.0246790164732865,0,0.218743753905509,0,0.23663852838694,0,0
"R3388_YZ_14",0.0591314891441651,0.0674910977338899,0.0717119384776271,0.172662675347298,0.06497693023544,0.0951369930108827,0.099603225823865,0.0134760500594248,0,0.0635990766305234,0.17893821069224,0.172662675347298,0.06497693023544,0.0951369930108827,0.099603225823865,0.0134760500594248,0,0.120513395371133,0.199585272317438,0.078281646602614,0,0.0889239938550359,0.103020124057717
"R3388_YZ_15",0.0811408255268597,0.0723460321104159,0.0794699704690444,0.302701139734202,0.0827921372167713,0.125441636169907,0.000336308875938898,0.060233691664084,0.00031539948961283,0.0642285508015881,0.252857073383408,0.302701139734202,0.0827921372167713,0.125441636169907,0.000336308875938898,0.060233691664084,0.00031539948961283,0.0258299915042622,0.26303488166132,0,0.0514835822785571,0,0.0401008883470651
"R3388_YZ_16",0.0632729262857074,0.0693709331328421,0.0784031436476174,0.0507467470131894,0.0755778710403484,0.115149395194062,0.0635958178647802,0,0.00371920181575961,0.0800823894646942,0.106928651748817,0.0507467470131894,0.0755778710403484,0.115149395194062,0.0635958178647802,0,0.00371920181575961,0.016126426285797,0.109339722803851,0.047066231340792,0,0,0.0176733799054963
"R3388_YZ_17",0.0540409663710247,0.0608450548540561,0.076659484285647,0.0932255461128743,0.1013870597152,0.168568309184454,0.0961998484649233,0,0.0376634397145885,0.0114238779881041,0.107269979671595,0.0932255461128743,0.1013870597152,0.168568309184454,0.0961998484649233,0,0.0376634397145885,0,0.140871063462516,0.0653898647110239,0,0,0
"R3388_YZ_19",0.0337925687168249,0.038322827652016,0.0504071290089433,0.0906258497318096,0.0706869788639808,0.132321264208578,0.107714128988524,0,0.0222356856082851,0.0314370800843295,0.0682008711973946,0.0906258497318096,0.0706869788639808,0.132321264208578,0.107714128988524,0,0.0222356856082851,0.017535804370526,0.102666405859548,0.0840493073716889,0.078774577080013,0,0.0465908562383597
"R3388_YZ_20",0.0351089758513427,0.0729280247781601,0.082247617233515,0.241791619743109,0.105872848048765,0.15659429024312,0.0817837703567429,0.0352706611780976,0.0294726202285974,0,0.0777808718337383,0.241791619743109,0.105872848048765,0.15659429024312,0.0817837703567429,0.0352706611780976,0.0294726202285974,0,0.134553166401527,0.0908671190202307,0.125521511932766,0.0149632197924369,0
"R3388_YZ_21",0.0675201128463513,0.0636016647297334,0.0720571629171685,0.0748239084886475,0.019899403651961,0.1013132619114,0.0735354243136563,0,0,0.0928320901545528,0.201220868360194,0.0748239084886475,0.019899403651961,0.1013132619114,0.0735354243136563,0,0,0.184505036980369,0.214455174917218,0.0313719157321344,0,0.169037199484607,0.0656767973029723
"R3388_YZ_23",0.0631012857161817,0.077789397246406,0.0839732647256243,0.256404946193249,0.119557110078928,0.128547741488435,0.0417851527741941,0,0.0514369071603529,0.0189751114814441,0.296032745791203,0.256404946193249,0.119557110078928,0.128547741488435,0.0417851527741941,0,0.0514369071603529,0,0.302953257925936,0.0571763389235243,0,0.0780444257339448,0.0236864158809877
"R3388_YZ_24",0.065049788541126,0.0614242570077079,0.0691825865356722,0.124824664962413,0.0546748419405376,0.138145497384496,0.0850261776759268,0,0,0.0378065413252826,0.110214681737786,0.124824664962413,0.0546748419405376,0.138145497384496,0.0850261776759268,0,0,0,0.127691716337298,0.0554926407652337,0,0,0
"R3388_YZ_25",0.0481801738615069,0.0624418144669387,0.0761581338298941,0.112214845127068,0.132521618621339,0.136034998505236,0.0868309441051721,0,0.0295318165895756,0.0710491669596674,0.0789193536599396,0.112214845127068,0.132521618621339,0.136034998505236,0.0868309441051721,0,0.0295318165895756,0.0275371977255192,0.0884821393908525,0.0630523627389667,0,0,0.0247439917186674
"R3388_YZ_26",0.051013429682466,0.0808910257098891,0.0940238911558411,0,0.0554568478523069,0.158107214694893,0.0421824162939362,0,0.0321492004542797,0.034811484698734,0.070795957250231,0,0.0554568478523069,0.158107214694893,0.0421824162939362,0,0.0321492004542797,0,0.0661951626607097,0.0339985537320783,0,0,0.0639377898844506
"R3388_YZ_27",0.0591221622060644,0.0695159247370458,0.0771107128811224,0.0759352894541829,0.0669960153266464,0.109541994892167,0.0826120249278078,0,0.0068162784661603,0.0786114891120799,0.0954364879193801,0.0759352894541829,0.0669960153266464,0.109541994892167,0.0826120249278078,0,0.0068162784661603,0.0220274786982907,0.104186851506441,0.0708320709017829,0,0.0179283207139605,0.0494077307884403
"R3388_YZ_28",0.0549400403593685,0.0595299481240684,0.068893341351914,0.0523948841251188,0.029358584571318,0.105061361557346,0.0970818042947374,0,0,0.0499019132610492,0.125228495012431,0.0523948841251188,0.029358584571318,0.105061361557346,0.0970818042947374,0,0,0.0485217601603607,0.152193781439647,0.0797095751362987,0.0335226909690225,0.123126009850755,0.106592341457307
"R3388_YZ_29",0.0509031136380898,0.0781329571523405,0.0843170019541026,0.290867707710363,0.0441601161088504,0.116324720185557,0.105396807899226,0.00153207671167691,0.0329491203495948,0.0044388699172321,0.108113405889764,0.290867707710363,0.0441601161088504,0.116324720185557,0.105396807899226,0.00153207671167691,0.0329491203495948,0,0.128908046082851,0.0414024588736045,0,0,0.00623612862635117
"R3388_YZ_30",0.0292048387879082,0.078294133547324,0.0916769269308748,0.129998231367215,0.0625750549391133,0.131203809732425,0.0563186022974708,0,0.0191004504008663,0.000371012191196901,0.0690131865678729,0.129998231367215,0.0625750549391133,0.131203809732425,0.0563186022974708,0,0.0191004504008663,0,0.108198733756221,0.0597982622023366,0,0,0
