"","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"R3388_YZ_1",0.144034565212157,0.0788895153187067,0.144034565212157,0.0788895153187067,0.155500695511339
"R3388_YZ_2",0.0885322665481604,0.0393479166668223,0.0885322665481604,0.0393479166668223,0.0979221346460359
"R3388_YZ_3",0.194134097920282,0.0944957241262147,0.194134097920282,0.0944957241262147,0.206267936641958
"R3388_YZ_4",0.00226222267760311,0.0322987228270414,0.00226222267760311,0.0322987228270414,0
"R3388_YZ_5",0.0563111145836889,0.113714015767487,0.0563111145836889,0.113714015767487,0.0597052388774445
"R3388_YZ_6",0.0641480401948351,0.0959147113893348,0.0641480401948351,0.0959147113893348,0.0415941743973313
"R3388_YZ_7",0.116231145467701,0.0991858740537905,0.116231145467701,0.0991858740537905,0.112569939919706
"R3388_YZ_9",0.0877007000179997,0.0207740870601256,0.0877007000179997,0.0207740870601256,0.081490674699587
"R3388_YZ_10",0.0387758561977779,0.0700928470078285,0.0387758561977779,0.0700928470078285,0.0108224528695089
"R3388_YZ_11",0.0635880003351795,0.0740444489442406,0.0635880003351795,0.0740444489442406,0.0604856175731035
"R3388_YZ_12",0.215418082852465,0.165634579205919,0.215418082852465,0.165634579205919,0.254039062832124
"R3388_YZ_13",0.0587958875137819,0.0674056783453863,0.0587958875137819,0.0674056783453863,0.0261217883530342
"R3388_YZ_14",0.0829550508971642,0.118326376093578,0.0829550508971642,0.118326376093578,0.0927001593166596
"R3388_YZ_15",0,0.0505860461179277,0,0.0505860461179277,0
"R3388_YZ_16",0.0946266193134367,0.0930811721409852,0.0946266193134367,0.0930811721409852,0.0924804845418445
"R3388_YZ_17",0.0484235230929702,0.0817775678638786,0.0484235230929702,0.0817775678638786,0.0471331862240274
"R3388_YZ_19",0.106206666070595,0.0786847657140459,0.106206666070595,0.0786847657140459,0.127222006244713
"R3388_YZ_20",0.0830658132588772,0.0840207636840139,0.0830658132588772,0.0840207636840139,0.112905833493381
"R3388_YZ_21",0.0390793649310159,0.0170100274811795,0.0390793649310159,0.0170100274811795,0.0421295027714131
"R3388_YZ_23",0.205716894886248,0.0631041318707424,0.205716894886248,0.0631041318707424,0.214104408770874
"R3388_YZ_24",0.113502039565088,0.105127183673262,0.113502039565088,0.105127183673262,0.0877293189294464
"R3388_YZ_25",0.107524635671328,0.057832669394824,0.107524635671328,0.057832669394824,0.13154274407759
"R3388_YZ_26",0.243488256455443,0.271269959769954,0.243488256455443,0.271269959769954,0.230452955098077
"R3388_YZ_27",0.0317749809083538,0,0.0317749809083538,0,0.0215819817323963
"R3388_YZ_28",0.117938054673018,0.1837347906575,0.117938054673018,0.1837347906575,0.203811901987694
"R3388_YZ_29",0.0387698762316559,0.0817880115960681,0.0387698762316559,0.0817880115960681,0.0338435356902434
"R3388_YZ_30",0.027316650972605,0.0332452842048042,0.027316650972605,0.0332452842048042,0.0182557845255333
"R3388_YZ_31",0.150315908937913,0.192256483176459,0.150315908937913,0.192256483176459,0.191970104868295
"R3388_YZ_32",0.165709235730306,0.128253774534059,0.165709235730306,0.128253774534059,0.148622045361602
"R3388_YZ_33",0.0767948195986536,0.140004343245488,0.0767948195986536,0.140004343245488,0.100182042833035
"R3388_YZ_34",0.0442417063984421,0.0143868988449559,0.0442417063984421,0.0143868988449559,0.0645571248823745
"R3388_YZ_35",0.0721827298676079,0.0787461316463267,0.0721827298676079,0.0787461316463267,0.0579827640875006
"R3388_YZ_36",0.1036908253934,0.130692107546639,0.1036908253934,0.130692107546639,0.0741618881664838
"R3388_YZ_37",0.318028347362736,0.380137942276317,0.318028347362736,0.380137942276317,0.357342266573358
"R3388_YZ_38",0.0952449460201298,0.0613987300591789,0.0952449460201298,0.0613987300591789,0.116655039459294
"R3388_YZ_39",0.0199547678308806,0.0254411223253862,0.0199547678308806,0.0254411223253862,0.0367567842498076
"R3388_YZ_40",0.130444117770071,0.11296626525751,0.130444117770071,0.11296626525751,0.176292994883422
"R3388_YZ_41",0.00499583226846029,0.0290398074969791,0.00499583226846029,0.0290398074969791,0.0346807436499367
"R3388_YZ_42",0.0300831194031592,0.0796890590695387,0.0300831194031592,0.0796890590695387,0.0485743369319679
"R3388_YZ_43",0.190537231171072,0.115640798616192,0.190537231171072,0.115640798616192,0.181339532509711
"R3388_YZ_44",0.151007224211929,0.141392175067057,0.151007224211929,0.141392175067057,0.134479787675238
"R3388_YZ_47",0.011858404028689,0.0850713397316134,0.011858404028689,0.0850713397316134,0.0217689564341421
"R3388_YZ_48",0.0730810125481813,0.0764651746028392,0.0730810125481813,0.0764651746028392,0.0716092778145197
"R3388_YZ_49",0.0224655497665472,0.0086568396923619,0.0224655497665472,0.0086568396923619,0.00684501028545146
"R3388_YZ_50",0.0498241161144667,0.0528655268311066,0.0498241161144667,0.0528655268311066,0.0312832919994251
"R3388_YZ_51",0.0374242463905282,0.0681877314271442,0.0374242463905282,0.0681877314271442,0.0252149508606609
"R3388_YZ_52",0.190759162652581,0.0985874707641644,0.190759162652581,0.0985874707641644,0.191305192384582
"R3388_YZ_54",0.054212256776668,0.205404589625016,0.054212256776668,0.205404589625016,0.0539150729651632
"R3388_YZ_55",0.206340263148341,0.313307478984628,0.206340263148341,0.313307478984628,0.269153936134344
"R3388_YZ_57",0.159363748857727,0.253056680120177,0.159363748857727,0.253056680120177,0.187228431709701
"R3388_YZ_58",0.10542594513307,0.0653731101594779,0.10542594513307,0.0653731101594779,0.117300163744134
"R3388_YZ_60",0.0753544799428033,0.0680449544304986,0.0753544799428033,0.0680449544304986,0.0861081096088282
"R3388_YZ_61",0.13399808384789,0.142817237612959,0.13399808384789,0.142817237612959,0.10453448269084
"R3388_YZ_62",0.0530914097096776,0.0657506354418602,0.0530914097096776,0.0657506354418602,0.0758495100011599
"R4163_YZ_1",0.0949517661510069,0.0362955288046001,0.0949517661510069,0.0362955288046001,0.0667578847975384
"R4163_YZ_2",0.0116191061678485,0.00754720947798856,0.0116191061678485,0.00754720947798856,0.0227006545840837
"R4163_YZ_3",0.0459848349104602,0.0528856632358263,0.0459848349104602,0.0528856632358263,0.0549180155900456
"R4163_YZ_5",0.0985496851143864,0.0379639454102355,0.0985496851143864,0.0379639454102355,0.089283077816782
"R4163_YZ_7",0.0357231498201139,0.0471465196262481,0.0357231498201139,0.0471465196262481,0.0388046813791165
"R4163_YZ_8",0.0574530398071244,0.0561370720549507,0.0574530398071244,0.0561370720549507,0.035330016203717
"R4163_YZ_9",0.254812997516138,0.0876150581651145,0.254812997516138,0.0876150581651145,0.287043921871691
"R4163_YZ_16",0.268400987080628,0.0579315020404604,0.268400987080628,0.0579315020404604,0.177005739986153
"R4163_YZ_17",0.0278747995880619,0,0.0278747995880619,0,0.0226821206662212
"R4163_YZ_18",0.0554500941931978,0.0220152169361462,0.0554500941931978,0.0220152169361462,0.052043044198248
"R4163_YZ_19",0.030112359885494,0.0213125094007613,0.030112359885494,0.0213125094007613,0.0460046297651546
"R4163_YZ_20",0.120423926572622,0.0411250098765181,0.120423926572622,0.0411250098765181,0.138804307742136
"R4163_YZ_21",0.0554646050725824,0.0138112102495358,0.0554646050725824,0.0138112102495358,0.065241633269527
"R4163_YZ_22",0.0790294428072167,0.0371867121108862,0.0790294428072167,0.0371867121108862,0.0836580371137167
"R4163_YZ_23",0.0781317309555918,0.0902567973783602,0.0781317309555918,0.0902567973783602,0.0895443786369548
"R4163_YZ_25",0.034620397763553,0.0179947876791163,0.034620397763553,0.0179947876791163,0
"R4163_YZ_26",0,0.029217943863382,0,0.029217943863382,0
"R4163_YZ_28",0.0239914565514847,0.0505491462638923,0.0239914565514847,0.0505491462638923,0.0300235358944389
