"","Quantiseq_Monocyte","MCP_Monocytic_lineage","DeconRNASeq_BPRNACan_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_CBSX_LM22_Monocytes","DeconRNASeq_CBSX_LM22_Monocytes","Epidish_CCLE_TIL10_Monocytes","DeconRNASeq_CCLE_TIL10_Monocytes","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_LM22_Monocytes","DeconRNASeq_LM22_Monocytes","Epidish_TIL10_Monocytes","DeconRNASeq_TIL10_Monocytes","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__TIL10__Monocytes","CBSX__CCLE.TIL10__Monocytes"
"Patient100",0.0598545229472731,76.3761727551,0.103504604202045,0.106270033189844,0.0949456578202298,0,0.208278291071036,0.0225969048608326,0.0043342168164691,0.0141840588037021,0,0.176523892879141,0.164221774978136,0,0.208278291071036,0.0225969048608326,0.0043342168164691,0.0538810011128669,0,0.0184574646133617,0,0.0135481375501607,0
"Patient102",0.0595160612689649,20.0621956512814,0.0809840105677094,0.0773721812136522,0.0677658763643603,0.108667331056161,0.23637394560221,0.0063152071758722,0.0204914974993551,0.038921035513402,0.013352636989798,0.253559751298837,0.192492660387622,0.108667331056161,0.23637394560221,0.0063152071758722,0.0204914974993551,0.146962767925243,0.0312853668720736,0.032493643719132,0.125771477700077,0.187424444364474,0.0478290443087657
"Patient105",0.093189333791041,1.993683161723,0.0717274752382709,0.067093837933469,0.0533879554367575,0,0.215324447370285,0.0204638697524217,0.0390833598542308,0,0.0818672806685388,0.114077330116939,0.0470712275495941,0,0.215324447370285,0.0204638697524217,0.0390833598542308,0,0.159253497738059,0.0227081185340774,0,0.237894555807977,0.00103494608044548
"Patient106",0.0105150854887892,16.8868850871343,0.0378072812146154,0.0350109370281773,0.0200358853894462,0.0107660070671645,0.219569012430525,0,0.00204428564808146,0.00936734791344673,0.00381789169117824,0.0326871928083124,0.039072262685727,0.0107660070671645,0.219569012430525,0,0.00204428564808146,0.125377068535435,0.0284343355813289,0,0.0215448470871268,0.229964200587337,0.0474618990670705
"Patient107",0.051693763502157,0,0.0697725187975522,0.0661831241140054,0.0539924517661913,0,0.236339986265791,0.0315013874913793,0.0104027715945031,0,0.00455135731364156,0,0.135333571358946,0,0.236339986265791,0.0315013874913793,0.0104027715945031,0,0.00543089679612886,0.0520607563949499,0,0.0762441684405147,0
"Patient108",0.0188701536561572,4.20983137179429,0.0621151949905176,0.0591860237947924,0.0457712512323751,0.0139885599127606,0.21674334563099,0,0.0383483383003456,0,0.00936517928566574,0.118078099826673,0.0402428959091445,0.0139885599127606,0.21674334563099,0,0.0383483383003456,0,0.0184432921349391,0.00599742414443624,0.0308844800385671,0.0264160568368349,0.0413058665307471
"Patient10",0.051478738085388,12.1276378377643,0.0464679311385156,0.0418887039162835,0.0266233985033827,0.0290668004529858,0.224308819214266,0.0408518900982725,0,0,0.0402584062404458,0.0680962722757534,0.0624817169183326,0.0290668004529858,0.224308819214266,0.0408518900982725,0,0,0.199300061192824,0.0425855921347244,0,0.264502594645598,0.0152468306953658
"Patient112",0.0528765080079738,10.8755195463043,0.0284760318507301,0.0271577406057036,0.0197408639859705,0.0299818276379421,0.215544970993022,0.0282488943021146,0.0105870084689406,0.190814974573698,0.0458145376604904,0.0634692210870312,0.127181269578016,0.0299818276379421,0.215544970993022,0.0282488943021146,0.0105870084689406,0.830845385109605,0.0821522051132281,0.059541398899919,0.0109065830399079,0.492237367067816,0.205517289469937
"Patient116",0.179539312732909,11.4245601385557,0.0496720090409763,0.0477307649186176,0.0315878247381579,0.0623052618299432,0.227494970591132,0.0632294188117948,0.0511276249094354,0.114650390022072,0.0902152169585743,0.0289769556345238,0.0199877986158813,0.0623052618299432,0.227494970591132,0.0632294188117948,0.0511276249094354,0.76585200856414,0.187444010428128,0.0568790753792491,0.0366732058804433,0.557111865592751,0.109391305033948
"Patient117",0.0127424401441437,73.2278160772,0.0985839535612941,0.0971375375123854,0.0867061050651451,0,0.243931418896346,0.00143179957379157,0.011369150889966,0.193011362994693,0,0.330671031851518,0.149212286343858,0,0.243931418896346,0.00143179957379157,0.011369150889966,0.152205843655639,0.00863155414481378,0.023600435230357,0.0119175407885909,0.245216972728577,0.0465410630873907
"Patient11",0.104032308420496,10.86608702476,0.0673803749547506,0.0627637157390306,0.0521288212513267,0.0214305576663423,0.218886112464751,0.0597112879731267,0.0428124829789533,0.0155862405838099,0.0514750678906801,0.0510499636412717,0.0279338663688582,0.0214305576663423,0.218886112464751,0.0597112879731267,0.0428124829789533,0.194329247264829,0.0951605271663151,0.0912218430699699,0.0327271136938693,0.0891070163833948,0.00106038863632515
"Patient121",0.103590223495027,21.7602007909643,0.0720037843424622,0.0685881055859555,0.0576516631485733,0,0.218752384173464,0.0315664933180084,0.0256197878739431,0.102434209234512,0.0188083258248582,0.169695396003626,0.145837077538937,0,0.218752384173464,0.0315664933180084,0.0256197878739431,0.468935329530884,0.0518992607761962,0.0276515529098528,0,0.358740795975721,0.059418748355862
"Patient125",0.0180221128362428,40.1989563379771,0.139022807175883,0.145060431455544,0.129931596175529,0,0.12438595669952,0.00506718551025374,0.00398742896484224,0,0,0.126125761259664,0.0898651830902157,0,0.12438595669952,0.00506718551025374,0.00398742896484224,0,0,0.0176185040016294,0,0,0
"Patient126",0.183605600922807,28.7930805760457,0.102788002009606,0.0994446048024352,0.0826798631923942,0,0.205284855866099,0.0295391511980531,0.0138082170564389,0,0.0323225970895705,0.288962079084063,0.12380744084903,0,0.205284855866099,0.0295391511980531,0.0138082170564389,0,0.055792436777741,0.0441025042918484,0,0,0
"Patient127",0.0181107785908988,7.62774699759714,0.100671030337604,0.0952990291434378,0.0777310100018605,0.0370622668569819,0.231306452849729,0.00255744306953401,0.0375184813198897,0.0246422126542545,0,0.0396241425657324,0.141670805559908,0.0370622668569819,0.231306452849729,0.00255744306953401,0.0375184813198897,0.0993300652457176,0.0259990093383449,0.0130770939525833,0.0525940846383117,0.197610228678238,0
"Patient130",0,21.6243640319057,0.054524101002828,0.0506789646204661,0.0431037543471333,0,0.206308167956105,0.0229441624769912,0.0114064360705524,0,0,0.278038095772118,0.213557298765842,0,0.206308167956105,0.0229441624769912,0.0114064360705524,0,0,0.0476589891307291,0.0128118581452944,0,0
"Patient131",0,48.1951431327629,0.104798915589027,0.101496732194191,0.083484473947232,0.0935051677466995,0.317665854954527,0.0856749592014312,0.0539559511657547,0.0805980024400278,0,0.2865522018376,0.131399260409204,0.0935051677466995,0.317665854954527,0.0856749592014312,0.0539559511657547,0.29149020183138,0.00654181145359593,0.0667702875025323,0.0827458597839441,0.354307544095574,0.125868038875701
"Patient132",0.0271548579637152,25.9341461635857,0.105366954347454,0.103871015890607,0.0910333923894222,0,0.205022428959186,0.0198118119533628,0.00599537277734044,0.0286869225893044,0,0.15542924995926,0.116297926600516,0,0.205022428959186,0.0198118119533628,0.00599537277734044,0.053627489785328,0,0.0183257647054753,0,0,0.0211154606914738
"Patient133",0.0460682101521618,19.6682527123429,0.0610657174110825,0.0593729945256513,0.0530780119377105,0.0493195006280258,0.22716358528025,0.00619810716777059,0.00672932716293109,0.0331856514239398,0.00272794362094788,0.286381925085681,0.22305382972971,0.0493195006280258,0.22716358528025,0.00619810716777059,0.00672932716293109,0.195650567842325,0.0352664921952508,0.025841162783422,0.0385125685772444,0.0628547192777587,0.0215520255300226
"Patient134",0.0576950641055883,19.2377681914771,0.0857094729853241,0.0833705417231739,0.068579465591391,0.154347518742682,0.260730197060016,0.0229013033354598,0.00554683302612583,0.19837565970974,0.193985172248571,0.171647207274157,0.121798381389831,0.154347518742682,0.260730197060016,0.0229013033354598,0.00554683302612583,0.538090309734972,0.235861937862535,0.0546420477201746,0.148466372322048,0.493573116307184,0.11993184328707
"Patient135",0,22.2342792030571,0.0834092305831765,0.0801574673346762,0.0683740579968955,0.00203101316938019,0.252551070951699,0.0146467443319934,0.0324332198351871,0.00818724787306984,0,0.140208543970227,0.101311031431733,0.00203101316938019,0.252551070951699,0.0146467443319934,0.0324332198351871,0.372998323785953,0,0,0.0222163818564225,0,0
"Patient137",0.163788316197534,61.8532544723843,0.0977452924822688,0.0986642884935599,0.0827817285672582,0,0.132250960301375,0,0.00177818144509917,0.0455164928079241,0.0648352232659946,0.152823985450097,0.181754983456551,0,0.132250960301375,0,0.00177818144509917,0.139049172467522,0.098265494154718,0,0,0.159309739039685,0.0313049508181868
"Patient13",0.0805549306726577,7.64996487868429,0.128574746509394,0.123541834835351,0.103591909510054,0.0727469585410588,0.234127847194897,0.07039127477839,0.0478488644912949,0.0244852408268391,0.0284929606640744,0.0698563731952227,0.0935292531831522,0.0727469585410588,0.234127847194897,0.07039127477839,0.0478488644912949,0.621178318451477,0.0905504508216709,0.0820048392970007,0.0859317757019155,0.314404267790715,0
"Patient140",0.0657077902259662,7.05797130238,0.0451621725531834,0.0427989030881533,0.0292694802927694,0.0561790252106135,0.221332450429064,0.0403366529969051,0.0585314507647201,0,0.0231177502589675,0.210255779938154,0.118193162970268,0.0561790252106135,0.221332450429064,0.0403366529969051,0.0585314507647201,0,0.0635509479615096,0.0213924593850855,0.0356597712217649,0.0179750234729164,0
"Patient141",0.0640583607466916,1.86128735247871,0.0592822206673106,0.0564462205855129,0.0456508788070334,0.054138517679287,0.222000227035025,0,0.0343049820142785,0.00550655048576997,0,0.131207518404445,0.128649906716096,0.054138517679287,0.222000227035025,0,0.0343049820142785,0.118948250895659,0,0,0.0802673735334168,0.0920443057001316,0.00584283354306072
"Patient142",0,32.668623585,0.0881695805860767,0.0851766503124283,0.0721312657438903,0.0215248538489769,0.309077733000699,0.0340139515369762,0.0539317068385892,0.0420640536150654,0,0.143806903634557,0.12163205805687,0.0215248538489769,0.309077733000699,0.0340139515369762,0.0539317068385892,0.343395384433658,0,0.0299321923973347,0.0530646507004447,0.479713507199511,0
"Patient143",0,5.97310540347143,0.0864573201998161,0.0876138075216679,0.0785976261505557,0,0.25576955394094,0.00229270828636555,0.0522863212470125,0,0.0233307855754605,0.0298213388346418,0.00593385229184298,0,0.25576955394094,0.00229270828636555,0.0522863212470125,0,0.0108290528537333,0.110868055754565,0,0.142903796541466,0
"Patient144",0.119739223101718,18.54832471023,0.0505392519148616,0.0442367347689408,0.0333131407503448,0.0778954720931559,0.248698249462509,0.0630137675783058,0.0464706934989534,0,0.0320192871421649,0.1459628466137,0.0677499649591163,0.0778954720931559,0.248698249462509,0.0630137675783058,0.0464706934989534,0,0.0538970558966383,0.0197475268726233,0.0385767608276195,0,0.00608561061590558
"Patient145",0,43.9349585032143,0.0832856258819345,0.079483871917517,0.0678655173402434,0.00554097444432833,0.272635734674286,0.0289840672854344,0.0687454718451186,0.0503291934016471,0,0.265695580293831,0.186677222487834,0.00554097444432833,0.272635734674286,0.0289840672854344,0.0687454718451186,0.199248299586837,0,0.0176238673408354,0.026889865167353,0.306460052964464,0
"Patient146",0.155642627918939,11.16880296554,0.0403096073976921,0.0379234473657392,0.0238226491073036,0.0350785078488446,0.227937515514629,0,0,0.0629885385372085,0.0753437471659194,0.0713345057700215,0.0901455379621549,0.0350785078488446,0.227937515514629,0,0,0.35875321789866,0.141141538277639,0.00262338904824448,0.0301058959350559,0.313729311385726,0.0513138616448134
"Patient147",0.0766069774127043,3.81030124784571,0.03550864430049,0.0342542316872159,0.0217621623724825,0.0645763239388601,0.220009238015,0.0262631577318092,0.0508478177394268,0.0129033782689576,0.00335799053513344,0.0274028781682966,0.0597710232455173,0.0645763239388601,0.220009238015,0.0262631577318092,0.0508478177394268,0.496699244390938,0.0472369698029355,0.0671907739877832,0.0453424986560362,0.551505574326692,0
"Patient148",0,30.1623472188871,0.0896356249429614,0.0850833185642229,0.0748627794789293,0.0219318055824451,0.219841338299011,0.0196899017955032,0.0479391471443567,0.00674288147310904,0.0335248499964913,0.127998608481235,0.134963945237002,0.0219318055824451,0.219841338299011,0.0196899017955032,0.0479391471443567,0.246962405870652,0.0479233853894075,0.0529004190662268,0.0323977193442081,0.594694480503966,0.0626947960769955
"Patient149",0,67.6889042468143,0.119077192924826,0.118105946915426,0.104671667828688,0.0273671816407563,0.231365622240166,0.0964025186043836,0.0267024640169563,0.0125676419805553,0,0.221313399749406,0.213547402689184,0.0273671816407563,0.231365622240166,0.0964025186043836,0.0267024640169563,0.021912293486851,0,0.129786138152551,0.0218278491694753,0,0.0128446505029978
"Patient14",0.119250525123834,32.5804449092714,0.0925469504380455,0.0876923136339138,0.0734844227829103,0.0142154839412449,0.246248967034231,0.0797595097488386,0.0648454673637725,0.0466904890866706,0.0863837445354474,0.258444242125229,0.158992649610388,0.0142154839412449,0.246248967034231,0.0797595097488386,0.0648454673637725,0.242974543449193,0.129861025379881,0.0980991214646204,0.028300547433203,0.682376893210966,0.116092026478842
"Patient150",0.130969779840708,14.0351059145871,0.0818937092299786,0.077660935193186,0.058743777913099,0.0283047921359802,0.216859608808599,0.0250842532254394,0.0199381555205809,0.00312074445040343,0.0294191144579541,0.113193137783183,0.0374376694176054,0.0283047921359802,0.216859608808599,0.0250842532254394,0.0199381555205809,0,0.0720919513753293,0.0105889480609635,0.0369748303010986,0,0.0103391440041469
"Patient154",0.175306475481393,12.9099918171471,0.0454478006039549,0.0448362284288917,0.0288726735685706,0.0480660285143217,0.225476893726514,0.00188403737891686,0.00925294617052945,0.618960158877588,0.204264980654916,0.150436398977769,0.0954030974060176,0.0480660285143217,0.225476893726514,0.00188403737891686,0.00925294617052945,0.949649477790544,0.223679699159913,0.00415050333610304,0.0151297867022523,0.780475950994389,0.595484273305292
"Patient155",0.170485661546625,13.7331325961929,0.0460208448861406,0.0430072060195681,0.0288882332175364,0.42585304524673,0.244802817742232,0,0.0431934374361748,0.20165925343954,0.267292593473619,0.0419976454160886,0.0541095939207362,0.42585304524673,0.244802817742232,0,0.0431934374361748,0.872529599052906,0.386424329730718,0.00582507488336857,0.362823837692129,0.737096785828411,0.200488218038873
"Patient156",0.0398808912703788,20.4408501041486,0.0654585582179834,0.0596001388223408,0.0490834331475906,0.0883575947680045,0.231878359634146,0,0.0522297025833228,0.0197933953129419,0.0222871047386632,0.00144144536785647,0.0496666506559716,0.0883575947680045,0.231878359634146,0,0.0522297025833228,0.535149122247732,0.0463026505206868,0,0.0783562460276977,0.494971826199856,0
"Patient158",0.176902645212401,10.8729704985657,0.149663439391483,0.132815543256347,0.113695589469238,0.000941947984377988,0.258195023404165,0.0127095426613846,0.000153468043252586,0.0270289732202035,0.0309059895758647,0.0980088067606571,0.10175103628113,0.000941947984377988,0.258195023404165,0.0127095426613846,0.000153468043252586,0.664983766444005,0.13034848108502,0.00931632874477856,0,0.223919553736337,0.0153940132990785
"Patient159",0.0155536589760035,13.9599374014129,0.0521088905935034,0.051165388829646,0.0381464148359296,0.0890282742871501,0.224418186063345,0.0453566247331056,0.023647916143648,0,0,0.00984190570979208,0.0209939225838792,0.0890282742871501,0.224418186063345,0.0453566247331056,0.023647916143648,0,0,0.0481124784020544,0.090391703992169,0.00761956415771254,0
"Patient15",0.0824598272327011,18.15838770298,0.097685717599553,0.0950268848842394,0.0790407031602161,0,0.214456833727422,0,0.044289429706877,0.0245651344286113,0.0144176205801473,0.165752894698138,0.0957486511941115,0,0.214456833727422,0,0.044289429706877,0.159492053563911,0.0470392509140396,0.007614888813269,0,0.156454679492002,0.0274269592261335
"Patient162",0.308008569590116,10.2612702257414,0.073866150049343,0.0695568212413786,0.057404170950938,0,0.215446506125148,0.0347462114168656,0.00623249855261098,0.0290868414897877,0.108305353051044,0.078180355781827,0.108576866281842,0,0.215446506125148,0.0347462114168656,0.00623249855261098,0.149202245264498,0.131520978276493,0.0292353446182726,0.0180412770796164,0.190189666905094,0.0895689115648351
"Patient163",0.115804541092778,11.9551329989371,0.116923783143337,0.111460977762709,0.0905433628696858,0.0204561001571105,0.21734949743361,0.0238941653876764,0.0175523101167969,0.0823602639952818,0.0693309508062216,0.18657263305305,0.0788006135168741,0.0204561001571105,0.21734949743361,0.0238941653876764,0.0175523101167969,0.478853047723278,0.134654437931466,0.0239075006740855,0,0.110610187772691,0.0489932057224562
"Patient165",0.035532139571796,16.6021119264343,0.0593677135234289,0.0528337705319715,0.0406296504095424,0.0392771555871248,0.230519739834402,0,0.0365330634015367,0.0139518635510268,0.0193703201939096,0.105978585590173,0.0900658861791077,0.0392771555871248,0.230519739834402,0,0.0365330634015367,0.30467275299195,0.0768546449963875,0,0.0531683382727942,0.215741839803374,0.03952118392549
