"","Epidish_CBSX_LM22_Dendritic.cells.activated","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_CBSX_LM22_Dendritic.cells.activated","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","DeconRNASeq_CCLE_TIL10_Dendritic.cells","Epidish_LM22_Dendritic.cells.activated","DeconRNASeq_LM22_Dendritic.cells.resting","DeconRNASeq_LM22_Dendritic.cells.activated","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_activated","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"LP.01.04",0.0396025369130358,0.00677141991927485,0.0554247516722247,0.173589251137838,0.0712020692629764,0.0503701109161251,0.0163005310630236,0.0396025369130358,0.00677141991927485,0.0554247516722247,0.0699105232556785,0.0582568324499897,0.0463833096310897,0.158330628558148,0.135300026690417,0.0957190524448048
"LP.01.12",0.0297545851952745,0.00375862512819179,0.172760699596172,0,0.0209787322768568,0.0733169506599395,0,0.0297545851952745,0.00375862512819179,0.172760699596172,0,0.0246917531949377,0.0144819921631902,0.00939754091296455,0.0867097404188195,0.0797371132573306
"LP.01.14",0.0249731558716617,0.0138844087806507,0.0373467579674173,0.0484438159457568,0.0359734045697374,0.029516986489484,0,0.0249731558716617,0.0138844087806507,0.0373467579674173,0.0157505591653073,0,0.0229964692246502,0.0409007202478644,0.106227732489344,0
"LP.01.15",0.0301047288011897,0,0.114987193861147,0.0743194686013377,0.0559954648658635,0,0.015973926834499,0.0301047288011897,0,0.114987193861147,0,0.0384934431201413,0.0292883284957179,0.0937826684766849,0.0838806609771308,0.0481504995089833
"LP.01.17",0,0,0.0575143609250403,0.0014113919377755,0.0362715587236996,0.0743144311365205,0,0,0,0.0575143609250403,0,0,0,0.00446903535278252,0,0.172331412229346
"LP.01.18",0.0775731295671435,0.0230798067063639,0.164663745010967,0.122111451768803,0.059685085065402,0,0,0.0775731295671435,0.0230798067063639,0.164663745010967,0,0,0.101987922540103,0.126980326851241,0.17107125709391,0.022313963509388
"LP.01.20",0.0317492991868479,0.0135000721291397,0.0478081087468894,0.0949983326167249,0.0453639322730577,0.307284614313646,0.0552824119105696,0.0317492991868479,0.0135000721291397,0.0478081087468894,0.509224190135005,0.0875968573154727,0.0688208486148756,0.0757001986878162,0.231354956794801,0.187452743201057
"LP.01.22",0.0866995015691996,0.0349723963624407,0.122448517311083,0.255537931992062,0.0599148027631805,0,0.0408163066995509,0.0866995015691996,0.0349723963624407,0.122448517311083,0,0.0791537737351043,0.119257821027901,0.175844696643091,0,0.305782126633538
"LP.01.25",0.0450068574655562,0.0101547433766775,0.0654710771827252,0.0157637139875691,0.0230001297789596,0,0,0.0450068574655562,0.0101547433766775,0.0654710771827252,0.0113805041370209,0.0289053542819007,0.0344422458496192,0.0704762473679185,0,0.0835707463274078
"LP.01.28",0.0444935508745806,0.00558298139084994,0.07005744452103,0.0349310447772413,0.0112511471895238,0,0.0152271630016032,0.0444935508745806,0.00558298139084994,0.07005744452103,0,0.0481600489648577,0.0292277305292382,0.0215151060400001,0,0
