"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","CBSX__scRNA.melanoma__Endothelial_cells","CBSX__HNSCC__Endothelial_cells"
"LP.01.01",0.130441578654863,0.120278322528973,0.0040571889471057,0.143029356718153
"LP.01.02",0.263166154372252,0.149649054589771,0.117100737957309,0.287749174688387
"LP.01.03",0.255525571459262,0.146522185711657,0.0862119563144879,0.226226004343868
"LP.01.04",0.112899237787677,0.113073984878492,0.00133363107752319,0.104670412911703
"LP.01.10",0.0947122025488976,0.105567127484487,0.00170020793984563,0.134938656842532
"LP.01.12",0.27883601116473,0.128802796221142,0.170282967957344,0.281035545174215
"LP.01.14",0.0795252490598504,0.0988556795546305,0.00854116339450914,0.0719103068785618
"LP.01.16",0.0266236290005467,0.0713631483100406,0.00818171493092903,0.0220841547810623
"LP.01.18",0.0814571618056511,0.0972555240524981,0.00898885157264905,0.0660989799623701
"LP.01.19",0.229777413227624,0.143240899933254,0.00491956310150094,0.262004054941289
"LP.01.20",0.0952578883815528,0.0913295421959251,0.0140356641870481,0.118151031778925
"LP.01.22",0.230187992789857,0.136008914101678,0.0929869209254503,0.259901177489736
"LP.01.24",0.147391151009862,0.12059079035185,0.0535671913228402,0.155335962961176
"LP.01.25",0.12975356461064,0.111960769529378,0.00223043176185575,0.130377975618325
"LP.01.28",0.181602247799362,0.129802732589404,0.105189109305231,0.183333775715842
"LP.01.31",0.243841737953361,0.135463714261441,0.116194843420624,0.261486307775582
"LP.01.35",0.0598692766378387,0.0674082730527887,8.521354558791e-05,0.0271450062205557
"LP.01.40",0.0766989994134841,0.0764800508956631,0.0178356741034913,0.0839935225433197
"LP.01.42",0.0218474031173105,0.079669885487064,0.00258757931302149,0.00489198050256523
"LP.01.46",0.0829587384767347,0.116248457693899,0,0.136752943341117
"LP.01.58",0.118086255310661,0.0779470824647199,0.018276451223604,0.0893330531395182
"LP.01.61",0.104706056397549,0.100496830470326,0,0.116196478829735
"LP.01.66",0.0903272957605728,0.0783605501041832,0.00080791134024415,0.0577345266932431
"LP.01.67",0.134921284091085,0.154942749613077,0.0471790030041406,0.148541181659934
"LP.01.68",0.181988641813483,0.144450682986325,0.0738446513093767,0.204504079909311
"Test.FFPE.01",0.11774991741597,0.117608830154074,0.0132740396726751,0.14385094985406
"Test.FFPE.03",0.0567358546399973,0.0979113041623004,0.0146408375391865,0.0791931348760171
"Test.FFPE.04",0.174293896300584,0.127108993999788,0.00980285667788279,0.154541756363519
"Test.FFPE.05",0.0366604957469313,0.0526130381352847,0.0218430533377762,0.0320207509003842
"Test.FFPE.06",0.124121120202563,0.0995105032656612,0.00417127117330001,0.0860896910077683
"Test.FFPE.08",0,0.0787462398997928,0,0.0867319343130058
