"","DeconRNASeq_BPRNACanProMet_M0","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"LP.01.04",0,0.0428032185524967,0.0415359316194452,0.0428032185524967,0.0415359316194452,0.0646810820774624
"LP.01.12",0.0120492340877173,0.138386912079024,0.0396406202790129,0.138386912079024,0.0396406202790129,0.152526199421094
"LP.01.14",0.0077679647479235,0.0317649715543383,0.0326540311603943,0.0317649715543383,0.0326540311603943,0.0273731524420697
"LP.01.15",0.00849448007171131,0.06538454987834,0.0372022101976641,0.06538454987834,0.0372022101976641,0.0967457241275358
"LP.01.17",0.039804700882928,0.00970646651564304,0.0210147367330088,0.00970646651564304,0.0210147367330088,0.0118613085055153
"LP.01.18",0,0.0511787731398236,0.0035774844037699,0.0511787731398236,0.0035774844037699,0.0653779082255631
"LP.01.20",0.0442086752872493,0.0507972650342921,0.0406809351677976,0.0507972650342921,0.0406809351677976,0.0385610127627476
"LP.01.22",0,0,0.0457219284134715,0,0.0457219284134715,0
"LP.01.25",0.0428162498272523,0.080108625289623,0.0340186325134252,0.080108625289623,0.0340186325134252,0.0756438319887469
"LP.01.28",0.0302164790050826,0.0660588051571656,0.032821952980345,0.0660588051571656,0.032821952980345,0.0864687235523271
"LP.01.29",0,0.0634147641579647,0.0616363616851392,0.0634147641579647,0.0616363616851392,0.0605954868554506
"LP.01.31",0,0.0203287270726539,0.039956073667433,0.0203287270726539,0.039956073667433,0.0321357426693116
"LP.01.37",0,0.170738104549789,0.0748242726544122,0.170738104549789,0.0748242726544122,0.199348320638711
"LP.01.38",0,0.169522013876559,0.0807573581436253,0.169522013876559,0.0807573581436253,0.20608091845817
"LP.01.40",0,0.0125611302329243,0.0121590796799139,0.0125611302329243,0.0121590796799139,0.0400285155081542
"LP.01.43",0.0596269605739184,0.00704760304568023,0.0270242728195316,0.00704760304568023,0.0270242728195316,0.0191862648640783
"LP.01.45",0.00712198458950751,0.0496042207279563,0.0521171374472342,0.0496042207279563,0.0521171374472342,0.0461719554276665
"LP.01.47",0,0.0716054574790786,0.131421534289315,0.0716054574790786,0.131421534289315,0.0751275770857827
"LP.01.48",0,0.261442541209314,0.153610356113683,0.261442541209314,0.153610356113683,0.291892798998996
"LP.01.52",0,0.223906778207162,0.0566547639879197,0.223906778207162,0.0566547639879197,0.251333189924506
"LP.01.57",0.036554430252638,0.0941841523304432,0.03309386597814,0.0941841523304432,0.03309386597814,0.125566761528811
"LP.01.61",0,0.0550975647711827,0.026205722882938,0.0550975647711827,0.026205722882938,0.105429134130615
"LP.01.63",0,0.0418011693780686,0.103396468138097,0.0418011693780686,0.103396468138097,0.134510057739092
"LP.01.64",0,0,0.027593521729358,0,0.027593521729358,0
"LP.01.66",0.0158883595959402,0.0691171557524085,0.0322797596361886,0.0691171557524085,0.0322797596361886,0.0184490578508334
"LP.01.70",0.0515443302946302,0.0693618674688671,0.0544946590679974,0.0693618674688671,0.0544946590679974,0.124202825457182
"LP.01.72",0,0.0170926060492957,0.0602673004348945,0.0170926060492957,0.0602673004348945,0.0168755313785873
"Test.FFPE.01",0,0.0799898473286466,0.0391574155668112,0.0799898473286466,0.0391574155668112,0.0546778264596427
"Test.FFPE.02",0.00483480381030136,0.0501607507852422,0.0315093310904014,0.0501607507852422,0.0315093310904014,0.0591574034136644
"Test.FFPE.04",0.0196717257777309,0.0267545941282716,0.0380033512899824,0.0267545941282716,0.0380033512899824,0.0170612942512539
"Test.FFPE.05",0,0.0377541562301217,0.0329857264205766,0.0377541562301217,0.0329857264205766,0.0343368966869928
"Test.FFPE.06",0,0.0241918480934928,0.033692145943252,0.0241918480934928,0.033692145943252,0.0572710273212519
"Test.FFPE.07",0,0,0.0158582519345771,0,0.0158582519345771,0
"IP.108b",0,0.207508073514364,0.218941157454014,0.207508073514364,0.218941157454014,0.275040701792136
"IP.115b",0.0129435555549369,0.00496334079460408,0.0397081765836525,0.00496334079460408,0.0397081765836525,0
"IP.124b",0.0410362917526302,0,0.026952228665954,0,0.026952228665954,0
"IP.127",0,0.203586962328386,0.0444582435094073,0.203586962328386,0.0444582435094073,0.217378463427111
