"","DeconRNASeq_BPRNACanProMet_M0","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"IP.138b",0.0134563952485471,0.126525211756372,0.0349224115970308,0.126525211756372,0.0349224115970308,0.172928408146345
"IP.140b",0.00427842171545239,0,0.038927091886068,0,0.038927091886068,0.024026467613045
"IP.148",0.0130102743710957,0.00216450683267042,0.0380322075677339,0.00216450683267042,0.0380322075677339,0.00038137945386413
"IP.197",0,0,0.0387643043503284,0,0.0387643043503284,0
"IP.214",0,0,0.0561103350018639,0,0.0561103350018639,0.0585406705148492
"IP.28",0,0.228151487978352,0.110334337564187,0.228151487978352,0.110334337564187,0.219463628644633
"IP.31b",0.0383247375596923,0.445142686064492,0.471849001625048,0.445142686064492,0.471849001625048,0.468915505276858
"IP.36",0,0.126504160379448,0.0720394691869464,0.126504160379448,0.0720394691869464,0.119973874209552
"IP.38b",0.0129571659661603,0.0929213923673033,0.1123423520452,0.0929213923673033,0.1123423520452,0.0949485800023899
"IP.52",0,0.00959200785890689,0.0398500703285256,0.00959200785890689,0.0398500703285256,0
"IP.57",0,0.487805055421244,0.776120367827426,0.487805055421244,0.776120367827426,0.657318700248455
"IP.58b",0.0138917144945342,0.0747819783523015,0.0523978114555519,0.0747819783523015,0.0523978114555519,0.0725503052066468
"IP.67b",0,0.17982277692729,0.101745165750175,0.17982277692729,0.101745165750175,0.144828420700892
"IP.73",0.0229936243750021,0.362358692759849,0.139114220761872,0.362358692759849,0.139114220761872,0.292751528813066
"IP.82b",0,0.069778499260147,0.0387513501235767,0.069778499260147,0.0387513501235767,0.105097342940432
