"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__CCLE.TIL10__B.cells","CBSX__CD226__B"
"LP.01.01",0.0436626283225114,0.0217727587484881,0.100945032165732,0.0194562875531114,0.0916644446796598,0.0385468458166782,0.0854804098142562,0,0.0913890524337054,0.249951542211881,0.553543864803787,0.114150003812384,0.995012003520256,0.0211505303416329,0,0.211230896754604
"LP.01.02",0.045221070239266,0.0167248491032198,0.0981394557794855,0.015579830117089,0.08790073122117,0.0213167904995449,0.0741970298594787,0,0.086096310227357,0.206444108532588,0.324484714616026,0.105586876913732,0.890364174179106,0,0,0.199088107238077
"LP.01.03",0.0424003755021462,0.0397079930664664,0.114258875270026,0.0359925211890422,0.105321665465252,0.0404199895273653,0.0989481472060416,0,0.087748705463081,0.158079002661558,0.337855884907965,0.105790520009923,0.882275206435627,0.00396843405257776,0,0.180598443268624
"LP.01.04",0.0291047383658462,0.0171130442099264,0.0968641129750159,0.0145235418992867,0.0855748908910453,0.0225453005357273,0.0870891779029316,0,0.0566969506572116,0.34693365298796,0.328604161324937,0.0992434907963677,0.895316232306669,0.00482823041181824,0,0.211443143929955
"LP.01.08",0.0695742929132686,0.0271659499800183,0.101866526480414,0.0238399793677862,0.0891279746679854,0.032588370643256,0.090626965324251,0.0244687812913552,0.105472151340074,0.3329683950495,0.437637362758177,0.133676877526362,0.938685072186015,0.0520372575197533,0.0272550963707808,0.208760472885494
"LP.01.10",0.0427906632736999,0.0134630334912825,0.077475110047645,0.0106929958938455,0.0660085574103109,0.0147452917085545,0.0573067763521765,0,0.0614233236728177,0.174909816095879,0.380362831380266,0.0833523582757014,0.888065721659126,0.00233216404775109,0,0.20041753734538
"LP.01.12",0.0400754497909003,0.0132102581911296,0.100606110924809,0.0102163035283696,0.0910669228423159,0.0133503130769185,0.0768294667706231,0,0.072541963880534,0.04578152142422,0.2088577263309,0.0762179668206919,0.875417677240062,0.00275861547038424,0,0.146288946117776
"LP.01.14",0.112880397997606,0.0618790669626617,0.0939247678810672,0.0646183962816818,0.0834064117403035,0.0718054408677042,0.0746531562319227,0.0716326208403534,0.0784760388852978,0.283843665112182,0.33979996784725,0.107194694764889,0.839560880456905,0.102741619145299,0.063996721907388,0.206342927597689
"LP.01.15",0.0467629605587146,0.0174302568381774,0.0810328754973369,0.0122359209356443,0.066724641064395,0.0156661925413712,0.0760254280307954,0,0.0800400872868354,0.499079042212311,0.420116446417868,0.113373172599078,0.777881781041667,0.0125867976489725,0.00452950234926642,0.20818284835099
"LP.01.16",0.0824252997788804,0.0398962244249284,0.0877616336880185,0.0348017391402914,0.0769372163873963,0.0411575875110129,0.0704799980523005,0,0.0718407065823688,0.181923644168446,0.320375894644548,0.111288226059102,0.805409914294095,0.0151601028322919,0.00170061980244298,0.152742938097094
