"","Quantiseq_NK_cell","DeconRNASeq_BPRNACanProMet_NK","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","Epidish_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__NSCLC.scRNAseq__NKT_cells","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"R3388_YZ_1",0.0633513574210295,0.09984567443948,0.138971971334726,0.111346372564745,0.148381310006008,0.0460493371279025,0,0.0363886434253659,0.0498210486102847,0.10978301587516,0.138971971334726,0.111346372564745,0.148381310006008,0.0460493371279025,0,0.0363886434253659,0,0.133171662712244,0.0312765812779742,0,0,0.0767181901500533
"R3388_YZ_2",0.0730094360327435,0.0907627770727404,0.142482072830605,0.0419525306701998,0.117045147096932,0.0885014174735215,0,0.00706873616854204,0.118690511916923,0.105938976820746,0.142482072830605,0.0419525306701998,0.117045147096932,0.0885014174735215,0,0.00706873616854204,0.111813944542359,0.119037199711049,0.0618918655356531,0,0.0961428769999005,0.127019718908665
"R3388_YZ_3",0.0327789295892615,0.0966308474551861,0.134062126119646,0.110465925246961,0.152642904495211,0.029785750949151,0.00118713976012396,0.0460220302902316,0.023515265993593,0.0969301695544212,0.134062126119646,0.110465925246961,0.152642904495211,0.029785750949151,0.00118713976012396,0.0460220302902316,0,0.101877192904313,0.0295115184485966,0,0.0131272646603592,0.0224227959383219
"R3388_YZ_4",0.0680214786507733,0.059863782304577,0.16022685356252,0.0665102940170832,0.113313918234511,0.117784782275089,0,0.0212616646759698,0.155012079429753,0.22281828082426,0.16022685356252,0.0665102940170832,0.113313918234511,0.117784782275089,0,0.0212616646759698,0.227973067456623,0.293789614409936,0.088902345918311,0,0.214139914689568,0.0550408521243991
"R3388_YZ_5",0.0612889585536256,0.0688222511312021,0.0951038926531772,0.108256302509251,0.114966530734889,0.126696465109942,0,0.0165974340599872,0.0840141582342285,0.105167923270049,0.0951038926531772,0.108256302509251,0.114966530734889,0.126696465109942,0,0.0165974340599872,0.0950737311864889,0.147047725833184,0.109038031894527,0,0,0.0787625480244427
"R3388_YZ_6",0.0718689491377108,0.102388662143398,0.25898742753249,0.122002516868652,0.14779863914821,0.0687785970443697,0.0409912207942185,0.0588121642472916,0.0486849280782717,0.136686764727735,0.25898742753249,0.122002516868652,0.14779863914821,0.0687785970443697,0.0409912207942185,0.0588121642472916,0.11096802601561,0.156133871084853,0.0791926404025177,0.377554712328559,0.0412925165902141,0
"R3388_YZ_7",0.044206739686457,0.0893804901939557,0.0778787034384322,0.083805630595003,0.143139646114624,0.0983212325904854,0.0166181220084115,0.0329718705796806,0.0786395188057129,0.105562661312977,0.0778787034384322,0.083805630595003,0.143139646114624,0.0983212325904854,0.0166181220084115,0.0329718705796806,0,0.111215265446735,0.0912818668665465,0,0,0.0929524485911853
"R3388_YZ_9",0.044896230955226,0.052399878362897,0.0847886350996897,0.0900754047601256,0.11470761608241,0.0823856170385863,0,0,0,0.0536547894571402,0.0847886350996897,0.0900754047601256,0.11470761608241,0.0823856170385863,0,0,0.0262917672301434,0.0962809846351044,0.0569384638126918,0,0.0154976224078855,0
"R3388_YZ_10",0.0808736989373675,0.0963003682784512,0.107959880264984,0.103400503147212,0.136038124062409,0.0875795878762936,0,0.0516860203949862,0.0693309660239435,0.200060769920826,0.107959880264984,0.103400503147212,0.136038124062409,0.0875795878762936,0,0.0516860203949862,0.181674817466755,0.214345173257242,0.0367482232915628,0.167947240293194,0,0.0383808685501534
"R3388_YZ_11",0.0796677707703196,0.0821824972195793,0.251795451868919,0.13983402180054,0.140716315798361,0.0863298435278816,0.0175648633236529,0.0625622026622382,0.0846159656100774,0.297485635140624,0.251795451868919,0.13983402180054,0.140716315798361,0.0863298435278816,0.0175648633236529,0.0625622026622382,0.151272877762502,0.327009627114494,0.0578055001951496,0.314888192143267,0.199855013172372,0.0843793143611022
