"","MCP_Endothelial_cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","CBSX__HNSCC__Endothelial_cells"
"Patient100",10.8350738501875,0.165357242474771,0.00693074780463085,0.0753601770000969,0.165357242474771,0.00836202259005035
"Patient102",6.05915335405484,0.166025446614977,0.0303245757638768,0.0738453364080949,0.166025446614977,0.0106186750295504
"Patient105",2.08691115653259,0.200074941504312,0.070869248019487,0.0836199065947149,0.200074941504312,0.0822805196677822
"Patient106",3.62848645247314,0.177845083859752,0.0353537979461102,0.0888863783603858,0.177845083859752,0.0263456536890844
"Patient107",1.48162848600516,0.160590112495122,0.0255351251342181,0.0367798908123014,0.160590112495122,0.0323206933144998
"Patient108",5.35663426228387,0.195192418374918,0,0.0828647389428137,0.195192418374918,0
"Patient10",13.1994789015357,0.170149186342837,0.100350203524822,0.115722506765341,0.170149186342837,0.102197213149549
"Patient112",7.07297086277592,0.192745549103438,0.0852064073126587,0.0935209336768011,0.192745549103438,0.0693220715988981
"Patient116",15.1513948875043,0.18653189571796,0.0954378798028284,0.105053246617825,0.18653189571796,0.107576062788591
"Patient117",13.3033299066335,0.123928228403265,0.0384687543161317,0.0737539426115672,0.123928228403265,0.0399134806853488
"Patient11",5.20514127438887,0.17432422985955,0.0897499928274115,0.0860113028696191,0.17432422985955,0.11050913015869
"Patient121",17.522073844277,0.172750857611653,0.035014864985313,0.0798158484855666,0.172750857611653,0.0475079078342999
"Patient125",3.68349483040851,0.171274439027129,0,0.0178447015064041,0.171274439027129,0.00343202401755739
"Patient126",4.33748039770349,0.170041778238936,0.0123908805406147,0.083284652845521,0.170041778238936,0.0184713554706532
"Patient127",8.53340705423532,0.192618978257583,0.157315265949676,0.0877394438130353,0.192618978257583,0.2283319301906
"Patient130",6.11230441560081,0.155212860387324,0.0104329724177101,0.0958351145208613,0.155212860387324,0
"Patient131",7.90565046639019,0.157779455277267,0.0690757530139968,0.100193831192655,0.157779455277267,0.0218405022602954
"Patient132",6.25676566448808,0.183971534896542,0.0557179858885371,0.0794474147597175,0.183971534896542,0.0559583907942627
"Patient133",11.4547038177297,0.180406371741069,0.0361519791199618,0.0866738744661401,0.180406371741069,0.0411146817574662
"Patient134",6.91102197002093,0.182120909603712,0.0469785987920217,0.075637940644526,0.182120909603712,0.0548498499027075
"Patient135",7.79811739236606,0.188409201228825,0,0.0873299655949923,0.188409201228825,0.0251264613017105
"Patient137",5.8537126035861,0.173315507838372,0.0318016353039713,0.0915443710358306,0.173315507838372,0.030015038833838
"Patient13",5.96304764130259,0.192929224457048,0.0570600259100904,0.0849088150776779,0.192929224457048,0.063813066415796
"Patient140",6.15544532163966,0.189258291039896,0.0541411862733634,0.0863690970931684,0.189258291039896,0.092539154430106
"Patient141",3.96229440954484,0.182909549078518,0.0603793238226973,0.0904161784314694,0.182909549078518,0.0455924138839055
"Patient142",8.76014735043981,0.154619264536769,0.0173956925679195,0.0830566583258214,0.154619264536769,0.00758642300668591
"Patient143",1.51736145330065,0.110062842394529,0.00326446090727454,0.0708968225931187,0.110062842394529,0.188144538239571
"Patient144",14.2479989270269,0.163020692164697,0.0561695323656452,0.0798069342375139,0.163020692164697,0.102810915833251
"Patient145",18.6876345386715,0.158353832348679,0.0479777903228601,0.086666175420778,0.158353832348679,0.0398512585502466
