"","MCP_Endothelial_cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","CBSX__HNSCC__Endothelial_cells"
"Patient146",13.8204256171442,0.184705689996728,0.074431900840303,0.0628471206297522,0.184705689996728,0.0908192057338602
"Patient147",6.40043343396628,0.182280205751638,0.158685051300491,0.0872271981035626,0.182280205751638,0.182886027151158
"Patient148",10.4863727218219,0.169641088955186,0.0267539392110706,0.0818977973628136,0.169641088955186,0.0412383209578626
"Patient149",9.40828344517277,0.175221789923792,0.0470326717098071,0.0671018510094823,0.175221789923792,0.0455134101269649
"Patient14",11.7432376599429,0.173103753234719,0.0885158848078754,0.0954865889758707,0.173103753234719,0.0689635823451078
"Patient150",7.96016635600187,0.190262827322858,0.0212185292234397,0.0782018472816914,0.190262827322858,0.0120151999948516
"Patient154",23.7338397301582,0.17533426359863,0.0862813574069151,0.0907311421894458,0.17533426359863,0.11166179470571
"Patient155",5.32005840141987,0.185537517972419,0.0362195584033346,0.0844919255626115,0.185537517972419,0.0222932845225215
"Patient156",14.1432483819742,0.180688883697896,0.109644721580512,0.0925795235907027,0.180688883697896,0.113732637197864
"Patient158",4.98979941974097,0.183143802673041,0.0635933200374567,0.101380368006991,0.183143802673041,0.0488110268392018
"Patient159",7.13692648036913,0.181405728244155,0.0985022543637492,0.0941081158407001,0.181405728244155,0.105467877725172
"Patient15",14.0373060345409,0.195413428404195,0.0264654182553686,0.0830805021939335,0.195413428404195,0.00333401095902257
"Patient162",3.99080119770867,0.15893073955227,0.0327425637132212,0.0817455257703277,0.15893073955227,0.00141357643821668
"Patient163",7.86543593016997,0.194282364754573,0.0297261249819016,0.0882999468387399,0.194282364754573,0.075936841220759
"Patient165",18.8717284501437,0.134658826424911,0.0818134130238047,0.0589538092702823,0.134658826424911,0.0487958201631998
"Patient166",6.01050031082736,0.160677336053192,0.175458687655024,0.0897801291230937,0.160677336053192,0.176531312502882
"Patient167",11.3849725351795,0.181907994288714,0.0138708329079305,0.0844242402522731,0.181907994288714,0.00499718382590234
"Patient168",9.06852217119878,0.158781992322622,0.176795375196248,0.112853921329614,0.158781992322622,0.176323549336827
"Patient169",5.17871389070098,0.184097315624371,0.0215934251663935,0.0917134908233169,0.184097315624371,0.00871838233859736
"Patient170",6.55432466294022,0.175402758208118,0.0341248489957091,0.0926980970995375,0.175402758208118,0.041637901794724
"Patient172",16.1223757347861,0.173351874340581,0.0766243679347001,0.0690010135763901,0.173351874340581,0.0706384471836467
"Patient173",7.34344880523848,0.174040132133316,0.0237807627080801,0.110755343086357,0.174040132133316,0.0402102031924125
"Patient179",2.70230575287623,0.19289547922842,0.00592014088530095,0.0780265019522297,0.19289547922842,0.0297285416502767
"Patient17",5.59263805152023,0.166669004278541,0.0215285760013706,0.0976534849342634,0.166669004278541,0.011806334011697
"Patient181",10.7246185656462,0.139308673975751,0.0422225598193774,0.0759207971582906,0.139308673975751,0.0269788669643902
"Patient183",8.86242571125519,0.179878443233044,0.00164175434816494,0.0801706610087962,0.179878443233044,0.00493090275414885
"Patient184",6.73369093518126,0.173801570812853,0.0349595970017623,0.0891032228487899,0.173801570812853,0.0310115945754611
"Patient185",17.0041634291429,0.150740621404819,0.0346155162855293,0.0506619109590203,0.150740621404819,0.0321766119055733
"Patient187",6.66726496590196,0.184515961061791,0.0482354371165706,0.0922680573650843,0.184515961061791,0.0505911877186469
"Patient188",4.49844007236358,0.193655634222034,0.10318514234418,0.0986408649136283,0.193655634222034,0.113925121397101
"Patient18",9.4245612319343,0.0789859759054287,0.063132535662098,0.0866274982528944,0.0789859759054287,0.0189102361084462
"Patient1",5.37025475078901,0.194059722379065,0.0714407704083216,0.0905576932625774,0.194059722379065,0.0770748612102382
"Patient20",11.2794621953503,0.178465313956006,0.0535160451094937,0.101038729427351,0.178465313956006,0.0500165473996179
"Patient21",15.4386571873035,0.174755863222341,0.101189393642812,0.0976245694924564,0.174755863222341,0.110419924602026
"Patient22",7.97753680930926,0.171121692509846,0.12312901402756,0.0989729204565867,0.171121692509846,0.195323294008218
"Patient23",3.46481864076871,0.172248837570673,0.0650370979466735,0.0737581443224867,0.172248837570673,0.0884839947458585
"Patient24",5.5961566540311,0.186927427989235,0.123624614161448,0.112895185857369,0.186927427989235,0.152390327605551
"Patient25",27.4475630552194,0.185741798462147,0.106255368606507,0.100513271125382,0.185741798462147,0.101264034901683
"Patient27",5.09495997201165,0.186749691416278,0.0166995700538411,0.0812745233303563,0.186749691416278,0.0397870900255163
"Patient30",1.76049228818853,0.183407054724465,0,0.0706555591785611,0.183407054724465,0
"Patient31",5.6669195867101,0.17811490557493,0.079862036104805,0.0499120357559313,0.17811490557493,0.0409563214979539
"Patient32",5.46471950170738,0.173668114491596,0,0.0605186477821356,0.173668114491596,0.0271075447370037
"Patient33",18.2360439620348,0.182655376167766,0.0466563243544163,0.0606580869462737,0.182655376167766,0.0194275925749317
"Patient34",22.1709881853846,0.144967382500027,0.0170274249798525,0.0135077203807439,0.144967382500027,0.0157605828258652
"Patient35",3.54397190453826,0.189195509539382,0.0476513011057312,0.0935034242908482,0.189195509539382,0.0107892290376631
"Patient36",5.77753344589903,0.159696261282406,0.0776455224610831,0.0853312459216241,0.159696261282406,0.103756150032637
"Patient37",6.72657798179897,0.183974708498776,0.0706545353327848,0.0962055487155405,0.183974708498776,0.0753052427433788
"Patient38",1.87120874087753,0.194708900660385,0.0131269144133971,0.0816529038317819,0.194708900660385,0.0137877476928111
"Patient40",2.18798827737817,0.196757822210513,0.0623974622720465,0.0790250539093054,0.196757822210513,0.0350917331550174
"Patient42",3.87942820922853,0.186045621748125,0.0937047460784489,0.0847371395641479,0.186045621748125,0.113696175359757
"Patient44",2.32953735487316,0.181203781449685,0.0056120291758256,0.0811295707150654,0.181203781449685,0.00708063036458164
"Patient45",8.02368689652726,0.172019181814757,0.0160867193608069,0.076095011978777,0.172019181814757,0.0334335084433118
"Patient47",6.90473725111615,0.190719585977415,0.0374861310206003,0.0930240918525654,0.190719585977415,0.0293250473350225
"Patient48",4.64547559027661,0.193271319416223,0.105089709853568,0.0911763851559913,0.193271319416223,0.12579586273955
"Patient4",4.1731297326349,0.164543262496024,0.0482553801035356,0.0350354019082788,0.164543262496024,0.0288792294977425
"Patient51",7.26446837844377,0.0551090620785598,0.02310776775206,0.0541366851594452,0.0551090620785598,0.0346251545578988
"Patient58",5.58501159043042,0.17609545254442,0,0.0817404552366381,0.17609545254442,0
"Patient61",10.7682375769851,0.140353613173224,0,0.0245687300355632,0.140353613173224,0
"Patient62",11.7887756742408,0.147047856724065,0.0437962861829444,0.0966430141555312,0.147047856724065,0.0314386839735339
"Patient63",6.5380726957144,0.196369845868056,0.0326984442450914,0.0916523126710291,0.196369845868056,0.0571151905148028
"Patient67",3.22881069372762,0.200049790858602,0,0.0836153703862162,0.200049790858602,0.0458398073785003
"Patient6",2.97786418988535,0.188232311674299,0.0973654063788459,0.085924952595915,0.188232311674299,0.0809070692581148
"Patient72",8.34567146028996,0.173706451206401,0.0987803241843207,0.0953536650220134,0.173706451206401,0.108700812962649
"Patient73",3.82464825424962,0.188184535260665,0.0440976050198634,0.0750337306004451,0.188184535260665,0.0760362985172917
"Patient75",4.41705599404216,0.179632072113727,0.03487933708209,0.0741919527184297,0.179632072113727,0.0158742793124326
"Patient77",3.38320774588171,0.172596596397474,0.0142054665171984,0.0811465168603437,0.172596596397474,0.00387597653749727
"Patient78",13.6310058372826,0.133141288913348,0.0465479666722998,0.0822767973408519,0.133141288913348,0.0300712255969824
"Patient79",9.99067015059571,0.172323579880908,0.0521617784670473,0.108396566757319,0.172323579880908,0.0494618995668934
"Patient7",3.99657141293236,0.184010598381161,0.11073038986155,0.0877199421099527,0.184010598381161,0.117385161679936
"Patient82",16.5364598485648,0.181587881437225,0.0929924864556876,0.0855355056635824,0.181587881437225,0.0739596770120496
"Patient83",9.60382012706471,0.182850640323115,0.0897656787245641,0.0429033309230189,0.182850640323115,0.0756512980843395
"Patient86",5.65005689620448,0.169273248485797,0.0365449063086314,0.07621653902546,0.169273248485797,0.0293434686793162
"Patient87",3.38545203074603,0.188271739108431,0,0.0837782849647097,0.188271739108431,0.0158267636314561
"Patient8",9.98924812928068,0.176824010346228,0.07067636994195,0.0752089671235716,0.176824010346228,0.0893842416489244
"Patient94",12.0677610001663,0.193096690415319,0.0620311722278539,0.0879605174634248,0.193096690415319,0.0426568621099174
"Patient96",2.05768291062891,0.189749263020003,0.0859822734829622,0.0849677476484429,0.189749263020003,0.0374004940045278
"Patient98",7.56416698172316,0.159595634766975,0.06164067284357,0.0849810493016996,0.159595634766975,0.0579981352776846
"Patient99",8.24960408611213,0.141520959035606,0.0256245261403268,0.0690220330929013,0.141520959035606,0.020081537069631
"Patient9",9.23036004828874,0.16049905875047,0.0694904847072138,0.0869793379975721,0.16049905875047,0.0769999182690991
"Patient56",19.7081546696085,0.151982940587954,0.0583640549242717,0.0899638692026988,0.151982940587954,0.0461788921715111
"Patient191",4.43439168481504,0.183288498022585,0.0468174203559845,0.0788624397296132,0.183288498022585,0.0557911187833099
"Patient189",14.713418380156,0.18453203905222,0.0168425765572012,0.0608980517737176,0.18453203905222,0.0190853879384699
"Patient200",5.49791902439348,0.161647520740466,0.0895858692480656,0.106638994613969,0.161647520740466,0.0576168302805481
"Patient201",6.3064653284061,0.164276452446599,0.243644172184372,0.102640219397118,0.164276452446599,0.196660099276535
"Patient203",14.814216356543,0.172065680651887,0.0308701867175814,0.0881797034833989,0.172065680651887,0.0377289507138726
"Patient193",6.00459424074381,0.189750827263026,0.0283272943245565,0.0989501418651477,0.189750827263026,0.0289332443075615
"Patient195",10.8902134405048,0.159351028949713,0.0632482143532445,0.099488055838847,0.159351028949713,0.0767807329615362
"Patient196",11.002242053371,0.177744056591036,0.0795851196227014,0.0915744136113696,0.177744056591036,0.107838541720187
"Patient197",5.72119584102768,0.192781518689738,0.13839155477246,0.116114120799257,0.192781518689738,0.123749028335693
"Patient204",4.47259107960953,0.190059336707099,0.0157999322038939,0.0825018221441588,0.190059336707099,0.014433720756915
"Patient205",4.23091891050636,0.18055164871859,0.0194398910183419,0.115188922265028,0.18055164871859,0.0228458409758837
"Patient206",11.8854181342099,0.148848050327315,0.0747410829075646,0.0942660114417902,0.148848050327315,0.0770829906927748
