"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"R3388_YZ_1",0,0.0489834758342773,0.0658203596694456,0.00289235840517132
"R3388_YZ_2",0.116363713265249,0.0886009874970411,0.387176600328875,0.0866844233296473
"R3388_YZ_3",0.0477807990848833,0.0740558798194345,0.127677112039235,0.0731609116881269
"R3388_YZ_4",0.131889545452513,0.124782314761271,0.363553261054272,0.139090389357583
"R3388_YZ_5",0.00399817821425972,0.0692770669773772,0.121905084520637,0
"R3388_YZ_6",0.0167571853184358,0.080529279331482,0.148950696143242,0.0275528217509497
"R3388_YZ_7",0.0846797421999595,0.0896191653222637,0.195274872016057,0.0937408179840213
"R3388_YZ_9",0.0983558129062309,0.0898128653465868,0.0996282798757152,0.0792945746119245
"R3388_YZ_10",0.0180931127995047,0.0555449076327835,0.130337941764362,0.0494420652257265
"R3388_YZ_11",0,0.0712084295622399,0.127791910477798,0.0114081536976726
"R3388_YZ_12",0.0714653419334838,0.0684242972307894,0.111244049592129,0.0878671996653052
"R3388_YZ_13",0.0880120029288461,0.0930910869306434,0.218401439032718,0.0762769168464065
"R3388_YZ_14",0.171331740777172,0.0978950769486054,0.406998577627187,0.186217370769736
"R3388_YZ_15",0,0.0600564233328467,0.0249873382623442,0
"R3388_YZ_16",0.0397005437354956,0.124230350063293,0.148710361375375,0.0377750709752848
"R3388_YZ_17",0.00965855374885606,0.0613202384328442,0.0717665597301956,0
"R3388_YZ_19",0.116075632095603,0.074156175774401,0.156659893752173,0.127438419526144
"R3388_YZ_20",0.156814061079174,0.0688213618383477,0.105937108435269,0.161005099416601
"R3388_YZ_21",0.0183118985707363,0.0776895638685041,0.151212633122372,0
"R3388_YZ_23",0.226628992497519,0.124865474505469,0.268505113825417,0.184419382528002
"R3388_YZ_24",0.0372253332178096,0.0859048188337325,0.12272845808758,0.0545424236564788
"R3388_YZ_25",0.0839855062936304,0.0907596605892074,0.065798028953405,0.0576480220832137
"R3388_YZ_26",0.350819233331915,0.1071404073578,0.275579016343548,0.353097403618296
"R3388_YZ_27",0.0731916726582641,0.101963544044939,0.186561392796686,0.0524798581520299
"R3388_YZ_28",0.272257496947297,0.100964988650041,0.240772119053327,0.238758095805567
"R3388_YZ_29",0.0211224022065332,0.202086958261255,0.140490537388514,0.0285817818378056
