"","Epidish_BPRNACan_CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__NSCLC.scRNAseq__T_cells_CD4","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4"
"R3388_YZ_1",0.0108427359255277,0.106218443516294,0.0159526184488644,0.361633757088051,0.218337406788417,0.473347063137067,0,0.0236284191789503,0.101071047535047,0.610067240118329,0.252875311139675
"R3388_YZ_2",0.0139397049181538,0.14838977794357,0.0138346613649744,0.227571705041329,0.333941302528565,0.261697538469771,0.0805370355071087,0.00552430888866637,0.147290142721406,0.350772053545558,0.223538184545984
"R3388_YZ_3",0,0.0627424639258,0.00441888827013214,0.164357513239853,0,0.318204822740276,0,0.0563809059637849,0.0401816751846574,0.182687419783622,0.116789701725237
"R3388_YZ_4",0,0.0693412530590486,0,0.255532713038453,0.37682759385892,0.362038742585326,0,0,0.0708061752691792,0.609821421302138,0.361147578307355
"R3388_YZ_5",0.037648735662798,0.264153339715731,0.0418221938696036,0.440127190971492,0.58075369111269,0.447690180389218,0.166871689706026,0.135662665297215,0.270556298273245,0.461533622704165,0.505303775985473
"R3388_YZ_6",0.00162247590606776,0,0.00329434346969306,0.461428962648236,0.534593631643945,0.351403736907816,0,0.00595605192711285,0.0441417116238141,0.682864606560159,0.346229115835824
"R3388_YZ_7",0.00448505974191313,0.0774851523184298,0.0187672370882529,0.153780131142846,0,0.407346510655656,0,0.0447825227123171,0.0733348487288257,0.126924638633757,0.102882491825118
"R3388_YZ_9",0,0.221202469611879,0.0272903107901995,0.026543800260326,0.118393209378563,0.39195178600459,0,0,0.217780117463487,0,0.139961264900801
"R3388_YZ_10",0.00601849475097288,0.138937832106952,0.0165957546950838,0.414300343328433,0.459654472669062,0.326405142355857,0,0.0549367585658358,0.0937636306629981,0.928904378782992,0.493424769888766
"R3388_YZ_11",0,0.0690292994477347,0.00098714709635335,0.378616532858285,0.22638760646069,0.217725698312032,0,0,0.0799542912616462,0.312594366353098,0.208189841530208
"R3388_YZ_12",0,0.0817279911332248,0.00826197697899913,0.12624083886332,0,0.182127723685877,0,0,0.0804537203005294,0,0.239016901227498
"R3388_YZ_13",0,0.104673589104362,0.00705811040466607,0.0719335806547142,0,0.456152689501963,0,0.0349112594222798,0.103158510582868,0.293468113273341,0.210348625151793
"R3388_YZ_14",0.0110592713450969,0.296612657324596,0.0254002815454233,0.213586936888363,0.102042853372052,0.393278255492852,0,0.166384267203676,0.257040764297379,0.294639450066971,0.204337721184077
"R3388_YZ_15",0,0.0197780462097872,0,0.445518713161883,0.226448749281331,0.322511379196288,0,0.0177845545262244,0.0466118301315048,0.630335931359823,0.475811298732043
"R3388_YZ_16",0.00790622448093577,0.289191775427768,0.0524191860638639,0.39538169075047,0.459259489813335,0.523686116178699,0,0.118592372024763,0.196583244605394,0.465382380596822,0.398877420291916
"R3388_YZ_17",0.0271268255976525,0.376205617103746,0.024676109643314,0.55186309858533,0.597603064489642,0.435999125000442,0.0933858934679726,0.0968010057153992,0.294686764473575,0.668801830782278,0.623004861567852
"R3388_YZ_19",0.0105083134310019,0.26724528787778,0.0218592024227911,0.197813150556748,0,0.318661861971491,0.0330339692269631,0,0.229535005761114,0,0.241967695648121
"R3388_YZ_20",0,0,8.01370182325623e-05,0.0832231727579339,0.0230962709652417,0.255151633878662,0,0,0,0.0613324745760038,0.0345082898985767
"R3388_YZ_21",0.00496871940391493,0.232389469728836,0.0344564648507061,0.421244598836769,0.359661405004048,0.435388234964592,0.0150228886202709,0.0502973356712889,0.138596135732244,0.381314044066471,0.391532566131671
"R3388_YZ_23",0,0.0521476939919109,0,0.192556988013203,0,0.404468972397553,0,0.0590232060341162,0.0322328774770231,0.16346960101709,0.134779556649581
"R3388_YZ_24",0,0.158601008929758,0.0179027362907295,0.337853234539341,0.0472382823828472,0.368718983395281,0,0,0.134669522262643,0.506165379229297,0.312539836958345
"R3388_YZ_25",0.00364212987975677,0.182019290377626,0.0466617519382005,0.222329815419294,0,0.434739771602748,0,0.0735834359126891,0.151784568994013,0,0.17370193758323
"R3388_YZ_26",0,0.127222606747863,0.0345187133302375,0.114846948271794,0,0.159126043462129,0,0.052532109889493,0.0969217222532575,0,0.081592181577652
"R3388_YZ_27",0.00481559087320975,0.301357209052471,0.0544130354018945,0.213195242534698,0,0.38421899614352,0,0.16617096820615,0.239555038053881,0.230399496905251,0.328219105145085
"R3388_YZ_28",0.00761158836903316,0.209436617377375,0.0209629048664868,0.126223218428061,0.131272685438841,0.323251427204119,0.293908638685006,0.0368185902388631,0.214826060496527,0.112217149739813,0.059939684904426
"R3388_YZ_29",0.016418214414758,0.187638780453497,0.00738106946484234,0.517304566328376,0.46677897734942,0.610047442678304,0.282792735642042,0.173351933186579,0.201640859660548,0.355344953834976,0.580343243573815
"R3388_YZ_30",0,0.103203261868731,0.0143921049273634,0.112485671286287,0,0.312438733341518,0,0.0498743956207807,0.0936489271675082,0.0307188630086622,0.0783880524878431
"R3388_YZ_31",0.0169445023588514,0.15425373054649,0.00956574494566292,0.613813187519883,0.617542679424312,0.471446640998092,0.217490400268735,0.065860365592719,0.143562898924041,0.606954834817101,0.544551716267866
"R3388_YZ_32",0,0.0458949840832828,0.00317358080460834,0.266011012267037,0,0.230638847080473,0,0,0.04226715610566,0,0.313301909329457
"R3388_YZ_33",0.00850110131176076,0.0320694493917812,0,0.3991242260432,0.233912334639807,0.43840854953426,0.261332757906704,0,0.0686888678967746,0,0.401859783859317
"R3388_YZ_34",0.00124966805854539,0.164124611093624,0.0151207099866026,0.362176202358823,0.224346244410848,0.427364694351367,0,0.0869134511850131,0.161959965499653,0.560519328536237,0.290752368220085
"R3388_YZ_35",0.0526832377655829,0.224823172490767,0.0423025202901803,0.317257019178873,0.474938786639874,0.522250703768917,0.255287925442247,0.142109339156705,0.182684625963164,0.521281440481501,0.417451113848206
"R3388_YZ_36",0,0.0873265773916198,0.00715531890307316,0.492891501085665,0.325177588944353,0.391188712085992,0,0.0147019465480651,0.0911537383658652,0.490569116759783,0.620757643891841
"R3388_YZ_37",0,0.130990958157783,0.0192219645882128,0.194521026531051,0.0401585162308255,0.201627733413426,0,0.0451737128029236,0.116104843254378,0,0.147307350993732
"R3388_YZ_38",0.0152400913023126,0.266203245876522,0.0352069082496122,0.308078651009798,0.326559505960869,0.395044408690782,0,0.0806564014010753,0.182556333218861,0.583381071066197,0.555491524518555
"R3388_YZ_39",0.0105210572687855,0.192230725922854,0.0288696750694362,0.357838606801012,0.401294325634547,0.429489008968932,0,0.0561607829658911,0.198802731060376,0.515210983790179,0.268500622583816
"R3388_YZ_40",0.00329134297324474,0.386847389338705,0.0344415861235887,0,0,0.293129649163011,0.0219982255382521,0,0.274097407172851,0,0
"R3388_YZ_41",0,0.272889851277161,0.0598352430357832,0.419082536875983,0.474825412801001,0.409696581935122,0,0.032663339608269,0.236870077563672,0.654952330326811,0.460138167182651
"R3388_YZ_42",0.00392918455319207,0.0889080972586296,0.00798458745134127,0.317174446544574,0.0871838943677819,0.457314283774316,0,0.0581097767245719,0.116663764026555,0.239520435051788,0.260613884492037
"R3388_YZ_43",0,0.164590367435284,0.0193975458193835,0.28279748562438,0,0.251643411219117,0,0,0.125572979794253,0.163676760426197,0.328695536211623
"R3388_YZ_44",0,0.163757516205528,0.0139742821579694,0.0769740575705355,0,0.225280330001942,0,0,0.196277592823013,0,0.125621322302003
"R3388_YZ_47",0,0.166519808764767,0.023336949104414,0.37038130053553,0.0455088190842134,0.446761763130371,0,0,0.150478313960265,0,0.278815537250418
"R3388_YZ_48",0,0.0969720401829758,0.00911808346711796,0.239155072983825,0.0866436941785457,0.431605767378921,0,0.0394042362026285,0.0736571817298299,0.168336442523021,0.272737532945983
"R3388_YZ_49",0.0120920315539673,0.210357495390525,0.0226591086105406,0.122467550509632,0.0514240739839706,0.430726727534582,0.147975891724127,0.101875098844454,0.127195394274999,0.504155425119332,0.258240509549381
"R3388_YZ_50",0.0331312714222705,0.307916945664552,0.0450205473312193,0.461491033108601,0.510290584320183,0.391666784299493,0.221297521286582,0.203763183811072,0.265677969611375,0.668639931089682,0.430495820926366
"R3388_YZ_51",0,0.11738164724011,0.00912399364061247,0,0,0.301016136599084,0,0.126283435664034,0.140465268842579,0.0607355230035894,0
"R3388_YZ_52",0,0.138750286587565,0.0202662139372121,0.106427199107839,0,0.338893481698401,0,0.0375048552597781,0.0825237562028548,0,0.0573496075375217
"R3388_YZ_54",0.0107214457069374,0.238569765413853,0.034385257748288,0.240740490652304,0.186053593289413,0.324438078679115,0.100420321021483,0.0647281231666914,0.186829606800729,0.512948509964471,0.250057553377955
"R3388_YZ_55",0.00556104405203555,0.287411734733329,0.0146014979858044,0.155868392153263,0.119672288292426,0.32044614236062,0.289657371172445,0.0594004509284099,0.282872258675592,0.0923970866954457,0.132286696253059
"R3388_YZ_57",0,0.0789868620475906,0.0080088398108486,0.185717103658599,0,0.353472633408316,0,0.0215295188853113,0.02213519704031,0,0.109681224518963
"R3388_YZ_58",0,0.174296285572813,0.0135440621996136,0.258059315874577,0,0.243688605362253,0,0,0.0714424958886727,0.0263631872013396,0
"R3388_YZ_60",0,0.278692945794239,0.0430586850253229,0.29947261376987,0,0.414347322996318,0,0,0.226222991301798,0.186247937017952,0.204254803716022
"R3388_YZ_61",0,0.0850240578552509,0.00716727141340613,0.206361389751051,0,0.372175932992884,0,0.0103836009950685,0.0671218886537741,0,0.108734370537135
"R3388_YZ_62",0.00114800513185957,0.0754737629689994,0.00935285966035943,0.1434498979659,0,0.274464451971542,0,0.0670827094421187,0.0625706396056028,0,0.0381369566748557
"R4163_YZ_1",0.0606004605290191,0.588352761769032,0.11396605254696,0.491164010964177,0.517765789706371,0.52757573058075,0.370101153461287,0.415531280714354,0.447444580756502,0.396778304743225,0.465571779474086
"R4163_YZ_2",0.119325584702558,0.692809702754824,0.276930029322159,0.314852037144464,0.314065901420322,0.402926118658127,0.157556045981162,0.393468862324861,0.660174713097849,0.324047561088679,0.251727863182676
"R4163_YZ_3",0.0816464471940284,0.587867516080501,0.284257548383455,0.276073075314971,0.331601865529147,0.358161390161583,0.0763062005559066,0.23989516598097,0.591000205871963,0.333541063501262,0.303074394395116
"R4163_YZ_5",0.0459711681997377,0.473867763869652,0.151469998808274,0.24473620555672,0.249356189313136,0.462013335803205,0,0.27856871172229,0.452983802877972,0.207763872074208,0.253692259795203
"R4163_YZ_7",0.0334494053623357,0.307576043718791,0.116863772351654,0.192770186389356,0.33907715483357,0.447530401766694,0.0208521499515498,0.294240461587493,0.306892361579508,0.455873302643085,0.440390296319382
"R4163_YZ_8",0.302281760309252,0.839144260808816,0.287491458820467,0.318254705633275,0.309208204265684,0.507607600959479,0.414732949316548,0.695961790021613,0.888309835778903,0.515981017424709,0.427093194434618
