"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__CD226__B"
"LP.01.04",0.0291047383658462,0.0171130442099264,0.0968641129750159,0.0145235418992867,0.0855748908910453,0.0225453005357273,0.0870891779029316,0.965365212272232,0.402579796971335,0.0105295771313023,0.0906102475581502,0.0566969506572116,0.34693365298796,0.328604161324937,0.965365212272232,0.402579796971335,0.0105295771313023,0.0906102475581502,0.0992434907963677,0.895316232306669,0.00482823041181824,0.211443143929955
"LP.01.12",0.0400754497909003,0.0132102581911296,0.100606110924809,0.0102163035283696,0.0910669228423159,0.0133503130769185,0.0768294667706231,0.960006114667035,0.60100267829349,0.00899473702068344,0.0748955205316616,0.072541963880534,0.04578152142422,0.2088577263309,0.960006114667035,0.60100267829349,0.00899473702068344,0.0748955205316616,0.0762179668206919,0.875417677240062,0.00275861547038424,0.146288946117776
"LP.01.14",0.112880397997606,0.0618790669626617,0.0939247678810672,0.0646183962816818,0.0834064117403035,0.0718054408677042,0.0746531562319227,0.955770269912237,0.647832165733764,0.0765180981146523,0.1032935221292,0.0784760388852978,0.283843665112182,0.33979996784725,0.955770269912237,0.647832165733764,0.0765180981146523,0.1032935221292,0.107194694764889,0.839560880456905,0.102741619145299,0.206342927597689
"LP.01.15",0.0467629605587146,0.0174302568381774,0.0810328754973369,0.0122359209356443,0.066724641064395,0.0156661925413712,0.0760254280307954,0.732391033587026,0.48557173206437,0.00920839935787441,0.0911228570091552,0.0800400872868354,0.499079042212311,0.420116446417868,0.732391033587026,0.48557173206437,0.00920839935787441,0.0911228570091552,0.113373172599078,0.777881781041667,0.0125867976489725,0.20818284835099
"LP.01.17",0.0959835619642784,0.0658593934301887,0.0867937917440413,0.0658084830774509,0.0765849002480313,0.0840017185788409,0.0673503783165367,0.892959635214389,0.440473556792793,0.0232710120267043,0.0855564511604482,0.135181770534608,0.167970881089664,0.156105984913261,0.892959635214389,0.440473556792793,0.0232710120267043,0.0855564511604482,0.160022001438613,0.753521504977033,0.0338015322522516,0.204101514961051
"LP.01.18",0.0307706117208864,0.0169873358275449,0.081696879580811,0.0138085112251826,0.0687348242461666,0.0201391808460894,0.069826100558765,0.991235609507596,0.638351194172228,0.00298519521131102,0.0594036672810409,0.0386054438988509,0.221820522722291,0.310883242975082,0.991235609507596,0.638351194172228,0.00298519521131102,0.0594036672810409,0.0760034858840493,0.921476872099086,0,0.209529988647721
"LP.01.20",0.0583927840518517,0.0414940719787435,0.0902348337327334,0.0376667723392589,0.0789568356552249,0.0554272962639589,0.0749644182706839,0.922740801891785,0.400120916312282,0.0509226034446039,0.0894656908035749,0.105864430322806,0.286278909107361,0.166917491987011,0.922740801891785,0.400120916312282,0.0509226034446039,0.0894656908035749,0.13275945217161,0.851788195731483,0.052087815540955,0.179137991552886
"LP.01.22",0.0224040581340855,0.0124447468559607,0.125544229460582,0.00991166117030955,0.11302062141969,0.0169460646668838,0.114299114535203,0.912986809697919,0.347810811701634,0,0.0870916953410139,0.0696496403861869,0.336052891632628,0.183551454574227,0.912986809697919,0.347810811701634,0,0.0870916953410139,0.111725271927022,0.860017725049027,0,0.209955409297833
"LP.01.25",0.0540586290434818,0.025533277527593,0.0858740161317283,0.0222309419150707,0.0739008549869022,0.0255469951021317,0.0617660478119135,0.985291216385496,0.576925073924697,0.0681347502609646,0.080980593316138,0.069110630311597,0.246930778187667,0.332637326460549,0.985291216385496,0.576925073924697,0.0681347502609646,0.080980593316138,0.0942835255793908,0.880272180217338,0.0757686776315983,0.201178849284556
"LP.01.28",0.0837323160059855,0.0237797018526919,0.0950973760606729,0.0227712562054523,0.0846283355997838,0.0268969983281669,0.0714776876705521,0.987391511400366,0.438389946325359,0.0158104794537182,0.0589684171077954,0.127548071137796,0.187947814632562,0.157265823025402,0.987391511400366,0.438389946325359,0.0158104794537182,0.0589684171077954,0.141424096954626,0.844351138977054,0.00485857958905442,0.166578247216203
