"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__CD226__B"
"LP.01.29",0.040249945042992,0.0211999001352883,0.0939170454787658,0.0200753082326562,0.0839108150289576,0.0356467687933844,0.10385253856137,0.843930528402886,0.472699783902707,0.0134857286926396,0.0900227838530268,0.0523526935433112,0.119930866945435,0.172013430888535,0.843930528402886,0.472699783902707,0.0134857286926396,0.0900227838530268,0.0983314747687722,0.678082830152177,0.00717128115530982,0.158291495508124
"LP.01.31",0.039914700492398,0.0191673287716926,0.102613216341248,0.01343666854678,0.0921721545696936,0.0246974283556177,0.0824810626595912,0.859749087431102,0.392889181452965,0,0.0669080405698277,0.0776544801577525,0.321567009866429,0.217321502847339,0.859749087431102,0.392889181452965,0,0.0669080405698277,0.109557369908053,0.894439543108431,0,0.189761733307287
"LP.01.37",0.0362983939206976,0.0121011957506449,0.101397024877951,0.00998350451574372,0.0894772663526202,0.023144396531644,0.0832747201638768,0.664166395631423,0.401832109993399,0.00745003061330819,0.0805127705416243,0.0561267843888111,0.101559462866174,0.126584343728396,0.664166395631423,0.401832109993399,0.00745003061330819,0.0805127705416243,0.0955120389792385,0.627287305897233,0.0128482308306097,0.159033137152079
"LP.01.38",0.067840504341674,0.0113119974066971,0.113981915653336,0.0086936469262479,0.102818056487149,0.0194830086123577,0.109994003252208,0.86102627408792,0.356366151231194,0,0.0835836922415505,0.0663316754157353,0.193620081989024,0.0536026492769575,0.86102627408792,0.356366151231194,0,0.0835836922415505,0.146700314420846,0.814679662534872,0,0.185296960180147
"LP.01.40",0.0199848830010747,0.0133971392178846,0.103683714451268,0.00849595860346482,0.09352536266152,0.0112755072526747,0.0818113303152491,0.871553754267305,0.441345712832332,0.00273101975395751,0.0836532549180001,0.032836584301957,0.0977194606558827,0,0.871553754267305,0.441345712832332,0.00273101975395751,0.0836532549180001,0.075746063673331,0.841464312930916,0.0111753296864548,0.18108732653674
"LP.01.43",0.0837987107678573,0.0504015855077415,0.0763279867348859,0.0592497169875908,0.0657897001104986,0.0698986606113439,0.0568242230740466,0.957252387712419,0.525438109563358,0.0593968034338424,0.0865901119921869,0.0910081789126705,0.0614647091358212,0.309064122932827,0.957252387712419,0.525438109563358,0.0593968034338424,0.0865901119921869,0.123120471750053,0.897579401356507,0.066730344786702,0.181592748964728
"LP.01.45",0.054356263456044,0.0202150110318877,0.121142759737433,0.0224409141297961,0.111521973489223,0.0274615048568363,0.101025583408621,0.775444130820347,0.361685714942061,0.0493457520599283,0.0966295490234492,0.0966159320293416,0.243429168915054,0.110255296072648,0.775444130820347,0.361685714942061,0.0493457520599283,0.0966295490234492,0.171200680848255,0.696483771545858,0.0723984634203478,0.190484061310229
"LP.01.47",0.0399578372802658,0.0101282704456106,0.0803563939242337,0.00392787983205965,0.0692820780530615,0.00722464977996167,0.0636731939161712,0.961761730546253,0.536780375718634,0.00432078573670579,0.0623021130786241,0.0586577647264923,0.0974859294120282,0.230104480422935,0.961761730546253,0.536780375718634,0.00432078573670579,0.0623021130786241,0.0765228350392959,0.830282862655836,0,0.191851690764492
"LP.01.48",0.00901839841424363,0.00335728064385179,0.0972902929308163,0.000242751345084254,0.0872482972981923,0.0073339679053933,0.084677638508743,0.900993876629629,0.365576973346298,0,0.0731338130571567,0.0234613496413527,0.243979425365926,0.198191423599664,0.900993876629629,0.365576973346298,0,0.0731338130571567,0.0924439984758987,0.776057987495324,0,0.168387656170316
"LP.01.52",0.0386788578731877,0.00864281852105705,0.0905349633419659,0.0046427013879729,0.0808369266801618,0.0194934831761839,0.0708788520500341,0.962113636199123,0.616206137574564,0.00161947910408716,0.0463428745000147,0.0655988560037679,0,0.288519799890882,0.962113636199123,0.616206137574564,0.00161947910408716,0.0463428745000147,0.0874102299377602,0.876801119352195,0,0.123810038086561
"LP.01.57",0.0848396814898582,0.0417360902250528,0.0841934255434466,0.0455653048254959,0.0736753741606293,0.0519082427241309,0.0650581595552294,0.972067789940658,0.600651922556025,0.0380544077906478,0.0802884994785492,0.109033669073132,0.0918029967828562,0.304752123196744,0.972067789940658,0.600651922556025,0.0380544077906478,0.0802884994785492,0.129116420017455,0.922729157567155,0.0382733581854655,0.161215577968269
"LP.01.61",0.0466599304154923,0.0241672684029769,0.106334024020867,0.0220935507203456,0.0955657468063723,0.0302109348796871,0.0998393717197762,0.882307786540011,0.432443658946858,0.00817199304448742,0.0783466933404244,0.0604372201268027,0.0710890331925078,0.114746146044392,0.882307786540011,0.432443658946858,0.00817199304448742,0.0783466933404244,0.111570825633622,0.864343645871774,0,0.149239385242436
"LP.01.63",0.0307528476437267,0.00343575475081425,0.0690391910910731,0.000357985924193752,0.0572599557709495,0.00630368377323265,0.0530821112158372,0.174034769432782,0.153166083319714,0,0.0539600085057675,0.0483156423351191,0.234500100107588,0.13274523964242,0.174034769432782,0.153166083319714,0,0.0539600085057675,0.0951274581145608,0.178299689231641,0,0.178358216842332
"LP.01.64",0.0495294782440905,0.0128932136697864,0.0949659520199858,0.0104134475997462,0.0836533951501139,0.0170251262310435,0.0786771849302903,0.913651060672857,0.466602966464548,0.0103528937339343,0.0831964340850912,0.0287969413530979,0.00750825921024154,0.10437890236099,0.913651060672857,0.466602966464548,0.0103528937339343,0.0831964340850912,0.0848754294708405,0.786378660737506,0.0227868264338838,0.141983792557919
"LP.01.66",0.117846543055129,0.0831512757717776,0.105919620259831,0.0795259763327027,0.0946538132962793,0.0877203303964968,0.0889378560017243,0.948409990353397,0.643481166275398,0.0894438796600533,0.0939986185037352,0.125159348057535,0.126735626502359,0.341079358565042,0.948409990353397,0.643481166275398,0.0894438796600533,0.0939986185037352,0.158200355721609,0.905138223740624,0.0858688580495131,0.165154483823785
"LP.01.70",0.0163890242339435,0.00350383062792468,0.0594319849517399,0,0.0462362369647018,0,0.0386588717733862,0.85759096259397,0.412811491729342,0.00417368235375809,0.0808873302218719,0.0261103480345228,0.0187736401257864,0.125521902675415,0.85759096259397,0.412811491729342,0.00417368235375809,0.0808873302218719,0.0809380237647187,0.890318486053562,0,0.176720090812617
"LP.01.72",0.0458091576947851,0.00739749459156185,0.090292517739776,0.00444550014938469,0.0786509104748664,0.00994619983938942,0.0810466038672425,0.37400347095105,0.252859378583017,0,0.0813155989952659,0.0503031570503058,0.234507308261394,0.0910743360935312,0.37400347095105,0.252859378583017,0,0.0813155989952659,0.119173535119942,0.362308610138627,0,0.202563647364822
"Test.FFPE.01",0.0341395639681822,0.0198846352315405,0.0835332840307134,0.0147055963504124,0.0744784745868355,0.0252182342196033,0.0782423269405512,0.947571743394586,0.428105772136496,0.0470577764365316,0.0921777523069055,0.0507721067142554,0.219337039973548,0.218443331966911,0.947571743394586,0.428105772136496,0.0470577764365316,0.0921777523069055,0.0774096786196499,0.796267036762316,0.0336736152247886,0.153186318479851
"Test.FFPE.02",0.095047680075182,0.0422178978414112,0.0866743456610291,0.0457756487678946,0.0776150103659946,0.0580950522563251,0.0827421402850398,0.92255659686747,0.634424382575945,0.0790841318358252,0.138138117061538,0.117399797378158,0.288392991917758,0.432144479858605,0.92255659686747,0.634424382575945,0.0790841318358252,0.138138117061538,0.166881990235156,0.886583422993129,0.0659679639655226,0.201753302190882
"Test.FFPE.04",0.062200064852955,0.0384522399891733,0.101086640313101,0.0350385797443557,0.0905703545945902,0.0399534910645258,0.0934212291850327,0.970568074242647,0.499713868322532,0.0956538348516316,0.112180840895198,0.110399268579652,0.290514854649354,0.234084224319421,0.970568074242647,0.499713868322532,0.0956538348516316,0.112180840895198,0.138909416803913,0.807429890734693,0.098077037089083,0.202442962260486
"Test.FFPE.05",0.0964568636769294,0.0403654827656585,0.0939509910186348,0.0373102496424074,0.0820664915245042,0.048480607551285,0.0721013181493876,0.933062228520573,0.580198178966717,0.132625849578947,0.112875705787344,0.133398329386224,0.276205651560311,0.341063526892134,0.933062228520573,0.580198178966717,0.132625849578947,0.112875705787344,0.159274205540173,0.828836779046811,0.13156271746632,0.202263745834358
"Test.FFPE.06",0.0482752944809919,0.00757013354972829,0.0731644415800851,0.00374714999896637,0.0591203841559663,0.0106947206250364,0.0524550334226394,0.853299098334528,0.442171328935433,0.034126602443483,0.0967141509246418,0.090913732849855,0.20237863921293,0.124908678415889,0.853299098334528,0.442171328935433,0.034126602443483,0.0967141509246418,0.150103508809954,0.866117604944699,0.0251634999931174,0.158350366258208
"Test.FFPE.07",0.0470775083320726,0.0211206861202969,0.0805801771607251,0.0196063138973229,0.0696692683732952,0.0300202881118064,0.0748967844568449,0.949782542118795,0.58751110279853,0.0113191423882815,0.0939712975666967,0.0472434820940381,0.108565357888929,0.304919111096373,0.949782542118795,0.58751110279853,0.0113191423882815,0.0939712975666967,0.0756725524182446,0.916409217293231,0.00687691196126027,0.165625295200705
"IP.108b",0.047083704414604,0.0153638462995409,0.0872647628351184,0.0149771872267914,0.0778499854996373,0.0342221824537382,0.073657196476123,0.465369120197824,0.323035207275493,0,0.081918054697817,0.107433496935145,0.07867916073761,0.0115177134071689,0.465369120197824,0.323035207275493,0,0.081918054697817,0.136894367472445,0.559556925558517,0,0.139077667197765
"IP.115b",0.0572313649889537,0.0117448998378329,0.105620889987684,0.00984990000186576,0.0993958747460025,0.0226538853662377,0.11767872428731,0.700957471014698,0.374882972096199,0,0.099109513213796,0.0850731589920515,0.0880943182197788,0.0702825256940642,0.700957471014698,0.374882972096199,0,0.099109513213796,0.181440521338153,0.782862930428039,0,0.169356895244715
"IP.124b",0.173326332583806,0.127522247970186,0.114902847425836,0.134118117159185,0.105276153529571,0.180320123264054,0.103373351161875,1,0.413976138795367,0.0976037980543179,0.0932716797056729,0.265068607909691,0.284578618110072,0.111899855962631,1,0.413976138795367,0.0976037980543179,0.0932716797056729,0.280996027459679,0.888677447068041,0.0695199609999368,0.236476863096486
"IP.127",0.0295749639587429,0.0207421143002655,0.15243703925371,0.0197172175677155,0.145361203927242,0.0512155106695436,0.164768779468581,0.988552931046403,0.35944725265198,0,0.116969583617221,0.0987443676037601,0.47405950349711,0.184464879782502,0.988552931046403,0.35944725265198,0,0.116969583617221,0.131143010757352,0.949855096310777,0,0.225811525315459
"IP.138b",0.0464679298177038,0.0121954842844352,0.089811933691445,0.0141359602514599,0.0788902518412605,0.0288709001272063,0.107206944715791,0.950935351032078,0.579419995069623,0.0042605721844383,0.11289433513911,0.099437245030471,0.0610759753065786,0.281782503375976,0.950935351032078,0.579419995069623,0.0042605721844383,0.11289433513911,0.114893234169122,0.83950404729252,0,0.159344967912983
"IP.140b",0.0258679528619737,0.00234412338160503,0.102151939493254,0.00276435097686589,0.0924739348767754,0.0124380312812745,0.110768561922587,0.872782990339786,0.529537809185441,0,0.0989864978592078,0.070968559186256,0.1456862408588,0.180659865177082,0.872782990339786,0.529537809185441,0,0.0989864978592078,0.097796165423063,0.79944704011688,0,0.221149139631589
"IP.148",0.0904513446056904,0.0497652402991617,0.106328514641674,0.0556066801128093,0.0979033129377765,0.0727503178093524,0.101039214448602,0.95653836085477,0.433125227835356,0.059637986487386,0.0972944833300911,0.0995864808528999,0.31383230959841,0.161775827971388,0.95653836085477,0.433125227835356,0.059637986487386,0.0972944833300911,0.134508927290908,0.920474309696515,0.0432079057435407,0.211646602666817
"IP.197",0.0352668404828242,0.00817709259504175,0.129419793879204,0.00574453886559019,0.117810403412934,0.0136441224142315,0.130146788309133,0.72605654913182,0.357507437250766,0,0.113123513268694,0.0564714294293159,0.36087234873297,0.205604946174908,0.72605654913182,0.357507437250766,0,0.113123513268694,0.122068572945095,0.635467785372298,0,0.214626630450817
"IP.214",0.0522488832466746,0.0305486559183274,0.14009260877483,0.0271369776803286,0.128760988849604,0.0659978896838486,0.146553934089762,0.92972488773407,0.34979165958476,0,0.105294447872204,0.0954448862308853,0.381217035029514,0.0925005911852469,0.92972488773407,0.34979165958476,0,0.105294447872204,0.151136009219472,0.815852836351478,0,0.175843908469921
"IP.28",0.022129513792553,0.00790216589470969,0.152976692595057,0.00868597738424493,0.1435520563587,0.036189811891824,0.170882127652352,0.306349207431153,0.321691500635388,0,0.109083700101931,0.087682827541572,0,0.0189111169640978,0.306349207431153,0.321691500635388,0,0.109083700101931,0.142886750542038,0,0,0.163376068732358
"IP.31b",0.0486004978969068,0.00841148831022944,0.0541171927880359,0.0053666617257504,0.0445710737851808,0.0180526917961279,0.0453534614714204,0.829979766418748,0.344852585985416,0,0.0786840748676701,0.106028593709046,0.019388463048918,0,0.829979766418748,0.344852585985416,0,0.0786840748676701,0.126802871193619,0.697868054852524,0,0.156944029776653
"IP.36",0.0399463094029388,0.0204886157247377,0.116076691941076,0.0259414931308969,0.109013667511687,0.0662577068400952,0.156183168896342,0.905365954046841,0.350315954489705,0,0.103717986890392,0.0934539456334467,0.200528138591667,0.0794951702616538,0.905365954046841,0.350315954489705,0,0.103717986890392,0.150105557546421,0.710461839220016,0,0.208350866677406
"IP.38b",0.006043525441539,0.0145259106665337,0.13749042245623,0.0134043245801049,0.130764311947469,0.0261962068741247,0.126774630447515,0.648002661346026,0.324594898498185,0,0.106127874090862,0.0795421004055375,0.0724400277521173,0.0135854624104189,0.648002661346026,0.324594898498185,0,0.106127874090862,0.137317195473605,0.959478275068327,0,0.170834428093866
"IP.52",0.0523902512148308,0.0294956870715238,0.107304557278291,0.029217203810175,0.0994918464017114,0.0494770896155537,0.117704696394941,0.796538592476824,0.40581991950636,0.0185012452558583,0.0746171919270302,0.0746661568832203,0.0225797384104808,0.145593806921675,0.796538592476824,0.40581991950636,0.0185012452558583,0.0746171919270302,0.136836312380844,0.829161391996498,0.037147077907851,0.170899385220496
"IP.57",0.0239439320525576,0,0.0578908181591899,0,0.04819157455906,0.00564207227461666,0.0563079129772112,0.648240971985561,0.344459101426265,0,0.0773544328489174,0.0474582637138862,0.111673365948264,0.0511371303272152,0.648240971985561,0.344459101426265,0,0.0773544328489174,0.112051296584177,0.564515348596596,0,0.16824799461018
"IP.58b",0.0201753956707267,0,0.0770874676053766,0,0.0656579286756109,0.00191874499031778,0.10821626030331,0.905330160306678,0.67366613115145,0.0113171881358585,0.125055823177894,0.0548269780622829,0.0707506539023465,0.408749714514392,0.905330160306678,0.67366613115145,0.0113171881358585,0.125055823177894,0.0758913879678852,0.943820539395158,0.00482480314867117,0.160119525879753
"IP.67b",0.0454520784057313,0.00667361366728091,0.138493396864477,0.0112405298873543,0.127677926221933,0.0233333088867741,0.136205086619949,0,0.321152270510438,0,0.110420502561681,0.0902854995672051,0.029674742896659,0.0625900916743589,0,0.321152270510438,0,0.110420502561681,0.156058202126468,0,0,0.154575956727581
"IP.73",0.0468966127025418,0.00269730127877301,0.0925838517701412,0.000337659409293471,0.0809965519116896,0.0048482280718818,0.0702683645723182,0.693099537873909,0.33316988729938,0,0.08447017836813,0.0818953764665069,0.11366333847316,0.00810081365769682,0.693099537873909,0.33316988729938,0,0.08447017836813,0.137057531936463,0.682477259650744,0,0.189922385002231
"IP.82b",0.127214212410445,0.0230855363451107,0.124171624486019,0.02633326659018,0.11489615393882,0.0418297414064336,0.126638584834322,0.847725137835475,0.462592841836957,0.0148049107111287,0.120370045942323,0.157843659955803,0.255970984516271,0.285257824108503,0.847725137835475,0.462592841836957,0.0148049107111287,0.120370045942323,0.188233164109083,0.807533346393461,0.0184846202622045,0.169186901102796
