"","Quantiseq_Macrophage_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CBSX_LM22_Macrophages.M1","DeconRNASeq_CBSX_LM22_Macrophages.M1","Epidish_CCLE_TIL10_Macrophages.M1","DeconRNASeq_CCLE_TIL10_Macrophages.M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_LM22_Macrophages.M1","DeconRNASeq_LM22_Macrophages.M1","Epidish_TIL10_Macrophages.M1","DeconRNASeq_TIL10_Macrophages.M1","CBSX__LM22__Macrophages_M1","CBSX__TIL10__Macrophages.M1","CBSX__CCLE.TIL10__Macrophages.M1","CBSX__CD226__M1"
"LP.01.04",0.0479033521311572,0.0634389354490918,0.0679487678591376,0.0837967448296863,0.0160882142907252,0.0124909452348876,0.187133981625649,0.150919520636928,0.292635798021565,0.187182152328781,0.0160882142907252,0.0124909452348876,0.833871838087827,0.164550219005183,0.00546927972101873,0.490519937432036,0.195455363152014,0.131194975261383
"LP.01.12",0.0751902494325504,0.0834406335672898,0.0874532438632478,0.0867959753937466,0.00346986858987785,0,0.626706978635714,0.279059998438574,0.306778271396496,0.272805395993034,0.00346986858987785,0,1,0.267239555018411,0.00305935354945507,0.704280661789566,0.619911510629646,0.200794494708986
"LP.01.14",0.2079128248375,0.0705648640540719,0.0742595348110395,0.0756865700905245,0.0425538742822133,0.0331211800513432,0.309249876985141,0.384555917720728,0.42635346093734,0.281560062773957,0.0425538742822133,0.0331211800513432,0.765397886042975,0.386030879601682,0.0369122645967671,0.465051528542862,0.331510202800405,0.1999540342311
"LP.01.15",0.025276608104999,0.0819290827937497,0.0847310064974435,0.0950670802367694,0.0185188772646316,0.00887155049041506,0.246821608193844,0.217019352548925,0.243154780929063,0.173169764207308,0.0185188772646316,0.00887155049041506,0.61291851604882,0.22319879582121,0.0156440805354847,0.437036107613036,0.261994250796126,0.148890787725337
"LP.01.17",0.0260019707107157,0.0421842292143427,0.0433706561411146,0.0399853529528358,0.0585784186508061,0.063752457305394,0.219704639417935,0.182076741255248,0.331783712973412,0.295469849419062,0.0585784186508061,0.063752457305394,0.305149733231801,0.186838760683276,0.0566084709272797,0.299828340567182,0.266565956514763,0.151545454111302
"LP.01.18",0.187167265358801,0.0727895558254332,0.0789104492283286,0.0773725954664267,0.0258524285903414,0.0340844485917933,0.524596841049004,0.324107535235538,0.561142517888421,0.28048011176108,0.0258524285903414,0.0340844485917933,0.870182098547512,0.325471488085628,0.0207651747465575,0.428389556508496,0.479977945613496,0.136956569053107
"LP.01.20",0.0463348894997112,0.037261775662905,0.038595818088226,0.0341187341902611,0.0332105447274359,0.0196605978094733,0.282532555655968,0.28144723743797,0.412403394700897,0.265701686069763,0.0332105447274359,0.0196605978094733,0.472898252653772,0.28522045829598,0.0336177683668838,0.429023424890333,0.182255747673914,0.175920433049104
"LP.01.22",0,0.0783668452747938,0.0819492014983937,0.0801312850587481,0.0146871369666052,0.0807420032205423,0.0978451402653366,0.0537767856445102,0.525749951314855,0.239516767911994,0.0146871369666052,0.0807420032205423,0.242443323834858,0.0661596722003532,0.0208110632485549,0.167147580852761,0.120300283404513,0.146183308440685
"LP.01.25",0.121051612648888,0.0501093573336011,0.0519297736461961,0.0513049857864461,0.0111721402841371,0.0058010479076906,0.648174958500131,0.248665039252656,0.397464559183769,0.251502155623395,0.0111721402841371,0.0058010479076906,0.934318543114702,0.244691835911841,0.0167230293302101,0.641369934170209,0.468100667664634,0.139968209545092
"LP.01.28",0.0271282315743318,0.0664154919756417,0.0686483841418992,0.067759864574259,0,0,0.307548030767785,0.218592710185135,0.400439146320893,0.29166732399468,0,0,0.633211285896249,0.212342563943901,0.00399967405048218,0.490424590808911,0.293597746936287,0.193931397094062
"LP.01.29",0.0372742131639559,0.0737944037585238,0.0790415517651547,0.100014203093499,0.0351989707111885,0.0524026715186086,0.182384225758648,0.173786739759794,0.410972073537777,0.324336516999193,0.0351989707111885,0.0524026715186086,0.751734094602245,0.25845290528528,0.0395000611406969,0.658009866557909,0.255127439892234,0.225349716291293
"LP.01.31",0.0384384854362773,0.072603062261594,0.0816265718056506,0.0807838140567844,0,0.0362718571164162,0.499541030388161,0.0862043553185634,0.529893747164935,0.279450984471943,0,0.0362718571164162,0.897471276470702,0.0945858784406975,0.0100845927557601,0.547037674332632,0.523458612761556,0.150084298794308
"LP.01.37",0.0783464139293971,0.0758369225491862,0.0815888099074181,0.0818249142365008,0.150113215686531,0.162884093619784,0.329457310349347,0.300699500598912,0.546038132701826,0.380193410787323,0.150113215686531,0.162884093619784,0.788976157832033,0.478098220334807,0.153442977214739,0.864190877558335,0.30602254825931,0.18902964564893
"LP.01.38",0.0599258541090015,0.0867411734864315,0.0890151300228813,0.0835999061135794,0.012929903048053,0.0708303210497372,0.0850437445819717,0.123352831961473,0.492089126975538,0.208715197865844,0.012929903048053,0.0708303210497372,0.752085898365465,0.235852474758489,0,0.423439257720152,0.0706132296618309,0.131014403902938
"LP.01.40",0.0949872848500616,0.0767862383347297,0.0863652711083707,0.0883451397121477,0.138861930299611,0.132822029031268,0.149110102469989,0.255683365143856,0.658495403313007,0.475861175225049,0.138861930299611,0.132822029031268,0.514219564048417,0.360470782149057,0.13132757855307,0.52441265106502,0.232127876305561,0.168153605079578
"LP.01.43",0.113008752911565,0.0202934778216773,0.0217813480260798,0.0192476733727301,0.0404714140964237,0.0530620862172194,0.496413925994656,0.448558276103953,0.338169340955739,0.259082761053891,0.0404714140964237,0.0530620862172194,0.642614451050858,0.458215306797344,0.0549070535842925,0.402113846083716,0.460861733539038,0.171913986007652
"LP.01.45",0.0195049172491977,0.0904805645008436,0.0927350593277764,0.0908816719604425,0.0335444017718385,0.00970315368092237,0.200676094226607,0.126652078086131,0.334350110773911,0.291858966262338,0.0335444017718385,0.00970315368092237,0.960152718420009,0.174631295633962,0.0467204505241701,0.775168755970378,0.223241133877462,0.156600077939262
"LP.01.47",0.0697045805691957,0.0911550087790168,0.101283132832737,0.104044124164893,0,0,0.658266312806539,0.257638065058945,0.364861233219039,0.286500436143083,0,0,1,0.270472072822281,0,0.52867960187051,0.600069656766939,0.135543119235905
"LP.01.48",0.00972545840626588,0.0787821439835407,0.0845328824909623,0.0833104134337086,0.0236052871579629,0.0663049553316082,0.082517010749189,0.0729981420638929,0.45313170786425,0.210132474037546,0.0236052871579629,0.0663049553316082,0.349377801882159,0.113036154408979,0,0.313906040511024,0.0665997923988775,0.152016009496928
"LP.01.52",0.100079139311022,0.086365157899771,0.0963165278095791,0.095105940753106,0.00947022760716124,0.0287673985712839,0.522793123139463,0.285558050651436,0.539255692455996,0.391252132110313,0.00947022760716124,0.0287673985712839,0.772411594350954,0.279300485546517,0.0147471936597238,0.373440915470417,0.611131408782551,0.181364432926517
"LP.01.57",0.0847832548585281,0.0487653444615127,0.0500941365632347,0.0523763807236559,0.0583374902320354,0.0273959985872324,0.651180026501867,0.310410333252935,0.519845152183189,0.297644177207136,0.0583374902320354,0.0273959985872324,1,0.320232184281827,0.0646379829017437,0.651909594276635,0.56485612928906,0.173800847818845
"LP.01.61",0.0665954915737689,0.0772220430465378,0.0846252303171792,0.0821953659487375,0,0.00325639820339651,0.177918846733268,0.132789215354054,0.379726822443762,0.220423118233033,0,0.00325639820339651,1,0.254633187871994,0,0.667218425257863,0.181994453183266,0.185327044449152
"LP.01.63",0.0844900520967966,0.067686042384375,0.0738208711122783,0.0720476045889206,0.16527897121446,0.198938058220366,0.318252452802339,0.239111425352519,0.642765377649677,0.294090687678889,0.16527897121446,0.198938058220366,0.891268695144373,0.314948867982446,0.184291977032959,0.459742195970077,0.255306971142072,0.166293155680385
"LP.01.64",0.110620854742653,0.0707509679560214,0.0801944632879697,0.0788072806351688,0.0647500859236322,0.0607674716056584,0.348860547601421,0.276713559214896,0.870808401542811,0.289753560639545,0.0647500859236322,0.0607674716056584,0.949696871933412,0.392506679169107,0.0643106439159752,0.601451667870003,0.259481016789468,0.222007221790124
"LP.01.66",0.0968713004945187,0.0632555563907704,0.0648315610896502,0.0677612440395922,0.0602066498000995,0.0309772633806656,0.553043714729649,0.380076372414288,0.512377255361429,0.290735103761726,0.0602066498000995,0.0309772633806656,0.747336728572563,0.401974710176836,0.0439234968733953,0.547867276184164,0.512953459248111,0.170929057716339
"LP.01.70",0.0895673104399913,0.0344359656182872,0.0355263766932881,0.0347110366689519,0,0.0574673022165231,0.156920227114558,0.19577952323619,0.666352496947107,0.408403905783984,0,0.0574673022165231,0.634353010731917,0.241233266630933,0,0.553077590491945,0.114383186140098,0.1356452651775
"LP.01.72",0.0645310137090444,0.062107144637709,0.0674172199696794,0.0622380458434003,0.158480039399505,0.0878266930784693,0.107103945468179,0.110314110782691,0.560992228673499,0.271974777540495,0.158480039399505,0.0878266930784693,0.857170599343165,0.268785571825713,0.100336316835787,0.358256130626921,0.128957077167212,0.108814182023496
