"","Quantiseq_NoSignature_NK","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACan3DProMet_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CBSX.NSCLC.scRNAseq_NKT","DeconRNASeq_CBSX.NSCLC.scRNAseq_NKT","DeconRNASeq_CBSX.NSCLC.scRNAseq_NK","Epidish_CBSX.LM22_NK.resting","Epidish_CBSX.LM22_NK.activated","DeconRNASeq_CBSX.LM22_NK.resting","DeconRNASeq_CBSX.LM22_NK.activated","DeconRNASeq_CBSX.melanoma_NK","Epidish_CCLE.TIL10_NK","DeconRNASeq_CCLE.TIL10_NK","Epidish_NSCLC.scRNAseq_NKT","DeconRNASeq_NSCLC.scRNAseq_NKT","DeconRNASeq_NSCLC.scRNAseq_NK","Epidish_LM22_NK.resting","Epidish_LM22_NK.activated","DeconRNASeq_LM22_NK.resting","DeconRNASeq_LM22_NK.activated","DeconRNASeq_melanoma_NK","Epidish_TIL10_NK","DeconRNASeq_TIL10_NK","CBSX_LM22_NK.resting","CBSX_LM22_NK.activated","CBSX_TIL10_NK","CBSX_CCLE.TIL10_NK"
"LUNG-NSCLC2-0553",0.0420449504292059,0.0610531541605837,0.069960120894384,0.0999989832779723,0.148098979866541,0.104113386505263,0.141204643520294,0.100661119431951,0,0.0096308569080649,0.0195228831201891,0.0618915315156769,0.0186402491033389,0.186418868363694,0.148098979866541,0.104113386505263,0.141204643520294,0.100661119431951,0,0.0096308569080649,0.0195228831201891,0.0618915315156769,0.0039650428623678,0.237871336114934,0.0797860283521623,0.0038874259255372,0.187844603238306,0
"LUNG-NSCLC2-0560",0.0587852329092369,0.0491266790777659,0.0783219789812962,0.0865622035591365,0.148002993062308,0.0946519207855884,0.151191017640937,0.17898223906566,0,0.0463234085269299,0,0.0504652731932161,0.112698297435716,0.17421846868673,0.148002993062308,0.0946519207855884,0.151191017640937,0.17898223906566,0,0.0463234085269299,0,0.0504652731932161,0.104448713866061,0.192591196638924,0.149592606408434,0,0.229383996050359,0.0680533022679718
"LUNG-NSCLC2-0565",0.0446390763620259,0.0357495833132775,0.0544452581998418,0.120913822385944,0.0219249409169927,0.05120559315164,0.131083386392819,0.0618879931315504,0.0169176857206705,0.0183715900823114,0.0181805708248632,0.0968348946190274,0.0356934431590421,0.100222449378034,0.0219249409169927,0.05120559315164,0.131083386392819,0.0618879931315504,0.0169176857206705,0.0183715900823114,0.0181805708248632,0.0968348946190274,0.04417921641012,0.140915886312866,0.122320835426977,0.0036880508585776,0.012844881093086,0.0247218518000887
"LUNG-NSCLC2-0566",0.0585662134039151,0.014028544592071,0.0478825945653436,0.0536416601704583,0,0.0235056968693261,0.082450759175195,0.0261530297033439,0.0144230964991634,0,0,0,0.0919130461767373,0.134189503454353,0,0.0235056968693261,0.082450759175195,0.0261530297033439,0.0144230964991634,0,0,0,0.142846040415733,0.170530387232857,0.014776912830965,0.0200412264009911,0.184370096305276,0.0725063414735166
"LUNG-NSCLC2-0568",0.0600739005233338,0.0376790596247961,0.0527059263024127,0.057770919450828,0.0346034633071111,0.0436369945941985,0.111711256440007,0.052938928407138,0.0166941273763055,0,0,0.0042642167055137,0.0291962486407666,0.193427248622242,0.0346034633071111,0.0436369945941985,0.111711256440007,0.052938928407138,0.0166941273763055,0,0,0.0042642167055137,0.0098688391448051,0.215418606232355,0.0720309197384731,0,0,0
"LUNG-NSCLC2-0569",0.0555188146508428,0.0288711913374112,0.0457328339910281,0.0522528794980049,0.0504244226054341,0.0924220756019684,0.113528777364391,0.0892895783871222,0,0.0135091041047751,0,0.0335639773778486,0,0.0773633011563455,0.0504244226054341,0.0924220756019684,0.113528777364391,0.0892895783871222,0,0.0135091041047751,0,0.0335639773778486,0,0.157122458363763,0.0792494925362961,0,0,0
"LUNG-NSCLC2-0571",0.0350195222590002,0.0546593715123071,0.0627051027991466,0.0704254102199442,0.0186592830076785,0.117988022635018,0.149927257374537,0.0391547852136776,0.0028441339664777,0.000343781006650619,0.0394009502299083,0.0341924505843136,0,0.168732848070197,0.0186592830076785,0.117988022635018,0.149927257374537,0.0391547852136776,0.0028441339664777,0.000343781006650619,0.0394009502299083,0.0341924505843136,0,0.198684136605039,0.0279001554659073,0.0295396197555257,0,0
"LUNG-NSCLC2-0580",0.0463110468558571,0.0387492698043347,0.066695261651844,0.0714378689984141,0.0517079005471546,0.0629127342806602,0.125886924813566,0.0828181402989933,0,0.0093230988287278,0.000196522017525493,0.0110491939617472,0.0450625985970104,0.101439578636646,0.0517079005471546,0.0629127342806602,0.125886924813566,0.0828181402989933,0,0.0093230988287278,0.000196522017525493,0.0110491939617472,0.0565330315052133,0.130983980769634,0.0897013780009323,0,0.0733936884726257,0.0585132322913344
"LUNG-NSCLC2-0584",0.0596243322767815,0.0523938996880116,0.0916751570962226,0.098141630419868,0.0110488374622141,0.100241872501839,0.105965130519702,0.0539306957373826,0.0122283827758859,0.0060028417528214,0.0338712479478648,0.0434247097142207,0.0912525230984589,0.336471436789839,0.0110488374622141,0.100241872501839,0.105965130519702,0.0539306957373826,0.0122283827758859,0.0060028417528214,0.0338712479478648,0.0434247097142207,0,0.338273562202755,0.0333901884690291,0.016282602097478,0.0655327971994956,0.0797626463230287
"LUNG-NSCLC2-0585",0.0429649933156008,0.051801281146399,0.0645265157265515,0.0719834640115599,0.134006525579978,0.108410971921115,0.157574916041462,0.0933127746796223,0.022853510911802,0.0429961250669748,0.0014911530723687,0.0404314669185885,0.0300375798133601,0.18267593678767,0.134006525579978,0.108410971921115,0.157574916041462,0.0933127746796223,0.022853510911802,0.0429961250669748,0.0014911530723687,0.0404314669185885,0.158069503910507,0.240261497446281,0.0650687846424406,0.0183555981575514,0,0.062465317744534
