"","Quantiseq_T_cell_CD4._.non.regulatory.","Epidish_BPRNACan_CD4","DeconRNASeq_BPRNACan_CD4","Epidish_BPRNACan3DProMet_CD4","DeconRNASeq_BPRNACan3DProMet_CD4","Epidish_BPRNACanProMet_CD4","DeconRNASeq_BPRNACanProMet_CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","DeconRNASeq_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","Epidish_TIL10_T.cells.CD4","DeconRNASeq_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_naive","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__LM22__T_cells_CD4_memory_activated","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"J1_p1_rep1_B",0.0195355330079816,0,0.0529854625386893,0,0,0,0,0.987660923385563,0.34012773957436,0.0583213431386835,0.291916902378748,0,0.089860652952769,0.313703372198653,0,0.0942626780086496,0.0205245842266822,0.0734791996012504,0.981877926410504,0.178436108591128,0.12437828902978,0.214846063345289
"J1_p1_rep2_B",0.030782934325236,0,0.0577423528134562,0,0,0,0,0.987907888681826,0.353163225857639,0.0520557086175108,0.293073356876393,0,0.0868352980774919,0.314980734801244,0,0.0931719474490451,0.0215767819830939,0.077715555794258,0.983351130905399,0.151395899445239,0.101264068454726,0.233621439583026
"J4_p1_rep1_B",0,0,0.0257232810419447,0,0,0,0,0.9685943334537,0.300811085920765,0.12383893573791,0.29766117180741,0,0.0954243230078486,0.320405317455793,0,0.0855936615508596,0.0184377528976202,0.06064899363738,0.969493029401318,0.127116125237835,0.154552710030219,0.310794118912562
"J4_p1_rep2_B",0,0,0.026019090162556,0,0,0,0,0.970039991920397,0.30172383360655,0.109999005490744,0.304363197760369,0,0.0937544454824945,0.326513205297811,0,0.0838684072170371,0.0182906413632589,0.0746481969558895,0.968774302253117,0.140302845543464,0.177402191268158,0.289922996839973
"J8_p1_rep1_B",0.0691322160651884,0,0.0173799577474377,0,0,0,0,0.954517940540044,0.304618933878242,0.0432996782159062,0.314985058421024,0,0.114608002704589,0.341298251813779,0,0.0984632991010703,0.0232417387850028,0.0757804705297861,0.960452290400826,0.0834283592045991,0.126493570545825,0.288748720041488
"J8_p1_rep2_B",0.0529901068890895,0,0.020376727471093,0,0,0,0,0.949044204345116,0.321068068728162,0.0152765868354948,0.337400401345474,0,0.0605760062236402,0.365274860110776,0,0.102073329695973,0.0194416577362271,0.101389453981689,0.963038209485458,0.154835329235371,0.0422699371420187,0.304694604156398
"J11_p1_rep1_B",0.0864530418355027,0,0.0214098605391476,0,0,0,0,0.945702026234959,0.337091368987375,0.0149626193180705,0.341748388859439,0,0.0491838908289334,0.367386771062119,0,0.0774034565798767,0.0444358509346364,0.110067471945142,0.959367210065906,0.196558628382625,0.0618405696268972,0.32313303907735
"J11_p1_rep2_B",0.0795095790663385,0,0.0225093822958257,0,0,0,0,0.943423603523374,0.340865990583313,0.0160754063147792,0.34525218742188,0,0.0618629757293472,0.370591864440569,0,0.0849272501190833,0.0409772667479761,0.100117387090683,0.96045508523269,0.172220652549131,0.0519838557814591,0.334879584535061
"J14_p1_rep1_B",0.110885701434186,0,0.0507364240571802,0,0,0,0,0.956165773504774,0.362809122946739,0.0268994484566779,0.347156792063627,0,0.0560726751317233,0.370763627522172,0,0.0356294620991531,0.0118460803979041,0.11895285169824,0.961973316705635,0.18538361304894,0.082294828227835,0.345817844689666
"J14_p1_rep2_B",0.105959874211053,0,0.0517147844565659,0.00055865392049609,0,0,0,0.956640197842873,0.358741096218607,0.0234361894503284,0.336129993444272,0,0.0649552956799548,0.358993357625322,0,0.101630087660085,0.0210274559026711,0.109717265352034,0.963307759271818,0.180425903712395,0.0785923870731532,0.35387151890131
"J1_p2_rep1_B",0.175414920748377,0,0.0593984583887097,0,0,0,0,0.998524281705211,0.435489718712822,0.240552040922153,0.485015841024446,0,0.395748024537999,0.504496967633791,0,0.079091360195264,0.0416356519903102,0.118221449846297,0.999934973213426,0.362706173503518,0.292509837625792,0.241610372836073
"J1_p2_rep2_B",0.169285880748737,0,0.0601591629685691,0,0,0,0,0.998031899553273,0.438941985884511,0.219222411074089,0.485969716739849,0,0.382994966877506,0.505616178235596,0,0.0832304826078753,0.043886551317235,0.11515848364247,0.999872020509136,0.331777076370602,0.279487930072464,0.236605162168977
"J4_p2_rep1_B",0.0821890485980462,0,0.0686421064809424,0,0,0,0,0.99340196429093,0.446843544618825,0.0658579256742848,0.41639133244489,0,0.257890738538998,0.438572973434221,0,0.0771910507202372,0.0384485521285706,0.0812249654734756,0.999989345924269,0.19389834865496,0.124303094074691,0.309834505498452
"J4_p2_rep2_B",0.111078924456781,0,0.0694355041315781,0,0,0,0,0.996254092231345,0.422345044422639,0.057930870709107,0.405270512492383,0,0.215365393581727,0.426841490402524,0,0.0760313430265204,0.036224387280279,0.0835136800500992,0.999785324034155,0.191685603147878,0.07753070747063,0.350840557048805
"J8_p2_rep1_B",0.0666031443974206,0,0.0351550329934444,0,0,0,0,0.97539498068888,0.44223409874509,0.121573734428299,0.428028220849176,0,0.264730972926226,0.447370038885946,0,0.0571438678411575,0.0471897563269926,0.0892103905804219,0.976652774994824,0.221437574348043,0.151299183416202,0.336484335165249
"J8_p2_rep2_B",0.0682991033599361,0,0.0353157738588131,0,0,0,0,0.978535358753189,0.421767303263798,0.151933221499606,0.418568008182699,0,0.286934162559616,0.437422560433589,0,0.0629909967860343,0.0488477334586057,0.0894623921686916,0.983163639287017,0.241537861115352,0.172015847932012,0.346914510413953
