"","Quantiseq_T_cell_CD4._.non.regulatory.","Epidish_BPRNACan_CD4","DeconRNASeq_BPRNACan_CD4","Epidish_BPRNACan3DProMet_CD4","DeconRNASeq_BPRNACan3DProMet_CD4","Epidish_BPRNACanProMet_CD4","DeconRNASeq_BPRNACanProMet_CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","DeconRNASeq_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","Epidish_TIL10_T.cells.CD4","DeconRNASeq_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_naive","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__LM22__T_cells_CD4_memory_activated","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"J11_p2_rep1_B",0.170906852632976,0,0.0602987861015975,0,0,0,0,0.946635083700938,0.417324743297582,0.501648815867902,0.45443565656303,0,0.295111605217063,0.471018655877078,0,0.0660032504135419,0.0567243003952323,0.0906727576811927,0.988296664315617,0.341047301203637,0.552504898749252,0.349364830182443
"J11_p2_rep2_B",0.121742513108918,0,0.0380182488924215,0,0,0,0,0.969846425415348,0.437055778689512,0.33615261334974,0.45345147789454,0,0.324539663468532,0.470937538335995,0,0.0695834222520023,0.0641523626925007,0.0903325060103959,0.986744770514002,0.242706960431535,0.366693680687026,0.318538056083928
"J14_p2_rep1_B",0.126901452412359,0,0.06077317020201,0,0,0,0,0.959199401443347,0.42015350906083,0.430099550001507,0.444724781935184,0,0.33116712449048,0.461263295949578,0,0.0657299557431764,0.0634545681382847,0.0867815063387045,0.986567243642592,0.285338456556465,0.451995196670645,0.328233236301121
"J14_p2_rep2_B",0.270592595507313,0,0.0858713211063467,0,0,0,0,0.943643260489455,0.430355377828183,0.225495401855266,0.432908018816101,0,0.130609986788087,0.446107177190065,0,0.0905398649694556,0.053109277601313,0.119774807153404,0.975585127679867,0.063944803319148,0.248586565812653,0.387717157828674
"J1_p3_rep1_B",0,0,0.0587725853219568,0,0,0,0.0015164089280211,0.915882634429633,0.356375808040047,0.039344257382953,0.416526616261586,0,0.144457664023985,0.437831928853725,0,0.0597700288098969,0.0354631311119878,0.1283659475596,0.911312185511062,0.184864655380885,0.0890654409717697,0.339005625232869
"J1_p3_rep2_B",0,0,0.0601831819352558,0,0.00066606602938351,0,0.0050878813393213,0.916628145643844,0.358259807054136,0.0316769702239609,0.418138657519707,0,0.12921225537213,0.438988018954107,0,0.0501770524833857,0.0382382676256764,0.130729420276166,0.913321580298587,0.16962954899327,0.10434131128166,0.344457244752103
"J4_p3_rep1_B",0.149866353545445,0,0.0465036664452029,0,0,0,0,0.914823850526995,0.354705674608997,0.101992136394549,0.393498954246732,0,0.23060965544734,0.41776391696673,0,0.0671312842850682,0.0227028786907553,0.119971270450435,0.911943827904367,0.177136247745329,0.16952000783902,0.319033271941414
"J4_p3_rep2_B",0.160975875477411,0,0.0439433033913095,0,0,0,0,0.911367665142187,0.357947115757099,0.126451606181607,0.379622430046684,0,0.236687458867049,0.402371240664905,0,0.0656484859024357,0.0508786491509217,0.119636212191727,0.908660401936468,0.127301345733714,0.238510906703651,0.325298426699041
"J8_p3_rep1_B",0.184605126664858,0,0.0454355715782626,0,0,0,0,0.907555665554298,0.357521605552701,0.0884088435750224,0.371776307553567,0,0.236899924617239,0.395747377339919,0,0.0709989851467887,0.0278167812907055,0.161981545635979,0.908436889910882,0.186545449061424,0.175988515311612,0.319401584380638
"J8_p3_rep2_B",0.167570909868504,0,0.0479015474251971,0,0,0,0,0.906077167352461,0.360541602073709,0.0817956185839482,0.384343175741112,0,0.263464316645686,0.407490197729656,0,0.0593605867375937,0.0325918905864812,0.136390234930369,0.907651997336922,0.185406794309843,0.162781938317345,0.326458818395345
"J11_p3_rep1_B",0.174368914539687,0,0.0552658964831109,0,0,0,0.00053829184176024,0.901124655885804,0.369523866405768,0.0788030572718254,0.405143284663176,0,0.265261634467627,0.424324544698781,0,0.0718616086496563,0.0259162998065206,0.14369885785634,0.903847087677465,0.183947268099966,0.120632374502298,0.328900820121845
"J11_p3_rep2_B",0.175979919916842,0,0.0578062966591996,0,0,0,0.0019730667993003,0.903308841076518,0.368421946651732,0.0789054539828659,0.397701963714026,0,0.279167852195974,0.416016107845266,0,0.0681190412921088,0.0438484376863115,0.152457923320454,0.902497100673924,0.188183590424082,0.174434775149743,0.327024534788847
"J14_p3_rep1_B",0.175020248709307,0,0.0564572356688513,0,0.0085570123559106,0,0.0121201005838929,0.894290190903682,0.375812524111645,0.0656624586107422,0.396219053655465,0,0.258897682386732,0.416415889182542,0,0.0682485297528726,0.0273469748014181,0.159750407350291,0.888555086189225,0.195211153716767,0.0799481859085808,0.354228955959911
"J14_p3_rep2_B",0.201041674174301,0,0.0551818745560173,0,0.0069951648222337,0,0.0108123096748499,0.892274911537736,0.380900196486368,0.0818337641306748,0.398898343094389,0,0.291441522556758,0.418766550637565,0,0.0707014167582318,0.0330399203029542,0.143415727270102,0.892516993161814,0.309295154984722,0.0774958125613095,0.354919565986029
"J1_p1_rep1_hetero",0.0896652538640375,0.0036982806232095,0.0943037550114182,0.000388214529124,0.0370125812770102,0,0.006286019046578,0.916468981596993,0.406385296530377,0.346644728262924,0.399465762405731,0,0.136894177856359,0.408038851402044,0,0.0396822340334773,0.010524017478946,0.193637541254907,0.910203292093836,0.282576716956037,0.329252488767783,0.389444230104284
"J2_p1_rep1_hetero",0,0,0.0599659451401021,0,0,0,0,0.90063217819391,0.382491250267151,0.0798152460335875,0.338975445245656,0,0.070076947591088,0.360081789931557,0,0.0502402999763287,0,0.0706628226452827,0.904218466474676,0.156049511460064,0.153491637417756,0.404826947521327
"J3_p1_rep1_hetero",0,0,0.0506877193755746,0,0,0,0,0.913786719123045,0.378835742836183,0.129403953381699,0.350797299703215,0,0.069663798700671,0.370779589319879,0,0.0546202462759785,0.0119803623930159,0.0626729069571526,0.927079348485701,0.14027817332077,0.134413660020374,0.414194441060603
"J4_p1_rep1_hetero",0,0,0.0556579865458944,0,0,0,0,0.896908156707812,0.384530491004258,0.0812688224474685,0.392929680119197,0,0.0760233859273389,0.411953670666931,0,0.0636009428633227,0,0.0912370941133847,0.901620393008638,0.167066548660843,0.139690596515825,0.412458131200531
"J5_p1_rep1_hetero",0,0.0006660199767715,0.0435658953420553,0,0,0,0,0.84521309640145,0.376236958142351,0.103251331691167,0.403295275125657,0,0.0645988942937157,0.419872379717722,0,0.0702492900440124,0,0.0922688059637213,0.838469442711087,0.125994962449579,0.177854535425349,0.407405565534222
"J6_p1_rep1_hetero",0,0,0.038760490793563,0,0,0,0,0.863382340776374,0.381014365842747,0.174008481437569,0.385338645309107,0,0.0850619278060691,0.404521686459223,0,0.0534861091994415,0,0.117110953448341,0.86999383551634,0.15272086168003,0.151620788336287,0.426549518324613
"J7_p1_rep1_hetero",0,0,0.0383411496770618,0,0,0,0,0.871670593905873,0.376209291664506,0.140808232893716,0.396074881311381,0,0.0796337981144325,0.415311106108768,0,0.0653904257140753,0,0.109985266919795,0.880022182168457,0.176241373339283,0.139934481320856,0.419365884146262
"J8_p1_rep1_hetero",0,0,0.0441307887735345,0,0,0,0,0.873554245553147,0.365920505584336,0.105970389531837,0.402654702952866,0,0.075961693026002,0.419762692894042,0,0.0807372363326608,0,0.0992448767347338,0.877561781278406,0.165915963682935,0.179202482418695,0.421186587320235
"J9_p1_rep1_hetero",0,0.0014034601374579,0.0435673231456509,0,0,0,0,0.844305598019087,0.369703251451649,0.121972881929419,0.407897211971453,0,0.0849339295531509,0.425455669329883,0,0.0763680028398914,0,0.0977646253196914,0.840133421819397,0.183974269519455,0.148329625139164,0.42651518873502
"J11_p1_rep1_hetero",0,0.0033922888334827,0.0552496430814414,0,0,0,0,0.854387891496773,0.371559325829793,0.159118274041158,0.388978072756859,0,0.0796794548305307,0.406013183784016,0,0.0818283834410474,0,0.102634452910037,0.861730017618593,0.104991902624292,0.16815725409875,0.417450476712276
"J13_p1_rep1_hetero",0,0,0.0505479850636935,0,0,0,0,0.849270701682239,0.357087392543147,0.138992930247993,0.381613724766307,0,0.0927334000601274,0.399758424128549,0,0.057130477299507,0,0.132799880299085,0.8557210766717,0.0931006997812896,0.140920989659987,0.433671931491391
"J1_p1_rep2_hetero",0.083882415800181,0.0047746296981549,0.0954627988446084,0.0013926025428254,0.0355850137198952,0,0.0059498386524046,0.917649242499799,0.404955995431439,0.285662814280516,0.38454187045373,0,0.130788123467016,0.394000823840245,0,0.0590464488681642,0.0088686865075781,0.180079219631102,0.91523541634814,0.255556979592928,0.274995786415826,0.392287586192305
"J2_p1_rep2_hetero",0,0,0.0629907002958847,0,0,0,0,0.908378027208203,0.380828522449894,0.0762399207833268,0.34081046346341,0,0.068158653400454,0.360647139983547,0,0.0571454415811361,0.000527226805084,0.0645117583446099,0.92134153997869,0.16912858159811,0.138352980459236,0.40617738415121
"J3_p1_rep2_hetero",0,0,0.0524825512272206,0,0,0,0,0.909865781456526,0.378129622917383,0.113951182961288,0.35506095998609,0,0.0854203329113964,0.37267048539312,0,0.0516807921930417,0.0052428359439548,0.0620359331007789,0.91177048711732,0.180389405128498,0.184086805104998,0.424817699531184
"J4_p1_rep2_hetero",0,0,0.0557746719751492,0,0,0,0,0.893941029158917,0.380051178292878,0.0748916791755933,0.397327969045212,0,0.064908798622393,0.416048348618752,0,0.0660685670720159,0,0.0975437329877286,0.900948135145714,0.160473493700733,0.143392519534688,0.417743341757535
"J5_p1_rep2_hetero",0,0,0.0441372357508932,0,0,0,0,0.856250799766914,0.376778371323845,0.135027406447555,0.410751887013437,0,0.0703012408563985,0.426751786515159,0,0.0554710985452184,0,0.0933636030181398,0.859976968314384,0.16673590793486,0.20582649658552,0.41606006883896
"J6_p1_rep2_hetero",0,0.0001135332031091,0.0377184779071012,0,0,0,0,0.865045070488618,0.379191318432839,0.153402256816241,0.392764009561552,0,0.07663550354553,0.411954853660432,0,0.0546213035965572,0,0.111814347035077,0.868606035380556,0.149523160136437,0.177927126806773,0.417603957088937
"J7_p1_rep2_hetero",0,0,0.0403152395066115,0,0,0,0,0.875032578559475,0.376069941589558,0.120883239854566,0.391978736980746,0,0.0693404640601309,0.411543002506279,0,0.0839697671606853,0,0.107155627838148,0.882854962972957,0.143834730977804,0.159208654119192,0.420184797417732
"J8_p1_rep2_hetero",0,0,0.044857775357336,0,0,0,0,0.867415131558807,0.363332528849972,0.103989377610279,0.408358867547618,0,0.0803992593601531,0.42641393087432,0,0.0803988986646447,0,0.108291349806507,0.872456710455228,0.169527089842874,0.191367873998435,0.420401114688988
"J9_p1_rep2_hetero",0,0.0007988596551303,0.0465905683770881,0,0,0,0,0.836377144907834,0.366665336694277,0.128978858814896,0.4097578685919,0,0.0789369143782579,0.426308229366412,0,0.0627597724269954,0,0.10546636664991,0.841831257552769,0.16000751766803,0.1531801559858,0.425064812133663
"J11_p1_rep2_hetero",0,0.0038281318263208,0.0547849291851206,0,0,0,0,0.856612534996064,0.370431453814587,0.115377816532606,0.391908897479171,0,0.0908180507450629,0.409293058853723,0,0.071300112643066,0,0.103780681581995,0.862634089303383,0.132286629984981,0.178985670500821,0.421022744515611
"J13_p1_rep2_hetero",0,0.0012100149489879,0.0466573400025319,0,0,0,0,0.851524643819283,0.356346794222834,0.161049322810801,0.385390987679723,0,0.110706969246724,0.402945177152316,0,0.0463992872657236,0,0.114892151127913,0.865690265496514,0.139898120915389,0.15973061781895,0.432473922689029
"J1_p2_rep1_hetero",0.13768656188748,0.0115391356999871,0.0937576233815704,0.0028502769838404,0,0,0,0.982334533368786,0.411073575301612,0.265208115673652,0.472016312123363,0,0.137352286981115,0.488581219144842,0,0.132932385710766,0.005854611705572,0.0966100639323872,0.978853373233304,0.18447416721299,0.308742217032364,0.405775851837397
"J2_p2_rep1_hetero",0.124585365950729,0,0.0526108971832733,0,0,0,0,0.909623034065785,0.381454736861505,0.153848057014585,0.441430500172545,0,0.082213823776269,0.45993796803485,0.0168374509504387,0,0,0.0611434462650416,0.941825954724786,0.151745021450738,0.252498599099811,0.420155893493766
"J3_p2_rep1_hetero",0.171704783511122,0.0109964197254987,0.0383789122395239,0.0044195093173231,0,0,0,0.811664603906835,0.362817436399054,0.230707521232886,0.449006998382326,0,0.0783300408687367,0.462099375009842,0,0,0,0.0703871696417436,0.864088406461317,0.118880876296835,0.170325027519536,0.424687865590329
"J4_p2_rep1_hetero",0.251670503456347,0.0145586323049771,0.038216453444854,0.0073399776508231,0,0.0047521712180332,0,0.85016982110105,0.368018936009353,0.190521542689918,0.393085403286219,0.0064598480647233,0.126273547762556,0.414396890716483,0.0078885492265374,0,0,0.0600182999199595,0.866449845498139,0.113120804211814,0.226618607181398,0.411485378795787
"J5_p2_rep1_hetero",0.241578770881673,0.0083629076014568,0.0436504299535852,0.002458081054404,0,0.0041685404059616,0,0.905191417669695,0.375653861617534,0.162773301659165,0.384387103443493,0,0.110013433697283,0.414964412761404,0.0073999222945777,0,0.0131529463514843,0.0569976341212616,0.946615003904562,0.110390527056859,0.213158139981079,0.420470826776716
"J6_p2_rep1_hetero",0.152610817424276,0.0085955204657246,0.0540061021503728,0,0,0,0,0.936166519404322,0.369678053716647,0.0444784593767178,0.397443323554193,0,0.0789515055759389,0.426857144290905,0,0,0.0039427105579457,0.0648810433492287,0.962379310002776,0.0736948589912123,0.121695020099139,0.405060640273906
"J7_p2_rep1_hetero",0.155747038992625,0.007661968865662,0.0664228746052586,0.0008763794036944,0,0,0,0.932869294804773,0.371980527346328,0.033401855232416,0.417204471931244,0,0.0756371269089352,0.439412733070345,0,0,0,0.0490982481020077,0.980060958355701,0.145277738173227,0.133065089328498,0.422850911241162
"J8_p2_rep1_hetero",0.109264620031036,0.0064294077915192,0.0699592276703365,0.0019516992363321,0,0,0,0.941576410835878,0.372649223113477,0.0782454988578401,0.435690737651552,0,0.0962990738754536,0.454218707597792,0,0,0,0.0581573880792234,0.976103261888558,0.155766823155437,0.137963389261834,0.424941250631543
"J9_p2_rep1_hetero",0.184161837132431,0.0086844464771023,0.078000045418465,0.0039870889391482,0,0.0003442627611229,0,0.899687109318111,0.371033072438781,0.0516719963267724,0.42734969540075,0.0158615854118194,0.0805570282360263,0.44614637794376,0,0,0,0.0794434796770543,0.964199542650445,0.183636533386693,0.135267887580196,0.44146421581577
"J10_p2_rep1_hetero",0,0.0091928185884223,0.067663957529528,0.0052224025578211,0,0,0,0.940430643686564,0.373680640863012,0.0889004707522697,0.454083674242506,0,0.0989523090736191,0.472364258529314,0,0,0,0.0543533040907183,0.970311694083769,0.104567216534925,0.114477254784892,0.421025087893436
"J11_p2_rep1_hetero",0.0901373060235951,0.0108925767622672,0.0651736205317909,0.0077353195384151,0,0.0033226495444145,0,0.891695170610769,0.366125315943938,0.109253019238367,0.446843282456578,0.009958892476378,0.0806253566528868,0.466408164089208,0,0.0046985823065797,0,0.0589264632618394,0.947273757364957,0.122982409336158,0.12977258464478,0.429716024449884
"J12_p2_rep1_hetero",0.0894070839683707,0.0103245397646112,0.0607514168672551,0.0081298287127336,0,0.0047005653041528,0,0.940209570672546,0.379871665016958,0.0542749785894449,0.443659997403284,0.0071637251828956,0.081900109097334,0.462922573933724,0,0.0235257622352015,0,0.0521283651635084,0.971101930376491,0.0847363452412851,0.0853838856855806,0.418554320577691
"J13_p2_rep1_hetero",0.150048534683975,0.0079227861348734,0.0594574808662045,0.0052364852547593,0,0.0020002853089277,0,0.920813649650144,0.381892258098952,0.0836290644410648,0.446432526714962,0,0.11157323482684,0.465223477798857,0,0,0,0.0626487506309377,0.952419758912842,0.231781653730857,0.118218057879046,0.422014704634675
"J1_p2_rep2_hetero",0.132266502959614,0.0009807847011374,0.0879629779599315,0,0,0,0,0.984638639519537,0.410684919747941,0.302482771517185,0.478649764382299,0,0.12051313710956,0.495410567465717,0.0022731066273083,0.0470011687462753,0,0.0990759219226583,0.990129032525823,0.176293124722856,0.293614776629788,0.411095226161512
"J2_p2_rep2_hetero",0.122602556657205,0,0.0511382084428289,0,0,0,0,0.902664365380236,0.377056518502196,0.155838149603663,0.44384561471873,0,0.0950207319163407,0.463148459182074,0.0251252932907733,0,0,0.0590023001694881,0.936385499202568,0.107434832668734,0.152469009985382,0.410505991710605
"J3_p2_rep2_hetero",0.167953364912275,0.0076938892799935,0.0353223228411002,0,0,0,0,0.819570112023062,0.362250510762,0.247436628752863,0.449352517339662,0,0.0720352959109802,0.46217406981034,0,0,0,0.0612923867124929,0.864399081411913,0.0839640130256986,0.199860184265285,0.428299532744087
"J4_p2_rep2_hetero",0.249895687250376,0.0140722708347947,0.0396372397885228,0.0066027443855869,0,0.0055822993882299,0,0.837701845268243,0.363239534459754,0.212451027707454,0.402327146765563,0,0.135222396223813,0.422569826388978,0,0,0,0.0494959713018872,0.849999472092769,0.125472197768291,0.229011814528322,0.407951146520003
"J5_p2_rep2_hetero",0.237854449098595,0.0082277264386586,0.0454716283788424,0.0028655553121525,0,0.0030057835676942,0,0.911642293651449,0.371890536507772,0.163713452314714,0.390755272937966,0,0.111337754636621,0.420529136380837,0,0.0124419478490014,0,0.0537386429977386,0.936967799272018,0.0960055379171659,0.173630401123058,0.417564654559035
"J6_p2_rep2_hetero",0.15431597710212,0.0078055196121116,0.0545234900450907,0,0,0,0,0.929171321857862,0.366331446735365,0.0526618870893274,0.398192186544597,0,0.087319863216832,0.427338186628829,0.0050892574388173,0,0.0093542204383224,0.0565662887687578,0.943345249249381,0.0699050024498267,0.118186215209724,0.402991092870266
"J7_p2_rep2_hetero",0.140681032309155,0.0081491706598484,0.0691300846046685,0.0024528033062929,0,0.0009311101669492,0,0.93562617280664,0.369261204716989,0.0491735403404783,0.422305614895524,0,0.125815727395909,0.444778621868456,0,0,0,0.0580056195871028,0.979645696734252,0.136546748975009,0.131334767778273,0.42289334943734
"J8_p2_rep2_hetero",0.0928826979653354,0.0078452981994088,0.0700541521814579,0.002258387416014,0,0,0,0.944412989589157,0.372310450849094,0.0417751913133257,0.431744827925166,0,0.0792861514394021,0.450828394162432,0,0,0,0.0511185529616029,0.98524179646219,0.153719669883975,0.136077633653259,0.425055415672764
"J9_p2_rep2_hetero",0.180251681874197,0.0090743218544628,0.0775678254880725,0.0042657552939046,0,0.0001462124054882,0,0.904753733104477,0.367689471217922,0.0425866614705824,0.428544143563033,0.0121589079048688,0.0891285836110716,0.447483473399065,0,0,0,0.066119276846824,0.962802561238253,0.191496321477256,0.126349251046881,0.442089527161602
"J10_p2_rep2_hetero",0,0.0074981023545643,0.0704370849665642,0.00242577317095,0,0,0,0.926695516667437,0.369354715886027,0.104443378030024,0.454670480505626,0,0.0789763237959074,0.472557052810776,0,0,0,0.0591573371730804,0.96469637105709,0.0291888601076894,0.136812368291658,0.420186561647815
"J11_p2_rep2_hetero",0.0825477825993472,0.0098193106780261,0.0648411204458484,0.0066554177371795,0,0.0038661469453203,0,0.884147826678837,0.365000162214505,0.0871132394188229,0.442559757991603,0.009306251646309,0.0549246370201489,0.461897064115516,0,0,0,0.0715936434012179,0.946291043018599,0.10944826163036,0.134668385127292,0.429559079309526
"J12_p2_rep2_hetero",0.0557150057476871,0.0096241062544438,0.060784406764243,0.0058883301392846,0,0.0018223053758266,0,0.939322555178308,0.377079059521317,0.0904747300923119,0.449111831527724,0.0062384444179366,0.0728125843195867,0.467809800040714,0,0.0020816455696164,0,0.0650140832174226,0.975518003936719,0.0927481236784449,0.138309971151959,0.42525206040532
"J13_p2_rep2_hetero",0.135310345419026,0.0083243555333458,0.0604043466327071,0.0035712033782671,0,0.0010961269480707,0,0.909634105207504,0.380653766297989,0.0581702359582048,0.445401284059393,0.0039099283908854,0.0794607893992715,0.465095825286888,0,0,0,0.0599766272913472,0.938706528412998,0.170833010058916,0.0757804995203902,0.42230483770459
"J1_p1_rep1_auto",0.0402524130048793,0.0040129665114968,0.0585265088602225,0.0011716152909266,0.00083929339400701,0,0.0034270923761522,0.991686375944223,0.341915755038173,0.0302235173349709,0.267672428285883,0,0.0942942017725826,0.289295954632745,0,0.0271436455317456,0.0152557905284048,0.108291654206125,0.98660104467487,0.157397322971206,0.117069715136848,0.198859350658097
"J1_p1_rep2_auto",0.0290212628879282,0.0043056579397193,0.0598222022041447,0.0023198335822214,0.0010150017906082,0,0.0030008637700061,0.991503030410156,0.364225128294795,0.0266466885204937,0.267667359406217,0,0.0912555920605577,0.290008699127895,0,0.0079090853381572,0.009371443535382,0.106892789525144,0.98694937229785,0.185124146303858,0.122516487962233,0.216906483124119
"J4_p1_rep1_auto",0,0.002585449815579,0.0356177322224446,0,0,0,0,0.981845187212763,0.325285932858816,0.0289151064593099,0.300103163050601,0,0.0979892942007017,0.319832189348705,0,0.0191406621252923,0.0035506835280447,0.103513553899758,0.976043191533386,0.16198973084513,0.126135659761827,0.287761641734551
"J4_p1_rep2_auto",0,0.0019100656978826,0.0388101336457911,0,0,0,0,0.980188232801174,0.336640267915144,0.0317724994057729,0.293108316440364,0,0.0974792648076322,0.312808328955006,0,0.0738350634552893,0.0393093991905643,0.111027296095111,0.972136096759252,0.144557099595044,0.137074754719372,0.297392862948542
"J8_p1_rep1_auto",0.0418206620546733,0.001595919560485,0.040258131225403,0.0068707066917378,0,0,0,0.976649713010148,0.340224700591787,0.0190153232310333,0.30366319369781,0,0.104575293052975,0.32545762680469,0,0.0224994733729871,0.0270987061159606,0.119012074997699,0.965257257789795,0.159440587621584,0.0690491942140633,0.298298904793211
