"","x"
"1",0.048454380536452
"2",0.0484115620047361
"3",0.044677605208354
"4",0.0447573107055328
"5",0.0429912298803259
"6",0.0445268455175649
"7",0.048046790830861
"8",0.0473516622377217
"9",0.0480222377703767
"10",0.0487012438822312
"11",0.0538766706134991
"12",0.0537530851522388
"13",0.0566783113284076
"14",0.0587380639710419
"15",0.0527105364652519
"16",0.0529540646558953
"17",0.0551690582157466
"18",0.0524051138201177
"19",0.0543844752789916
"20",0.0562487769690503
"21",0.045096162945299
"22",0.0443899956473633
"23",0.0414287516126355
"24",0.0416686244735597
"25",0.0421345559360476
"26",0.0433119155424324
"27",0.0427097871449313
"28",0.0431298894225964
"29",0.0437947594620443
"30",0.0430129631027136
"31",0.0532322234165367
"32",0.0700878866174729
"33",0.0721547396992727
"34",0.0575309636117472
"35",0.0465269059531252
"36",0.0454755907229859
"37",0.0507327792511
"38",0.0502420352513252
"39",0.0461401712388091
"40",0.0445929308206319
"41",0.0486737549021349
"42",0.0551996422407014
"43",0.0702605598687051
"44",0.0727729502238537
"45",0.0593584234833268
"46",0.0470803932148472
"47",0.0477258599447924
"48",0.0520613100181998
"49",0.0523744039661193
"50",0.0461495132566305
"51",0.0456462722377484
"52",0.0487430849356468
"53",0.078852344315349
"54",0.0762453636897578
"55",0.0698989822719336
"56",0.060982477367747
"57",0.0675196610130092
"58",0.0723976268478609
"59",0.0787313594542817
"60",0.0808947655483894
"61",0.0894498471628147
"62",0.0905082957926384
"63",0.0954840380977361
"64",0.0882037376861786
"65",0.0826320206623683
"66",0.0777472576541634
"67",0.0770339917725755
"68",0.0697770126964036
"69",0.060413287927179
"70",0.0673509781938426
"71",0.074012122815017
"72",0.0792597335930172
"73",0.0806374242516798
"74",0.0907294714045348
"75",0.0896123728808843
"76",0.0957508532298846
"77",0.0893232870698432
"78",0.0842043076415536
"79",0.0484287976847954
"80",0.0472390744892627
"81",0.0449056968900644
"82",0.0441205589388711
"83",0.0438907953229492
"84",0.0438184560492622
"85",0.0444105827619691
"86",0.043516163650638
"87",0.0466674025166036
"88",0.0467119868157118
"89",0.0516479215783466
"90",0.0519476129173455
"91",0.0561554213968848
"92",0.0563007893397095
"93",0.0470996962212536
"94",0.046503269999173
"95",0.0526685680932682
"96",0.0514928724251724
"97",0.054546142507181
"98",0.0550151810344436
"99",0.0463951702467369
"100",0.0449256910935209
"101",0.042117255410452
"102",0.0429150969524145
"103",0.0421034228092111
"104",0.0432144035827228
"105",0.0409301603102462
"106",0.0416598282923569
"107",0.0454804073754286
"108",0.0416333409078882
