"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"LP.01.01",0.155412248926532,0.251486101040237,0.387210295803352,0.162204461551405
"LP.01.02",0.12763403279872,0.145860150090864,0.357048980233403,0.151967135450591
"LP.01.03",0.167092293025068,0.189982371602223,0.458494216098412,0.172217951643615
"LP.01.04",0.0688303153870369,0.0687348470908617,0.164122562549231,0.070320769283355
"LP.01.10",0.174371195532557,0.146265230113155,0.325400829963653,0.13680416032816
"LP.01.12",0.211995805901307,0.143457325327014,0.386922803584034,0.215352665042953
"LP.01.14",0.190043466687248,0.156423077106631,0.267023803957177,0.186478704973589
"LP.01.16",0.149760093899473,0.141366972971121,0.26784672417378,0.172367304309716
"LP.01.18",0.284987475191663,0.195035638204601,0.407367350118542,0.301939696020946
"LP.01.19",0.0930071622219518,0.187037108350859,0.365336277383106,0.102501356088028
"LP.01.20",0.0349403503913356,0.0510372305284891,0.102964683557389,0.0382731024013082
"LP.01.22",0.0372864099285981,0.0601023071546356,0.152139932999414,0.0497817361042138
"LP.01.24",0.141159328590417,0.176324945986652,0.340127492786777,0.139314687309789
"LP.01.25",0.218413424918164,0.176303332431282,0.28223934848514,0.193185025053606
"LP.01.28",0.120039467391489,0.146656182686076,0.254520882587805,0.12908994966187
"LP.01.31",0.109965933957386,0.0881200299387264,0.215760508289304,0.09333790879047
"LP.01.35",0.182479869243542,0.136699407346193,0.285412920223021,0.180397962393762
"LP.01.40",0.11497525649227,0.0678937094251225,0.158562796069499,0.128717433377433
"LP.01.42",0.0658476250922222,0.0686514790970094,0.110151227370707,0.0661301614154931
"LP.01.46",0.226133405770508,0.216641669991767,0.438920737629774,0.231198966635679
"LP.01.58",0.0623608061223684,0.0767351500858113,0.149600256344963,0.0721334728000904
"LP.01.61",0.206093153366776,0.153859457570682,0.331810702804216,0.184910033142759
"LP.01.66",0.248525070509732,0.189991135308582,0.373747075792752,0.242429010041926
"LP.01.67",0.109032816834061,0.155296004978417,0.336505389642861,0.127647170410624
"LP.01.68",0.394604233056913,0.257341558815106,0.550840213693548,0.393557662258418
"Test.FFPE.01",0.0953668796410823,0.0814388157778429,0.140979436534063,0.108339584438127
"Test.FFPE.03",0.402216096791921,0.234320260880006,0.443908527916998,0.37343084223247
"Test.FFPE.04",0.0644368425084835,0.0800313631445264,0.174278853100921,0.0648842942589513
"Test.FFPE.05",0.191318623601332,0.100726279299237,0.151767730969754,0.18460693376107
"Test.FFPE.06",0.0630352631530131,0.0925948280270246,0.153483357836576,0.0560677396042176
"Test.FFPE.08",0.159794487988284,0.0915769633859556,0.225284526811884,0.0994633176802935
