"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","CBSX__scRNA.melanoma__CAF","CBSX__HNSCC__CAFs"
"Patient100",0.288803203362489,0.230946757391929,0.221048258012348,0.210723675280673,0.288803203362489,0.230946757391929,0.283198788719868,0.228693638641858
"Patient102",0.184005027607408,0.241855849987019,0.657771468269867,0.212987192079034,0.184005027607408,0.241855849987019,0.181391814003523,0.690206972622388
"Patient105",0.0100692955093302,0.17544878420937,0.325458430816933,0.113941000569081,0.0100692955093302,0.17544878420937,0.00260007798136372,0.356311263048618
"Patient106",0.0373086325001007,0.161533583998429,0.309397472565686,0.12024234191786,0.0373086325001007,0.161533583998429,0.0302445766588446,0.323631835090916
"Patient107",0.228322230349172,0.186659190198364,0.763137322546787,0.240051165956582,0.228322230349172,0.186659190198364,0.156780811402096,0.637508317746259
"Patient108",0.0319575246071918,0.174093767270678,0.584423156699408,0.1106256072591,0.0319575246071918,0.174093767270678,0.0145397744117283,0.550511643903158
"Patient10",0.0629476078531183,0.178654768524318,0.579647420063412,0.202378287240592,0.0629476078531183,0.178654768524318,0.0620560519699228,0.600141308318019
"Patient112",0.0869289608174971,0.179078414790623,0.623943133767797,0.141531567202958,0.0869289608174971,0.179078414790623,0.0892479925029328,0.565018868925117
"Patient116",0.152905064297386,0.189653233330463,0.617476320568691,0.204454488398261,0.152905064297386,0.189653233330463,0.174787494067809,0.613599534038497
"Patient117",0.198808284529059,0.254162182358416,0.301795263807206,0.189039505609093,0.198808284529059,0.254162182358416,0.207885998847874,0.300015608824278
"Patient11",0.0230490462508149,0.182411484928816,0.404951955649044,0.146942746903084,0.0230490462508149,0.182411484928816,0.0205602001381036,0.360440279106931
"Patient121",0.0560490386608361,0.155621175418183,0.465009936271946,0.155044773001136,0.0560490386608361,0.155621175418183,0.0541451723931701,0.444766167519857
"Patient125",0.0480058834477735,0.16643660244143,0.048037342912379,0.0784233816851355,0.0480058834477735,0.16643660244143,0.042180810571862,0.0465186137231935
"Patient126",0.132373925015787,0.180386094872341,0.448942402022334,0.134231747337094,0.132373925015787,0.180386094872341,0.113457662807848,0.440097146698352
"Patient127",0.324026888073275,0.187301265833346,0.461813595747345,0.110828205272881,0.324026888073275,0.187301265833346,0.295808733168944,0.408125121392822
"Patient130",0.0414762433483014,0.127243095704739,0.224001272914809,0.124932345058912,0.0414762433483014,0.127243095704739,0.0439543226893482,0.244618672771751
"Patient131",0.126305374804128,0.209182210727017,0.148281629168264,0.194257608070719,0.126305374804128,0.209182210727017,0.150635079104364,0.193769030394505
"Patient132",0.116737824255481,0.175539979141792,0.403270307763745,0.133004145442282,0.116737824255481,0.175539979141792,0.111517350141946,0.393236726529683
"Patient133",0.0343169643422921,0.168113240195108,0.113023586303609,0.129798728228871,0.0343169643422921,0.168113240195108,0.0297728868816857,0.0984012791228444
"Patient134",0.213171937316384,0.193358859674302,0.410588958944755,0.204513546921392,0.213171937316384,0.193358859674302,0.228126113098389,0.399819318328887
"Patient135",0.0786016980610099,0.182953857614454,0.59484728378172,0.23732465763793,0.0786016980610099,0.182953857614454,0.0844533874746123,0.514614329756023
"Patient137",0.272337557077743,0.207575255244749,0.150228983950988,0.191958546793772,0.272337557077743,0.207575255244749,0.265324978187904,0.146482583647538
"Patient13",0.524086691570767,0.19851263559799,0.637080180998158,0.165331986439456,0.524086691570767,0.19851263559799,0.409429222292124,0.611236069759859
"Patient140",0.024410998362723,0.175354007101176,0.353542807701236,0.151708697036345,0.024410998362723,0.175354007101176,0.0192567120992926,0.274307819217724
"Patient141",0.167939528017716,0.201611302066062,0.701350027450632,0.168841883409271,0.167939528017716,0.201611302066062,0.215296122096043,0.753470410600662
