"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__CCLE.TIL10__Monocytes","CBSX__CD226__Mono"
"R3388_YZ_1",0.0342031969098082,0.113590213326126,0.34414025194995,0.0537532328577158,0.0830336749028723,0.0359373213022717,0.154687286840998,0.100831639378206
"R3388_YZ_2",0.0450397987287759,0.106779714523571,0.274859950303027,0.0472023069452616,0.0401539825866968,0,0.115504257018361,0.0906506573363679
"R3388_YZ_3",0.0346332424185956,0.102998434133392,0.390076372508043,0.0453267372278357,0.0481212536504993,0.0670644697872738,0.13677482521061,0.113751391366764
"R3388_YZ_4",0.0129432577601583,0.0855283010765515,0,0.0562145384868592,0.0493554103459984,0.00642680655230648,0,0.0895589329071006
"R3388_YZ_5",0.024044622171678,0.0951889647687675,0.300270973692877,0.0628274043543406,0.0512711887767024,0,0,0.0795157547702385
"R3388_YZ_6",0.0124945770002745,0.0995552655894042,0.120239687518107,0.0253613660291171,0.0420664878473777,0.0281778751078252,0,0.107787146416496
"R3388_YZ_7",0.0418278380787961,0.100745656280212,0.323340989980616,0.0685140591349592,0.0353632529017481,0.0600042604587098,0.29162525618933,0.111924701819142
"R3388_YZ_9",0.0399983631381218,0.142473557807748,0.173953666304434,0.0616685503065241,0.0374813752492937,0.0258947606663272,0,0.129459121899468
"R3388_YZ_10",0.035507040614022,0.101111585115628,0.423921231140693,0.0308011371343151,0.0646398002318941,0.0152789442254056,0.0944981245866332,0.11402309438339
"R3388_YZ_11",0.0140253031295081,0.0911949946157268,0.0489649946994204,0.00716242060426948,0.113147432390015,0.0321492350237364,0.109447679155905,0.0897252744968579
"R3388_YZ_12",0.00632704924784995,0.116847825135035,0,0.0539092969652305,0.0598727091870145,0.0347271565436491,0,0.0983719248697364
"R3388_YZ_13",0.0380235556077571,0.112102013427917,0.210967989365871,0.0471226528255108,0.0460517766790041,0.176308885740391,0,0.095463530783005
"R3388_YZ_14",0.0428243585267472,0.118270047468388,0.196461142767956,0.0915774468388189,0.0519581626118989,0,0,0.095953085985111
"R3388_YZ_15",0.00522358165141866,0.0829718057104447,0.371803779915992,0.0829169625504632,0.00096865804161734,0.115724805005202,0,0.120856169106437
"R3388_YZ_16",0.0415104262505359,0.128849668052922,0.151442473133004,0.0239506267076029,0.047751952342069,0,0,0.0564391089781271
"R3388_YZ_17",0.0305960523911753,0.140535716827715,0.312599880597689,0.0487758881304432,0.124695550169088,0.00671528926575313,0,0.114378400086348
"R3388_YZ_19",0.0203609593571296,0.113254260614714,0,0.0161393914660588,0,0.018583042669317,0,0.132248492617687
"R3388_YZ_20",0.00862553874375821,0.0999322582534842,0.172806325018489,0.0522180531786945,0.112295290638087,0.0770712386667374,0,0.101375532220202
"R3388_YZ_21",0.0273598583180718,0.0990906368199469,0.223174288458904,0.0734978068382073,0.031308311580892,0,0.0756014342116299,0.107970276108277
