"","Quantiseq_NoSignature_M2","DeconRNASeq_BPRNACan_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE.TIL10_M2","DeconRNASeq_CCLE.TIL10_M2","DeconRNASeq_CD226_M2","DeconRNASeq_TIL10_M2","CBSX_TIL10_M2","CBSX_CCLE.TIL10_M2","CBSX_CD226_M2"
"LUNG-NSCLC2-0553",0.0930018001138938,0.103508750520774,0.137064349917234,0.165114578419242,0.0117294126951189,0.137653896084408,0.0324360932228985,0.167839128235316,0,0,0
"LUNG-NSCLC2-0560",0.0786528477497428,0.106805486320229,0.134942720270643,0.136219844047702,0.0151250551735569,0.0743621972676946,0.0167407800359456,0.0867130400504464,0,0.0301202876262135,0.100557787484963
"LUNG-NSCLC2-0565",0.0501459646730958,0.0872221018731851,0.110372394282002,0.186596665064466,0,0.0783294906163185,0,0.107760995802159,0,0,0.0786800542256941
"LUNG-NSCLC2-0566",0.0907544091437506,0.0814461096196026,0.111063712329253,0.114084859230486,0.005833007047468,0.131379613534951,0,0.164924865604372,0,0,0.130881396032523
"LUNG-NSCLC2-0568",0.112365570938837,0.0855778744424835,0.106968392703837,0.105817119593714,0.0853180138518027,0.0762295261926673,0.0327031796300622,0.0980136513516975,0.158685781919488,0.0061884489246783,0.172011131813804
"LUNG-NSCLC2-0569",0.0240162255143909,0.0787117293777108,0.10205138078032,0.105790039592385,0,0.030694666419601,0,0.0536711338859371,0,0,0.138955449937874
"LUNG-NSCLC2-0571",0.0691976365763953,0.0948462078183074,0.138345079430503,0.138981135503632,0.0287630275685796,0.145645620639383,0,0.17395548624766,0.216177598358251,0.166470265809551,0.0552080140184439
"LUNG-NSCLC2-0580",0.0591546909975713,0.0919862197107717,0.120817478228777,0.1189042391603,0.0671793268882776,0.0703814949587423,0,0.095544792924446,0,0.0894687630582396,0.103424126631046
"LUNG-NSCLC2-0584",0.105136330710567,0.115184171782113,0.156806639915247,0.155401777360211,0.145149834623928,0.0916020687723098,0.0486679037138793,0.102481220434591,0.131348064214709,0.173788633988382,0.119787123022369
"LUNG-NSCLC2-0585",0.0345453156905406,0.0914221223694375,0.122854710659198,0.122754619673339,0,0.080519245382961,0.0325271224175599,0.115331511169934,0,0,0.15496266599222
"LUNG-NSCLC2-0588",0.08505190950489,0.125171035021525,0.165865364625403,0.166721163091571,0.143771939880763,0.0821134415268225,0.102359683986966,0.08755885034673,0.177309753789425,0.1327512276463,0.275949969934119
"LUNG-NSCLC2-0590",0.0428112757920519,0.0916082539142259,0.124003649887048,0.122117845905124,0.0180995129603758,0.056433329018994,0.0014053380383068,0.0999264493298907,0,0.0605105742407359,0.172842742136659
"LUNG-NSCLC2-0592",0.0870792216138218,0.0953779371541685,0.11126157439517,0.107657298270805,0.19106609918086,0.0482016496420934,0.0660667738408898,0.0680573104580999,0.192605022834379,0.0961410350956901,0.240160621956605
"LUNG-NSCLC2-0593",0.0865356301054435,0.106262739350624,0.143994650724197,0.143551921231067,0.0612853018328141,0.10929693788004,0.0371105385037182,0.119803127633029,0.0549610906219289,0.0482714817942459,0.0766103864190808
"LUNG-NSCLC2-0595",0.0603394431389689,0.0862565155834102,0.123186363772386,0.13484090278577,0,0.0696652394732785,0,0.11921804184811,0,0,0.190596459634493
"LUNG-NSCLC2-0596",0.094653086007913,0.0839237813378341,0.125802191196659,0.126450489977092,0,0.0844974402879983,0,0.107618298252217,0,0.0374195862229472,0.137020128112772
"LUNG-NSCLC2-0599",0.067003043784558,0.106855816681903,0.145674366449372,0.145600525027474,0.260650875243794,0.0397698465700409,0.0594409105165097,0.0481328395446739,0,0.263990270119021,0.282516442298437
"LUNG-NSCLC2-0602",0.124870133547003,0.0913573252288637,0.128956095146513,0.129934120007709,0.0682193404014121,0.113152888000513,0,0.124795518493744,0.0278388674014767,0.0853515898208251,0.210406652898483
"LUNG-NSCLC2-0603",0.0618373532425626,0.0845080341271718,0.120907550477559,0.125475223833376,0,0.0436376718641203,0,0.0727283171614669,0.0235326237976638,0,0.134001469643531
"LUNG-NSCLC2-0608",0.0521739722768944,0.101367732076309,0.142181071923084,0.138377882428032,0.0121073969567039,0.116281746644119,0,0.148918503335406,0.056637783163187,0.0284491803559967,0.124063634679107
"LUNG-NSCLC2-0610",0.0855654039375009,0.0921797785220966,0.121632770017884,0.124201838999895,0,0.120719224998686,0,0.141481891433907,0.0015035969259682,0,0.168568104397318
"LUNG-NSCLC2-0611",0.070424216222651,0.0853376508881004,0.108762092071807,0.109786571498656,0.0573286315705278,0.0998516510641196,0.0134050803404076,0.116290722768849,0.124796899575903,0.206825359742535,0.211741395361807
"LUNG-NSCLC2-0622",0.0637226025849023,0.0872932305240935,0.114618061149523,0.111899970902661,0.173249625277938,0.0520059406564901,0,0.0851309340784537,0.209116999568354,0.124053383410107,0.177814514343774
"LUNG-NSCLC2-0623",0.0962116461434687,0.074787214750005,0.107574897148242,0.11879562037785,0,0.13081605625756,0,0.148403823358266,0,0.0602037741507598,0.105660495275781
"LUNG-NSCLC2-0630",0.0951834414165678,0.0745599293709539,0.111610202598584,0.124369980282034,0,0.120320456365979,0,0.162425920355501,0,0,0.133878531178418
"LUNG-NSCLC2-0631",0.0676161382253841,0.059852276873479,0.0932295145128875,0.094741358849728,0,0.0954886527130928,0,0.119154190792324,0,0,0.123379965488254
"LUNG-NSCLC2-0632",0.0689558649305961,0.0823006663514409,0.108240969299305,0.108134446902692,0,0.067299573568546,0,0.103946665557593,0,0.0900692009913778,0.158910282198916
"LUNG-NSCLC2-0633",0.0960655443208368,0.0986027801294356,0.135561205946775,0.134918774588663,0.198967827805185,0.070287087998039,0.0196883229859992,0.0812119941677162,0.116114307802296,0.080236783079979,0.161114804728805
"LUNG-NSCLC2-0635",0.0838990513088761,0.0927264722340564,0.131896540965078,0.144923977805327,0,0.11604529947597,0.0182431062890388,0.18106110847577,0,0,0.0932696074340661
"LUNG-NSCLC2-0641",0.0762677729784391,0.0964500726009571,0.135446730472543,0.136187014080801,0.118795858380016,0.0801798131688678,0.0723614098498737,0.0980921151475819,0,0.158435304663296,0.100080150939332
"LUNG-NSCLC2-0648",0.0891467609993068,0.104230383917738,0.132200394730209,0.131376207005916,0.231498777094534,0.0780960221851203,0.052836024975715,0.0882807328253067,0,0.199617681205662,0.136399041277087
"LUNG-NSCLC2-0652",0.0664468422297572,0.0868234614238151,0.12283166037544,0.129013132630499,0,0.053251267058321,0.01245522549181,0.0640647700953892,0.0072843210424271,0.0858185194392398,0.256394470404016
"LUNG-NSCLC2-0657",0.106003764082798,0.0896761358882834,0.11812892518328,0.119098167035943,0.107210839116501,0.0660625149877062,0.054597032863334,0.0750433316941949,0,0.0876614570702313,0.304641793145123
"LUNG-NSCLC2-0660",0.0933725424611025,0.081612146007427,0.107683215697794,0.108086686205106,0,0.0992592610798001,0.0056620277262437,0.138164088459283,0,0,0.216613387424301
"LUNG-NSCLC2-0678",0.0498316722848515,0.0929622713128425,0.132333881054607,0.133864296418585,0,0.0838998976684265,0,0.104720741429407,0,0,0.0294343866911965
"LUNG-NSCLC2-0683",0.0682061931668235,0.0938311127653726,0.129050746350571,0.13005196697457,0,0.0822108856267912,0.010402835741417,0.0981188123657174,0,0.0710903012825721,0.157374996166694
