"","Quantiseq_Monocyte","MCP_Monocytic_lineage","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_CBSX_LM22_Monocytes","DeconRNASeq_CBSX_LM22_Monocytes","Epidish_CCLE_TIL10_Monocytes","DeconRNASeq_CCLE_TIL10_Monocytes","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_LM22_Monocytes","DeconRNASeq_LM22_Monocytes","Epidish_TIL10_Monocytes","DeconRNASeq_TIL10_Monocytes","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__TIL10__Monocytes","CBSX__CCLE.TIL10__Monocytes","CBSX__CD226__Mono"
"Gide_PD1_10_Post",0.0166128351293908,33.7101349129652,0.0174591691226104,0.112808495503781,0.0218802014298151,0.113858214654832,0.0185079660765905,0.10138219764885,0.028055396613942,0.293783464784826,0.00474527317535208,0.0268181267241375,0.14384286384952,0.0430408856964459,0.416045406837599,0.199634015572018,0.028055396613942,0.293783464784826,0.00474527317535208,0.0268181267241375,0.529328630896046,0.0716585215154421,0.0118485985142833,0,0.351035996523412,0.0954302222245794,0.0759679155014257
"Gide_PD1_10_Pre",0,32.3565055572918,0.0190206099017393,0.106131534888728,0.0211237893043596,0.107018545163539,0.0143407793681253,0.0950816939660179,0.0536337460807719,0.299517678957377,0,0.036392318191038,0.06799342319419,0.0693088146481972,0.273111862497007,0.138644963541306,0.0536337460807719,0.299517678957377,0,0.036392318191038,0.460589335519935,0.18335580841219,0,0.0293584490605786,0.737230861212806,0.145205062185465,0.078376860140482
"Gide_PD1_11_Pre",0,28.2687045266905,0.0187281169145372,0.114689327517586,0.0312433870920975,0.114763191012627,0.0166106837949169,0.102568326466277,0.194630716762452,0.289523446044061,0.0898267517283372,0.0575371367632151,0.80929513528447,0.345566180711312,0.424050722033104,0.184491239379513,0.194630716762452,0.289523446044061,0.0898267517283372,0.0575371367632151,1,0.251698249055364,0.114051324637826,0.160446988046312,0.890506781581484,0.666944594120899,0.105961902267481
"Gide_PD1_12_Pre",0.191974758493599,23.7075339062242,0.00693929951564894,0.108568464379466,0.00820231976337196,0.108793303139697,0.00517501192553076,0.0955504409568539,0.0838193308751114,0.300600076292137,0.0499323211932366,0,0.0987897027487723,0.0703334496103814,0.143703195744297,0.0990345535183117,0.0838193308751114,0.300600076292137,0.0499323211932366,0,0.902160072003528,0.0960266854144626,0,0.0513382475157375,0,0.150185514221851,0.112236695645642
"Gide_PD1_13_Post",0.00534821173606761,15.486874470343,0.0174560342495522,0.103226194398298,0.0231009166170493,0.101491197755953,0.012104286340829,0.0885069551383521,0.158797755507121,0.29527711369259,0.0836716633875138,0.0489885697098578,0.144995647839062,0.0306000758063704,0.178903984641607,0.191055043279662,0.158797755507121,0.29527711369259,0.0836716633875138,0.0489885697098578,0.707083284356584,0.0466717554078659,0.0945973770293031,0.11997917694204,0.380920493322294,0.104374354169926,0.0988999669371918
"Gide_PD1_13_Pre",0.0369415547090517,7.7779244246892,0.00721526191367299,0.102748438107001,0.00841700367189652,0.0991320098323396,0.00311830771422901,0.0870689824354636,0.0835928887876778,0.286572100962143,0.0505198000162044,0.0471238369795435,0.276885169005695,0.0694237854325867,0.055186707276158,0.162456795726711,0.0835928887876778,0.286572100962143,0.0505198000162044,0.0471238369795435,1,0.109761079276697,0.088084903875269,0.0582565776998789,0.179213524786758,0.274519664063385,0.0593642740028264
"Gide_PD1_14_Pre",0.0622052745227384,26.3194169176925,0.0167042582431511,0.103207693068095,0.0177466969295852,0.100417863911188,0.0122735152374758,0.0879848143481854,0.22881552471277,0.303550312756206,0.0843111592904954,0.043461913974897,0.471312963632305,0.153713983627246,0.246020861230638,0.133662598547618,0.22881552471277,0.303550312756206,0.0843111592904954,0.043461913974897,0.887573819268888,0.351203926556666,0.123811287795902,0.141544657658327,0.819999937405521,0.477588441954181,0.0947218864602614
"Gide_PD1_15_Pre",0.10855498104461,15.1726937279192,0.0200675870062509,0.115178517123491,0.0231338885479702,0.114543270508902,0.0153130491926964,0.102655476859947,0.0409065433139674,0.280849775458334,0.112776373068342,0.0502125056243213,0.903942879136015,0.315031910774479,0.442344001766619,0.138453755097793,0.0409065433139674,0.280849775458334,0.112776373068342,0.0502125056243213,1,0.327149899074734,0.102424832843581,0.0398939428546493,0.9026935626018,0.638687794950115,0.100582374116431
"Gide_PD1_16_Pre",0.103670280117917,24.2255653597844,0.00630758930528933,0.118746315315571,0.00758828304470646,0.122612263900672,0.00494956122266756,0.110408871295221,0.0831801361489015,0.300669276491444,0,0.0304555783270711,0,0.0110696083153825,0.231542875464083,0.162988421891992,0.0831801361489015,0.300669276491444,0,0.0304555783270711,0,0.00956115842045868,0.0474403660231528,0.046289905979124,0.510525320126871,0,0.12656599788654
"Gide_PD1_17_Post",0.00378973753704787,95.8824474403824,0.0570403440024193,0.13068170250803,0.0804418247337529,0.138926490827796,0.0608402474123915,0.123095040277757,0.0684404011296848,0.29374004597971,0.0530374333298745,0.0865491150616971,0.0201488426465338,0.0166550146536033,0.496044362746551,0.236156879879456,0.0684404011296848,0.29374004597971,0.0530374333298745,0.0865491150616971,0.0446868480978405,0.0250858484830384,0.037267820547063,0.0835522355617417,0.0126554662210379,0.0562379511930011,0.0922755264578691
