"","DeconRNASeq_BPRNACan_CD4","DeconRNASeq_BPRNACan3DProMet_CD4","DeconRNASeq_BPRNACanProMet_CD4","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_CBSX_LM22_T.cells.CD4.memory.resting","Epidish_CBSX_LM22_T.cells.CD4.memory.activated","DeconRNASeq_CBSX_LM22_T.cells.CD4.naive","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","DeconRNASeq_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","DeconRNASeq_CD226_CD4","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_LM22_T.cells.CD4.memory.resting","Epidish_LM22_T.cells.CD4.memory.activated","DeconRNASeq_LM22_T.cells.CD4.naive","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__LM22__T_cells_CD4_memory_activated","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"Pt66_Pre_AD667850.6",0.0833007199124315,0.0586755222771202,0.0678230090035365,0.0206420585818724,0.0987941030357762,0,0,0,0.00541693950079447,0,0.13215005888424,0.0170616011012174,0.262365419978645,0.0626678992530367,0.0206420585818724,0.0987941030357762,0,0,0,0.00541693950079447,0.16402074076948,0.0769040759937517,0,0,0,0.155379071299992,0.0766215815893515,0.269955124254713
"Pt94_Pre_AD732850.6",0.0214342093706508,0,0,0,0.275821755483443,0.0315943567880624,0,0.00951406136351022,0.0159498624732069,0.0330311457830178,0.100689363855655,0,0.0529550163281963,0.0797142447999278,0,0.275821755483443,0.0315943567880624,0,0.00951406136351022,0.0159498624732069,0.225815129028093,0.177827897474999,0.0269784234625002,0.00681622483679236,0.0474359587004968,0,0.121880609285149,0.222531447273275
"Pt84_Pre_AD486532.5",0.0269381419624423,0,0,0.0237403773952074,0.138144750139449,0,0,0,0.00967912430319167,0,0.165333962253887,0.010745424198882,0.26864591612667,0,0.0237403773952074,0.138144750139449,0,0,0,0.00967912430319167,0.507071012496965,0.0989459880480269,0,0,0,0.635401829120079,0.145070861075778,0.25287405162644
"Pt62_Pre_AD608303.5",0.0414552437442201,0,0,0.000672005714198981,0.0657770694416501,0,0,0,0.0046527785049269,0,0.0317441581294987,0.0236045334686511,0.389226819926746,0.032665708989143,0.000672005714198981,0.0657770694416501,0,0,0,0.0046527785049269,0,0.0922153246710996,0,0.00328721856589097,0,0.164613795933538,0.0466820189231402,0.290529806853417
"Pt72_Pre_AD793922.5",0.0179853956958229,0,0,0.042453704248436,0.102894461324803,0.012147830846986,0,0,0.0180203502921449,0,0,0,0.0768868358348819,0,0.042453704248436,0.102894461324803,0.012147830846986,0,0,0.0180203502921449,0,0.212993761214112,0,0.0163009099284732,0,0,0,0.239083139963607
"Pt3_Pre_E9024733.3",0.00907860869837794,0,0,0.0200019600728075,0.224473015237507,0.00423079045666281,0,0,0.00279100901214518,0,0.0671331947257292,0,0.0344731185171131,0,0.0200019600728075,0.224473015237507,0.00423079045666281,0,0,0.00279100901214518,0.299595716767455,0.153766809200395,0,0.0032868284308459,0,0.30228904327281,0.077310352350063,0.198688944997325
"Pt5_Pre_E9021022.6",0.0357800556742942,0.0252263252584499,0.0265742737599623,0,0.15959419821142,0.0147252289772027,0,0.0305568633858631,0.0205394654795778,0.144233709975904,0.0687406629065047,0.0144105621942307,0,0,0,0.15959419821142,0.0147252289772027,0,0.0305568633858631,0.0205394654795778,0.184153570441848,0.104017677097353,0.0306106790055854,0.0232062060346837,0.163053356218425,0.290934256579134,0.0643856357419291,0.143727168319451
"Pt9_Pre_E9021024.6",0.00247665970606487,0,0,0,0.0823602193382472,0,0,0,0.0218934412127893,0.0481635843756722,0.127324328801803,0.00203868880980012,0,0,0,0.0823602193382472,0,0,0,0.0218934412127893,0.207059082519692,0.0724931486450163,0,0,0,0.456459856104493,0,0.106130275636827
"Pt18_Pre_E9024732.6",0.0556772023708269,0.00597665350426454,0.0108471568497285,0,0.24070046549875,0.039863291339514,0,0.11653906676664,0.0616009207886307,0.34450174241658,0.0992731063068971,0.0743731187290829,0,0,0,0.24070046549875,0.039863291339514,0,0.11653906676664,0.0616009207886307,0.257485012026213,0.221219815021409,0.03083778544234,0.141195900671622,0.360312691124972,0.326311057076985,0.146304288898733,0.175522184497834
"Pt24_Pre_AD436687.5",0.03787601878355,0,0,0,0.0410706832448707,0.00310484034794309,0,0.109501053476927,0.07392721631534,0.114396657750807,0.0370810574518194,0,0,0,0,0.0410706832448707,0.00310484034794309,0,0.109501053476927,0.07392721631534,0.0428337679249385,0.0169624484531045,0.00934420674862555,0.0985584493571669,0.0876274650178367,0.0483391934004135,0.0211387966626056,0.140661646412596
