"","DeconRNASeq_BPRNACan_CD4","DeconRNASeq_BPRNACan3DProMet_CD4","DeconRNASeq_BPRNACanProMet_CD4","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_CBSX_LM22_T.cells.CD4.memory.resting","Epidish_CBSX_LM22_T.cells.CD4.memory.activated","DeconRNASeq_CBSX_LM22_T.cells.CD4.naive","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","DeconRNASeq_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","DeconRNASeq_CD226_CD4","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_LM22_T.cells.CD4.memory.resting","Epidish_LM22_T.cells.CD4.memory.activated","DeconRNASeq_LM22_T.cells.CD4.naive","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__LM22__T_cells_CD4_memory_activated","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"Pt27_Pre_AD453873.5",0.0233394174014196,0,0,0,0.0619492409679798,0.0392794269629774,0,0.039957351547834,0.0599646553211163,0.203753789759292,0.127529709439399,0.0152633269243532,0.0283182445801119,0,0,0.0619492409679798,0.0392794269629774,0,0.039957351547834,0.0599646553211163,0.136010582510481,0.0682153184251825,0.0096620749956229,0.0311563714174481,0.174914262572801,0.177148625356622,0.102085865751889,0.218194986472356
"Pt29_Pre_AD497504.5",0.0258332687991723,0,0,0,0.148065994065213,0.0136653513353602,0,0.00486313012150396,0,0.0358316240355016,0.0577588707840838,0.00871484575156073,0,0,0,0.148065994065213,0.0136653513353602,0,0.00486313012150396,0,0.229721486676931,0.0983262496612115,0.017417483769191,0.00342244338947575,0.0344410565625822,0.260066918533914,0.0517997793503926,0.178126177984851
"Pt30_Pre_AD497503.5",0.0763913441234753,0.0210657145659633,0.0328947619899148,0,0.108469951258723,0.0137682213853351,0,0,0.0511962679079168,0,0.0571270589868898,0,0.401955251944204,0.136079859003363,0,0.108469951258723,0.0137682213853351,0,0,0.0511962679079168,0.32754003157186,0.170578169988909,0.0314728869104974,0,0.115684608890431,0.102744155003065,0,0.280347078536954
"Pt31_Pre_AD453872.5",0.0835186319896793,0.102382391859679,0.111241909348087,0,0.293583750506452,0.0405553853511598,0,0,0.00140708395080005,0,0.19680609438648,0.0185478920500019,0,0,0,0.293583750506452,0.0405553853511598,0,0,0.00140708395080005,0.274214925551656,0.222147974297633,0.0490891087158212,0,0,0.298370556169816,0.167012148130854,0.235042045675115
"Pt8_Pre_AD153354.6",0.0107351024130701,0,0.00959476887974329,0,0.170067392693422,0.0185469422025145,0,0,0,0,0.0898778084077291,0,0,0,0,0.170067392693422,0.0185469422025145,0,0,0,0.0473168765179651,0.141426486858257,0.0240452813371728,0,0.0321107082378215,0.0737202034011688,0.0385951186384026,0.147044925008804
"Pt11_Pre_AD153352.6",0.0281444312320493,0.0154389012543156,0.0284170593293369,0,0.152256019299451,0.0298474095134089,0,0,0.0136540115878177,0.0157891037070206,0,0,0,0,0,0.152256019299451,0.0298474095134089,0,0,0.0136540115878177,0,0.126376904883434,0.0389796421962329,0,0.00130207026695252,0.061604464516834,0.038736256897828,0.0818659457218718
"Pt28_Pre_AD297619.6",0.0616087002074718,0.00986007208487631,0.0223967702726466,0,0.271727331867375,0.0284757249041845,0,0,0.0200133144587833,0,0.051242207515972,0,0.0372936899442578,0,0,0.271727331867375,0.0284757249041845,0,0,0.0200133144587833,0.312229687288063,0.227411744641776,0.0338998979850639,0,0,0.177392089113085,0.0437654846971614,0.207752430702902
"Pt44_Pre_AD467790.6",0.00878996812449142,0,0,0,0.240348599382722,0.0578307155917968,0,0,0.0214009344240537,0,0.0525738305946458,0,0,0,0,0.240348599382722,0.0578307155917968,0,0,0.0214009344240537,0,0.213543937818649,0.0721201515841857,0,0,0.251067147953181,0.0540468512161141,0.199516409412777
"Patient100",0,0,0,0.0097588674557424,0.0387818298135891,0.164056994299673,0,0.113096080298185,0.106279622434038,0,0.105413127159002,0.00298452329579439,0.0673572813959224,0.0969150843570864,0.0097588674557424,0.0387818298135891,0.164056994299673,0,0.113096080298185,0.106279622434038,0.114881741922425,0,0.160976955827405,0.12150879357914,0.00329591813726002,0.17682147134557,0.0248248352631054,0.298849493822461
"Patient102",0.0315071435445203,0.0201520312661612,0.025418300780149,0.114733759870686,0.268969975448351,0.0508464463617077,0,0.108188254867079,0.0943486055972249,0.0850061190011311,0.142904792944238,0.00848435411174347,0.271215802192722,0.33005231482351,0.114733759870686,0.268969975448351,0.0508464463617077,0,0.108188254867079,0.0943486055972249,0.347209952972729,0.208531241492562,0.0815196303566875,0.0942674385930088,0.0542962419408423,0.28689312432704,0.160883216554633,0.369749842827341
"Patient105",0.0925191515247768,0.0935957328719397,0.101374971593034,0.133279030399469,0.11892008937926,0.0592895120834029,0.0409904267183918,0.0213589502466187,0.107792991886777,0.0810265201132857,0.0238753832389927,0,0.826974145131663,0.727886140846894,0.133279030399469,0.11892008937926,0.0592895120834029,0.0409904267183918,0.0213589502466187,0.107792991886777,0.0604580730060669,0.112128392334923,0.0782193486509747,0.024547711594411,0.0251314621331547,0,0.0391942280765047,0.485677005195914
"Patient106",0,0,0.00714255052987825,0.118662741022341,0.030720654244063,0.0531776295951108,0,0.0166393204859414,0.0958452955104366,0,0.0290656517991245,0,0.47960930359234,0.612049775833484,0.118662741022341,0.030720654244063,0.0531776295951108,0,0.0166393204859414,0.0958452955104366,0,0.0627762594208183,0.0400630208131064,0.00558901111044351,0,0.203953906011622,0.0416241338981075,0.403197893158284
"Patient107",0.0417015857470074,0.0340315976938992,0.0510519228870738,0.11885970067022,0,0.622537326077397,0,0,0.0790550810093665,0,0,0.00980847185425282,0.723063412230899,0.492227859368035,0.11885970067022,0,0.622537326077397,0,0,0.0790550810093665,0,0,0.226650491053233,0.0128628614541707,0,0,0.0265879318603738,0.517266642573487
"Patient108",0.0450911969526849,0.0448989003408989,0.0517332013340859,0.131711307235439,0.231939861084764,0.279116916014623,0,0.0252602834891818,0.110458061055695,0.078486066891607,0,0.0239177042621961,0.764510358401442,0.802618544364684,0.131711307235439,0.231939861084764,0.279116916014623,0,0.0252602834891818,0.110458061055695,0,0.20063356331752,0.356454604854338,0.0180027963630772,0.00256120738032311,0,0,0.506633566315677
"Patient10",0.0109770750331303,0.00579442882321891,0.0262094850838962,0.111397791742743,0.296848028738415,0.0753146413246957,0,0.0437943062156919,0.0870905537829692,0,0.0405318409687119,0.123302926040264,0.646211512186565,0.576148633773925,0.111397791742743,0.296848028738415,0.0753146413246957,0,0.0437943062156919,0.0870905537829692,0.455132404419159,0.302231562281026,0.0632879115942324,0.0434245262330889,0,0.507415647939379,0.01036431007782,0.42393837885824
"Patient112",0.0558465973589941,0.0434415985830582,0.0523665434878637,0.125576657943209,0.289204553206658,0.0175521540697376,0,0.0306415926351877,0.104355003770056,0.00453747009768931,0.0319410274734519,0.142581709939869,0.463900480356691,0.291441989550081,0.125576657943209,0.289204553206658,0.0175521540697376,0,0.0306415926351877,0.104355003770056,0,0.247071659315768,0.0456201640386583,0.0291999802597311,0,0.261700964393515,0.0167741255368185,0.397903829296584
"Patient116",0.0175231095585797,0.00728672999828478,0.0249282876789222,0.111259389399841,0.10302852505822,0.0710154748339785,0,0.00594704272278898,0.0992268996402301,0,0.0748395208173856,0.14064198142364,0.556719027644419,0.578557269122818,0.111259389399841,0.10302852505822,0.0710154748339785,0,0.00594704272278898,0.0992268996402301,0.23414799143586,0.0326637685636435,0.0972571122327453,0.0019157171645652,0,0.283601489621479,0.0454082706593212,0.401212542819984
"Patient117",0,0,0,0.0237432689170841,0.0547361317199258,0.033360451818324,0,0,0.0674941434737724,0,0.0870396686842931,0.0599996736813931,0.171089923219906,0.251403755146788,0.0237432689170841,0.0547361317199258,0.033360451818324,0,0,0.0674941434737724,0.152599828392366,0.0692820624929737,0,0,0,0,0.0852579437948366,0.348212360968999
"Patient11",0.0216838277826771,0.00885900876836948,0.0191232364925229,0.11814285548097,0.0630213391566522,0.143806127509186,0.028288544799668,0.0307436232367698,0.096331121626655,0,0.10691936296557,0.0594340988072134,0.496542390929788,0.603408105517709,0.11814285548097,0.0630213391566522,0.143806127509186,0.028288544799668,0.0307436232367698,0.096331121626655,0.396451094650101,0.00847090019556225,0.119890062715773,0.0222432943446984,0,0.366316415405625,0.10262759616504,0.400416261162783
"Patient121",0.0158252867106758,0.00775047738554246,0.0163540101067112,0.106940988325979,0.249945238723299,0.0377502959796327,0,0.0476723044860523,0.0933443085853248,0,0.0431415937126386,0.104325463196436,0.344678566588975,0.430303309369533,0.106940988325979,0.249945238723299,0.0377502959796327,0,0.0476723044860523,0.0933443085853248,0.0137315110826249,0.229400845528751,0.0362081291839969,0.0659020858967033,0.029934728220187,0.284713910971331,0.0451722493640027,0.367326378023557
"Patient125",0.0260184328088971,0.0337048179766802,0.0423078399302284,0.00387019682915379,0,0.111623657948608,0,0.313034329523938,0.111965600533459,0.0538333781537711,0.187063791396551,0,0.231089960806363,0.365866359619189,0.00387019682915379,0,0.111623657948608,0,0.313034329523938,0.111965600533459,0.282366626278985,0,0.123797561772118,0.277691611187616,0.0628485550493735,0.16727538867085,0.161301774965602,0.365618269799026
"Patient126",0.0250189345835434,0.0223331716224638,0.0325512961899796,0.0692214776739486,0.195408201429572,0.0818863093475041,0,0,0.0910660962322728,0,0.0272666070406241,0.0779064099854062,0.210442726179981,0.307162219158759,0.0692214776739486,0.195408201429572,0.0818863093475041,0,0,0.0910660962322728,0,0,0.155885916255673,0,0.00278675035289239,0.233007919875096,0,0.38407305187024
"Patient127",0.0492467186672704,0.0380457388699898,0.0442091962685292,0.121977442295428,0.312519841780476,0,0.0213506875870429,0.0312242089065522,0.104051915880728,0,0.0363361995622128,0,0.421547138228137,0.498608498016328,0.121977442295428,0.312519841780476,0,0.0213506875870429,0.0312242089065522,0.104051915880728,0,0.414202728684968,0,0.0374436205670881,0,0,0.0566925640676996,0.41905805502964
"Patient130",0,0,0,0.0772069871554301,0.208375449892871,0.0566778387119683,0,0.0073052096686981,0.0811867862238995,0,0,0,0.26994612362978,0.340945766626877,0.0772069871554301,0.208375449892871,0.0566778387119683,0,0.0073052096686981,0.0811867862238995,0,0.197754074543272,0.0422827613380009,0.00972292244678772,0,0,0,0.368863739986489
"Patient131",0.00399097777380985,0,0,0.0322602959335827,0.0767673401834969,0.0206391968611695,0.0481533049573722,0.150880705322086,0.0774446688895523,0.121063878379777,0.130125053982549,0,0.428017421986794,0.556820248195813,0.0322602959335827,0.0767673401834969,0.0206391968611695,0.0481533049573722,0.150880705322086,0.0774446688895523,0.133776409580061,0.158904368127146,0.0302319549882429,0.0859844134377753,0.0428839414717984,0.0577135303321787,0.0837485497693648,0.399275433879258
"Patient132",0.00621249768080546,0.0134071295897396,0.0255321236623552,0.0843596519321448,0.211699943825945,0.0113645468256284,0,0.0818074735592611,0.101433306599656,0.0981062663200613,0.128270909450249,0.0808951227627579,0.323141575663742,0.553848285239651,0.0843596519321448,0.211699943825945,0.0113645468256284,0,0.0818074735592611,0.101433306599656,0.246691537015203,0.232165460003248,0.0333822195839775,0.057231913642386,0.097643892110693,0.379822210563335,0.120245827556984,0.384085027011217
"Patient133",0,0,0,0.0946211907318177,0.0911983548262409,0.141169698936294,0,0,0.0975877595529578,0,0.0668682555745011,0.048037612590352,0.302682190258277,0.362221342243906,0.0946211907318177,0.0911983548262409,0.141169698936294,0,0,0.0975877595529578,0.278187001704521,0.0664965107324452,0.0377196099797335,0,0,0.28190738565982,0.0318669846096715,0.351214846022012
"Patient134",0.049791381303975,0.043364167448361,0.0536081133462362,0.0677254942521572,0.348868578705516,0.077259869137821,0,0.0918282305224326,0.0971492622590686,0.0815704334348009,0.133667758699215,0.0286973157124373,0.476845855918177,0.631813454016782,0.0677254942521572,0.348868578705516,0.077259869137821,0,0.0918282305224326,0.0971492622590686,0.219408054357353,0.236734565842593,0.15326761428554,0.0997658949079601,0.0865113823928396,0.278394419009567,0.220709159069095,0.427714693398128
"Patient135",0.0209991021770964,0.00944125067507142,0.019202828102148,0.0552869294085942,0.183339311376561,0.0850807717243243,0,0.0149422881085481,0.101286935542374,0,0.0575061068478744,0,0.625486797975783,0.666807571533905,0.0552869294085942,0.183339311376561,0.0850807717243243,0,0.0149422881085481,0.101286935542374,0.0446659677820827,0.1911001352247,0.065717653100962,0.0144961140330263,0,0.442789655303288,0,0.427962383781968
"Patient137",0.00761985820592901,0.021410693768989,0.0312494822534615,0,0.262910643945995,0.0251318711682804,0,0.240496646640056,0.0999163771100723,0.112606536829365,0.128718455578477,0,0.292562286591149,0.406572499520325,0,0.262910643945995,0.0251318711682804,0,0.240496646640056,0.0999163771100723,0.261199155033705,0.228263795578235,0.0056660515387749,0.263036527029475,0.116060794429968,0.254536713042205,0.021672681472585,0.402396306105062
"Patient13",0.0199154586215578,0.0207535712020254,0.0327963617674183,0.107860861730139,0.115011399947709,0.00183545710103795,0.0256460539331195,0.145830417039262,0.101214300088882,0,0.000644582061915469,0.0389311547867232,0.729094245900829,0.656631932072742,0.107860861730139,0.115011399947709,0.00183545710103795,0.0256460539331195,0.145830417039262,0.101214300088882,0.042323844308853,0.130098211589249,0.0563106519571548,0.0756865480139044,0,0,0,0.447692213530678
"Patient140",0.0110333047835075,0.00867434477783415,0.0151793890856971,0.117268470856628,0.0236623983862345,0,0.00774509859799993,0,0.101729983458359,0,0.0545521219242881,0,0.495091015734702,0.549160546959026,0.117268470856628,0.0236623983862345,0,0.00774509859799993,0,0.101729983458359,0.395047597316783,0.0729937000007656,0,0,0,0.569499512728146,0.0233190402315365,0.381103439867102
"Patient141",0.0241893159151447,0.0201828062201896,0.0267749309154044,0.127628053055619,0.0716085692372583,0.0120063462769975,0,0,0.11144814537979,0,0.0332325879222567,0.0576477299728925,0.710130798597832,0.540286948648499,0.127628053055619,0.0716085692372583,0.0120063462769975,0,0,0.11144814537979,0.152092482445188,0.128091950803442,0,0,0,0.0654362602947601,0,0.463109506750604
"Patient142",0,0,0,0.0145147741962129,0,0.0720312281276631,0.025491767836548,0.0688613721690732,0.0863936864470315,0.0758383289019974,0.0371670181007907,0,0.261547250337087,0.446984776810177,0.0145147741962129,0,0.0720312281276631,0.025491767836548,0.0688613721690732,0.0863936864470315,0,0,0.0636334083605956,0.0530769279459043,0.0364975823752882,0,0.026979339282139,0.360650189455243
"Patient143",0.0287598161108494,0.0190558307105868,0.0278441224965053,0.0665494159663456,0.0160602681244918,0.00555662039049282,0.0649524068984401,0,0.0604564799988798,0,0,0,0.124097913898106,0.157307946035018,0.0665494159663456,0.0160602681244918,0.00555662039049282,0.0649524068984401,0,0.0604564799988798,0,0.0660825629023208,0,0,0.0487239422925796,0.455680664959366,0,0.354209120310572
"Patient144",0.0347892166375036,0.0154424287358681,0.0267700223136593,0.0979007921588679,0.104340382001606,0.141400853139146,0.0517456364569203,0.0175841723534026,0.0825672885676013,0,0.0987884309932211,0,0.374431540682722,0.640186168796091,0.0979007921588679,0.104340382001606,0.141400853139146,0.0517456364569203,0.0175841723534026,0.0825672885676013,0.45512764778226,0.0849022308305581,0.147063066924705,0.0447319300160798,0,0,0.0418802883288751,0.383637464617677
"Patient145",0,0,0,0.0161908301105075,0.0539570254037184,0.0456187891264234,0.0302290793150151,0.0338670461277855,0.0810040726827539,0,0.106014125069364,0.0012551314153964,0.340752399476631,0.557029623434106,0.0161908301105075,0.0539570254037184,0.0456187891264234,0.0302290793150151,0.0338670461277855,0.0810040726827539,0.0724154016595485,0.0314898607384147,0.0418768659314081,0.012421904750485,0,0.0613301961397169,0.0497636079710667,0.387349611381335
"Patient146",0.0107877165129764,0.00729189885823645,0.0178452696852536,0.109586672161957,0.109241707863858,0.0508792052189356,0.0184926868175072,0.0189930892157785,0.0999481702205845,0,0.0426006480308559,0.0886517368681352,0.468949318470117,0.502846079289829,0.109586672161957,0.109241707863858,0.0508792052189356,0.0184926868175072,0.0189930892157785,0.0999481702205845,0.115190236276752,0.137520042200366,0.0614623894377156,0.0149368161337647,0,0.041663892172719,0.0503295796724636,0.398713220440747
"Patient147",0.0305811345360523,0.0262205193091837,0.0386743690683241,0.12531595985352,0.172239188532501,0.0687626736780593,0.0180549413843281,0.000331500012952743,0.096186322416377,0,0.0491074133272312,0.0900525451503899,0.701598705793602,0.673136645083542,0.12531595985352,0.172239188532501,0.0687626736780593,0.0180549413843281,0.000331500012952743,0.096186322416377,0.231341525311046,0.220390489300462,0.0849392908303431,0.00217389727726963,0,0,0.0120587023243778,0.483010318827602
"Patient148",0.0109389648688639,0.0083600096452559,0.014886986403761,0.122706537691155,0.0339325906943856,0.0259044566154919,0,0.0119629190769265,0.0893051889885518,0,0.0631964165341667,0.0324819421659638,0.560024433129642,0.560917797878042,0.122706537691155,0.0339325906943856,0.0259044566154919,0,0.0119629190769265,0.0893051889885518,0.204007669947852,0.0131762690833885,0,0,0,0,0.0440719321992801,0.389239135159103
"Patient149",0,0,0,0.0371540803781633,0.191904885576888,0.0279801998155747,0,0.114600054430322,0.0989631364203724,0.0606758679423569,0.11163745141469,0,0.256801114055416,0.434310991259316,0.0371540803781633,0.191904885576888,0.0279801998155747,0,0.114600054430322,0.0989631364203724,0.242830108786747,0.0789305853357457,0.104984591688546,0.108548359778261,0.0764545706806881,0.262008210031945,0.114108268352448,0.384662897599411
"Patient14",0.00175810946566172,0,0,0.0820792486833051,0.12763848732142,0.106714991398153,0.0440108244909374,0.05553704785162,0.0938703723592688,0.0677274814578823,0.0446192046951347,0,0.383142280963329,0.504616366524885,0.0820792486833051,0.12763848732142,0.106714991398153,0.0440108244909374,0.05553704785162,0.0938703723592688,0.0160648572410097,0.100317527025952,0.122410170064107,0.0390830475086582,0.0571539002395986,0.0851924659997721,0.0680151312979191,0.36029128911495
"Patient150",0.0265028974093633,0.0170494136334681,0.0191606108466046,0.118793585037213,0.332990741531384,0.06813615937865,0,0.052083807921474,0.101479573593163,0,0.0492286426584658,0.0268800440834171,0.56038288067125,0.601719192313326,0.118793585037213,0.332990741531384,0.06813615937865,0,0.052083807921474,0.101479573593163,0.142855531437518,0.341398522875788,0.0525277721159677,0.039078726451785,0,0.249272598378035,0.00868764224333254,0.441544796958912
"Patient154",0,0,0,0.113612769731998,0.0799610993790625,0.00899979611852894,0,0.0125991018103651,0.0940062108642186,0,0.0785223182761296,0,0.491055912247548,0.631201422660493,0.113612769731998,0.0799610993790625,0.00899979611852894,0,0.0125991018103651,0.0940062108642186,0.0503505222094556,0.0697000794258016,0.0153973878716255,0.0364348948740704,0,0.0688394611426841,0.0864515409129513,0.405479791816068
"Patient155",0.046206000995595,0.0410094636711783,0.0492624284043602,0.120732975746895,0.108088056168353,0,0.0200687086561217,0.0411380431189436,0.100662338001521,0,0.0226071287815114,0.0454021045001478,0.46805771020451,0.5535642711949,0.120732975746895,0.108088056168353,0,0.0200687086561217,0.0411380431189436,0.100662338001521,0,0.11972673774835,0,0.0352359772299704,0,0.148868302251336,0,0.403596006306554
"Patient156",0,0,0,0.114298275483254,0,0.0395037642172622,0.00469001987582618,0.0289552614133392,0.0976446103744616,0,0.00385039067297,0.0214212787545053,0.393803588878454,0.568591424506931,0.114298275483254,0,0.0395037642172622,0.00469001987582618,0.0289552614133392,0.0976446103744616,0,0.115259301514856,0,0.0294787234535494,0,0,0.0206863996596363,0.360456136103868
"Patient158",0.0194466443360466,0.0172108725760469,0.038459627887396,0.0560629635565476,0.156733779708946,0.0757152704118353,0,0.0994907726773108,0.101866376093189,0,0,0.0781918101430455,0.684768223385992,0.515944736164002,0.0560629635565476,0.156733779708946,0.0757152704118353,0,0.0994907726773108,0.101866376093189,0,0.111937049902007,0.0855196592239952,0.0562981641738366,0,0.395573887925784,0,0.423350126567503
"Patient159",0,0,0,0.120961616992948,0.237323492337969,0.0523587762590145,0,0.0477620155411131,0.097281168074191,0,0.0450290045944852,0.12209299226957,0.657138930240564,0.669415304541106,0.120961616992948,0.237323492337969,0.0523587762590145,0,0.0477620155411131,0.097281168074191,0.286140164941631,0.275300142521209,0.0479276018645135,0.0733801728291074,0,0.356557958077091,0.0536693160501299,0.436574274451121
"Patient15",0.049223728810616,0.039099542256024,0.0461574545791234,0.121338938094306,0.106906352270199,0.149018343996413,0.0157133708235263,0.00452776216994006,0.105607525859448,0,0.0455884126190488,0,0.639715012747745,0.707388736418834,0.121338938094306,0.106906352270199,0.149018343996413,0.0157133708235263,0.00452776216994006,0.105607525859448,0.145160989747455,0,0.141826604378197,0.010427233799961,0,0.345929087902127,0.064472885405837,0.429960528561628
"Patient162",0.0343553371766741,0.0287987228180797,0.0372574306500543,0.093854594341123,0.23492416557958,0.0433697138207791,0,0.0287508686102044,0.0826220300745781,0,0.0355940645774671,0,0.561496419140343,0.70285609877729,0.093854594341123,0.23492416557958,0.0433697138207791,0,0.0287508686102044,0.0826220300745781,0,0.25232891198201,0.0671178017328006,0.0236447771881602,0,0.025598665217606,0.0543379395614845,0.416348860590712
"Patient163",0.0457489979099567,0.0434735360813336,0.0588316429259222,0.1106445972175,0.320242945605602,0.0120508386708449,0,0.0581107766564657,0.10090406440362,0,0.101226468824098,0.0954397926200161,0.704809510671498,0.748363358543118,0.1106445972175,0.320242945605602,0.0120508386708449,0,0.0581107766564657,0.10090406440362,0.521146952276722,0.283344381855486,0,0.0343432690875978,0,0.803667179115832,0.145409062798963,0.460664308433735
