"","MCP_NK_cells","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","Epidish_CBSX_LM22_NK.cells.activated","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","Epidish_LM22_NK.cells.activated","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__LM22__NK_cells_activated","CBSX__NSCLC.scRNAseq__NKT_cells"
"Gide_PD1_10_Post",0.89363048111995,0.206176636903884,0.12096814808182,0.176490209309797,0.0415127316613752,0,0.0377114410846223,0.046683171168364,0.0482219926869268,0.206176636903884,0.12096814808182,0.176490209309797,0.0415127316613752,0,0.0377114410846223,0.046683171168364,0.0584074813645558,0.0149344196679513,0,0.0631597376141277
"Gide_PD1_10_Pre",0.539805290875306,0.11720181645633,0.133633369045105,0.183668615252311,0.0210006762834602,0,0.0627732110798975,0.0386394768939675,0.0598215546048898,0.11720181645633,0.133633369045105,0.183668615252311,0.0210006762834602,0,0.0627732110798975,0.0386394768939675,0.0601747570256441,0.0151693572957052,0,0
"Gide_PD1_11_Pre",0.625954089996389,0.219870295725476,0.134095135220916,0.191962936628064,0.00990097961749431,0,0.0418342161165694,0.067266807108277,0.0491094595011171,0.219870295725476,0.134095135220916,0.191962936628064,0.00990097961749431,0,0.0418342161165694,0.067266807108277,0.0898526171327639,0,0.00251249546008865,0.0302551869555051
"Gide_PD1_12_Pre",0.70524380942105,0.161450188979655,0.131699083281823,0.199074891968965,0.0384812367347074,0,0.0590201632447404,0.0596378097646985,0.0860237301145043,0.161450188979655,0.131699083281823,0.199074891968965,0.0384812367347074,0,0.0590201632447404,0.0596378097646985,0.116771153124282,0.0482706656690401,0,0.197701791173413
"Gide_PD1_13_Post",0.346977129172353,0.0164571733208874,0.130216960697079,0.193570824980787,0.0115066260646838,0,0.0754869908925739,0.0384154957822842,0.0517727101639571,0.0164571733208874,0.130216960697079,0.193570824980787,0.0115066260646838,0,0.0754869908925739,0.0384154957822842,0.0693255093424025,0.0238229962931199,0,0.255849753163367
"Gide_PD1_13_Pre",0.330984345910202,0.324443099308349,0.137734408504595,0.194244450659501,0,0.0232241059611445,0.075954617870782,0.0473315854644632,0.0553051877793691,0.324443099308349,0.137734408504595,0.194244450659501,0,0.0232241059611445,0.075954617870782,0.0473315854644632,0.0740711745103616,0.0203243132163352,0,0.319000906398243
"Gide_PD1_14_Pre",0.321391821189442,0.141647083900572,0.112127919014088,0.210235944076972,0.0126161495408367,0.0142083408743234,0.0537898398088595,0.0551734847902274,0.0644737241103125,0.141647083900572,0.112127919014088,0.210235944076972,0.0126161495408367,0.0142083408743234,0.0537898398088595,0.0551734847902274,0.0636102419609271,0,0.0182609500960109,0.336768641644275
"Gide_PD1_15_Pre",1.13592259247919,0.163845298119813,0.137244879278133,0.195202461976604,0.110359853274074,0,0.0748884749900452,0.0775164646800163,0.0770193049190439,0.163845298119813,0.137244879278133,0.195202461976604,0.110359853274074,0,0.0748884749900452,0.0775164646800163,0.0930252018188298,0,0.00289410098524737,0.375198464252949
"Gide_PD1_16_Pre",0.869589084217935,0.121360293554929,0.119967224660097,0.210227077211194,0.0894583015172478,0,0.069635069416759,0.0380228714686041,0.071698872324301,0.121360293554929,0.119967224660097,0.210227077211194,0.0894583015172478,0,0.069635069416759,0.0380228714686041,0.106436226231369,0.0770781529392001,0.00896635617798537,0.204510481999608
"Gide_PD1_17_Post",6.95083439991582,0,0,0.245115721197727,0,0.0561860736148856,0.015432119430955,0.0508220263678543,0.0638203971801694,0,0,0.245115721197727,0,0.0561860736148856,0.015432119430955,0.0508220263678543,0.0810719636269619,0.00383501658848922,0.0401469720883949,0.0755028862104456
"Gide_PD1_17_Pre",1.42172424248086,0.0201398651359927,0.0819255833326497,0.224751441603835,0.0199599227889172,0,0.0651505929621661,0.0551669583887309,0.0550113570316272,0.0201398651359927,0.0819255833326497,0.224751441603835,0.0199599227889172,0,0.0651505929621661,0.0551669583887309,0.0732176080806816,0.0093169940261548,0,0.228220174127922
"Gide_PD1_18_Pre",0.305694645006991,0.104882072196878,0.106345034605963,0.205212685591757,0.059583102172104,0,0.043640951049764,0.062701002334312,0.0844990182474435,0.104882072196878,0.106345034605963,0.205212685591757,0.059583102172104,0,0.043640951049764,0.062701002334312,0.123120918505463,0.0514518379338317,0,0.0997528277688971
"Gide_PD1_19_Pre",0.206325276305049,0.0341060295303203,0.128759218326003,0.196322844087857,0.0525879556926403,0,0.0600957371562785,0.0267225952370776,0.0608927797401533,0.0341060295303203,0.128759218326003,0.196322844087857,0.0525879556926403,0,0.0600957371562785,0.0267225952370776,0.0763708393875925,0.0725812950181193,0,0.113885785544543
"Gide_PD1_2_Pre",1.10569097798647,0.0155993186398104,0.0829245453440303,0.223280752908666,0.0461632724858412,0,0.0247361167222753,0.0561632002563901,0.0699910696530961,0.0155993186398104,0.0829245453440303,0.223280752908666,0.0461632724858412,0,0.0247361167222753,0.0561632002563901,0.0883058034628141,0.0354538831783583,0,0.0234816279103431
"Gide_PD1_21_Pre",0.564435010607072,0.0288961771799106,0.081395078228957,0.228159167250475,0.049172253590913,0,0.0376811082827746,0.0444919335063114,0.051063937321039,0.0288961771799106,0.081395078228957,0.228159167250475,0.049172253590913,0,0.0376811082827746,0.0444919335063114,0.10587417940986,0.058374343574189,0,0
"Gide_PD1_23_Pre",0.334015862969066,0.0933009950452096,0.114613353163975,0.192991747093768,0.041843536736777,0,0.0254670518086826,0.0311092532131367,0.0459118545643807,0.0933009950452096,0.114613353163975,0.192991747093768,0.041843536736777,0,0.0254670518086826,0.0311092532131367,0.0702920586408968,0.0368943075114275,0.00181062560219515,0
"Gide_PD1_25_Post",1.65919574806627,0.169167566870797,0.084814617259164,0.181739193623257,0,0.0422057331938454,0,0.0414490479076206,0.0238912990780629,0.169167566870797,0.084814617259164,0.181739193623257,0,0.0422057331938454,0,0.0414490479076206,0.0317169695049845,0,0.0332234986419196,0
"Gide_PD1_25_Pre",0.692277410383008,0.0832573926179841,0.101407535898419,0.198099814103935,0,0.0320059219059154,0.0669423251606415,0.0319633071095764,0.0564958911105039,0.0832573926179841,0.101407535898419,0.198099814103935,0,0.0320059219059154,0.0669423251606415,0.0319633071095764,0.0587244676323355,0,0.018635924679728,0
"Gide_PD1_27_Pre",1.003938206444,0.598679843001554,0.137181081331031,0.195040104244299,0.0837023630932299,0,0.0609354704506793,0.102386978295787,0.0747581361575181,0.598679843001554,0.137181081331031,0.195040104244299,0.0837023630932299,0,0.0609354704506793,0.102386978295787,0.118027004474927,0.133583212432589,0,0.36449910504228
"Gide_PD1_29_Post",0.516897581240826,0.334372785290314,0.140495533036491,0.195347064214861,0.0261674782863004,0.00878506111072304,0.0784974961748662,0.0751722125384069,0.0614944125451474,0.334372785290314,0.140495533036491,0.195347064214861,0.0261674782863004,0.00878506111072304,0.0784974961748662,0.0751722125384069,0.0772199201144745,0.101924350845349,0,0.358244489446886
"Gide_PD1_29_Pre",0.505903313900685,0.566931024363703,0.138256608019849,0.199487729475623,0.0524693547909105,0,0.0777954625980526,0.072102987381131,0.0750950782178828,0.566931024363703,0.138256608019849,0.199487729475623,0.0524693547909105,0,0.0777954625980526,0.072102987381131,0.112733995137923,0.104727194522458,0.00108617453895898,0
"Gide_PD1_3_Pre",0.223502270702897,0.172797079002811,0.129805514971781,0.201594605615236,0,0.039169155659452,0.0765295539254957,0.0482175544221656,0.0798215072853075,0.172797079002811,0.129805514971781,0.201594605615236,0,0.039169155659452,0.0765295539254957,0.0482175544221656,0.0994977879564819,0,0,0.491674368496544
"Gide_PD1_30_Pre",0.439882687795215,0.141718818298839,0.136381083090915,0.182345941812942,0.066131984198418,0,0.0536790445305942,0.073417001715282,0.0498698726669934,0.141718818298839,0.136381083090915,0.182345941812942,0.066131984198418,0,0.0536790445305942,0.073417001715282,0.0654743709488756,0.0740120632873932,0,0.192084292614484
"Gide_PD1_34_Pre",1.19011802717459,0.0161287097327019,0.0825371886249488,0.213698906841008,0.0170090907597126,0,0.0500833372867746,0.0397365376661256,0.048023392528823,0.0161287097327019,0.0825371886249488,0.213698906841008,0.0170090907597126,0,0.0500833372867746,0.0397365376661256,0.0707136212571786,0.0116556647265207,0,0.132286424043171
"Gide_PD1_35_Pre",2.15144423436824,0.0820721709653577,0.107233279029651,0.181526569114697,0.0361475108023029,0.00923778478509195,0.0147192025511362,0.0347975514662202,0.0428821765611958,0.0820721709653577,0.107233279029651,0.181526569114697,0.0361475108023029,0.00923778478509195,0.0147192025511362,0.0347975514662202,0.059205368810277,0.0440272595603813,0.0157572395838309,0.101979118064853
"Gide_PD1_36_Pre",0.605144019265688,0.0529993117776014,0.124823401313171,0.193550098988437,0.0419906777141362,0,0.0566849225778794,0.0500286617462607,0.0615031134145266,0.0529993117776014,0.124823401313171,0.193550098988437,0.0419906777141362,0,0.0566849225778794,0.0500286617462607,0.091093580320044,0.0338493728102399,0,0
