"","Quantiseq_Neutrophil","Epidish_CBSX_LM22_Neutrophils","DeconRNASeq_CBSX_LM22_Neutrophils","Epidish_CCLE_TIL10_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","Epidish_LM22_Neutrophils","DeconRNASeq_LM22_Neutrophils","DeconRNASeq_TIL10_Neutrophils","CBSX__LM22__Neutrophils","CBSX__TIL10__Neutrophils","CBSX__CCLE.TIL10__Neutrophils"
"LP.01.04",0.0353855506581674,0.0080182898707818,0.0186920116112231,0,0.112854238286068,0.0080182898707818,0.0186920116112231,0.134470742395576,0.0115346192464751,0.038727505035266,0.0174502826003612
"LP.01.12",0.130135958475521,0.0150082010279257,0,0.0194636188971141,0.228202430201227,0.0150082010279257,0,0.209235012872728,0.0124370526536696,0,0.0238018368432574
"LP.01.14",0.0818973207979014,0,0.00966488325965701,0,0.0834310569641921,0,0.00966488325965701,0.0945900389794455,0,0,0
"LP.01.15",0.106020116121393,0.0442469861234208,0.0121824399609417,0.00262466954598753,0.247516143095234,0.0442469861234208,0.0121824399609417,0.268665576355416,0.0418562622149619,0.0548005909359303,0.0324379149030885
"LP.01.17",0.0597854740743665,0,0,0,0.0294399729130087,0,0,0.0324986239969439,0,0,0
"LP.01.18",0.102921443498443,0.00554047780906324,0.00863710751623543,0.0126122011337473,0.203633421359585,0.00554047780906324,0.00863710751623543,0.222157306975554,0.0055785345253524,0.0128018010926988,0.0104560664214478
"LP.01.20",0.0810666257860376,0,0.0120129825262811,0.0408215282329159,0.184757882934022,0,0.0120129825262811,0.19158580148081,0,0,0
"LP.01.22",0.0278206993247659,0,0.0180888137830335,0.0297104802175267,0.14275054333264,0,0.0180888137830335,0.152147050354646,0,0,0
"LP.01.25",0.108357435840347,0.00310038568270427,0.00684759570835648,0.00425676158419029,0.244867298017104,0.00310038568270427,0.00684759570835648,0.243054477352967,0.00556739224401221,0.00149885056989221,0.0454460363554002
"LP.01.28",0.0726274765233949,0,0,0.0611388236555625,0.196176779862067,0,0,0.186653637119554,0.00489440033379984,0,0.030633634280892
"LP.01.29",0.109804866825366,0.042860485723083,0.0305133772238166,0.0490614500747954,0.176005921031566,0.042860485723083,0.0305133772238166,0.252679522839902,0.0315781021525217,0.0534553579570428,0.0134532116737222
"LP.01.31",0.0534523964787494,0,0.0170794192606531,0.0288631008302755,0.126015534527029,0,0.0170794192606531,0.128738374172833,0,0,0
"LP.01.37",0.0833040837724731,0.0031547150714602,0.0299658125781717,0,0.124912988949933,0.0031547150714602,0.0299658125781717,0.175911118107283,0.0107430441779796,0.00341432472900746,0
"LP.01.38",0.0256183369652346,0,0.0277047292614216,0,0.0910333448092452,0,0.0277047292614216,0.148645791519116,0,0.00472083081200714,0
"LP.01.40",0.0999115799983301,0.000209244889239225,0.00173107997663383,0.0261702225706621,0.148745752985854,0.000209244889239225,0.00173107997663383,0.207568521017446,0.00411110366612178,0.0432264731970809,0.018658424223252
"LP.01.43",0.0367160117355267,0,0,0,0.0634074094799687,0,0,0.078735637300674,0,0,0
"LP.01.45",0.0444519487289787,0,0.00247499983765849,0,0.101401623950123,0,0.00247499983765849,0.141200910003286,0,0,0
"LP.01.47",0.0921220851012238,0.00571813096899206,0.0426032235349835,0.0113731008040365,0.122372188746124,0.00571813096899206,0.0426032235349835,0.123829240671662,0.00520652691799722,0,0
"LP.01.48",0.237822374556728,0.17003369388939,0.103758377398503,0.0854209510578913,0.25167042706126,0.17003369388939,0.103758377398503,0.449994707829957,0.128591603031628,0.49678717928105,0.103222903866858
"LP.01.52",0.0943057787221252,0.00286028804590904,0.0340035918162688,0.00728095607222708,0.256840188433509,0.00286028804590904,0.0340035918162688,0.257786972811452,0,0,0.0235849754507647
