"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","CBSX__scRNA.melanoma__CAF","CBSX__HNSCC__CAFs"
"Gide_PD1_10_Post",0.231764137532615,0.481887972433235,0.692124901052676,0.221859390749724,0.231764137532615,0.481887972433235,0.247247105308326,0.664091945921297
"Gide_PD1_10_Pre",0.0673925293696589,0.388663247629715,0.392066236259448,0.19529304968076,0.0673925293696589,0.388663247629715,0.0664703718322794,0.368676861684689
"Gide_PD1_11_Pre",0.731598973026911,0.506150289205772,0.239750808514572,0.190006065167996,0.731598973026911,0.506150289205772,0.751956704990432,0.266800236172217
"Gide_PD1_12_Pre",0.748368762302507,0.511967580025734,0.951612102053423,0.219836486494747,0.748368762302507,0.511967580025734,0.681054390647694,0.859097549707706
"Gide_PD1_13_Post",0.12285553713309,0.403109733033209,0.228161048019362,0.152489394279752,0.12285553713309,0.403109733033209,0.116442435627371,0.227642357097582
"Gide_PD1_13_Pre",0.0647882884285123,0.402959908196943,0.252358017037824,0.152974816773528,0.0647882884285123,0.402959908196943,0.0704756829070688,0.267308164695597
"Gide_PD1_14_Pre",0.237103182957264,0.421275111482776,0.304771666380509,0.145614153008205,0.237103182957264,0.421275111482776,0.28658921809038,0.319267154634866
"Gide_PD1_15_Pre",0.354880954897902,0.334810547967415,0.906114982456354,0.179806048235834,0.354880954897902,0.334810547967415,0.359227588481929,0.856483023896798
"Gide_PD1_16_Pre",0.66191527819198,0.553264813618329,0.95688055196256,0.267478590312554,0.66191527819198,0.553264813618329,0.685516244701091,0.936433380781716
"Gide_PD1_17_Post",0.546684824274643,0.534472995918413,0.626599819659344,0.218067020893504,0.546684824274643,0.534472995918413,0.581488931939985,0.673820637573761
"Gide_PD1_17_Pre",0.672076582430346,0.550361979829959,0.736601008110129,0.241931015099969,0.672076582430346,0.550361979829959,0.665470267111968,0.728238112757916
"Gide_PD1_18_Pre",0.548256029821475,0.481734658366963,0.755085433113659,0.210654777133906,0.548256029821475,0.481734658366963,0.531580898385396,0.723812981155582
"Gide_PD1_19_Pre",0.160091464998253,0.405175546930449,0.106179521656436,0.146939691916131,0.160091464998253,0.405175546930449,0.184691181188672,0.0727130634899079
"Gide_PD1_2_Pre",0.395786285070989,0.529725162324277,0.601206195817456,0.252558684282333,0.395786285070989,0.529725162324277,0.401531847114476,0.616153657302447
"Gide_PD1_21_Pre",0.277940399074844,0.361919036306182,0.594195588240335,0.236095549740123,0.277940399074844,0.361919036306182,0.253689216705301,0.613436889191976
"Gide_PD1_23_Pre",0.428478105288065,0.526857525601659,0.832574956585263,0.264688413335308,0.428478105288065,0.526857525601659,0.419955378240602,0.831864228954053
"Gide_PD1_25_Post",0.241465460712619,0.508063268332926,0.185060081059456,0.128622457414396,0.241465460712619,0.508063268332926,0.233526502831543,0.173943128200886
"Gide_PD1_25_Pre",0.125472765048613,0.450851523521053,0.853620648540564,0.26804260849761,0.125472765048613,0.450851523521053,0.131031478302002,0.809087507969744
"Gide_PD1_27_Pre",0.263322288136136,0.29479798787013,0.445517640785341,0.181747285539583,0.263322288136136,0.29479798787013,0.2326163265302,0.450026520982963
"Gide_PD1_29_Post",0.0460577518365108,0.299412726060431,0.545970988685262,0.149598569722193,0.0460577518365108,0.299412726060431,0.0308637299835508,0.488921839709033
"Gide_PD1_29_Pre",0.0664797414518857,0.344215375996497,0.543015977398027,0.167428199804933,0.0664797414518857,0.344215375996497,0.0919430152892459,0.500874886245486
"Gide_PD1_3_Pre",0.076695515686892,0.454450200521079,0.586909789747184,0.18332488726979,0.076695515686892,0.454450200521079,0.0677508559404362,0.600470662746822
"Gide_PD1_30_Pre",0.733604610266828,0.479514331867106,0.884376749097073,0.193686276459314,0.733604610266828,0.479514331867106,0.731050019390467,0.860102468447582
"Gide_PD1_34_Pre",0.14409124491317,0.38723407144817,0.561988534213197,0.220796227258876,0.14409124491317,0.38723407144817,0.138675226163753,0.553346024434623
"Gide_PD1_35_Pre",0.447347915888032,0.426696470324296,0.161497671737061,0.120322858341657,0.447347915888032,0.426696470324296,0.442522530549741,0.156006844293612
"Gide_PD1_36_Pre",0.0443114784438116,0.328696244286149,0.465778448539834,0.153523312552596,0.0443114784438116,0.328696244286149,0.0375380208888206,0.471490376700787
"Gide_PD1_38_Pre",0.514764628636831,0.541798947190373,0.649458857312912,0.242097206508199,0.514764628636831,0.541798947190373,0.517836761607929,0.654589254166108
"Gide_PD1_4_Pre",0.222404439981442,0.480997628208354,0.696583531084816,0.206444288578026,0.222404439981442,0.480997628208354,0.250326561392552,0.654721894770361
"Gide_PD1_40_Pre",0.564276392100535,0.536577539023937,0.512868054026477,0.226288030085657,0.564276392100535,0.536577539023937,0.594945811421368,0.530449521271862
"Gide_PD1_41_Post",0.393026179796136,0.500846456381219,0.485306650467305,0.23615601709063,0.393026179796136,0.500846456381219,0.39858397734748,0.47519051540716
"Gide_PD1_41_Pre",0.167556289364104,0.367536794847238,0.348369597452494,0.173681264835788,0.167556289364104,0.367536794847238,0.170577689525439,0.342991570784714
"Gide_PD1_42_Pre",0.700091125585329,0.30558110132197,0.756921932738484,0.146946366340512,0.700091125585329,0.30558110132197,0.689327795045216,0.757910223969175
"Gide_PD1_44_Pre",0.231054988587062,0.468531169344992,0.453028815409389,0.215043331448852,0.231054988587062,0.468531169344992,0.221282409964592,0.44480084959324
"Gide_PD1_45_Pre",0.0779213384803204,0.367741741581899,0.271014557165502,0.189108407074141,0.0779213384803204,0.367741741581899,0.0219174886576111,0.302711382326102
"Gide_PD1_46_Pre",0.0651133496997065,0.406434887895455,0.509294185393061,0.191030333738112,0.0651133496997065,0.406434887895455,0.0563412748736929,0.542220022017777
"Gide_PD1_47_Post",0.0595946809833683,0.214409688057872,0.36439647007336,0.206628327430933,0.0595946809833683,0.214409688057872,0.0614604950677631,0.311148859810876
"Gide_PD1_47_Pre",0.132954846125602,0.418821278251075,0.579753904186354,0.284452850856773,0.132954846125602,0.418821278251075,0.184264150669036,0.592732349705103
"Gide_PD1_48_Post",0.121611647385601,0.427218239540714,0.208394608787292,0.200686125631855,0.121611647385601,0.427218239540714,0.129161367277416,0.157987906855131
"Gide_PD1_48_Pre",0.0748420527966154,0.297522303795349,0.567379999751441,0.199867903170585,0.0748420527966154,0.297522303795349,0.0622516187161187,0.536112407803433
"Gide_PD1_49_Pre",0.120845259047923,0.487052698016371,0.435478380797826,0.190331086118462,0.120845259047923,0.487052698016371,0.150585412227749,0.475509542935067
"Gide_PD1_5_Pre",0.0484179347354252,0.32401374020121,0.789215957832099,0.205571051298972,0.0484179347354252,0.32401374020121,0.0568411347766635,0.798287298739273
"Gide_PD1_50_Pre",0.591317893154655,0.523929518022961,0.816848166627285,0.211418659047343,0.591317893154655,0.523929518022961,0.609347153256223,0.789464073057521
"Gide_PD1_52_Pre",0.107179328350666,0.331031560392457,0.596710092058472,0.224431414875272,0.107179328350666,0.331031560392457,0.0929670171998052,0.588694750041923
"Gide_PD1_53_Pre",0.190837073011846,0.45431939774969,0.424074398703561,0.194285538511254,0.190837073011846,0.45431939774969,0.132856219001772,0.455294490511342
"Gide_PD1_54_Pre",0.0302537484182831,0.377800391749093,0.382453792949823,0.190776787334343,0.0302537484182831,0.377800391749093,0.0230876441276666,0.342426909771463
"Gide_PD1_6_Pre",0.0219138319394954,0.168511726274352,0.280650227337414,0.154212691470866,0.0219138319394954,0.168511726274352,0.00907132419071883,0.291842184328453
"Gide_PD1_7_Pre",0.29807598706584,0.455401073340493,0.265682057836421,0.194449866983265,0.29807598706584,0.455401073340493,0.307023767323412,0.250785140688552
"Gide_PD1_8_Post",0.457862563667437,0.419715648178104,0.825078687018335,0.148068304124549,0.457862563667437,0.419715648178104,0.477985063442364,0.812946123658357
"Gide_PD1_8_Pre",0.120021823698463,0.21859859725302,0.758509814882948,0.143179020016042,0.120021823698463,0.21859859725302,0.137283965710515,0.756724570311499
"Gide_PD1_9_Pre",0.591992043644007,0.527472783652218,0.750198470220502,0.254854052642426,0.591992043644007,0.527472783652218,0.546779969108473,0.744706663757588
