"","Quantiseq_NoSignature_B","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX.NSCLC.scRNAseq_B","DeconRNASeq_CBSX.NSCLC.scRNAseq_B","Epidish_CBSX.melanoma_B","DeconRNASeq_CBSX.melanoma_B","DeconRNASeq_CCLE.TIL10_B","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_NSCLC.scRNAseq_B","DeconRNASeq_NSCLC.scRNAseq_B","Epidish_melanoma_B","DeconRNASeq_melanoma_B","DeconRNASeq_TIL10_B","CBSX_NSCLC.scRNAseq_B","CBSX_scRNA.melanoma_B","CBSX_CCLE.TIL10_B","CBSX_CD226_B"
"LUNG-NSCLC2-0553",0.0626504166601381,0.0364188681720023,0.107520259865312,0.0603242029980236,0.0648012876491545,0.073301761116777,0.0770836342228604,0.834592903615324,0.520796732965813,0.228426559405635,0.139686037645642,0.105170498479642,0.279861220678931,0.260495552884816,0.834592903615324,0.520796732965813,0.228426559405635,0.139686037645642,0.119954536726749,0.878358887773535,0.206394865506917,0.0043910693978575,0.247627376816534
"LUNG-NSCLC2-0560",0.0283174823378999,0.0246020943693726,0.10791953735357,0.052379958187568,0.0903570049267648,0.0702377082799265,0.0912687773167043,0.842704231748864,0.516938968052934,0.11134135277981,0.13334285262889,0.0459543899242416,0.221057126413965,0.199505612985891,0.842704231748864,0.516938968052934,0.11134135277981,0.13334285262889,0.051911139677267,0.788978441780885,0.0690014071550634,0,0.218798704251632
"LUNG-NSCLC2-0565",0.0961450045894988,0.0588259756182766,0.119868999094071,0.0840732509076924,0.107733485500532,0.102124694316795,0.0923925422642353,0.771893617828451,0.581166742479984,0.288016047186758,0.120287615133448,0.152475752119375,0.391222577024107,0.353914876346666,0.771893617828451,0.581166742479984,0.288016047186758,0.120287615133448,0.204607541509174,0.729474264729543,0.270406545788525,0.0712899057540204,0.237880703917335
"LUNG-NSCLC2-0566",0.103292118576786,0.104343561964175,0.145656745125702,0.129519959509758,0.139640775115184,0.146536944088381,0.143355379889023,0.714874258970111,0.611096739319546,0.420629942625814,0.185135833575336,0.136193667396765,0.347606151034655,0.372164779917014,0.714874258970111,0.611096739319546,0.420629942625814,0.185135833575336,0.173018174283388,0.787541305257439,0.39670905280816,0.0262639341094983,0.235345319170947
"LUNG-NSCLC2-0568",0.053168581798316,0.0261915545445149,0.0935635951972175,0.0521581015994463,0.0747095502265611,0.0788350835737379,0.081255045020937,0.905765704867746,0.689062824917515,0.0810460792409339,0.136607319850684,0.0717965180783417,0.34638358673154,0.439188403215696,0.905765704867746,0.689062824917515,0.0810460792409339,0.136607319850684,0.097567927576097,0.881304864862899,0.030263426911803,0,0.219734464100089
"LUNG-NSCLC2-0569",0.0969547313807005,0.0824550227855974,0.123530775508977,0.104957109762912,0.105531710689243,0.128753162374646,0.126010743646973,0.922701255326816,0.57108043469135,0.362715009587026,0.1405142657984,0.113903605648342,0.329192693021089,0.176166555122411,0.922701255326816,0.57108043469135,0.362715009587026,0.1405142657984,0.197228576027538,0.87453951279742,0.274695587860223,0,0.211805880028498
"LUNG-NSCLC2-0571",0.0321202940304621,0.0084622133332263,0.0974923886248205,0.0218236265304966,0.0493754540174104,0.043567148676914,0.0589477855733325,0.926309944078968,0.459298733549171,0.0368189776095754,0.0840077792458313,0.0578451202090625,0.394963476056265,0.265025206502529,0.926309944078968,0.459298733549171,0.0368189776095754,0.0840077792458313,0.0882131290113939,0.861980547359525,0,0,0.237206233077881
"LUNG-NSCLC2-0580",0.0757423152828487,0.0534050585430664,0.104958156339016,0.0805913847954908,0.0838416936394761,0.0947082515679119,0.0902545673186436,0.946378729179871,0.613972400455481,0.225262083669576,0.134844704487215,0.0896529672838019,0.307384913657913,0.317118296880897,0.946378729179871,0.613972400455481,0.225262083669576,0.134844704487215,0.112113147670837,0.917041776173744,0.148826417074565,0.0321509836979017,0.199463562955684
"LUNG-NSCLC2-0584",0.083333825455203,0.0849790238763562,0.150657099143898,0.13769277471226,0.125816740417884,0.164011770390506,0.125278391760257,0.98394310847468,0.594595220692638,0.304200001402643,0.193888521745571,0.0929419764502558,0.348298094933255,0.372342630492595,0.98394310847468,0.594595220692638,0.304200001402643,0.193888521745571,0.0993236176046544,0.870914580113845,0.280414935748863,0.081301753922928,0.285854930852075
"LUNG-NSCLC2-0585",0.0291421950616764,0.0077377698574986,0.0933706663987258,0.0253405128382181,0.0765199618326802,0.0386520705769907,0.0882785175814607,0.770536956907982,0.462172638641099,0.102457086659559,0.108663412447151,0.0785810366349437,0.292035298293464,0.15351476838593,0.770536956907982,0.462172638641099,0.102457086659559,0.108663412447151,0.115503995976256,0.939167252105169,0.054983901602142,0,0.192035325128278
"LUNG-NSCLC2-0588",0.035517865772091,0.0211656499206729,0.13414985968122,0.0561636628822864,0.111323695702008,0.0904266938207915,0.108676365172669,0.944661779567785,0.44396026081684,0.0883525999735155,0.110674405990419,0.0921445167744339,0.285280598131376,0.200045070971813,0.944661779567785,0.44396026081684,0.0883525999735155,0.110674405990419,0.0966644052740087,0.868006823781814,0.0687237845932961,0,0.0729179151144309
"LUNG-NSCLC2-0590",0.0545586342071773,0.0524710713977273,0.12156833995689,0.0570119559021927,0.0914253893859475,0.0813965926858069,0.111714315311626,0.85542725574803,0.481765338727318,0.243707779208109,0.115563984491966,0.0856366224639417,0.412305666517851,0.217979760463715,0.85542725574803,0.481765338727318,0.243707779208109,0.115563984491966,0.135028437366325,0.816115080288523,0.126577886207825,0,0.164953496149463
"LUNG-NSCLC2-0592",0.069927863248185,0.092570329668021,0.180382192732994,0.154933108698573,0.20225917687564,0.194156774897589,0.21199707351949,0.806750799092794,0.80306682534669,0.245760825077483,0.242270055994904,0.0826462025161409,0.438272030961326,0.499912629501163,0.806750799092794,0.80306682534669,0.245760825077483,0.242270055994904,0.109455994203484,0.983648004996824,0.277029465873453,0,0.217129993870188
"LUNG-NSCLC2-0593",0.0807650693118145,0.0703877982026628,0.125141881414479,0.112792045487786,0.10247060634669,0.152849132021846,0.105291268502375,0.98066488139782,0.572136187002881,0.2969207697942,0.114687019803548,0.119191604641398,0.348020161682142,0.274539634625426,0.98066488139782,0.572136187002881,0.2969207697942,0.114687019803548,0.120868907438359,0.908783097713336,0.300275766837847,0.105952572986793,0.277535391796938
"LUNG-NSCLC2-0595",0.0698931567656596,0.0446029595671567,0.108491446762923,0.0679351030982515,0.0769353312785252,0.0959831562762147,0.100334728614208,0.890451176690985,0.508905817151674,0.190202364964626,0.10929832116956,0.0855963279109894,0.403550872105606,0.194619754462284,0.890451176690985,0.508905817151674,0.190202364964626,0.10929832116956,0.147523500249616,0.819923546260126,0.108268664856114,0,0.191873651585322
"LUNG-NSCLC2-0596",0.0741251137413258,0.0278571538170578,0.102690624454557,0.0310590429054618,0.055615641068933,0.0649625578218855,0.0682328456508134,0.939373147856866,0.476224344014083,0.14801931722109,0.0967687841949739,0.0712610737206879,0.193765028609455,0.174283708635512,0.939373147856866,0.476224344014083,0.14801931722109,0.0967687841949739,0.0927916030979785,0.882490854812731,0.154988651493433,0,0.160350269875996
"LUNG-NSCLC2-0599",0.0560529509050193,0.0368392690792448,0.115171152240337,0.0750143291157171,0.079457027686134,0.0973757564420643,0.0805910660893881,0.853142528551475,0.592566419859635,0.206253379826826,0.116234848611961,0.0855143055518336,0.253696900544215,0.274576930780331,0.853142528551475,0.592566419859635,0.206253379826826,0.116234848611961,0.0935218145891059,0.896317656377245,0.177343816865093,0.0059181577899993,0.143028024683633
"LUNG-NSCLC2-0602",0.0645401265596682,0.0452972499490357,0.0979144939679929,0.0746191541766364,0.0638897970710382,0.0908459182173201,0.0659889081582122,0.725347736080096,0.630795044335658,0.149386564601743,0.115578268851125,0.0699000905112681,0.193077828367487,0.247495446395481,0.725347736080096,0.630795044335658,0.149386564601743,0.115578268851125,0.0785014079037176,0.826848516047866,0.0812703979371337,0.063201258949434,0.0896657161631102
"LUNG-NSCLC2-0603",0.0742481273156696,0.0404572682158059,0.0833132969027977,0.0487744025146975,0.033803012225313,0.0723988101627603,0.0410475082660171,0.916248181661321,0.568209598988013,0.1903029816075,0.106576992239301,0.0555085535312778,0.311331763949468,0.340333394409641,0.916248181661321,0.568209598988013,0.1903029816075,0.106576992239301,0.0849554668473318,0.917544964241457,0.157710267609856,0.004220019846272,0.218646086350172
"LUNG-NSCLC2-0608",0.0259848770955337,0.0232720565871944,0.10803099101746,0.0348800581783025,0.0652491198878823,0.0442481338342999,0.0877039080079408,0.96348692070893,0.664048846961032,0.0637257135431591,0.167073419202486,0.0658767527879325,0.63232549146208,0.473337597705062,0.96348692070893,0.664048846961032,0.0637257135431591,0.167073419202486,0.0985532954028426,0.901098537369533,0.0914761860925203,0,0.206154591258298
"LUNG-NSCLC2-0610",0.0461254294554301,0.0142024445888365,0.0913240784383214,0.03632543688339,0.0703226135099224,0.0432010306376125,0.0695902068055071,0.806321570165056,0.581747449334668,0.105172258864537,0.109341933428212,0.0656610143024532,0.292969506273551,0.282922784969117,0.806321570165056,0.581747449334668,0.105172258864537,0.109341933428212,0.0788727387368412,0.82055837036208,0.0755643735990963,0,0.187254433336722
"LUNG-NSCLC2-0611",0.0552136529073588,0.032151901988556,0.100608878095498,0.0662720326669915,0.0941338211875292,0.103513891622946,0.100461133678243,0.912325942334354,0.639244444079699,0.132947692007736,0.14825588759732,0.068242501100314,0.340812443210239,0.36051260961816,0.912325942334354,0.639244444079699,0.132947692007736,0.14825588759732,0.0840368350457776,0.887044636659053,0.142541319538786,0,0.150944434203253
"LUNG-NSCLC2-0622",0.0488296180927463,0.0510362374514988,0.111936640685276,0.0798322164435611,0.0855256048286602,0.0998519775784263,0.0916057507682135,0.910737770286167,0.649534228174714,0.133926752955643,0.132662095282673,0.040316728433286,0.449275985410237,0.344524329647736,0.910737770286167,0.649534228174714,0.133926752955643,0.132662095282673,0.072310522436047,0.939681191349791,0.099070381955875,0,0.193390082770348
"LUNG-NSCLC2-0623",0.0735044969910339,0.0310756895161136,0.0862714373096762,0.0588819850950032,0.0510420616854732,0.081699798029971,0.0603271623724984,0.74462715663437,0.533226684795252,0.129466948733989,0.114271237504841,0.108866384423962,0.224962117953235,0.263578751030306,0.74462715663437,0.533226684795252,0.129466948733989,0.114271237504841,0.120051229018959,0.851653904687795,0.121208170519717,0,0.158715634660495
"LUNG-NSCLC2-0630",0.0593829610150882,0.036085443116314,0.0914673479842643,0.0450243132472782,0.0525113025624829,0.0636592847341594,0.0666554665035168,0.778813860197961,0.499218957997476,0.166555045936664,0.107698296287526,0.0713284018403656,0.289569860175498,0.232723273384123,0.778813860197961,0.499218957997476,0.166555045936664,0.107698296287526,0.0986997963684714,0.847586069608452,0.112572391488609,0.0017645186298521,0.138554960765075
"LUNG-NSCLC2-0631",0.0924831552891962,0.0479318473385275,0.0924611136326846,0.0621029939679453,0.0508690379038627,0.0938739983592476,0.0686256428926371,0.888313593721299,0.575917558111635,0.194751148003435,0.131538424315571,0.118173020753089,0.217818682443405,0.287890326450234,0.888313593721299,0.575917558111635,0.194751148003435,0.131538424315571,0.132783270286442,0.844745795243403,0.190406214357709,0.0197836097768042,0.181590987046472
"LUNG-NSCLC2-0632",0.11951301609278,0.0588398033144729,0.102128270221131,0.0953506044519746,0.090136674433902,0.124426949742839,0.0960776091902336,0.761751042214944,0.576231814838287,0.229346879959628,0.127506356963589,0.137333566079128,0.331254736565799,0.289168067827946,0.761751042214944,0.576231814838287,0.229346879959628,0.127506356963589,0.174890528306567,0.842961610257427,0.169951741238959,0,0.195717595722892
"LUNG-NSCLC2-0633",0.0823066298401777,0.0614034216792828,0.129038242489086,0.0792855012042802,0.0975426940005424,0.093328336257344,0.10210496877544,0.920336115631077,0.716865891359933,0.232650971023189,0.160714782151113,0.0943195029879069,0.240575199452696,0.422032847776264,0.920336115631077,0.716865891359933,0.232650971023189,0.160714782151113,0.109455067570785,0.963059457852876,0.198519342168279,0.0478315462142566,0.241752774219952
