"","Quantiseq_NK_cell","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__NSCLC.scRNAseq__NKT_cells","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"R3388_YZ_1",0.0633513574210295,0.0498210486102847,0.10978301587516,0,0.133171662712244,0.0312765812779742,0,0,0.0767181901500533
"R3388_YZ_2",0.0730094360327435,0.118690511916923,0.105938976820746,0.111813944542359,0.119037199711049,0.0618918655356531,0,0.0961428769999005,0.127019718908665
"R3388_YZ_3",0.0327789295892615,0.023515265993593,0.0969301695544212,0,0.101877192904313,0.0295115184485966,0,0.0131272646603592,0.0224227959383219
"R3388_YZ_4",0.0680214786507733,0.155012079429753,0.22281828082426,0.227973067456623,0.293789614409936,0.088902345918311,0,0.214139914689568,0.0550408521243991
"R3388_YZ_5",0.0612889585536256,0.0840141582342285,0.105167923270049,0.0950737311864889,0.147047725833184,0.109038031894527,0,0,0.0787625480244427
"R3388_YZ_6",0.0718689491377108,0.0486849280782717,0.136686764727735,0.11096802601561,0.156133871084853,0.0791926404025177,0.377554712328559,0.0412925165902141,0
"R3388_YZ_7",0.044206739686457,0.0786395188057129,0.105562661312977,0,0.111215265446735,0.0912818668665465,0,0,0.0929524485911853
"R3388_YZ_9",0.044896230955226,0,0.0536547894571402,0.0262917672301434,0.0962809846351044,0.0569384638126918,0,0.0154976224078855,0
"R3388_YZ_10",0.0808736989373675,0.0693309660239435,0.200060769920826,0.181674817466755,0.214345173257242,0.0367482232915628,0.167947240293194,0,0.0383808685501534
"R3388_YZ_11",0.0796677707703196,0.0846159656100774,0.297485635140624,0.151272877762502,0.327009627114494,0.0578055001951496,0.314888192143267,0.199855013172372,0.0843793143611022
"R3388_YZ_12",0.040160991849978,0.0613062201811968,0.151858373456922,0.0374509142860798,0.169312847093463,0.0653726735599907,0.113866559224207,0.068915464936353,0
"R3388_YZ_13",0.0477892131665498,0.0501222021083333,0.191914593725725,0,0.218743753905509,0,0.23663852838694,0,0
"R3388_YZ_14",0.0591314891441651,0.0635990766305234,0.17893821069224,0.120513395371133,0.199585272317438,0.078281646602614,0,0.0889239938550359,0.103020124057717
"R3388_YZ_15",0.0811408255268597,0.0642285508015881,0.252857073383408,0.0258299915042622,0.26303488166132,0,0.0514835822785571,0,0.0401008883470651
"R3388_YZ_16",0.0632729262857074,0.0800823894646942,0.106928651748817,0.016126426285797,0.109339722803851,0.047066231340792,0,0,0.0176733799054963
