"","Epidish_BPRNACanProMet_CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__LM22__T_cells_CD4_memory_activated","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"LP.01.01",0.0108703842963268,0.145145971394846,0.0283794742571806,0.288487122121614,0.239008997068809,0.390475901829382,0,0.0908673034264804,0.118007035962595,0,0.241600843702402,0.24219762264692
"LP.01.02",0.0144621226508322,0.11339402844023,0.0232966626296201,0.15027029864354,0,0.35479727030777,0,0.0914600872871417,0.0613093214881137,0.33220767250402,0.151478335730141,0.274805589137278
"LP.01.03",0.0348654180356689,0.123103199106517,0.021455819870937,0.0989456097866494,0,0.250813198418941,0,0.153748436705528,0.116834085966598,0.243158758068133,0.273828318708409,0.217244372175762
"LP.01.04",0.00152566229337987,0.013481556120069,0,0.0406129466640295,0.096217638656494,0.208834173126167,0,0.0494542619920042,0.0326099732843333,0.0235505807142885,0.0278318271726042,0.292018779175847
"LP.01.10",0.0175772600011934,0.0934856782617776,0.018186801013529,0.221319867269386,0.209494552113234,0.3469332125337,0,0.05846799366641,0.0847200415949519,0.338380374671388,0.128634549992667,0.25959674692036
"LP.01.12",0.0155849001401983,0.124411946668955,0.0185574616931959,0.0948414995267457,0,0.180415532516185,0,0.0804900918537232,0.0917936758070498,0.188683226784669,0.142585273326678,0.159215498822748
"LP.01.14",0.0114990115374034,0.219519744246862,0.0379578746383649,0.0915290619207134,0.0221079899932704,0.232407239960412,0.00512426418178391,0.0507476510864387,0.197093317617122,0.128824078552182,0.0232983360410215,0.255946999089447
"LP.01.16",0.00696249158436353,0.184108888779368,0.0272649809053992,0,0,0.212901291904955,0.0238219747295605,0.0529383602339339,0.163756377093023,0.0418158364635502,0.136262874819739,0.219281412207065
"LP.01.18",0.0109035758325484,0.14620018645855,0.0111941583727148,0,0,0.236459180118149,0.0411572455084843,0.0467695291317218,0.113468792466889,0.172516822354225,0.0597605558745297,0.314503547368515
"LP.01.19",0.0374025689529649,0.259012525983138,0.0405138366781685,0.163758619048291,0.0115061602466079,0.434491625214531,0.0111510845023048,0.0923484596064018,0.241641217447086,0.276797721782904,0.489218788146364,0.2079348122671
"LP.01.20",0.00861386578184427,0.0603389963622828,0.00947321677996883,0.128774231063872,0.0178775572112231,0.265248328931637,4.786546692626e-05,0,0.0489301990461166,0.339621618314866,0.403501124417348,0.192874319519304
"LP.01.22",0.00247141604144011,0,0,0.165965223838502,0.272179413972349,0.207431414450778,0,0,0.0485284340399592,0.265632498423439,0,0.300457475841353
"LP.01.24",0.0119307574062812,0.248320706169168,0.0531279513245787,0.217871341020944,0,0.212555712747334,0,0.219804138583383,0.257447918557789,0.572058615901781,0.258870092228126,0.166916245898313
"LP.01.25",0.0213490867928852,0.162257711336669,0.0271059405752954,0.0497343375138911,0,0.304301398419206,0.0163933825588737,0.112128962461202,0.0930231019886716,0.286355162439208,0.282413856319698,0.238389122703721
"LP.01.28",0.00762613500050178,0.110346718118931,0.0167339048540673,0.11819380630464,0,0.225560774999569,0,0.0270851825397649,0.0942378018678782,0.221225038350834,0.138780859376566,0.197785401271072
"LP.01.31",0.00329765039097723,0.0386397340097401,0.00363714650468037,0.0510207210288285,0,0.201076133489335,0.00229282937490711,0.00394374217756154,0.0465994813959822,0.113757332725333,0,0.28266966055918
"LP.01.35",0.0562264831221164,0.250532192482453,0.0356940666522201,0.0865645340073439,0,0.348645987246725,0.00185996794156359,0.175808207770046,0.252011526981965,0.169331017649046,0.249778546543412,0.169670178304044
"LP.01.40",0.0299475034555378,0.107016968779069,0.025811766463287,0,0,0.250086561718328,0.0407043434505746,0.0313518473262431,0.108563172513052,0.0474836490504225,0.0178800387591047,0.291492081730488
"LP.01.42",0.015909458150895,0.170323904719377,0.0237333092621939,0,0,0.306837605744648,0.0273604983054271,0.119412807706684,0.185931329940042,0,0.110517923896982,0.320454679461713
"LP.01.46",0.0239783292084483,0.124411551009508,0.0121372575606503,0.197896964255128,0.255668150182902,0.387126710051393,0.00729969166482477,0.043787084720453,0.0463622309701048,0.319798663322233,0.100475543200517,0.35720933961042
"LP.01.58",0.00285354313748003,0.17572048573312,0.0187349167917564,0,0,0.196543433413322,0.00516538671656198,0.0118585320161522,0.146658854962474,0.208559995232699,0.163443880932256,0.240654302667521
"LP.01.61",0.00465004343945172,0,0.00634133565592312,0,0,0.183176594951456,0,0.0385076396720529,0.00042204099075992,0,0,0.182709102653143
"LP.01.66",0.0243337555510105,0.194175757155364,0.0243116538756061,0.0238515823077829,0.0366175592113795,0.31920928306428,0.0340902293811656,0.0444444581169676,0.201283425108446,0.271694816967292,0.0559464447255037,0.251262729651138
"LP.01.67",0.0396709212994448,0.159531175081385,0.0340332252323776,0.171851542737059,0.213433178258766,0.34597052348442,0.0138690780547182,0.108871572325763,0.0884225890327057,0.359967137563653,0.118245107957868,0.279322853608537
"LP.01.68",0.0168961878344036,0.121880951033979,0.0241830823401379,0.169891003637758,0,0.21349440387283,0,0.144593078245431,0.0900251394677579,0,0.426424330144107,0.223799602007915
"Test.FFPE.01",0.0237482104233557,0.137176837301903,0.0359309662043288,0,0,0.252926153243675,0.0192337851249172,0.0743554783425942,0.0964595256502969,0.104573666919162,0,0.186186269811276
"Test.FFPE.03",0.0293701072000817,0.142792806559746,0.0653375176188657,0.209615742993351,0.163444777982018,0.29341590305655,0.00614917959438699,0.144302606490095,0.182190451355149,0.30531837600509,0.236394973741337,0.126210925117989
"Test.FFPE.04",0.0139181333178185,0.197520004488697,0.0262989307448197,0.167370892496857,0,0.246931141487864,0,0.0565745009917771,0.17501356503565,0,0.145645765381499,0.220138005122557
"Test.FFPE.05",0.0247076220770853,0.179535729498257,0.0401252208042447,0.0328752451639127,0,0.161890171559952,0.0401673925467989,0.0888781833892914,0.169543921966663,0.0280381123379686,0.0683640761623875,0.221985434257467
"Test.FFPE.06",0.0220899608872181,0.0812478185903954,0.0143152382124687,0.0145093591068627,0.122271228581109,0.419654835834065,0.0251042978228281,0,0.0768300235351336,0,0,0.163036937209506
"Test.FFPE.08",0,0.0608778087453359,0.0107853092689828,0.0906401551155013,0.199392419693858,0.240169732506097,0,0,0,0.419239134328902,0,0.272230441043032
