"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__CD226__Mono"
"LP.01.01",0.0214019385908005,0.0875936311239386,0.0214084367205812,0.0870602069032288,0.019344964225991,0.0777508792081654,0.268688057736331,0.0704867150902251,0.0372009875606767,0,0.109772002847071
"LP.01.02",0.0304598216445847,0.109115145157424,0.0372656585429224,0.109025854974633,0.0301754391366618,0.097471865619729,0.470720235849715,0.00677206482529724,0.0770586297406647,0.0323508973407916,0.0848370719332031
"LP.01.03",0.0656040545202232,0.127508737824608,0.0671429382840454,0.127098555040469,0.0540907076383398,0.116685305473883,0.381092905131586,0.040707125713825,0.0746607958950896,0.0180420005873322,0.0683723227603663
"LP.01.04",0.0149704720703911,0.133927997619064,0.0126821424218364,0.127942480370854,0.0106736751710794,0.118593493465022,0.275619726856417,0.0626530882324774,0.0467251600898971,0.0126035042152689,0.0856926211417962
"LP.01.10",0.0342886920738769,0.115774737851569,0.0357850137003624,0.114158660863532,0.0262971939841325,0.0988314546018645,0.43108494467524,0.0842168895165963,0.0371401477835146,0.0159454804069518,0.0909711336436996
"LP.01.12",0.0768518932329075,0.116678232167824,0.0875602979964891,0.117570518950041,0.0868554607535483,0.106993746106768,0.517953528499139,0.0723948567369147,0.0298125765138389,0.0305165619830124,0.0831510613175652
"LP.01.14",0.029295295426287,0.119611435468344,0.032295267418922,0.118281674948096,0.0266770105441523,0.105046569673078,0.24658511184537,0.0236893354912627,0.029292726635136,0,0.0792829651170056
"LP.01.16",0.0627729199260552,0.149894895579038,0.0699988931185751,0.149915380213553,0.06512727923183,0.133752291943574,0,0.0132454518823316,0.0179682611882155,0.030883077369931,0.0749984410895887
"LP.01.18",0.041232031541067,0.130820567500348,0.0414336150097747,0.128280055994869,0.0354568083188681,0.114380618283414,0.163880657168247,0.0891498190003005,0.0160185687986691,0,0.0867780256087025
"LP.01.19",0.0341730290513498,0.161003629177462,0.0344544608276947,0.161486632974934,0.0311018856444216,0.143243742615753,0.301677785233965,0.0722335557857816,0.0328160478264913,0.0187207458554884,0.098649398346442
"LP.01.20",0.021452781038676,0.128997763244452,0.02018112670157,0.127535241488275,0.0170734200492649,0.112235217995585,0.270889166003671,0.0441615928122154,0.027260991513783,0.0208402880237663,0.0851448346040427
"LP.01.22",0.00736195648415733,0.072302014394707,0.00706229087770192,0.0682098313418858,0.0046519333932484,0.0628959785041968,0,0,0.0183217570433398,0.0605776814041542,0.0685137215528261
"LP.01.24",0.0673643075835143,0.158179431597719,0.0668830922906803,0.157868959135197,0.0561419641416626,0.142502043343012,0.348934386916441,0.0549344157696279,0.023984602912887,0.0157981096200201,0.0794497563415693
"LP.01.25",0.0470706929823851,0.138064462301053,0.0516494824267056,0.137462179567089,0.040766816322773,0.122590927854585,0.302806114938866,0.0544424295925961,0.0547198987055677,0.0163252234320132,0.0782303341587623
"LP.01.28",0.0383443469641112,0.147112198039609,0.0444532992605212,0.147552029993532,0.0372231201404068,0.134128147706644,0.372004451052365,0.0302253991855991,0.0498538402745087,0.032570518404681,0.0875275223840862
"LP.01.31",0.0237797483319934,0.0904322932951648,0.0226779185758375,0.0883484400810219,0.0201535125989307,0.0781926885631346,0.134372724461369,0.0307526251158236,0.045058687255442,0.0439629651549756,0.0774358704388229
"LP.01.35",0.0823960369126622,0.16184172760399,0.0969052508974747,0.162389460201807,0.0829565774213394,0.147949417708461,0.199092122118167,0.0121329670186378,0.0245599027902675,0,0.0751878995096952
"LP.01.40",0.0253314684858566,0.0936894888647559,0.0216419579993048,0.0932328565879774,0.0133253753895899,0.0846347620489384,0.165397496023711,0.148562467232428,0.0306920529188395,0.0289357902026581,0.0782139245408484
"LP.01.42",0.0339884952190213,0.142321442870947,0.0378835857895846,0.141245324431959,0.0319273553290458,0.123715263473976,0.17052551726525,0.064222599204976,0,0.0247551319827836,0.0715252260962609
"LP.01.46",0.0576756282062291,0.128827059617674,0.0516792988939141,0.124559693494185,0.039970038348713,0.107094708866927,0.25159158188125,0.0770755183701082,0.0333671886566971,0.00436100976114481,0.0782695269355463
"LP.01.58",0.0220344481399315,0.0899707656397875,0.0259399111517697,0.0900080692739806,0.0240543574613912,0.0814837162925339,0.137176399531601,0.0598479758400582,0.0280071594877339,0,0.0803525864145447
"LP.01.61",0.0507623638660644,0.137340959212243,0.04943301315271,0.135824138084081,0.0382393203780629,0.119228537499549,0.450927887224124,0.033019490690967,0.0226464029527286,0.0367174177563995,0.102884426737393
"LP.01.66",0.0628713628114974,0.145606427894454,0.0630144581050512,0.144384838428318,0.0576166868824804,0.131749523744994,0.330260152773501,0.0566166628187943,0.0559258571766267,0.0107377195926634,0.0755302543788678
"LP.01.67",0.036266129930812,0.109458395048675,0.038282403516279,0.10955868400826,0.029440808538996,0.0967471998574236,0.398587603668367,0.0615567478307115,0.0382987516853455,0.0203092161696895,0.106558557666349
"LP.01.68",0.0904945902238745,0.151413415192534,0.0903266112972305,0.151614260276392,0.0789289785915605,0.136855185427558,0.45996904257805,0.0813541911119396,0.0489678123116899,0.0192293071682531,0.0953140653966047
"Test.FFPE.01",0.029068660911186,0.113327998376752,0.0265554524918055,0.107430759547873,0.0237104853408319,0.0927756985906947,0.16649836498578,0.0489093786497766,0.0258816369893069,0.0420249900613182,0.0855903980067313
"Test.FFPE.03",0.0795232403503354,0.125285096176518,0.0773326569420961,0.121992446734135,0.0721067070786727,0.110455704007399,0.415235693383924,0.0695627528816557,0.0798840359685141,0.0192265150529832,0.141729010554044
"Test.FFPE.04",0.0368151736237367,0.119932980821657,0.035407338663247,0.116930612737513,0.0317298366411218,0.102962020050317,0.0343533946455234,0.0296475127939579,0.0389573087752368,0.0138062245673291,0.093714032719883
"Test.FFPE.05",0.0330252492290873,0.113500688272662,0.0319426829093055,0.112264882871071,0.0341411953295149,0.101336111901764,0.207229770185999,0.0336528683326099,0.0245454974519498,0,0.0801873307426741
"Test.FFPE.06",0.0114597469883673,0.118504916498734,0.00993931237177519,0.114965646668988,0.0112642924295089,0.101540256901928,0.346195871533371,0.0516569038380324,0.00999284780015786,0,0.0854863684442788
"Test.FFPE.08",0.0313736547665208,0.114048569490994,0.0297446414502049,0.111053932294879,0.0263398477186781,0.0975668912104421,0.398020982690271,0.0430768969695484,0.0160598132253464,0.0347354706924773,0.0912439925669129
