"","Quantiseq_B_cell","Epidish_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__HNSCC__B_cells","CBSX__CD226__B"
"LP.01.01",0.0436626283225114,0.0217727587484881,0.0194562875531114,0.0916644446796598,0.0385468458166782,0.0854804098142562,0,0.0893247639905431,0.0913890524337054,0.249951542211881,0.553543864803787,0.114150003812384,0.995012003520256,0.0211505303416329,0,0.211230896754604
"LP.01.02",0.045221070239266,0.0167248491032198,0.015579830117089,0.08790073122117,0.0213167904995449,0.0741970298594787,0,0.0949881959212795,0.086096310227357,0.206444108532588,0.324484714616026,0.105586876913732,0.890364174179106,0,0,0.199088107238077
"LP.01.03",0.0424003755021462,0.0397079930664664,0.0359925211890422,0.105321665465252,0.0404199895273653,0.0989481472060416,0,0.0887940200090711,0.087748705463081,0.158079002661558,0.337855884907965,0.105790520009923,0.882275206435627,0.00396843405257776,0,0.180598443268624
"LP.01.04",0.0291047383658462,0.0171130442099264,0.0145235418992867,0.0855748908910453,0.0225453005357273,0.0870891779029316,0,0.119154958209422,0.0566969506572116,0.34693365298796,0.328604161324937,0.0992434907963677,0.895316232306669,0.00482823041181824,0,0.211443143929955
"LP.01.10",0.0427906632736999,0.0134630334912825,0.0106929958938455,0.0660085574103109,0.0147452917085545,0.0573067763521765,0,0.102292966251427,0.0614233236728177,0.174909816095879,0.380362831380266,0.0833523582757014,0.888065721659126,0.00233216404775109,0,0.20041753734538
"LP.01.12",0.0400754497909003,0.0132102581911296,0.0102163035283696,0.0910669228423159,0.0133503130769185,0.0768294667706231,0,0.102524465188848,0.072541963880534,0.04578152142422,0.2088577263309,0.0762179668206919,0.875417677240062,0.00275861547038424,0,0.146288946117776
"LP.01.14",0.112880397997606,0.0618790669626617,0.0646183962816818,0.0834064117403035,0.0718054408677042,0.0746531562319227,0.0149371670817305,0.110060217740936,0.0784760388852978,0.283843665112182,0.33979996784725,0.107194694764889,0.839560880456905,0.102741619145299,0.0219725584157635,0.206342927597689
"LP.01.16",0.0824252997788804,0.0398962244249284,0.0348017391402914,0.0769372163873963,0.0411575875110129,0.0704799980523005,0.00356394482690069,0.106138853460195,0.0718407065823688,0.181923644168446,0.320375894644548,0.111288226059102,0.805409914294095,0.0151601028322919,0.00879822567689813,0.152742938097094
"LP.01.18",0.0307706117208864,0.0169873358275449,0.0138085112251826,0.0687348242461666,0.0201391808460894,0.069826100558765,0,0.0956262674386777,0.0386054438988509,0.221820522722291,0.310883242975082,0.0760034858840493,0.921476872099086,0,0,0.209529988647721
"LP.01.19",0.0441921928208256,0.0248789132194272,0.0214408857961195,0.0819908948798091,0.0340655619856367,0.0793225009093985,0,0.0973247173042302,0.0562603300375813,0.107976243621057,0.298201716755316,0.0759001682985303,0.83735622038735,0,0,0.140609853093739
"LP.01.20",0.0583927840518517,0.0414940719787435,0.0376667723392589,0.0789568356552249,0.0554272962639589,0.0749644182706839,0.0107736960069524,0.124234565456746,0.105864430322806,0.286278909107361,0.166917491987011,0.13275945217161,0.851788195731483,0.052087815540955,0.0187889443596457,0.179137991552886
