"","Quantiseq_Myeloid_dendritic_cell","MCP_Myeloid_dendritic_cells","Epidish_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","DeconRNASeq_CCLE_TIL10_Dendritic.cells","Epidish_LM22_Dendritic.cells.resting","DeconRNASeq_LM22_Dendritic.cells.resting","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_resting","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"Pt66_Pre_AD667850.6",0.0113910793202796,0.810544482224332,0,0.0587760416829687,0.101261299449427,0.0126891303293894,0,0.0673572740218202,0,0.0587760416829687,0,0.11674545266631,0,0.0549408679785801,0.0782366263911217,0
"Pt94_Pre_AD732850.6",0.0957409445231875,5.31450889796914,0.0060790950006647,0.0170813094837352,0.0601127317484292,0.0535104846538362,0.0749036291022954,0.0642762861979957,0.0060790950006647,0.0170813094837352,0.261998882778372,0.0879895353830081,0,0.0402020436003627,0.317671006949139,0.0778000865156406
"Pt84_Pre_AD486532.5",0.0246553544720844,1.44192199464696,0.0147139365990596,0.0953692908331546,0.193655287192051,0.0878728648013852,0,0,0.0147139365990596,0.0953692908331546,0,0.000963625015130226,0.00098619587301407,0.174749604950352,0,0.00054550358729529
"Pt62_Pre_AD608303.5",0,1.57053229400524,0.112246347915893,0.104846835074724,0.234504905209671,0.147512517110012,0.0532663419753908,0,0.112246347915893,0.104846835074724,0.367427830774701,0,0.0717198837838062,0.212292917300929,0.474556485577876,0.0375692328063583
"Pt72_Pre_AD793922.5",0,0.710409527377392,0.0331554437480151,0.0799835078173066,0.125854452422762,0.0127890663414222,0,0,0.0331554437480151,0.0799835078173066,0,0.00543039946703853,0.00510856619876613,0.117921335004101,0,0
"Pt3_Pre_E9024733.3",0.0362189248732109,0.963652153020932,0.00933730370845935,0.0666017906633289,0.140849928793906,0.067242949554567,0.00082654686195019,0.0197060859121535,0.00933730370845935,0.0666017906633289,0.114189258479759,0.0584721868926334,0,0.103132863458985,0.127125542027665,0.00751299328417339
"Pt5_Pre_E9021022.6",0.00107899968854163,6.26908255658626,0.0103128657221091,0.0783960140454958,0.172153994175944,0.0685799972143208,0,0,0.0103128657221091,0.0783960140454958,0.0588136789284525,0,0.00388181334134882,0.167186724333411,0,0
"Pt9_Pre_E9021024.6",0.115135463764959,3.27951669309673,0,0.0560420948905938,0.00954532419320789,0.0408374705748836,0,0.131529910899938,0,0.0560420948905938,0,0.16536992812666,0,0.0128789394606444,0,0.18854539831904
"Pt18_Pre_E9024732.6",0.0383356010033913,11.9349118076224,0.000619288572605923,0.0223976062420954,0.140831189606888,0.0607994198252177,0,0.00189369249578805,0.000619288572605923,0.0223976062420954,0.0028879624193798,0.0371120634972862,0.00500019576710281,0.127760937599536,0,0
"Pt24_Pre_AD436687.5",0.127305305236006,19.1473939502136,0,0.0326142744464206,0.0482251101465366,0.0138436113814859,0,0,0,0.0326142744464206,0.0221117495800791,0,0,0.00813318399380216,0,0.00766251074840833
