"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","CBSX__scRNA.melanoma__Endothelial_cells","CBSX__HNSCC__Endothelial_cells"
"R4163_YZ_1",0.112790906982719,0.110249740187232,0.00522681080807462,0.147471379414102
"R4163_YZ_2",0,0.0520317918248054,0,0
"R4163_YZ_3",0.00144387380428043,0.0440099702559291,0,0.0120263804069399
"R4163_YZ_5",0,0.047254474436978,0.00031989830769257,0.0112405539971812
"R4163_YZ_7",0.0507235384878119,0.0927942178779433,0,0.034328094013339
"R4163_YZ_8",0,0.0536884396400995,0,0
"R4163_YZ_9",0.0563854930299115,0.0764390159484646,0,0.0966179032462679
"R4163_YZ_16",0.168224758814188,0.11444259892728,0,0.169730253641809
"R4163_YZ_17",0.0139963076274008,0.0546285677824283,0.00667845438777115,0.0245329109288604
"R4163_YZ_18",0.022294137109039,0.0686006587597426,0.0093397857372903,0.0178229037005533
"R4163_YZ_19",0.0382108999348642,0.0824828423603454,0.00216068138068747,0.0439553553900667
"R4163_YZ_20",0.136563657562132,0.137105291460541,0.00930648925150102,0.169629644411993
"R4163_YZ_21",0.2383990000593,0.195641978042893,0.00647898770287365,0.259185012559127
"R4163_YZ_22",0.0535532544710953,0.118071529232004,0.0340376424699904,0.0613656955660522
"R4163_YZ_23",0.114912884200471,0.112770929635651,0.00630313672210701,0.110102305425158
"R4163_YZ_25",0.0688164698344996,0.114271432933387,0.0171927734926636,0.0797393801755831
"R4163_YZ_26",0.379576857519911,0.237772312175327,0.203297899062455,0.399308615921294
"R4163_YZ_28",0.0370612709345091,0.116764757517111,0,0.0192639377485382
