"","Epidish_CBSX.melanoma_CAF","DeconRNASeq_CBSX.melanoma_CAF","Epidish_CBSX.HNSCC_CAF","DeconRNASeq_CBSX.HNSCC_CAF","Epidish_melanoma_CAF","DeconRNASeq_melanoma_CAF","CBSX_scRNA.melanoma_CAF","CBSX_HNSCC_CAF"
"LUNG-NSCLC2-0553",0.682987728715174,0.348501464514408,0.586580844740718,0.229487347636861,0.682987728715174,0.348501464514408,0.756537874356758,0.500639331378341
"LUNG-NSCLC2-0560",0.738232298549958,0.385198427828466,0.557119553201342,0.241855055398336,0.738232298549958,0.385198427828466,0.743966289322107,0.527538209663734
"LUNG-NSCLC2-0565",0.505092250586267,0.232807523184984,0.511969445161179,0.135700755920839,0.505092250586267,0.232807523184984,0.542165699390424,0.483292666378166
"LUNG-NSCLC2-0566",0.267832885833769,0.316129910244533,0.299665163820931,0.208832244264577,0.267832885833769,0.316129910244533,0.299980757828807,0.278849498239112
"LUNG-NSCLC2-0568",0.559815471438162,0.428737755316619,0.441067008540008,0.242681990483379,0.559815471438162,0.428737755316619,0.659027521543552,0.413225995407379
"LUNG-NSCLC2-0569",0.398176995736166,0.396937863189846,0.316041895357327,0.196805178821541,0.398176995736166,0.396937863189846,0.433777872484907,0.293929434698455
"LUNG-NSCLC2-0571",0.693593472989079,0.465399794256648,0.510349994350361,0.22193757699018,0.693593472989079,0.465399794256648,0.770552985137419,0.510906233908273
"LUNG-NSCLC2-0580",0.624633695409026,0.485640910553032,0.499174324114064,0.244654215319883,0.624633695409026,0.485640910553032,0.619511365968963,0.486145240185912
"LUNG-NSCLC2-0584",0.49872463005094,0.257636711083492,0.394048973152008,0.196925522185015,0.49872463005094,0.257636711083492,0.473410420998268,0.35398823233138
"LUNG-NSCLC2-0585",0.735183708067749,0.4460885205511,0.621877851664515,0.210499043615435,0.735183708067749,0.4460885205511,0.776253621298059,0.524711009267077
"LUNG-NSCLC2-0588",0.605801951945984,0.291174200757081,0.554047359275958,0.2562781263527,0.605801951945984,0.291174200757081,0.553004089190906,0.55629740829336
"LUNG-NSCLC2-0590",0.455944003495425,0.343094692450136,0.377898740616028,0.178967329580624,0.455944003495425,0.343094692450136,0.604251047008549,0.333469724013617
"LUNG-NSCLC2-0592",0.184202338995207,0.149888895919756,0.169171190785771,0.148203331555245,0.184202338995207,0.149888895919756,0.12647485284031,0.151271794369007
"LUNG-NSCLC2-0593",0.591399101911683,0.409314624038466,0.550726132314994,0.260538189316786,0.591399101911683,0.409314624038466,0.581212063055295,0.555802739234353
"LUNG-NSCLC2-0595",0.511686740730075,0.355984049944738,0.3772290292978,0.175719124741108,0.511686740730075,0.355984049944738,0.672488096547552,0.371752551748162
"LUNG-NSCLC2-0596",0.676733523706385,0.539603739373842,0.569307905742636,0.272424250055412,0.676733523706385,0.539603739373842,0.684861303711914,0.558153936847153
"LUNG-NSCLC2-0599",0.403523042807962,0.303694587274255,0.33777185561105,0.228348234399821,0.403523042807962,0.303694587274255,0.348499796758032,0.383923268786422
"LUNG-NSCLC2-0602",0.533660724223998,0.496025388625402,0.452904194317207,0.266822352821308,0.533660724223998,0.496025388625402,0.597882254008272,0.45262499335101
"LUNG-NSCLC2-0603",0.63981555158052,0.518969913964342,0.498282841304336,0.253281134461095,0.63981555158052,0.518969913964342,0.611983835170695,0.491827150041062
"LUNG-NSCLC2-0608",0.635792550727935,0.326491616372155,0.509341548756583,0.202868662676756,0.635792550727935,0.326491616372155,0.550070664553849,0.417307298877398
"LUNG-NSCLC2-0610",0.687365545651252,0.498050458614619,0.517918394502494,0.27549867744577,0.687365545651252,0.498050458614619,0.661195623161885,0.579474577577383
"LUNG-NSCLC2-0611",0.584431725350609,0.376678245238737,0.3953665554007,0.245842487897406,0.584431725350609,0.376678245238737,0.565647196836344,0.442572374424287
"LUNG-NSCLC2-0622",0.462738988469654,0.345986933109933,0.293346574618481,0.212262837326099,0.462738988469654,0.345986933109933,0.507685301758071,0.27591547701868
"LUNG-NSCLC2-0623",0.701167651839032,0.516411267069072,0.726552029873617,0.280177874558314,0.701167651839032,0.516411267069072,0.718444011112532,0.710952535202814
"LUNG-NSCLC2-0630",0.642626204037949,0.480093727208974,0.462797114453084,0.239358736964308,0.642626204037949,0.480093727208974,0.668584453917311,0.436259004329735
"LUNG-NSCLC2-0631",0.593134915937617,0.479088424254861,0.440123895817655,0.248377341538599,0.593134915937617,0.479088424254861,0.576178150492928,0.417035558264621
"LUNG-NSCLC2-0632",0.493148294359001,0.455867667728745,0.421240125764888,0.236552528886513,0.493148294359001,0.455867667728745,0.580500882426916,0.384381925165054
"LUNG-NSCLC2-0633",0.39132490500886,0.295653426563627,0.385244889290355,0.226490797394853,0.39132490500886,0.295653426563627,0.282105109850965,0.340255610359087
"LUNG-NSCLC2-0635",0.823881132107217,0.523672799205427,0.658292350141804,0.239237536906493,0.823881132107217,0.523672799205427,0.861646743631255,0.626934854124505
"LUNG-NSCLC2-0641",0.750679289257583,0.516289374571664,0.757112860267743,0.30635142582659,0.750679289257583,0.516289374571664,0.721750453497401,0.71967380599964
"LUNG-NSCLC2-0648",0.516901624991909,0.355617686892873,0.443613693288101,0.263462894051833,0.516901624991909,0.355617686892873,0.510444508265494,0.420557324713609
"LUNG-NSCLC2-0652",0.643532658247855,0.438013286828759,0.493644493846358,0.260876587440615,0.643532658247855,0.438013286828759,0.597084362629232,0.521250121331464
"LUNG-NSCLC2-0657",0.339542456371951,0.288484028937188,0.381200306355317,0.260554615942938,0.339542456371951,0.288484028937188,0.299877686636095,0.363306187474336
"LUNG-NSCLC2-0660",0.437475690973379,0.427818518155683,0.33084166026202,0.23794768887317,0.437475690973379,0.427818518155683,0.540265751677729,0.3650226751968
"LUNG-NSCLC2-0678",0.812811858212366,0.525740261943403,0.798094932572239,0.228619197324731,0.812811858212366,0.525740261943403,0.877776336732481,0.706514780703323
"LUNG-NSCLC2-0683",0.560045370810049,0.452684496444013,0.380025339748263,0.258089968183528,0.560045370810049,0.452684496444013,0.528552131385007,0.430125344875061
"LUNG-NSCLC2-0685",0.694857989490433,0.49399360038336,0.51521467071864,0.260123162141799,0.694857989490433,0.49399360038336,0.658420745966319,0.497818031267863
"LUNG-NSCLC2-0687",0.568329752426391,0.392917599955118,0.536060461151206,0.303069919705055,0.568329752426391,0.392917599955118,0.566391772315679,0.539112933195272
"LUNG-NSCLC2-0689",0.618065759853236,0.36299793332565,0.431874969539107,0.208614042103868,0.618065759853236,0.36299793332565,0.673963597455945,0.418645002929409
"LUNG-NSCLC2-0695",0.767969432820111,0.263323698737369,0.427071818275709,0.171946779036065,0.767969432820111,0.263323698737369,0.659505588375514,0.348618964542537
"LUNG-NSCLC2-0696",0.650808031749508,0.391883679140267,0.565330917971583,0.25295567012961,0.650808031749508,0.391883679140267,0.582676715991654,0.548415033287455
"LUNG-NSCLC2-0698",0.474375505934857,0.385152883367919,0.397468756668745,0.236048626617742,0.474375505934857,0.385152883367919,0.513892449704707,0.40014201734552
"LUNG-NSCLC2-0704",0.780642718995463,0.430038002988449,0.746712152483597,0.263296827578782,0.780642718995463,0.430038002988449,0.85447131312777,0.698794711574084
"LUNG-NSCLC2-0705",0.611754243522581,0.538868318171251,0.656133170763574,0.289176078094029,0.611754243522581,0.538868318171251,0.63161018904901,0.638817263786298
"LUNG-NSCLC2-0707",0.485577366388358,0.271843635321323,0.411007553851769,0.177946647297838,0.485577366388358,0.271843635321323,0.475368916256572,0.310561144132483
"LUNG-NSCLC2-0709",0.651174240171436,0.460957124785015,0.613420834009027,0.282215790541976,0.651174240171436,0.460957124785015,0.696563150092196,0.581875771287619
"LUNG-NSCLC2-0712",0.732351689461511,0.48136517748411,0.520842571371725,0.239335244440433,0.732351689461511,0.48136517748411,0.84818176343217,0.60340444118931
"LUNG-NSCLC2-0714",0.640980978760514,0.464696186858309,0.575414141519727,0.256245279773901,0.640980978760514,0.464696186858309,0.718721934762154,0.521102135398075
"LUNG-NSCLC2-0715",0.644584161741375,0.492869266028474,0.546828169576309,0.266532397475475,0.644584161741375,0.492869266028474,0.62452929551197,0.496836763189129
"LUNG-NSCLC2-0718",0.592537188360555,0.457399051094665,0.593821287075073,0.250679008672412,0.592537188360555,0.457399051094665,0.619173315045658,0.542865560708544
"LUNG-NSCLC2-0720",0.662761607494892,0.370055390077685,0.473811655387623,0.235128166300207,0.662761607494892,0.370055390077685,0.64130283899158,0.448225162623069
"LUNG-NSCLC2-0727",0.595737789042084,0.422386617546982,0.570614594444454,0.277315202399496,0.595737789042084,0.422386617546982,0.630958956519085,0.547695256391044
"LUNG-NSCLC2-0728",0.432594218313887,0.287439898389831,0.360398681633254,0.209076689479033,0.432594218313887,0.287439898389831,0.314413600771672,0.386918298129537
"LUNG-NSCLC2-0729",0.654299785068135,0.449108054416474,0.494226473838149,0.255494524157205,0.654299785068135,0.449108054416474,0.649225647099467,0.515402438997493
"LUNG-NSCLC2-0730",0.699666639414453,0.500883469185187,0.658817798921013,0.253248120329971,0.699666639414453,0.500883469185187,0.766693872670306,0.642141736169225
"LUNG-NSCLC2-0732",0.620234227058228,0.462053395567906,0.512453531706262,0.217761019872311,0.620234227058228,0.462053395567906,0.643496379883445,0.45728376587126
"LUNG-NSCLC2-0734",0.238901333515566,0.252198904036302,0.254678504623117,0.165205854649757,0.238901333515566,0.252198904036302,0.184102183158278,0.226027103713104
"LUNG-NSCLC2-0736",0.680098296449053,0.422951106721248,0.587712004274592,0.265552095258139,0.680098296449053,0.422951106721248,0.701014621494199,0.54067286811797
"LUNG-NSCLC2-0737",0.590329310353171,0.399968938405062,0.528683597385695,0.282422433043534,0.590329310353171,0.399968938405062,0.577844582134265,0.563008619178134
