"","Quantiseq_Macrophage_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CCLE_TIL10_Macrophages.M1","DeconRNASeq_CCLE_TIL10_Macrophages.M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_TIL10_Macrophages.M1","DeconRNASeq_TIL10_Macrophages.M1","CBSX__LM22__Macrophages_M1","CBSX__TIL10__Macrophages.M1","CBSX__CCLE.TIL10__Macrophages.M1","CBSX__CD226__M1"
"LP.01.01",0.0399366870169486,0.071763761755979,0.0811213817336537,0.0806595404691746,0.310950813473238,0.17401586111353,0.456312544461277,0.125222163220729,0.539712162818114,0.181194397470271,0.026587456191741,0.432079755460601,0.235084902886458,0.217056700145595
"LP.01.02",0.0262221268589591,0.0786915657491078,0.0841371045696047,0.0843584757643354,0.429932145217798,0.136965951320237,0.309433435662201,0.221679345133585,1,0.129878942550259,0.00561505026417627,0.552269114167298,0.446677969414051,0.142713439638622
"LP.01.03",0.0402598883210336,0.084570075222824,0.0866435248744301,0.0902723182258686,0.417765968451301,0.159749415737827,0.392826477190602,0.197282441534545,0.868358256484023,0.14977231840847,0,0.345068671777261,0.401917246360292,0.17033430462376
"LP.01.04",0.0479033521311572,0.0634389354490918,0.0679487678591376,0.0837967448296863,0.187133981625649,0.150919520636928,0.292635798021565,0.187182152328781,0.833871838087827,0.164550219005183,0.00546927972101873,0.490519937432036,0.195455363152014,0.131194975261383
"LP.01.10",0.0611625736542219,0.0661515658483173,0.0675957297979751,0.0636366717171475,0.320915097211776,0.303705158464843,0.356534716557375,0.211235172028102,0.632055038311858,0.312948123098759,0.064880298456697,0.543191239305901,0.362901743002636,0.179752305492474
"LP.01.12",0.0751902494325504,0.0834406335672898,0.0874532438632478,0.0867959753937466,0.626706978635714,0.279059998438574,0.306778271396496,0.272805395993034,1,0.267239555018411,0.00305935354945507,0.704280661789566,0.619911510629646,0.200794494708986
"LP.01.14",0.2079128248375,0.0705648640540719,0.0742595348110395,0.0756865700905245,0.309249876985141,0.384555917720728,0.42635346093734,0.281560062773957,0.765397886042975,0.386030879601682,0.0369122645967671,0.465051528542862,0.331510202800405,0.1999540342311
"LP.01.16",0.105513717638772,0.0613324662596205,0.0630344462552448,0.0652912196349583,0.53416530976446,0.339745574859442,0.676659067206404,0.325955872651057,0.775572450956667,0.376132757638305,0.0585317633203418,0.761042104507499,0.445505209940305,0.166685135217171
"LP.01.18",0.187167265358801,0.0727895558254332,0.0789104492283286,0.0773725954664267,0.524596841049004,0.324107535235538,0.561142517888421,0.28048011176108,0.870182098547512,0.325471488085628,0.0207651747465575,0.428389556508496,0.479977945613496,0.136956569053107
"LP.01.19",0.156613129693027,0.0712978441893614,0.0820661427066418,0.0772207474114497,0.585425951550455,0.3633645755546,0.565224340858892,0.232488514479988,0.988493839753392,0.347925122795233,0.0397996353843879,0.401348649566751,0.490128115780858,0.175978802261893
"LP.01.20",0.0463348894997112,0.037261775662905,0.038595818088226,0.0341187341902611,0.282532555655968,0.28144723743797,0.412403394700897,0.265701686069763,0.472898252653772,0.28522045829598,0.0336177683668838,0.429023424890333,0.182255747673914,0.175920433049104
"LP.01.22",0,0.0783668452747938,0.0819492014983937,0.0801312850587481,0.0978451402653366,0.0537767856445102,0.525749951314855,0.239516767911994,0.242443323834858,0.0661596722003532,0.0208110632485549,0.167147580852761,0.120300283404513,0.146183308440685
"LP.01.24",0.0576438019172101,0.0741832787038726,0.0766033095794022,0.0789899557575418,0.383761322359353,0.259857048214725,0.354531293192886,0.307001748708338,0.903386394052906,0.247947548697057,0.0358144709099296,0.427941384098219,0.307324827883036,0.204472056232303
"LP.01.25",0.121051612648888,0.0501093573336011,0.0519297736461961,0.0513049857864461,0.648174958500131,0.248665039252656,0.397464559183769,0.251502155623395,0.934318543114702,0.244691835911841,0.0167230293302101,0.641369934170209,0.468100667664634,0.139968209545092
"LP.01.28",0.0271282315743318,0.0664154919756417,0.0686483841418992,0.067759864574259,0.307548030767785,0.218592710185135,0.400439146320893,0.29166732399468,0.633211285896249,0.212342563943901,0.00399967405048218,0.490424590808911,0.293597746936287,0.193931397094062
"LP.01.31",0.0384384854362773,0.072603062261594,0.0816265718056506,0.0807838140567844,0.499541030388161,0.0862043553185634,0.529893747164935,0.279450984471943,0.897471276470702,0.0945858784406975,0.0100845927557601,0.547037674332632,0.523458612761556,0.150084298794308
"LP.01.35",0.11673770993362,0.0701988446930814,0.0718784045720411,0.0714632960932669,0.718313612927662,0.425758242190131,0.636885461512846,0.379764135966267,0.993276575382661,0.414618172631019,0.0305056849062592,0.773694685915145,0.676992976303529,0.228978426771748
"LP.01.40",0.0949872848500616,0.0767862383347297,0.0863652711083707,0.0883451397121477,0.149110102469989,0.255683365143856,0.658495403313007,0.475861175225049,0.514219564048417,0.360470782149057,0.13132757855307,0.52441265106502,0.232127876305561,0.168153605079578
"LP.01.42",0.119865659470218,0.0447069894570014,0.0463743015826235,0.0450460776054723,0.568382521604271,0.271536530968755,0.554710529198358,0.239581690366028,1,0.442186583745193,0.00978332197906935,0.608442530755588,0.412690340086302,0.138712627636287
"LP.01.46",0.0560416380813774,0.0684859098750902,0.0715564170881444,0.0720960752066494,0.297945616560189,0.177078571344977,0.176849581227495,0.124778307230808,0.473215017713264,0.175592269582292,0,0.257239838545963,0.296827227711899,0.0960270662102602
"LP.01.58",0.0881995792618749,0.0788500247823484,0.0898233983431446,0.0923834653846176,0.65463287987418,0.334485220701544,0.650992206620445,0.338020861401495,1,0.372609231891354,0.0478775684299222,0.791440004767301,0.516993567208176,0.188400096090054
"LP.01.61",0.0665954915737689,0.0772220430465378,0.0846252303171792,0.0821953659487375,0.177918846733268,0.132789215354054,0.379726822443762,0.220423118233033,1,0.254633187871994,0,0.667218425257863,0.181994453183266,0.185327044449152
"LP.01.66",0.0968713004945187,0.0632555563907704,0.0648315610896502,0.0677612440395922,0.553043714729649,0.380076372414288,0.512377255361429,0.290735103761726,0.747336728572563,0.401974710176836,0.0439234968733953,0.547867276184164,0.512953459248111,0.170929057716339
"LP.01.67",0.137459606978478,0.0801920409343754,0.0829913188882934,0.0808844698539618,0.592885512013138,0.311669116345223,0.364686315005711,0.221840279569178,0.786566821741234,0.296580549713461,0.0196095186167958,0.640032862436347,0.561029266332666,0.154035465817048
"LP.01.68",0.0619573489441621,0.081201637836935,0.0862648402945345,0.0854450711980368,0.421872437208331,0.194494534798792,0.336481700166413,0.249789272114347,0.852663025611031,0.183418395219651,0.00850301623188081,0.634639923751701,0.362929846593629,0.161191266554584
"Test.FFPE.01",0.0981179010747022,0.0650993965474023,0.0679718817679363,0.071050632006075,0.293491554867758,0.234112437822825,0.423945916244634,0.249378666378606,0.990551110440935,0.386889632537902,0,0.489635910550743,0.217766503370232,0.218814420023039
"Test.FFPE.03",0.11111586668472,0.114039711511344,0.115627482980445,0.118234920420392,0.365807800445213,0.387145753598704,0.341802369201255,0.224391449354553,0.699819205677468,0.345609013211724,0.00561550674604122,0.503109970222704,0.314255006781807,0.26240009099661
"Test.FFPE.04",0.0292901098047936,0.0615470278567373,0.063183509950345,0.0757221171342455,0.356357340060642,0.277318574530336,0.559060036738583,0.286171341698742,0.796286393995908,0.286794997843997,0.0122987203363633,0.795125341982534,0.253820335430442,0.190840177803573
"Test.FFPE.05",0.0791363432684458,0.0656763848410304,0.0740215792588151,0.0757744202660684,0.660525227835067,0.491332622651808,0.402838664553621,0.271792866310269,0.843562503877381,0.516643779042173,0.0494409376362527,0.786376132391808,0.616013128761792,0.188307443451831
"Test.FFPE.06",0.0332044539511349,0.0525354057151256,0.0577181061745185,0.0567201829400778,0.165128929487088,0.220167373781702,0.267816610197009,0.255783499916884,0.729151296266914,0.290378079925472,0.0336844840938269,0.264576769723152,0.142125214072989,0.205111321037959
"Test.FFPE.08",0.06946438190199,0.0689699057604783,0.0744121905240554,0.0744593820826181,0.29784699897268,0.232770372528854,0.415767895218954,0.289733816712272,0.729561744486476,0.429728033706745,0.0554899779604891,0.580760865671098,0.306708043892372,0.186145973003742
