"","MCP_NK_cells","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACan3DProMet_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__NSCLC.scRNAseq__NKT_cells","CBSX__TIL10__NK.cells"
"Patient100",7.30036792095157,0.0142190051008355,0.0492832405712961,0.0531867692888585,0.205144287205303,0.092726225738182,0.130647342736552,0,0.0316793811275025,0.0510798303328696,0.205144287205303,0.092726225738182,0.130647342736552,0,0.0316793811275025,0.0805480672349584,0,0.112832182305599,0.028100882154085
"Patient102",0.899739030032286,0.0916042557522632,0.0963368335015721,0.102983174609203,0,0.0246852338239535,0.286348388617656,0.0662251176187052,0.0430355289293834,0.0602014086041166,0,0.0246852338239535,0.286348388617656,0.0662251176187052,0.0430355289293834,0.112862904519586,0.00183364329182164,0,0
"Patient105",0.3322805269546,0.0568149228950705,0.0553439468893132,0.0580309316111566,0,0.0323240645590086,0.290126871698374,0.0842295680716195,0.0824730306328067,0.0776408482959868,0,0.0323240645590086,0.290126871698374,0.0842295680716195,0.0824730306328067,0.175199296542823,0.118700264668377,0,0
"Patient106",1.76810030755379,0.0318610952084969,0.0324854676311797,0.0364601843938453,0.00446133607429561,0.0390863584287796,0.27374014250202,0.0224182492375266,0.0341491371945767,0.0498287882401386,0.00446133607429561,0.0390863584287796,0.27374014250202,0.0224182492375266,0.0341491371945767,0.0963068715340882,0.0279451330167807,0,0.01448578491362
"Patient107",0,0.0388137595595308,0.0437009042296489,0.0520800953453417,0.0916382293587086,0.019366638720658,0.300324073673156,0.287383502434543,0.0694274905283448,0.0966837272137667,0.0916382293587086,0.019366638720658,0.300324073673156,0.287383502434543,0.0694274905283448,0.163269053412314,0.103784195428409,0,0.28280400486308
"Patient108",0.0216443772328571,0.0725121899434683,0.0724846160514599,0.0781535553028352,0,0.0383312934199794,0.284166196050233,0.0198181158145958,0.0524915490351082,0.0980726279689678,0,0.0383312934199794,0.284166196050233,0.0198181158145958,0.0524915490351082,0.155000389797659,0.0651739614973864,0,0.320772074657457
"Patient10",1.8257824218551,0.0147293660211442,0.0154148378313676,0.0161881335319244,0.121013991101006,0.023688995509727,0.283917312340946,0.0643429671970901,0.0333889695335551,0.00808427089274171,0.121013991101006,0.023688995509727,0.283917312340946,0.0643429671970901,0.0333889695335551,0.104421470252436,0.0292344519793186,0.178557500415153,0.0135530295016563
"Patient112",1.86378178484174,0.0325454053080581,0.0417035226685175,0.0436414657953363,0.0437335975916967,0.0440918744470459,0.270348938052544,0.0833257682748392,0.0374175142676809,0.0348816730213987,0.0437335975916967,0.0440918744470459,0.270348938052544,0.0833257682748392,0.0374175142676809,0.119599171755395,0.128110765694534,0,0
"Patient116",1.02631982332304,0.0238985260307537,0.0309401214387993,0.0356849455966564,0,0.0328739990416368,0.276405792067961,0.0500522763806108,0.0797550772915126,0.0508797682090391,0,0.0328739990416368,0.276405792067961,0.0500522763806108,0.0797550772915126,0.147081998038734,0.0357177069726369,0,0
"Patient117",1.31414242906166,0.0129030254748362,0.0165369721346028,0.023442393251993,0.0148633578357739,0.0480275596242476,0.19455292791967,0.000668496092809661,0.0317149799263653,0.0322435560090192,0.0148633578357739,0.0480275596242476,0.19455292791967,0.000668496092809661,0.0317149799263653,0.062366558582471,0.11102357052594,0,0.00367441321707847
"Patient11",0.953763124431043,0.0565689090533688,0.06174084189872,0.0649873656943208,0,0.0266625195388035,0.282592044318752,0.0195418600635774,0.0533494229529523,0.0231454998765728,0,0.0266625195388035,0.282592044318752,0.0195418600635774,0.0533494229529523,0.0974066086141856,0.0222927767874989,0,0
"Patient121",1.43085863441776,0.0444046527290095,0.0486961523358962,0.0492636081763219,0.0518028618538485,0.0438056599015283,0.258451895207555,0.0254772504313635,0.045437350229433,0.0298448003771995,0.0518028618538485,0.0438056599015283,0.258451895207555,0.0254772504313635,0.045437350229433,0.102726239843672,0.0189294055811862,0.0663073305966018,0
"Patient125",4.99470387098854,0,0,0,0.114969875530584,0.0126114340196321,0.102519452145899,0.0593356222106119,0.0311666433888405,0.000584538677631585,0.114969875530584,0.0126114340196321,0.102519452145899,0.0593356222106119,0.0311666433888405,0.0299607634534303,0.0364483333881015,0.107961713999481,0.0139104370654843
"Patient126",1.35444086198819,0.040148860617286,0.0417268058262881,0.0443118458374851,0.0221012175183467,0.0702052229986728,0.202885204614249,0.030985575816156,0.0321630494491636,0.0346132868928016,0.0221012175183467,0.0702052229986728,0.202885204614249,0.030985575816156,0.0321630494491636,0.0960764424387594,0.0397917705951613,0.0376857464769219,0
"Patient127",1.90470641401556,0.054794876762173,0.0569008186761311,0.060034924999108,0.113169825507749,0.0489661170044565,0.269786928375494,0.108526150187982,0.0781716743279901,0.0411613827859196,0.113169825507749,0.0489661170044565,0.269786928375494,0.108526150187982,0.0781716743279901,0.105281404774037,0.113257352174383,0,0
"Patient130",0.966253228260857,0.0424631443068091,0.0411730037055666,0.0465645082075567,0,0.0648017362605728,0.212459789737136,0.0174685389870248,0.0368643390648669,0.0208601600982766,0,0.0648017362605728,0.212459789737136,0.0174685389870248,0.0368643390648669,0.0757251023715606,0.11499874515187,0,0
"Patient131",0.231972519911429,0.0645617832989658,0.0667894597041906,0.0718924278014876,0,0,0.302422515344407,0.0344077865781545,0.0638739900485847,0.0392355837173099,0,0,0.302422515344407,0.0344077865781545,0.0638739900485847,0.0794929631240486,0,0,0.0109441182458833
"Patient132",1.40443797742193,0,0.0132736326028596,0.0176514118730874,0.0244957606103807,0.054605198203198,0.216245208547971,0,0.0233425001339988,0.0161740735601607,0.0244957606103807,0.054605198203198,0.216245208547971,0,0.0233425001339988,0.0704967727890917,0.0029461000197262,0.0605020296499773,0
"Patient133",0.986085759664043,0.0248951970850463,0.0287706598565177,0.0322292374831166,0,0.0188556207432474,0.268361262719468,0.00579921371075324,0.0328962124245724,0.00153500803965478,0,0.0188556207432474,0.268361262719468,0.00579921371075324,0.0328962124245724,0.0623263122282431,0.0239992600593815,0,0
"Patient134",1.12520216511863,0.022738598018677,0.0336624648141665,0.0395245063190177,0,0.0341328188270755,0.198328074190186,0,0.0306110118911762,0.0348741738649335,0,0.0341328188270755,0.198328074190186,0,0.0306110118911762,0.0741782232672285,0.0025398015331775,0.0093314386392476,0
