"","MCP_NK_cells","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACan3DProMet_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__NSCLC.scRNAseq__NKT_cells","CBSX__TIL10__NK.cells"
"Patient135",0.958512397102,0.0356353117029378,0.0421425005855207,0.0410747112205686,0,0,0.27214599892126,0.0852651039939889,0.0405721162833901,0.00942268285680161,0,0,0.27214599892126,0.0852651039939889,0.0405721162833901,0.0696039100450255,0.0330500694882584,0,0
"Patient137",2.10721488974819,0.0133970791781948,0.0451565364541685,0.0518000764864198,0.123732823293698,0,0.105728033943247,0,0.0289396680425169,0.0468884475211832,0.123732823293698,0,0.105728033943247,0,0.0289396680425169,0.0909222722200386,0,0.0835947867262882,0.0101139377056762
"Patient13",1.03074423280686,0.0332670476627824,0.0332463623631851,0.0345769502326395,0.0872116025499827,0.0292211167665035,0.28076821219979,0.0381901348037604,0.0699704556556277,0.0254701974827402,0.0872116025499827,0.0292211167665035,0.28076821219979,0.0381901348037604,0.0699704556556277,0.128768614076483,0.067319074832933,0,0
"Patient140",2.01455069110213,0.0399414202292282,0.0430968932903064,0.0447051239415834,0,0.0338701628939454,0.278554463291922,0,0.0533896855864514,0.0389252038447347,0,0.0338701628939454,0.278554463291922,0,0.0533896855864514,0.122165604090111,0.15353003586125,0,0.0189990041590497
"Patient141",0.3874798949391,0.0547953478953708,0.0577742603736526,0.0640544645035929,0,0.0441286696087146,0.278274345743345,0.0546489177866429,0.0349049824236458,0.0252982293176914,0,0.0441286696087146,0.278274345743345,0.0546489177866429,0.0349049824236458,0.09284182105257,0.0760475520750209,0,0
"Patient142",1.08170902788,0.0494117214326435,0.0497975390710318,0.058459414492249,0,0,0.269174709522851,0,0.085429260721785,0.0413529571593131,0,0,0.269174709522851,0,0.085429260721785,0.0862377344143876,0,0,0
"Patient143",0,0.0668662969485108,0.080723941993861,0.0897473331705224,0,0.0434617952780969,0.242576426914311,0,0.0542022036807637,0.0757775143677707,0,0.0434617952780969,0.242576426914311,0,0.0542022036807637,0.134139616094745,0,0,0.0511519372330572
"Patient144",0.256371515561286,0.0312846234818377,0.0361177352140231,0.0393729626471215,0,0,0.304974761179275,0.0813934720736562,0.0758298865225335,0.0617654362164325,0,0,0.304974761179275,0.0813934720736562,0.0758298865225335,0.109577140343401,0.0397006169929556,0.14577836015411,0.00171249577025043
"Patient145",2.99774990333793,0.0240757703000937,0.024893660074453,0.0334088131751008,0,0,0.263040882053636,0,0.0565635909204822,0.0504668603912046,0,0,0.263040882053636,0,0.0565635909204822,0.0880125976753008,0,0,0
"Patient146",1.1929295557316,0.0450928608586381,0.0482810019004267,0.0540840023593454,0.104490326970482,0.0397923994002901,0.269700354973453,0.0116056331629497,0.0561409031643024,0.0481754872528009,0.104490326970482,0.0397923994002901,0.269700354973453,0.0116056331629497,0.0561409031643024,0.141387548632905,0.0233868488566851,0,0.0001398528203389
"Patient147",0.314002638491543,0.0383375346819559,0.0451314050412719,0.0513678021786408,0,0.0389626444689129,0.280194806783981,0.0342045039477377,0.0339076220971146,0.0294272192744746,0,0.0389626444689129,0.280194806783981,0.0342045039477377,0.0339076220971146,0.11215175311767,0.071787120451216,0,0
"Patient148",1.38069581880187,0.0532452253093742,0.0526675477276721,0.0548398939877608,0.00100179122302296,0.0382951147009252,0.278551350895164,0,0.0577746574249298,0.0276738450353525,0.00100179122302296,0.0382951147009252,0.278551350895164,0,0.0577746574249298,0.0859586209778074,0.0121782468330218,0,0
"Patient149",1.00994810634833,0.0437691229361629,0.0491352824564201,0.0592702452195166,0.0377649543707551,0.0293097111104098,0.19596641922627,0,0.00308175808819687,0.042685087173481,0.0377649543707551,0.0293097111104098,0.19596641922627,0,0.00308175808819687,0.0830047810401562,0.0273716713196876,0.0138959289190791,0
"Patient14",3.33212677979357,0.0353324831317127,0.0348275134504089,0.0428899548371936,0,0,0.283620402381156,0.0170075362110679,0.0616062780892918,0.027591910037818,0,0,0.283620402381156,0.0170075362110679,0.0616062780892918,0.0784651547414457,0.01597118827956,0,0
"Patient150",0.220766391562329,0.054285576325941,0.0575772126241143,0.05602722553292,0,0.0325972057174283,0.277840321208962,0.0156972370767898,0.0472712366938593,0.0655168218330245,0,0.0325972057174283,0.277840321208962,0.0156972370767898,0.0472712366938593,0.128464065860859,0.00792359229010181,0,0.0547344869721175
"Patient154",0.9281906326654,0.0159153541471322,0.0206905986126233,0.0341630134684917,0.0967813371712253,0.0335912463421326,0.278280165971427,0.0571941383475153,0.0361703953765467,0.092747316016588,0.0967813371712253,0.0335912463421326,0.278280165971427,0.0571941383475153,0.0361703953765467,0.109183078355278,0.0565314099892028,0.103360374109573,0
"Patient155",0.395661441631743,0.0171846586155867,0.0211425016447271,0.0236163909092998,0.0287742648603688,0.0367317533046006,0.267202164337357,0,0.0598771318024543,0.0533828637173794,0.0287742648603688,0.0367317533046006,0.267202164337357,0,0.0598771318024543,0.124694361139851,0,0,0.0234827637482996
"Patient156",0.932093558886786,0.0368090888793476,0.0338041778746185,0.0409123026668937,0,0.0348039862554482,0.279043973803755,0.038043481892263,0.0586354189582344,0.0320678435705405,0,0.0348039862554482,0.279043973803755,0.038043481892263,0.0586354189582344,0.0816552298746095,0.0774512196992819,0,0
"Patient158",1.24402921260907,0.0291666750887613,0.0206747718099084,0.0261846482283783,0.0351302223483676,0.0651070959583201,0.221950193780205,0.016873695851084,0.07099898723789,0.0598994039438711,0.0351302223483676,0.0651070959583201,0.221950193780205,0.016873695851084,0.07099898723789,0.215657942071326,0,0.16475278648643,0.061393065560537
"Patient159",0.903401943551229,0.0288982759262392,0.0336750233680651,0.0439156219050286,0.0373917555675404,0.0410218667089721,0.27305644129062,0.0346137277402138,0.0444031217083657,0.0156775877659205,0.0373917555675404,0.0410218667089721,0.27305644129062,0.0346137277402138,0.0444031217083657,0.110796093058118,0.031818389137785,0,0
"Patient15",5.09485669877749,0.0572141948393803,0.0627217062265218,0.0609673105798987,0,0.0273747857676398,0.283216091649919,0,0.0350144280204863,0.0294629894082022,0,0.0273747857676398,0.283216091649919,0,0.0350144280204863,0.0888287994300369,0,0,0
"Patient162",2.438106105081,0.0627454655740519,0.0652390913289006,0.0682171519238815,0,0.0337398006760728,0.256158522419031,0.00875646942084409,0.0354560530434077,0.108948266189014,0,0.0337398006760728,0.256158522419031,0.00875646942084409,0.0354560530434077,0.143129056364786,0.00838020282688616,0,0.0178763167757958
"Patient163",2.02901524646243,0.0383288659235043,0.0381411755271597,0.0425374604957334,0.12432808324005,0.039066401595315,0.271166003702714,0.0811918461149177,0.0603996913545257,0.069319182066021,0.12432808324005,0.039066401595315,0.271166003702714,0.0811918461149177,0.0603996913545257,0.176075675400577,0.0618953236123512,0.186723619450659,0
"Patient165",0.699446845452,0.0414946995860636,0.0428709615047098,0.0437409008005345,0,0.0219923108765663,0.284096177918544,0.0334364467741903,0.0665039004975988,0.0187115456005291,0,0.0219923108765663,0.284096177918544,0.0334364467741903,0.0665039004975988,0.10153548067223,0.0351197151224363,0,0.014372847654926
"Patient166",0.110329153913857,0.0445389455907756,0.0493917314874034,0.0598197587784227,0,0.0356325226822583,0.286214389848778,0.0312461672368641,0.0506528362323227,0.040290132796695,0,0.0356325226822583,0.286214389848778,0.0312461672368641,0.0506528362323227,0.133835290706952,0.127213051916381,0.216775499218562,0
"Patient167",2.28104685769257,0.0532980932575357,0.0529251084624518,0.0566971383511064,0,0.034093821902897,0.279445795353235,0,0.0749329361512202,0.0265685769827783,0,0.034093821902897,0.279445795353235,0,0.0749329361512202,0.0761133311465276,0.00642287535444515,0,0.00669222383838736
"Patient168",1.52141244225833,0.0478964236209818,0.0547525012740024,0.0560012512649565,0,0.0185676226404633,0.299512864520242,0.020862656526582,0.058223886810479,0.0351675181452575,0,0.0185676226404633,0.299512864520242,0.020862656526582,0.058223886810479,0.110096820201437,0.0469339612487759,0,0
"Patient169",0.842085703133229,0.0104901838477363,0.00689965682649952,0.0126445407401603,0,0.0513202315058045,0.198265019824814,0,0.0532657578952024,0.0083022075325895,0,0.0513202315058045,0.198265019824814,0,0.0532657578952024,0.096688764133276,0,0.0304531065536804,0.0114761766304182
"Patient170",0.559746808557657,0.0545263621251197,0.0612503345427072,0.0694718619140468,0.0393088619495071,0.0452551815324712,0.266969618798743,0.0204087322746315,0.0387253597340522,0.0377473582010549,0.0393088619495071,0.0452551815324712,0.266969618798743,0.0204087322746315,0.0387253597340522,0.104156514244868,0,0,0
"Patient172",1.16730384433397,0,0,0.00206971260442923,0.0518723272585433,0.0660302995550753,0.195988031089532,0,0,0.0554101043126439,0.0518723272585433,0.0660302995550753,0.195988031089532,0,0,0.0825739238810649,0,0.0605891125575666,0
"Patient173",0.626555363221929,0.0437796870314179,0.0511179234588949,0.0520947084885778,0,0.00652858848129057,0.297708982928259,0.0547051356871813,0.0437081538977348,0.023215082701505,0,0.00652858848129057,0.297708982928259,0.0547051356871813,0.0437081538977348,0.101463204450443,0.0773580382266961,0,0
"Patient179",0,0.0525190033701657,0.0550312924782247,0.0533582925275481,0.793941882893721,0.0437848275833276,0.278539738586043,0.18376882572072,0.0563000025412928,0.0292617930672648,0.793941882893721,0.0437848275833276,0.278539738586043,0.18376882572072,0.0563000025412928,0.154809018772212,0.140618882040154,0.12411667482888,0
"Patient17",0.927799289038757,0.010248264854428,0.0127931091445389,0.0268379579740728,0.0313299932112428,0.0632686051715862,0.197049475099505,0.0263551538223844,0.0277712954467624,0.0239143516718136,0.0313299932112428,0.0632686051715862,0.197049475099505,0.0263551538223844,0.0277712954467624,0.0890638839198025,0.00653465829106969,0.0560776723179566,0.0355394189936492
"Patient181",3.27139281447273,0.0283247154954815,0.0382507419783233,0.0440815947166428,0.039178010406988,0.0331574618080469,0.261881902534044,0.0651089420762977,0.0536396811929189,0.0364630776909056,0.039178010406988,0.0331574618080469,0.261881902534044,0.0651089420762977,0.0536396811929189,0.0854398447671144,0.0773321065427475,0.132266359120192,0
"Patient183",2.49613482585714,0.0315839794600489,0.0364445447249102,0.0438118743178119,0,0.0497428736206581,0.262208044394082,0.0413374288056001,0.00610242749226001,0.0192047187680395,0,0.0497428736206581,0.262208044394082,0.0413374288056001,0.00610242749226001,0.0590871666257312,0,0,0
"Patient184",0,0.0510372933055711,0.0507501206380304,0.062908737326979,0.0720793416442499,0.0785814824734977,0.232575187522837,0.0390947783078251,0.0593279913011619,0.0781823133357949,0.0720793416442499,0.0785814824734977,0.232575187522837,0.0390947783078251,0.0593279913011619,0.134247118051033,0.0874555930845038,0.109216285322651,0.00730428157115927
"Patient185",1.78742160398143,0.0212866833734116,0.0236357174817804,0.0283094823151421,0.0054899754303324,0.0430067531163825,0.272265045138204,0.0163018177125504,0.0602396746860788,0.0312244930928472,0.0054899754303324,0.0430067531163825,0.272265045138204,0.0163018177125504,0.0602396746860788,0.0825625105016712,0,0,0
"Patient187",0.781552888750829,0.0454713132965172,0.0453903188897542,0.0498346826272343,0.0288854541367981,0.0434502182272993,0.237841945672067,0.0703228915335288,0.0306091942532322,0.0716707322294505,0.0288854541367981,0.0434502182272993,0.237841945672067,0.0703228915335288,0.0306091942532322,0.115133329469591,0.0106910098335259,0,0.0143643499521691
"Patient188",0.502451392190929,0.0295349230144765,0.0277777176870925,0.0333503698889996,0,0.0356664551237199,0.279922903884506,0,0.0464929624078768,0.0652154498323429,0,0.0356664551237199,0.279922903884506,0,0.0464929624078768,0.163397816453747,0,0,0
"Patient18",0.585999108982329,0.0440775612531135,0.0467979377729566,0.0469373496845404,0,0.0409820274486706,0.275249169071466,0.0486295408606542,0.0648223729768818,0.0355419737356903,0,0.0409820274486706,0.275249169071466,0.0486295408606542,0.0648223729768818,0.0961437915744522,0.0463328992863251,0,0
"Patient1",0.497796082283,0.0591853988140449,0.055142544309485,0.0576833772105532,0,0.0371064553393207,0.282755697890242,0.0170007789594111,0.0377744177485357,0.0412929670109119,0,0.0371064553393207,0.282755697890242,0.0170007789594111,0.0377744177485357,0.0917291097220462,0.016672211112988,0,0.0259162881537277
"Patient20",1.15126422361404,0.0386699820738127,0.0420830654748459,0.0536117444684608,0.0208927929288028,0.0501981368053816,0.218714537086819,0,0.0454284121913432,0.0184866573671366,0.0208927929288028,0.0501981368053816,0.218714537086819,0,0.0454284121913432,0.070343699443141,0,0,0
"Patient21",0.880467534688329,0.0422079422545259,0.0430343654150478,0.0443864319961263,0,0.0401165678118801,0.27887100661997,0.0108407652455418,0.0676158148589292,0.0236947572609559,0,0.0401165678118801,0.27887100661997,0.0108407652455418,0.0676158148589292,0.107353121994607,0.0157532983097969,0,0.00120589228969109
"Patient22",1.06747315639543,0.0456924408525412,0.0493663816993393,0.0512775906606,0,0.0374176554791599,0.283293838903002,0.0576478239353606,0.0580353291341029,0.0512357679863572,0,0.0374176554791599,0.283293838903002,0.0576478239353606,0.0580353291341029,0.106254645567134,0.0859463560682935,0,0
"Patient23",0.987245333099686,0.070421011684184,0.077672465619303,0.087413517121188,0,0,0.311799593904909,0.0346479226865177,0.0522482352882557,0.0254164440540623,0,0,0.311799593904909,0.0346479226865177,0.0522482352882557,0.106451671149687,0.0360130908166504,0,0
"Patient24",0.735104026548286,0.0411751149438404,0.0434886615118003,0.0507429591187731,0.180610382611979,0.0565287366559479,0.255661677952889,0,0.089339012295277,0.0607217274173929,0.180610382611979,0.0565287366559479,0.255661677952889,0,0.089339012295277,0.1405877929186,0.00318351966201154,0.0141777898746384,0.0562530802340462
"Patient25",1.7252753920435,0.0295495022357564,0.0394295120663522,0.0426144471076676,0.0291727243268567,0.0267680128116623,0.275604396745527,0.0462440483426811,0.0566608535462704,0.037929768605335,0.0291727243268567,0.0267680128116623,0.275604396745527,0.0462440483426811,0.0566608535462704,0.0793018896056442,0.0531333794981775,0,0
"Patient27",0.839516091843671,0.0416875884523263,0.0477464891481173,0.0500901190119595,0.00292788454091113,0.0368788078476898,0.270283253172055,0.0268565852101251,0.0281196630190834,0.0169714451510884,0.00292788454091113,0.0368788078476898,0.270283253172055,0.0268565852101251,0.0281196630190834,0.0504524307267928,0,0.062063509408697,0
"Patient30",6.37482966842014,0.0747396378392832,0.0844382638679049,0.0926973214953121,0,0.00889734932213601,0.27589351977655,0,0.0019578557874387,0.0403938275876812,0,0.00889734932213601,0.27589351977655,0,0.0019578557874387,0.0781442046413427,0,0,0.00471294624522116
"Patient31",0.729199582685743,0.0632367807239856,0.0688676181845824,0.0727800561573505,0.0160471000814572,0.0306995563925788,0.273070217757387,0.021086233047987,0.0532603372125064,0.0287905029289205,0.0160471000814572,0.0306995563925788,0.273070217757387,0.021086233047987,0.0532603372125064,0.106595657999126,0.00235133392195907,0,0.0068759040284164
"Patient32",5.33449383661171,0.0376802704383476,0.0420925749117369,0.0468609550228076,0,0.0216003054070572,0.293806923758197,0.0642886813498859,0.0786168880149509,0.0610743976418508,0,0.0216003054070572,0.293806923758197,0.0642886813498859,0.0786168880149509,0.110866936802022,0.0251365668340435,0,0.0482629475764092
"Patient33",2.72854541781887,0,0,0.00985660925659089,0.00873056777264759,0,0.243310380821425,0.0274301916920588,0.0296718923272888,0.0501623193496526,0.00873056777264759,0,0.243310380821425,0.0274301916920588,0.0296718923272888,0.0568935995364376,0.0231225525889512,0.0531989021161664,0
"Patient34",1.29266887276371,0.097882760403953,0.106561137542052,0.117185744633328,0,0.19708640748136,0.128937333682412,0.0395070422466671,0.068572846922563,0.0708167803737135,0,0.19708640748136,0.128937333682412,0.0395070422466671,0.068572846922563,0.0940646208221326,0.0144875084002913,0,0
"Patient35",1.4153112254809,0.0749243147847551,0.0746613911205751,0.077165259956717,0.0831907154021741,0.0426973897704518,0.2724084019072,0.0422773557014139,0.077406234816452,0.0662801048690244,0.0831907154021741,0.0426973897704518,0.2724084019072,0.0422773557014139,0.077406234816452,0.143412309380626,0.0529337401342483,0,0.00315586154363583
"Patient36",0.5528500725814,0.0456979062443785,0.0501538751779506,0.0537636097248463,0.0444555448283184,0.0382589738035386,0.282886242229655,0.0641088734178189,0.0618880891610661,0.071958108917056,0.0444555448283184,0.0382589738035386,0.282886242229655,0.0641088734178189,0.0618880891610661,0.10726395134684,0.0579989654254341,0,0
"Patient37",1.75120827887014,0.0491057924487084,0.0566617184902493,0.0720802163806916,0.0852042020951771,0.0422656551362665,0.249166661921413,0,0.0323152440283282,0.0356075568433622,0.0852042020951771,0.0422656551362665,0.249166661921413,0,0.0323152440283282,0.0733041031738303,0,0.151773040943996,0
"Patient38",0.473056133504757,0.0346247398897094,0.039460440953808,0.044198687751905,0,0.0393641707442963,0.282447912376175,0,0.0661552301955713,0.0589397729468542,0,0.0393641707442963,0.282447912376175,0,0.0661552301955713,0.112147076105857,0,0,0.0169044645048685
"Patient40",0.685695365018543,0.0400719646852862,0.0411124516806875,0.0466785602875361,0,0.0387189356077031,0.280969889321712,0,0.0381695383371395,0.0512925163944798,0,0.0387189356077031,0.280969889321712,0,0.0381695383371395,0.139238096161488,0.0372154499630252,0,0
"Patient42",0.750637662477057,0.0487697966391992,0.0475972697321532,0.0526402669113567,0.00429724988312041,0.0426980928947673,0.27333295028346,0.0340876958977958,0.0370272367926448,0.0387912107049462,0.00429724988312041,0.0426980928947673,0.27333295028346,0.0340876958977958,0.0370272367926448,0.12127534099879,0.0807750491474311,0,0
"Patient44",0,0.0477907760528323,0.0609399426981411,0.0676942965987612,0.0984984140735104,0.0830654970628729,0.222131506813257,0.0400541115132732,0.0249048397006448,0.011649727215521,0.0984984140735104,0.0830654970628729,0.222131506813257,0.0400541115132732,0.0249048397006448,0.0567107765511686,0.0351304552464999,0.0950645499594543,0
"Patient45",0.922329051994286,0.0760326740608936,0.0795418383551566,0.0835940189934813,0.0455360573138699,0.0693941793101809,0.230063712791122,0.00415177690255128,0.0312918745570981,0,0.0455360573138699,0.0693941793101809,0.230063712791122,0.00415177690255128,0.0312918745570981,0.0526488834419087,0,0.0721945631692994,0
"Patient47",1.73078330119746,0.0618755047987038,0.0619646212794417,0.0630147537265756,0,0.0227528712705324,0.290472610503892,0.10750869663732,0.061449831650792,0.0715589424736907,0,0.0227528712705324,0.290472610503892,0.10750869663732,0.061449831650792,0.145365727764727,0.0685365744491925,0,0
"Patient48",0.246078304833443,0.0455279288479398,0.0459522769271917,0.0459575645656717,0,0.0404120172159601,0.282475256170613,0,0.0466027320854294,0.0233366537924684,0,0.0404120172159601,0.282475256170613,0,0.0466027320854294,0.0982826840907418,0,0,0.00516538980056447
"Patient4",2.31059349822397,0.0340010314523551,0.0381448362994962,0.0411563879481427,0,0,0.321183409800298,0.0188861841534021,0.0765123815806883,0.0679526484885919,0,0,0.321183409800298,0.0188861841534021,0.0765123815806883,0.143486168218914,0.0298936182724874,0,0
"Patient51",2.38350894386429,0.0349292284234852,0.0397899986483862,0.0535913869788796,0,0.0650349345415242,0.19774785746674,0.0222473883537,0.0421655340325344,0.0814067930686509,0,0.0650349345415242,0.19774785746674,0.0222473883537,0.0421655340325344,0.131749667424113,0.0198457521253061,0,0
"Patient58",0.824619678201429,0.0293277697135134,0.0335045292972295,0.0380886636297179,0,0.0418156056552794,0.279603558380359,0,0.0378175687995244,0.0633312832627388,0,0.0418156056552794,0.279603558380359,0,0.0378175687995244,0.145856563560617,0,0,0
"Patient61",20.7564011452214,0.04910133229919,0.0527276344394328,0.0504433932953478,0.00831403064384071,0,0.22986967167671,0.046914320833938,0.0691584078582554,0.0440677625581802,0.00831403064384071,0,0.22986967167671,0.046914320833938,0.0691584078582554,0.0832931932648383,0.0504615778917267,0,0
