"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__CCLE.TIL10__B.cells","CBSX__CD226__B"
"R3388_YZ_1",0.0788036020195067,0.0276619535527073,0.111088125369516,0,0.125950423104654,0.353562400650864,0.13749061803795,0.122014877857402,0.784957587052527,0.116878398419436,0,0.287488825522255
"R3388_YZ_2",0.0557287602126108,0.0341531629425537,0.109137507062515,0.00396037733219711,0.0961010603324094,0.354864370772059,0.272442264042734,0.104930643885696,0.8104027846923,0.102536497947075,0,0.168079644234793
"R3388_YZ_3",0.0323058629644224,0.0174691529798588,0.100591842429051,0,0.0621733704601781,0.339812237366715,0.125619395496568,0.0704900448056073,0.751667114961007,0.00443577538333469,0,0.28228382122468
"R3388_YZ_4",0.0392144335182931,0.049196565227972,0.155116031345585,0.0117079684862882,0.0688347325292355,0.672938256737708,0.452479604272829,0.092235154696267,0.884810465452429,0.14084537478301,0.0247377508705464,0.280428591284406
"R3388_YZ_5",0.127511077822299,0.0830543085854765,0.127285295243837,0.0835014937883773,0.189750435455474,0.475291358079377,0.242203078312732,0.223332649517597,0.8145231512023,0.248205959599972,0.0627579351645695,0.194394539039596
"R3388_YZ_6",0.0402959065249157,0.0425686129251995,0.128333074040148,0,0.0959073099383944,0.578005570528408,0.329145748139727,0.119082953145744,0.594267412563616,0.132421700664139,0,0.300296485131832
"R3388_YZ_7",0.0479113121309605,0.0327694022332398,0.101140827338906,0,0.0707795667881073,0.34480765473452,0.18075746209618,0.0778405461894192,0.706447960563603,0.024285374401877,0,0.252801262569993
"R3388_YZ_9",0.102223705572648,0.0749780497387706,0.108257694839028,0,0.0799168331826197,0.467386431059932,0.285937961885675,0.129367065200992,0.745870461538586,0.189764742599056,0,0.241555676340316
"R3388_YZ_10",0.0929381372498959,0.0628643546853658,0.116690269580323,0.0216759746624209,0.12677610057567,0.402200903904649,0.189640478029532,0.119726424150938,0.816773815481401,0.152026107623981,0.0218914637160705,0.381819273772012
"R3388_YZ_11",0.0365224669805077,0.0126830036082416,0.118964460351529,0,0.080181416962973,0.597575279304159,0.21035219022306,0.105472305813715,0.652962572832997,0.099160792342835,0,0.205959022016392
"R3388_YZ_12",0.0287533248104012,0.00378563285136632,0.0666128252730722,0,0.0534484440001141,0.441546400723654,0.124083945738903,0.0606361981652289,0.8428279949141,0.0438337716317342,0,0.225532349325423
"R3388_YZ_13",0.0496777330528983,0.0387199663636423,0.105159445648028,0,0.0690333175715414,0.46972946769769,0.30284427878765,0.0998671743982519,0.587052585872669,0.106768011062875,0,0.228712464591939
"R3388_YZ_14",0.0518621401273068,0.0683946071176251,0.132612367734132,0,0.0541192080181531,0.512609305947226,0.3803486804487,0.0833511848705373,0.921690824423608,0.128259601498171,0,0.268341763387994
"R3388_YZ_15",0.0397734640687369,0.0119619790702015,0.103038496471671,0,0.094907850070788,0.47194396294974,0.366826800258965,0.109507274902314,0.832791612716241,0,0,0.312059983529038
"R3388_YZ_16",0.16029816099455,0.108244992225869,0.13260631539744,0.063274760998303,0.192537047604418,0.489728713736613,0.230190120014401,0.186932461620192,0.886838084203615,0.252251087098155,0.116370800486042,0.207402627530319
"R3388_YZ_17",0.0991122740404014,0.0949483977360463,0.0937914949536693,0.0623128438802227,0.178368380067234,0.426897468652789,0.144287675902795,0.187413068482088,0.778371971325898,0.212796069462387,0.0371228877091415,0.281200480947523
"R3388_YZ_19",0.0959216090484103,0.0363875095062222,0.0952306299870748,0,0.143866424885627,0.576620579140029,0.369667408807385,0.179275878936706,0.869608411023707,0.238753562469966,0,0.288152462790431
"R3388_YZ_20",0.0325523481824666,0.00108593365371802,0.0809917737575994,0,0.0339083847622429,0.48003309594188,0.252144222304249,0.088951793540667,0.797407249400497,0.024394384616195,0,0.164445495361448
"R3388_YZ_21",0.103659331363977,0.0983096610330395,0.144451255215434,0.145658099741262,0.156359408671683,0.545480050278922,0.45688498538204,0.153493289155345,0.984977111379729,0.249413322699969,0.11292788381779,0.302592799497317
"R3388_YZ_23",0.0175744794525103,0.0214895890375223,0.123900852702202,0,0.042295044496551,0.593968863012054,0.296457694391197,0.0549105320854358,0.740564555833354,0.00033852410674343,0,0.275527786065263
"R3388_YZ_24",0.0951875521865258,0.036997544480845,0.0989667109789264,0,0.141487239293524,0.490031898235278,0.304458192179265,0.14940378995611,0.860229242475769,0.196110916556147,0,0.267588172137735
"R3388_YZ_25",0.0977132631713849,0.0912084213789111,0.113985073261705,0,0.0967820253653871,0.309697606653909,0.0831429465094826,0.105732475821213,0.634527278722687,0.19113485727709,0,0.110435510915086
