"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_activated","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"J1_p1_rep1_B",0,0.0397723572746756,0,0,0.0161412377817258,0.0091038644651,0,0,0.00060180663593605
"J1_p1_rep2_B",0,0.0378324957069952,0,0,0.0165213050421212,0.008965803431514,0,0,0.0011176883958353
"J4_p1_rep1_B",0,0.0486738467192338,0,0,0.0085266469547024,0.0153405449477055,0,0.0063564729212722,0.0080372627077446
"J4_p1_rep2_B",0,0.0477921380135306,0.00082186892449212,0,0.0081900100146157,0.0151535103761228,0,0.0019714175626978,0.0086048597462943
"J8_p1_rep1_B",0,0.0474525533273269,0,0,0.0014139734816319,0.0131153325545673,0,0,0
"J8_p1_rep2_B",0.0111431273592516,0.0405559903602086,0,0,0,0.0103459186455304,4.773414975176e-05,0,0
"J11_p1_rep1_B",0.0089932617755081,0.0414156800508318,0,0,0.0038010626980743,0.0180022599950859,0,0,0
"J11_p1_rep2_B",0.0123079674374623,0.0418081112465326,0,0,0.0042171125796411,0.0179130965530091,0,0,0.0017989131046512
"J14_p1_rep1_B",0,0.0310904166167517,0,0,0.0034344071514093,0.0059705572483065,0,0,0
"J14_p1_rep2_B",0,0.0351229530001182,0,0,0.0057568071086833,0.006751942383147,0,0,0.0010217177737294
"J1_p2_rep1_B",0,0,0.0115519247947966,0.0158692476235358,0.0170642669758845,0.0146246170461325,0,0.0052993750363667,0.0032936952988447
"J1_p2_rep2_B",0,0,0.0130959011126562,0.0169775921254963,0.0149049285067432,0.0145124096218465,1.06753237488e-05,0.0035522869254918,0.0062764118605821
"J4_p2_rep1_B",0,0.0011402757606905,0.0068364223229909,0.0170948726378822,0.0033878606462075,0.018571772134409,0,0.0195081916025955,0.00082467884697022
"J4_p2_rep2_B",0,0.0161978010591203,0.0067251297127473,0.0122080574173798,0.0103542777896792,0.0201968480945249,0,0.0115825841913907,0.0072869101056233
"J8_p2_rep1_B",0,0,0.0104894941824592,0.0181255959260462,0.0036836812542792,0.0153165216775427,0,0.0166084050337251,0.0088896639409855
"J8_p2_rep2_B",0,0.0057606931702111,0.0121507222723315,0.0178018552542786,0.0081595367914738,0.0138306416930263,0,0.0348606680148159,0.0058206485183591
"J11_p2_rep1_B",0.0323279443287045,0.0155451099737677,0.0370623770288791,0.033788972842359,0.0061743387887059,0.0165937792132709,0.00089634507734466,0.0162839886120496,0.0057584563335302
"J11_p2_rep2_B",0.0092392762973973,0.0044537241845326,0.0218779483111671,0.0234417532948506,0.0043342891905864,0.0137351476738757,0,0.0161639895389604,0.0172883511072453
"J14_p2_rep1_B",0.0192640198565981,0.0108927759482908,0.023222974851393,0.0146796127091253,0.001959221579147,0.0154897803015401,0,0.0049581492236697,0.0035986238685708
"J14_p2_rep2_B",0.0359513365785555,0.0271294184969639,0.0012658541237272,0,0.00097158847320757,0.0099838749960773,0.0044508861714996,0,0.0018248677447367
"J1_p3_rep1_B",0,0.0219041235610815,0.0071050656225467,0.0016341165153576,0.00075944440645486,0.0118005673814144,0,0,0
"J1_p3_rep2_B",0,0.023178753484615,0.0021601182100619,0,0,0.0128371912569525,0,0,0
"J4_p3_rep1_B",0,0.0241308457923819,0,0.00046646850366322,0.0037682673089913,0.0119560204884699,0,0,0
"J4_p3_rep2_B",0.0040474856640533,0.0228523513377446,0,0.00059978284615737,0.0058973719863988,0.0114246101479074,0,0,0
"J8_p3_rep1_B",0.0051522317367601,0.0276513198828474,0,0,0.0049380957460885,0.0120063444102647,0,0,0
"J8_p3_rep2_B",0.0076437441801907,0.0241521926961069,0,0,0.005295041945043,0.0107237256644479,0,0,0
"J11_p3_rep1_B",0.0051164667104368,0.0236228316548678,0.0038772604771941,0,0.0037067275949572,0.0119414069528344,0,0,0
"J11_p3_rep2_B",0.003346148200801,0.0239659705404114,0.0092664929062738,0,0.006586315585442,0.0119884208799285,0,0,0
"J14_p3_rep1_B",0,0.0179228153604923,0.0018243516170512,0,0.00088752367729863,0.0114851433312199,0,0.0041069589023073,0
"J14_p3_rep2_B",0.0041452177523015,0.0198512206547422,0.0041144185158586,0,0.0046736746076468,0.0112045202319585,0,0.00617165479921,0
"J1_p1_rep1_hetero",0,0,0,0,0,0.0039246683420822,0,0,0
"J2_p1_rep1_hetero",0.0033875031858926,0,0,0,0,0.007636909386916,0.0031729242183782,0,0
"J3_p1_rep1_hetero",0.0095117527620284,0,0,0,0,0.0080258333635834,0.0070652012498082,0,0
"J4_p1_rep1_hetero",0,0,0,0,0,0,0,0,0
"J5_p1_rep1_hetero",0,0,0,0,0,0.0063130244404145,0,0,0
"J6_p1_rep1_hetero",0,0,0,0,0,0.0069782584757881,0,0,0
"J7_p1_rep1_hetero",0,0,0,0,0,0.007345725190498,0,0,0
"J8_p1_rep1_hetero",0,0,0,0,0,0.0048654545030445,0,0,0
"J9_p1_rep1_hetero",0,0,0,0,0,0.0080644490211308,0,0,0
"J11_p1_rep1_hetero",0,0,0,0,0,0.0067965969010223,0,0,0
"J13_p1_rep1_hetero",0,0,0,0,0,0.0077579593306365,0,0,0
"J1_p1_rep2_hetero",0,0,0,0,0,0.0028322823864336,0,0,0
"J2_p1_rep2_hetero",0.0042172012922328,0,0,0,0,0.0075690116432774,0.001750532176301,0,0
"J3_p1_rep2_hetero",0.015706096548844,0,0,0,0,0.005038031645134,0.012435022110752,0,0
"J4_p1_rep2_hetero",0,0,0,0,0,0.0069379236907837,0,0,0
"J5_p1_rep2_hetero",0,0,0,0,0,0.0066284341069526,0,0,0
"J6_p1_rep2_hetero",0,0,0,0,0,0.0059143533676136,0,0,0
"J7_p1_rep2_hetero",0,0,0,0,0,0.0075986266438217,0,0,0
"J8_p1_rep2_hetero",0,0,0,0,0,0.0074245081266402,0,0,0
"J9_p1_rep2_hetero",0,0,0,0,0,0.0076590886608288,9.700069295158e-05,0,0
