"","DeconRNASeq_BPRNACan_M0","DeconRNASeq_BPRNACan3DProMet_M0","DeconRNASeq_BPRNACanProMet_M0","Epidish_CBSX.LM22_M0","DeconRNASeq_CBSX.LM22_M0","Epidish_LM22_M0","DeconRNASeq_LM22_M0","CBSX_LM22_M0"
"LUNG-NSCLC2-0553",0,0,0,0.0054892274583697,0.056595824572837,0.0054892274583697,0.056595824572837,0.0360099648628408
"LUNG-NSCLC2-0560",0,0,0,0.0743629687982801,0.0638522733863834,0.0743629687982801,0.0638522733863834,0.0707139257946875
"LUNG-NSCLC2-0565",0.0052892945643064,0,0,0.0189849222852724,0.0437772877421526,0.0189849222852724,0.0437772877421526,0.0300761593323248
"LUNG-NSCLC2-0566",0.0034882080132675,0,0,0.015268201647942,0.0276624041424667,0.015268201647942,0.0276624041424667,0.0061970988593524
"LUNG-NSCLC2-0568",0.0102586012506639,0.0062824398043231,0.0081649122115098,0.0358846010307063,0.0201532354786701,0.0358846010307063,0.0201532354786701,0.0535118549475673
"LUNG-NSCLC2-0569",0,0,0,0.103412192935929,0.132874153542894,0.103412192935929,0.132874153542894,0.122760459691677
"LUNG-NSCLC2-0571",0.00705512186723,0.0028547985914855,0.0057389743603442,0.0350819275149018,0.0472374523720858,0.0350819275149018,0.0472374523720858,0.0410273979800353
"LUNG-NSCLC2-0580",0,0,0,0.0542347798953062,0.0765537919884455,0.0542347798953062,0.0765537919884455,0.0888196234167747
"LUNG-NSCLC2-0584",0.0195416673057636,0.0094720338712782,0.0103144151120458,0.095948545545323,0.0463533090393363,0.095948545545323,0.0463533090393363,0.125673618683126
"LUNG-NSCLC2-0585",0,0,0,0.0321072489277598,0.0634660044320177,0.0321072489277598,0.0634660044320177,0.021721550116463
"LUNG-NSCLC2-0588",0.0240231858791272,0.0160994558974978,0.0190329348625073,0.0409061910395143,0.032493454883535,0.0409061910395143,0.032493454883535,0.0362387951017484
"LUNG-NSCLC2-0590",0,0,0,0.0375348250229293,0.042494493571828,0.0375348250229293,0.042494493571828,0.0251111521494333
"LUNG-NSCLC2-0592",0.000539037389699168,0,0,0.0139545156320478,0,0.0139545156320478,0,0.0308305847485203
"LUNG-NSCLC2-0593",0.0072113112016108,0.0025426999569967,0.0044890682551346,0.000251424008336798,0.0334134432167297,0.000251424008336798,0.0334134432167297,0.0294961660795776
"LUNG-NSCLC2-0595",0,0,0,0.0575853203422159,0.0538152085928186,0.0575853203422159,0.0538152085928186,0.0872293360383807
"LUNG-NSCLC2-0596",0.0288243159111911,0.0261078068075629,0.0304690584098157,0.0417835774600405,0.0411137002514625,0.0417835774600405,0.0411137002514625,0.0179252598901728
"LUNG-NSCLC2-0599",0,0,0,0.129156447346599,0.0393918837985793,0.129156447346599,0.0393918837985793,0.116667942967916
"LUNG-NSCLC2-0602",0,0,0,0.109778663704735,0.114393735848686,0.109778663704735,0.114393735848686,0.126961548421243
"LUNG-NSCLC2-0603",0.0188252717883946,0.0168600049295227,0.0214589997178593,0.0275100484376899,0.0039067492475438,0.0275100484376899,0.0039067492475438,0.0296102419331646
"LUNG-NSCLC2-0608",0,0,0,0.016217353146974,0.0450038821150898,0.016217353146974,0.0450038821150898,0.069921704409509
"LUNG-NSCLC2-0610",0.0294672440268155,0.029173336294579,0.0333451132862962,0.0641222791174647,0.032625684735737,0.0641222791174647,0.032625684735737,0.0505356624914028
"LUNG-NSCLC2-0611",0.0106906554432622,0.0100507297766655,0.0128414556837798,0.0142686529437576,0.0100298861743073,0.0142686529437576,0.0100298861743073,0.0461889751943994
"LUNG-NSCLC2-0622",0.0044866183665236,0,0,0.0789997401736617,0,0.0789997401736617,0,0.0870470158983403
"LUNG-NSCLC2-0623",0.0756460852117707,0.0755855432732986,0.0752158682676157,0.0309704328006887,0.0356711338344263,0.0309704328006887,0.0356711338344263,0.0405870011749849
"LUNG-NSCLC2-0630",0.0304332167312304,0.0284801068890934,0.0257320014107582,0.0741476012811178,0.086121654148266,0.0741476012811178,0.086121654148266,0.0974362291633748
"LUNG-NSCLC2-0631",0.0439001968633402,0.0444947774153122,0.0455310290802659,0.0468556371897467,0.0375866064723473,0.0468556371897467,0.0375866064723473,0.0313203211948141
"LUNG-NSCLC2-0632",0.0071297287560096,0.0066366283423745,0.0094128615867325,0.0267978441587173,0.0335286520144901,0.0267978441587173,0.0335286520144901,0.0376918843604788
"LUNG-NSCLC2-0633",0.0035408357445133,0,0,0.051128560283485,0,0.051128560283485,0,0.113747766394269
"LUNG-NSCLC2-0635",0.0094273383639748,0,0.0021625281399557,0.0602780802897603,0.092817293688209,0.0602780802897603,0.092817293688209,0.0700905611283122
"LUNG-NSCLC2-0641",0.0217987876486212,0.0203369662079485,0.0234809366468662,0.033981648677416,0.0240763716616436,0.033981648677416,0.0240763716616436,0.0698181125924471
"LUNG-NSCLC2-0648",0.0094573261968802,0.0035850258322297,0.0055053265668856,0.0352264046050449,0.0194179361731472,0.0352264046050449,0.0194179361731472,0.0152911147256658
"LUNG-NSCLC2-0652",0.0257377751365499,0.0230893655859038,0.0248370993357615,0.108576316960903,0.0345114017214353,0.108576316960903,0.0345114017214353,0.0866125709305578
"LUNG-NSCLC2-0657",0.0169114717824293,0.0140646689537013,0.0175587239467164,0.0562431355324838,0.0299065691472447,0.0562431355324838,0.0299065691472447,0.0570377610500478
"LUNG-NSCLC2-0660",0.0454575520100382,0.0389096767188616,0.0422845052101704,0.0429207262695459,0.0196933722060964,0.0429207262695459,0.0196933722060964,0.037027384534093
"LUNG-NSCLC2-0678",0,0,0,0.132955358910322,0.162940408044737,0.132955358910322,0.162940408044737,0.165840123365215
"LUNG-NSCLC2-0683",0,0,0,0.0044601270067188,0.0232273703147814,0.0044601270067188,0.0232273703147814,0
"LUNG-NSCLC2-0685",0.000130469593717042,0,0.0044361358195904,0,0.0063992816814386,0,0.0063992816814386,0.0125970871580537
"LUNG-NSCLC2-0687",0.0097487420210901,0.0038664505523725,0.006895788541565,0.0923616282889315,0.0295455340201412,0.0923616282889315,0.0295455340201412,0.139027499388295
"LUNG-NSCLC2-0689",0.0091551784246489,0.0041090144479784,0.0026195338653059,0,0.0227676716070723,0,0.0227676716070723,0.024878066140899
"LUNG-NSCLC2-0695",0.030338174419857,0.0175992706505732,0.0166248784394836,0,0.0314391643546586,0,0.0314391643546586,0.054243587995915
"LUNG-NSCLC2-0696",0.0175326320277835,0.0122969415168791,0.0125686951139673,0.0430709104506694,0.034746906306414,0.0430709104506694,0.034746906306414,0.0517369027031302
"LUNG-NSCLC2-0698",0.0360322306329447,0.0298513490148048,0.0311144608124696,0.0122083430262325,0.0493807038409778,0.0122083430262325,0.0493807038409778,0.0291555943474202
"LUNG-NSCLC2-0704",0.0067803613846024,0.000245782788552001,0,0.121336359276045,0.103717090234742,0.121336359276045,0.103717090234742,0.109177908356553
"LUNG-NSCLC2-0705",0.0099057100909489,0.0078788708195327,0.0132674181567492,0.0572905143950063,0.0533314353161353,0.0572905143950063,0.0533314353161353,0.0795229883092446
"LUNG-NSCLC2-0707",0.0218823584683462,0.0116340800778469,0.0091281315731366,0.0660198543302115,0.0151214632708013,0.0660198543302115,0.0151214632708013,0.0501689008308004
"LUNG-NSCLC2-0709",0.0176403551460864,0.016210144036823,0.0217581593624539,0.0434188093600873,0.0617285247938961,0.0434188093600873,0.0617285247938961,0.0665167527470537
"LUNG-NSCLC2-0712",0.0085578115671091,0.000696998766910192,0.0023717711951409,0.0651511098097866,0.0557411780537324,0.0651511098097866,0.0557411780537324,0.117376741609987
"LUNG-NSCLC2-0714",0.0161814392698504,0.0129914736401622,0.0160568596792906,0.0507251027277905,0.0677387602112256,0.0507251027277905,0.0677387602112256,0.0323416437192296
"LUNG-NSCLC2-0715",0,0,0,0.0144931214961804,0.0244103816711732,0.0144931214961804,0.0244103816711732,0.0378320421158756
"LUNG-NSCLC2-0718",0,0,0,0.0544558336741624,0.138308491975213,0.0544558336741624,0.138308491975213,0.056993244806527
"LUNG-NSCLC2-0720",0.0113176015536386,0.0053067054711072,0.0086178411541591,0.011937701426776,0.051694986092593,0.011937701426776,0.051694986092593,0.0284235353317839
"LUNG-NSCLC2-0727",0.0165030017510689,0.0102294786377,0.0122354811463612,0,0.097192985523165,0,0.097192985523165,0
"LUNG-NSCLC2-0728",0.0171461214287091,0.0114185126372888,0.0123174532049199,0.0187719607623858,0.0444544300076967,0.0187719607623858,0.0444544300076967,0.012081824852072
"LUNG-NSCLC2-0729",0.0181834862184288,0.0143993203253624,0.0165240353615619,0.0469107290396612,0.08645025052747,0.0469107290396612,0.08645025052747,0.0584245699964053
"LUNG-NSCLC2-0730",0.0229346104958683,0.015969470449891,0.0154545785863677,0.10759798396985,0.0683536154878211,0.10759798396985,0.0683536154878211,0.13586992630181
"LUNG-NSCLC2-0732",0.0059703102862056,0.000667194455797035,0.000298859368305454,0.0669925410623579,0.118951978124582,0.0669925410623579,0.118951978124582,0.0686920508315923
"LUNG-NSCLC2-0734",0,0,0,0.0349938277874663,0.0387761671158303,0.0349938277874663,0.0387761671158303,0.0408384066954737
"LUNG-NSCLC2-0736",0.0035065181186959,0,0.000855561190350337,0.028850616780915,0.0556062063072633,0.028850616780915,0.0556062063072633,0.0923244111839516
"LUNG-NSCLC2-0737",0.0229621873474507,0.0197424742946323,0.0205749815807491,0.147183518314732,0.0405387381480149,0.147183518314732,0.0405387381480149,0.0269659920189087
"LUNG-NSCLC2-0740",0,0,0,0.0017282768517589,0.0564408811671036,0.0017282768517589,0.0564408811671036,0.0363753540726608
"LUNG-NSCLC2-0742",0.0049434152366425,0.0019487362700775,0.006976986153402,0.0076891457191297,0.0457324972280925,0.0076891457191297,0.0457324972280925,0.0290497230102214
"LUNG-NSCLC2-0743",0.0085062064084249,0.0036145108347605,0.0060849081181708,0.144070222999052,0.0531108524226823,0.144070222999052,0.0531108524226823,0.119954305876203
