"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"Gide_PD1_10_Post",0.0536655600180102,0.0802945569781652,0.10676797410594,0.0505381229387343,0.0536655600180102,0.0802945569781652,0.0657584949013385,0.124725286665603
"Gide_PD1_10_Pre",0.0433944018823316,0.069579717928703,0.140776719629921,0.0533555880622612,0.0433944018823316,0.069579717928703,0.0442671081926391,0.160579336099511
"Gide_PD1_11_Pre",0.0834346739565213,0.0791978730548276,0.00188888581106359,0.0310855440758399,0.0834346739565213,0.0791978730548276,0.0922302497216188,0.0113640297206808
"Gide_PD1_12_Pre",0.0519350539957617,0.0710131561986121,0,0.0396889324664064,0.0519350539957617,0.0710131561986121,0.0544845912289246,0.052634488155828
"Gide_PD1_13_Post",0.0414859116374848,0.0888218810239061,0.0613523655346243,0.0483399086896244,0.0414859116374848,0.0888218810239061,0.0447722000133441,0.0730913876243693
"Gide_PD1_13_Pre",0.00642485536351353,0.0540754007317811,0,0.0379524916313243,0.00642485536351353,0.0540754007317811,0.0105742508865744,0
"Gide_PD1_14_Pre",0.124947975825086,0.126154966909337,0.0983952263464243,0.0514036775662574,0.124947975825086,0.126154966909337,0.0945081003345296,0.0991053380155793
"Gide_PD1_15_Pre",0.0346907045502636,0.0951703204412482,0,0.0341580401404459,0.0346907045502636,0.0951703204412482,0.0714392843458938,0
"Gide_PD1_16_Pre",0.0442567313133045,0.0637102559455168,0.0431194480374399,0.0404899360901202,0.0442567313133045,0.0637102559455168,0.0345792945633892,0.0635666192182844
"Gide_PD1_17_Post",0.307991969035713,0.162471095551716,0.3097199230162,0.0784980543238538,0.307991969035713,0.162471095551716,0.31777703305958,0.270669728841974
"Gide_PD1_17_Pre",0.115414751938861,0.10169360461542,0.222621705450981,0.0551058526566405,0.115414751938861,0.10169360461542,0.103100120511316,0.230642055805022
"Gide_PD1_18_Pre",0.149715353560165,0.100842824902446,0.181521541693683,0.0510931440426895,0.149715353560165,0.100842824902446,0.134500836436682,0.23004123290738
"Gide_PD1_19_Pre",0.0319675088994206,0.121351336572988,0.0306203051518721,0.042909707195899,0.0319675088994206,0.121351336572988,0.0334864259336777,0.0496307801540855
"Gide_PD1_2_Pre",0.150571997562468,0.1165225723098,0.302940540037905,0.0671978124172297,0.150571997562468,0.1165225723098,0.146028833647893,0.317371631354111
"Gide_PD1_21_Pre",0.133625337295152,0.138259389425821,0.294574843535781,0.0677580924043181,0.133625337295152,0.138259389425821,0.113863589707481,0.257518189901823
"Gide_PD1_23_Pre",0.0693414853296988,0.0922848675733614,0.116797115123936,0.0501746082530966,0.0693414853296988,0.0922848675733614,0.0684673205295335,0.10719017093121
"Gide_PD1_25_Post",0.161632453341903,0.129203993792147,0.0937141554156221,0.0456294845923228,0.161632453341903,0.129203993792147,0.163032727601111,0.0890084434571891
"Gide_PD1_25_Pre",0.0409702108811742,0.0752848977101019,0.117179233434535,0.0507605267184897,0.0409702108811742,0.0752848977101019,0.0400238964052383,0.156119134668514
"Gide_PD1_27_Pre",0,0.101117754152527,0,0.0378283244568553,0,0.101117754152527,0.00057574730680804,0
"Gide_PD1_29_Post",0.0300683465077715,0.101605863057316,0,0.046435749643951,0.0300683465077715,0.101605863057316,0.029812839714652,0.042046725280567
"Gide_PD1_29_Pre",0.00362973737437095,0.0913866052175421,0,0.0412258716849056,0.00362973737437095,0.0913866052175421,0.00988920166368911,0.00668640828043734
"Gide_PD1_3_Pre",0.013133246781209,0.0825691921093496,0,0.0352338348336614,0.013133246781209,0.0825691921093496,0.0144252330423402,0
