"","Epidish_BPRNACan_CD8","DeconRNASeq_BPRNACan_CD8","Epidish_BPRNACan3DProMet_CD8","Epidish_BPRNACanProMet_CD8","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","Epidish_CD226_CD8CD226plusPostAct","DeconRNASeq_CD226_CD8CD226negNoAct","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_TIL10_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__TIL10__T.cells.CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226negNoAct","CBSX__CD226__CD8CD226plusNoAct","CBSX__CD226__CD8CD226plusPostAct"
"J1_p1_rep1_B",0,0.0198546242437531,0,0,0.0224447526046482,0,0.00091482301083571,0.00077447638716709,0,0.110683590715663,0,0,0.0073596674765605,0.0214295330629352,0.0111313587782858,0,0.0167895417190615,0.0333774528662852,0.0383559778054431
"J1_p1_rep2_B",0,0.0154121395816444,0,0,0.0208991112734472,0,0.0023254841483723,0.0010751694597527,0,0.110022700818805,0,0,0.0083960618166366,0.0260948155826172,0.0097440228708681,0,0.0204214270753865,0.0268542318148576,0.04342655108618
"J4_p1_rep1_B",0,0,0,0,0.0215092254784709,0,0,0.001806198794529,0,0.0771524453102564,0.0041839540025711,0,0.0056517746931515,0.0204083074247241,0.0094572731513462,0.0026214895519216,0,0.0269007826370354,0.0585683371381792
"J4_p1_rep2_B",0,0,0,0,0.0226146719552974,0,0,0.0017867343647417,0,0.0766537209870498,0,0,0.0058832657679938,0.0243643196010226,0.0086657537610888,0.0020941261154686,0,0.0316165269261724,0.0649022824476352
"J8_p1_rep1_B",0,0,0,0,0.014805341494229,0,0,0.0025789230728117,0,0.0377311649812512,0.0641340590345243,0,0.0031496029496175,0.0462024393939765,0.0127157697487224,0.0010613916237677,0,0.02681279370852,0.0883804176315757
"J8_p1_rep2_B",0,0,0,0,0.0113259728054144,0,0,0.0030720723955651,0,0.0395273092880471,0.0789292075759008,0,0.0042045482681901,0.0502602117124541,0.0135338748126714,0.0010768321096714,0.001046173152544,0.0240946371585963,0.0853209251011502
"J11_p1_rep1_B",0,0,8.75393064943651e-05,0.00047637107657309,0,0,0,0.0034806115015073,0,0.0482001635351422,0.0744572995106597,0,0.0022904030473915,0.0295621859269326,0.012703222094693,0.0023256250872,0.0177899981638075,0.0134141271185095,0.0676067379331616
"J11_p1_rep2_B",0,0,6.73910009998827e-05,0.00064946894840569,0,0,0,0.0030967720186503,0,0.0445690857386745,0.0700403690333317,0,0.0028850833961217,0.0291904716589739,0.0143186382189971,0.0019980242140206,0.0117451844667191,0.0154600503706602,0.0684409383291563
"J14_p1_rep1_B",0.00036367899496549,0,0.0002339859911531,0.0018332628517264,0,0,0,0.0029839361934073,0,0.096279056451682,0.0474958104193577,0,0.0020830652766885,0.0398608098658241,0.0120252504539585,0.00128066103594,0.020399794711344,0.0137450249057512,0.0503662211262839
"J14_p1_rep2_B",5.23361777342689e-05,0,0.00012001578324553,0.0017876997609093,0,0,0,0.0030893405758756,0,0.0951584131303683,0.0367616585264929,0,0.0036568721617831,0.0831546640436698,0.0116165347190998,0.001328794982071,0.0173408893910146,0.0157412802036965,0.0486658002756237
"J1_p2_rep1_B",0.00039880929774726,0.0012966770041047,0.00060265480275666,0.0010439644478922,0.0582046865945596,0,0.00018086876491037,0.00050398877038454,0.188753473629321,0.0478060974664618,0,0,0.0050794351955861,0,0,0,0.0533431925478563,0.0178336176770707,0.0318781210625445
"J1_p2_rep2_B",0.00041784197957056,0.0023360327170361,0.00053425714831666,0.00095614314263344,0.0604503611172589,0,0,0.00041569081290668,0.197445984174044,0.0438295716361938,0,0,0.004849605295909,0,0,0,0.0514242453621886,0.0229342951193448,0.0345024141026202
"J4_p2_rep1_B",0.00019787915671248,0,0,3.36449941570464e-06,0.0246292341356687,0,0.0002164853110881,0.00030562512741564,0.034908507433783,0.129870226449227,0,0,0.0061350379907588,0,0,0.00044659548206338,0.0276245588006915,0.0255215238308496,0.0277140848136965
"J4_p2_rep2_B",0.00012580261904461,0,0,0,0.0011721792702185,0,0.0044800871310625,0.00025999417808846,0,0.163875678513726,0,0,0.0100039575118605,0,0,0,0,0.0488597511835346,0.0372734981864721
"J8_p2_rep1_B",0.00014511682263657,0,0,0,0.0226205448183488,0,0.002835074980565,0.0012469041515002,0,0.147998284020731,0,0,0.0100807266970237,0,0,0.00071758910115971,0.0096930096055446,0.038125288391179,0.0401476166758181
"J8_p2_rep2_B",0.00011761789050636,0,0,0,0.0262924616287967,0,0.0042726363088587,0.00098864994764582,0,0.150452416894836,0,0,0.0115228548310493,0,0,0,0.013663659316088,0.0369438205073464,0.0354017996604092
"J11_p2_rep1_B",0,0,0,0,0.0369665522183833,0,0.0094982882593003,0.0011890554697874,0.16946571653175,0.126426616138652,0,0,0.015929809131221,0.0070208593971116,0,0,0.040507923575223,0.0246736191790066,0.0271271204459097
"J11_p2_rep2_B",0.00024571764731746,0,0,0,0.0438046202421401,0,0.0054415569547622,0.0011507308142789,0.0972930247961761,0.118936936455506,0,0,0.0119966155341784,0,0.0038603239059105,0,0.0450599805984925,0.020753495556596,0.0316266305067088
"J14_p2_rep1_B",2.90202752307577e-05,0,0,0,0.0504119484447126,0,0.0065617678124166,0.00068895292030339,0.173970933618345,0.113760285905134,0,0,0.0123233999492078,0.0100479554759107,0,0,0.0627117055754906,0.006424909528556,0.022968332858523
"J14_p2_rep2_B",0,0,0,0,0.0219325122285754,0,0.0043841052376266,0.0019591711939366,0.184399509828405,0.157769888627459,0.0129570266185627,0,0.0127254674648776,0,0,0,0.0123312269564462,0.0361728853282187,0.0301282405096941
"J1_p3_rep1_B",1.76295885808622e-05,0,0.0002353554741996,0.0016151164341871,0,0,0,0.0024635578516217,0,0.109099603839897,0.0729556326580441,0,0.0042333196540034,0,0.0116479626226841,0.0030594261480735,0,0.0428038535563745,0.0559924133294546
"J1_p3_rep2_B",8.64085434140225e-05,0,0.00012290295598655,0.0016682388616634,0,0,0,0.0025539474429541,0,0.108194397315129,0.0718654649994053,0,0.0042985011651098,0,0.0121201589546399,0.0023006249852775,0,0.0431685660289282,0.0537090695389645
"J4_p3_rep1_B",0,0,0,0.00097941401299414,0,0,0,0.0041956869409878,0,0.0597885424782825,0.149582462520723,0,0.0070838727966527,0.0052786075801498,0.0110214204259706,0,0.0022465300916056,0.0310270067276948,0.0860319042872698
"J4_p3_rep2_B",0,0,0,0.0003951992647157,0,0,0,0.0042436935458913,0,0.0544429878465047,0.178436557324484,0,0.0083751636410566,0.0120963413337541,0.007724150066584,0,0.0099054966521927,0.024855139782077,0.0894045055269043
"J8_p3_rep1_B",0,0,0,0.0011645972930271,0,0,0,0.0041825577188474,0,0.0560702543113904,0.173565483278675,0,0.0071926826319077,0.0079411586375172,0.0106779586358539,0.0014012767110118,0.0126845499652011,0.0183850722669557,0.0878789451455832
"J8_p3_rep2_B",0,0,0,0.0016731130461395,0,0,0,0.0044489938140021,0,0.0634954664268458,0.167861423517851,0,0.0063545735290591,0.0099846948728968,0.0113852902412715,0.00050891897894403,0.0051604468681722,0.0268228691776592,0.0815555740403354
"J11_p3_rep1_B",0,0,0,0.0015726115712725,0,0,0,0.0039819606334814,0,0.0673523692193219,0.140395297960426,0,0.0065705373121726,0.0121003347416066,0.0107718785798237,0.0016186798992779,0.0114302012441107,0.0195809909901708,0.0753717166793925
